<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,PB,D,20070813,000000,2.73225,2.73225,2.73225,2.73225,0,0
ABE,PB,D,20070814,000000,2.73225,2.73225,2.73225,2.73225,0,0
ABE,PB,D,20070816,000000,2.60095,2.60095,2.60095,2.60095,0,0
ABE,PB,D,20070817,000000,2.60095,2.60095,2.60095,2.60095,0,0
ABE,PB,D,20070820,000000,2.79361,2.79361,2.79361,2.79361,0,0
ABE,PB,D,20070821,000000,2.73225,2.73225,2.73225,2.73225,0,0
ABE,PB,D,20070822,000000,2.86355,2.86355,2.86355,2.86355,0,0
ABE,PB,D,20070823,000000,2.99495,2.99495,2.99495,2.99495,0,0
ABE,PB,D,20070824,000000,3.04763,3.04763,3.04763,3.04763,0,0
ABE,PB,D,20070827,000000,2.93359,2.93359,2.93359,2.93359,0,0
ABE,PB,D,20070828,000000,2.99495,2.99495,2.99495,2.99495,0,0
ABE,PB,D,20070829,000000,2.86355,2.86355,2.86355,2.86355,0,0
ABE,PB,D,20070830,000000,2.96003,2.96003,2.96003,2.96003,0,0
ABE,PB,D,20070831,000000,3.06499,3.06499,3.06499,3.06499,0,0
ABE,PB,D,20070903,000000,3.09143,3.09143,3.09143,3.09143,0,0
ABE,PB,D,20070904,000000,3.16147,3.16147,3.16147,3.16147,0,0
ABE,PB,D,20070905,000000,3.13503,3.13503,3.13503,3.13503,0,0
ABE,PB,D,20070906,000000,3.13503,3.13503,3.13503,3.13503,0,0
ABE,PB,D,20070907,000000,2.88999,2.88999,2.88999,2.88999,0,0
ABE,PB,D,20070910,000000,2.79361,2.79361,2.79361,2.79361,0,0
ABE,PB,D,20070911,000000,2.95115,2.95115,2.95115,2.95115,0,0
ABE,PB,D,20070912,000000,2.86355,2.86355,2.86355,2.86355,0,0
ABE,PB,D,20070913,000000,2.88131,2.88131,2.88131,2.88131,0,0
ABE,PB,D,20070914,000000,2.88131,2.88131,2.88131,2.88131,0,0
ABE,PB,D,20070917,000000,2.94247,2.94247,2.94247,2.94247,0,0
ABE,PB,D,20070918,000000,3.21395,3.21395,3.21395,3.21395,0,0
ABE,PB,D,20070919,000000,3.09143,3.09143,3.09143,3.09143,0,0
ABE,PB,D,20070920,000000,3.27531,3.27531,3.27531,3.27531,0,0
ABE,PB,D,20070921,000000,3.33657,3.33657,3.33657,3.33657,0,0
ABE,PB,D,20070924,000000,3.36281,3.36281,3.36281,3.36281,0,0
ABE,PB,D,20070925,000000,3.32769,3.32769,3.32769,3.32769,0,0
ABE,PB,D,20070926,000000,3.19639,3.19639,3.19639,3.19639,0,0
ABE,PB,D,20070927,000000,3.18771,3.18771,3.18771,3.18771,0,0
ABE,PB,D,20070928,000000,3.22273,3.22273,3.22273,3.22273,0,0
ABE,PB,D,20071001,000000,3.23151,3.23151,3.23151,3.23151,0,0
ABE,PB,D,20071002,000000,2.94247,2.94247,2.94247,2.94247,0,0
ABE,PB,D,20071003,000000,2.94247,2.94247,2.94247,2.94247,0,0
ABE,PB,D,20071004,000000,2.97759,2.97759,2.97759,2.97759,0,0
ABE,PB,D,20071005,000000,3.17025,3.17025,3.17025,3.17025,0,0
ABE,PB,D,20071008,000000,3.21395,3.21395,3.21395,3.21395,0,0
ABE,PB,D,20071009,000000,3.34544,3.34544,3.34544,3.34544,0,0
ABE,PB,D,20071010,000000,3.29277,3.29277,3.29277,3.29277,0,0
ABE,PB,D,20071011,000000,3.27531,3.27531,3.27531,3.27531,0,0
ABE,PB,D,20071012,000000,3.31033,3.31033,3.31033,3.31033,0,0
ABE,PB,D,20071015,000000,3.26653,3.26653,3.26653,3.26653,0,0
ABE,PB,D,20071016,000000,3.18771,3.18771,3.18771,3.18771,0,0
ABE,PB,D,20071017,000000,3.45031,3.45031,3.45031,3.45031,0,0
ABE,PB,D,20071018,000000,3.45031,3.45031,3.45031,3.45031,0,0
ABE,PB,D,20071019,000000,3.50289,3.50289,3.50289,3.50289,0,0
ABE,PB,D,20071022,000000,3.38037,3.38037,3.38037,3.38037,0,0
ABE,PB,D,20071023,000000,3.39783,3.39783,3.39783,3.39783,0,0
ABE,PB,D,20071024,000000,3.45031,3.45031,3.45031,3.45031,0,0
ABE,PB,D,20071025,000000,3.55556,3.55556,3.55556,3.55556,0,0
ABE,PB,D,20071026,000000,3.65175,3.65175,3.65175,3.65175,0,0
ABE,PB,D,20071029,000000,3.64316,3.64316,3.64316,3.64316,0,0
ABE,PB,D,20071030,000000,3.60805,3.60805,3.60805,3.60805,0,0
ABE,PB,D,20071031,000000,3.64316,3.64316,3.64316,3.64316,0,0
ABE,PB,D,20071102,000000,3.73057,3.73057,3.73057,3.73057,0,0
ABE,PB,D,20071105,000000,3.65175,3.65175,3.65175,3.65175,0,0
ABE,PB,D,20071106,000000,3.45909,3.45909,3.45909,3.45909,0,0
ABE,PB,D,20071107,000000,3.47665,3.47665,3.47665,3.47665,0,0
ABE,PB,D,20071108,000000,3.50289,3.50289,3.50289,3.50289,0,0
ABE,PB,D,20071109,000000,3.34544,3.53791,3.34544,3.51167,0,0
ABE,PB,D,20071112,000000,3.51167,3.51167,3.35413,3.45031,0,0
ABE,PB,D,20071113,000000,3.51167,3.51167,3.35413,3.41539,0,0
ABE,PB,D,20071114,000000,3.45031,3.45031,3.32769,3.41539,0,0
ABE,PB,D,20071115,000000,3.45031,3.45031,3.10021,3.16147,0,0
ABE,PB,D,20071116,000000,3.19639,3.19639,3.10021,3.13503,0,0
ABE,PB,D,20071119,000000,3.13503,3.16147,3.10021,3.10021,0,0
ABE,PB,D,20071120,000000,3.13503,4.15091,2.91613,4.15091,0,0
ABE,PB,D,20071121,000000,3.9759,4.04594,3.87065,3.95834,0,0
ABE,PB,D,20071122,000000,3.95834,4.22114,3.87065,4.13344,0,0
ABE,PB,D,20071123,000000,4.13344,4.39614,4.13344,4.39614,0,0
ABE,PB,D,20071126,000000,4.39614,4.55378,4.28221,4.39614,0,0
ABE,PB,D,20071127,000000,4.39614,4.43136,4.28221,4.30864,0,0
ABE,PB,D,20071128,000000,4.32601,4.39614,4.32601,4.33479,0,0
ABE,PB,D,20071129,000000,4.33479,4.41361,4.33479,4.39614,0,0
ABE,PB,D,20071130,000000,4.41361,4.48374,4.41361,4.48374,0,0
ABE,PB,D,20071203,000000,4.48374,4.48374,4.48374,4.48374,0,0
ABE,PB,D,20071204,000000,4.36122,4.39614,4.32601,4.39614,0,0
ABE,PB,D,20071205,000000,4.30864,4.39614,4.30864,4.39614,0,0
ABE,PB,D,20071206,000000,4.39614,4.39614,4.39614,4.39614,0,0
ABE,PB,D,20071207,000000,4.39614,4.39614,4.26484,4.39614,0,0
ABE,PB,D,20071210,000000,4.30864,4.39614,4.30864,4.39614,0,0
ABE,PB,D,20071211,000000,4.48374,4.48374,4.39614,4.46618,0,0
ABE,PB,D,20071212,000000,4.30864,4.48374,4.30864,4.48374,0,0
ABE,PB,D,20071213,000000,4.51876,4.59758,4.48374,4.57144,0,0
ABE,PB,D,20071214,000000,4.65894,4.65894,4.5013,4.64148,0,0
ABE,PB,D,20071217,000000,4.6327,4.65894,4.5013,4.6327,0,0
ABE,PB,D,20071218,000000,4.57144,4.6327,4.57144,4.57144,0,0
ABE,PB,D,20071219,000000,4.48374,4.57144,4.48374,4.57144,0,0
ABE,PB,D,20071220,000000,4.48374,4.64148,4.48374,4.48374,0,0
ABE,PB,D,20071221,000000,4.60626,4.65894,4.37878,4.60626,0,0
ABE,PB,D,20071227,000000,4.48374,4.71152,4.39614,4.5888,0,0
ABE,PB,D,20071228,000000,4.60626,4.71152,4.57144,4.69396,0,0
ABE,PB,D,20080102,000000,4.64148,4.69396,4.57144,4.57144,0,0
ABE,PB,D,20080103,000000,4.60626,4.65894,4.57144,4.57144,0,0
ABE,PB,D,20080104,000000,4.44872,4.61514,4.44872,4.52754,0,0
ABE,PB,D,20080107,000000,4.39614,4.39614,4.30864,4.39614,0,0
ABE,PB,D,20080108,000000,4.11589,4.27353,4.11589,4.22114,0,0
ABE,PB,D,20080109,000000,4.16856,4.22114,4.16856,4.22114,0,0
ABE,PB,D,20080110,000000,4.13344,4.13344,3.83582,3.83582,0,0
ABE,PB,D,20080111,000000,3.87065,4.11589,3.87065,4.11589,0,0
ABE,PB,D,20080114,000000,3.95834,3.95834,3.95834,3.95834,0,0
ABE,PB,D,20080115,000000,3.90586,3.90586,3.78315,3.78315,0,0
ABE,PB,D,20080116,000000,3.52045,3.78315,3.52045,3.78315,0,0
ABE,PB,D,20080117,000000,3.73935,3.73935,3.65175,3.69564,0,0
ABE,PB,D,20080118,000000,3.69564,3.82704,3.66053,3.82704,0,0
ABE,PB,D,20080121,000000,3.64316,3.69564,3.60805,3.67799,0,0
ABE,PB,D,20080122,000000,3.52045,3.74822,3.52045,3.52045,0,0
ABE,PB,D,20080123,000000,3.69564,3.78315,3.57303,3.67799,0,0
ABE,PB,D,20080124,000000,3.8445,3.8445,3.7132,3.78315,0,0
