<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABS,PB,D,20071119,000000,1.02876,1.02876,1.02876,1.02876,0,0
ABS,PB,D,20071120,000000,1.01653,1.04117,1.01653,1.04117,0,0
ABS,PB,D,20071121,000000,1.0534,1.0534,1.0329,1.04117,0,0
ABS,PB,D,20071122,000000,1.04117,1.04117,0.996118,0.996118,0,0
ABS,PB,D,20071123,000000,0.996118,3.11118,0.996118,3.11118,0,0
ABS,PB,D,20071126,000000,3.11118,3.21774,1.06967,1.06967,0,0
ABS,PB,D,20071127,000000,1.06967,1.06967,1.06967,1.06967,0,0
ABS,PB,D,20071128,000000,1.06967,1.09027,1.06967,1.09027,0,0
ABS,PB,D,20071129,000000,1.09027,1.09854,1.09027,1.09854,0,0
ABS,PB,D,20071203,000000,1.02876,1.09027,1.00826,1.09027,0,0
ABS,PB,D,20071205,000000,1.16832,1.16832,1.16832,1.16832,0,0
ABS,PB,D,20071206,000000,1.09854,1.09854,1.09854,1.09854,0,0
ABS,PB,D,20071207,000000,1.10681,1.10681,1.07794,1.07794,0,0
ABS,PB,D,20071210,000000,1.09027,1.09854,1.09027,1.09854,0,0
ABS,PB,D,20071211,000000,1.05772,1.09854,1.05772,1.09854,0,0
ABS,PB,D,20071212,000000,1.08622,1.38556,1.07794,1.38556,0,0
ABS,PB,D,20071213,000000,1.39374,1.39374,1.39374,1.39374,0,0
ABS,PB,D,20071214,000000,1.39374,1.39374,1.39374,1.39374,0,0
ABS,PB,D,20071217,000000,1.41002,1.41002,1.37737,1.39787,0,0
ABS,PB,D,20071219,000000,1.41002,1.41002,1.37737,1.41002,0,0
ABS,PB,D,20071220,000000,1.35256,1.41002,1.35256,1.35256,0,0
ABS,PB,D,20071221,000000,1.40597,1.40597,1.35256,1.40597,0,0
ABS,PB,D,20071227,000000,1.36496,1.36496,1.36496,1.36496,0,0
ABS,PB,D,20071228,000000,1.3076,1.43052,1.3076,1.41002,0,0
ABS,PB,D,20080102,000000,1.41002,1.41002,1.41002,1.41002,0,0
ABS,PB,D,20080103,000000,1.41002,1.41002,1.36496,1.36496,0,0
ABS,PB,D,20080104,000000,1.36496,1.36496,1.36496,1.36496,0,0
ABS,PB,D,20080107,000000,1.35256,1.39787,1.35256,1.39787,0,0
ABS,PB,D,20080108,000000,1.39787,1.41406,1.37737,1.41002,0,0
ABS,PB,D,20080109,000000,1.35256,1.35256,1.35256,1.35256,0,0
ABS,PB,D,20080110,000000,1.39787,1.39787,1.39787,1.39787,0,0
ABS,PB,D,20080114,000000,1.39787,1.39787,1.39787,1.39787,0,0
ABS,PB,D,20080116,000000,1.33215,1.33215,1.29537,1.29537,0,0
ABS,PB,D,20080117,000000,1.35256,1.35256,1.34042,1.34042,0,0
ABS,PB,D,20080121,000000,1.39787,1.39787,1.39787,1.39787,0,0
ABS,PB,D,20080122,000000,1.35256,1.35256,1.24205,1.33215,0,0
ABS,PB,D,20080123,000000,1.33629,1.35256,1.33629,1.35256,0,0
ABS,PB,D,20080125,000000,1.35256,1.36496,1.35256,1.36496,0,0
ABS,PB,D,20080128,000000,1.29537,1.38556,1.29537,1.38556,0,0
ABS,PB,D,20080129,000000,1.39787,1.41002,1.39787,1.41002,0,0
ABS,PB,D,20080201,000000,1.40597,1.41002,1.40597,1.41002,0,0
ABS,PB,D,20080204,000000,1.38556,1.45524,1.38556,1.41002,0,0
ABS,PB,D,20080205,000000,1.43879,1.45524,1.43879,1.45524,0,0
ABS,PB,D,20080206,000000,1.41002,1.41002,1.41002,1.41002,0,0
ABS,PB,D,20080207,000000,1.45524,1.46739,1.41002,1.41002,0,0
ABS,PB,D,20080208,000000,1.46325,1.46739,1.41002,1.46739,0,0
ABS,PB,D,20080213,000000,1.46739,1.46739,1.46739,1.46739,0,0
ABS,PB,D,20080214,000000,1.46739,1.46739,1.46739,1.46739,0,0
ABS,PB,D,20080215,000000,1.46739,1.46739,1.46739,1.46739,0,0
ABS,PB,D,20080219,000000,1.46739,1.46739,1.46739,1.46739,0,0
ABS,PB,D,20080220,000000,1.46739,1.49616,1.46739,1.49616,0,0
ABS,PB,D,20080221,000000,1.49616,1.5207,0.926252,0.926252,0,0
ABS,PB,D,20080222,000000,0.926252,0.959072,0.926252,0.926252,0,0
ABS,PB,D,20080225,000000,0.893521,0.922385,0.889475,0.922385,0,0
ABS,PB,D,20080226,000000,0.90584,0.90584,0.90584,0.90584,0,0
ABS,PB,D,20080227,000000,0.922385,0.942707,0.901794,0.901794,0,0
ABS,PB,D,20080228,000000,0.93857,0.942707,0.893521,0.942707,0,0
ABS,PB,D,20080229,000000,0.942707,0.955115,0.93857,0.93857,0,0
ABS,PB,D,20080303,000000,0.946758,0.955115,0.926252,0.93857,0,0
ABS,PB,D,20080304,000000,0.946758,0.946758,0.901794,0.901794,0,0
ABS,PB,D,20080305,000000,0.889475,0.889475,0.889475,0.889475,0,0
ABS,PB,D,20080306,000000,0.877156,0.942707,0.877156,0.922385,0,0
ABS,PB,D,20080307,000000,0.877156,0.889475,0.848562,0.848562,0,0
ABS,PB,D,20080310,000000,0.926252,0.926252,0.926252,0.926252,0,0
ABS,PB,D,20080312,000000,0.881292,0.930478,0.881292,0.930478,0,0
ABS,PB,D,20080313,000000,0.926252,0.930478,0.910066,0.910066,0,0
ABS,PB,D,20080317,000000,0.889475,0.889475,0.889475,0.889475,0,0
ABS,PB,D,20080320,000000,0.832017,0.832017,0.82806,0.82806,0,0
ABS,PB,D,20080325,000000,0.82806,0.82806,0.82806,0.82806,0,0
ABS,PB,D,20080326,000000,0.82806,0.82806,0.82806,0.82806,0,0
ABS,PB,D,20080327,000000,0.82806,0.860701,0.82806,0.852518,0,0
ABS,PB,D,20080328,000000,0.868883,0.868883,0.868883,0.868883,0,0
ABS,PB,D,20080331,000000,0.864927,0.864927,0.864927,0.864927,0,0
ABS,PB,D,20080401,000000,0.832017,0.860701,0.832017,0.860701,0,0
ABS,PB,D,20080402,000000,0.87311,0.87311,0.87311,0.87311,0,0
ABS,PB,D,20080403,000000,0.832017,0.832017,0.832017,0.832017,0,0
ABS,PB,D,20080404,000000,0.840289,0.856744,0.840289,0.856744,0,0
ABS,PB,D,20080408,000000,0.864927,0.864927,0.864927,0.864927,0,0
ABS,PB,D,20080409,000000,0.848562,0.860701,0.848562,0.860701,0,0
ABS,PB,D,20080410,000000,0.848562,0.860701,0.848562,0.860701,0,0
