<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,MV,D,20070813,000000,1874.21,1874.21,1874.21,1874.21,0,0
ACP,MV,D,20070814,000000,1840.13,1840.13,1840.13,1840.13,0,0
ACP,MV,D,20070816,000000,1794.7,1794.7,1794.7,1794.7,0,0
ACP,MV,D,20070817,000000,1874.21,1874.21,1874.21,1874.21,0,0
ACP,MV,D,20070820,000000,1828.79,1828.79,1828.79,1828.79,0,0
ACP,MV,D,20070821,000000,1783.34,1783.34,1783.34,1783.34,0,0
ACP,MV,D,20070822,000000,1860.58,1860.58,1860.58,1860.58,0,0
ACP,MV,D,20070823,000000,1828.79,1828.79,1828.79,1828.79,0,0
ACP,MV,D,20070824,000000,1819.68,1819.68,1819.68,1819.68,0,0
ACP,MV,D,20070827,000000,1819.68,1819.68,1819.68,1819.68,0,0
ACP,MV,D,20070828,000000,1828.79,1828.79,1828.79,1828.79,0,0
ACP,MV,D,20070829,000000,1862.86,1862.86,1862.86,1862.86,0,0
ACP,MV,D,20070830,000000,1749.27,1749.27,1749.27,1749.27,0,0
ACP,MV,D,20070831,000000,1860.58,1860.58,1860.58,1860.58,0,0
ACP,MV,D,20070903,000000,1851.5,1851.5,1851.5,1851.5,0,0
ACP,MV,D,20070904,000000,1840.13,1840.13,1840.13,1840.13,0,0
ACP,MV,D,20070905,000000,1828.79,1828.79,1828.79,1828.79,0,0
ACP,MV,D,20070906,000000,1817.43,1817.43,1817.43,1817.43,0,0
ACP,MV,D,20070907,000000,1794.7,1794.7,1794.7,1794.7,0,0
ACP,MV,D,20070910,000000,1775.39,1775.39,1775.39,1775.39,0,0
ACP,MV,D,20070911,000000,1794.7,1794.7,1794.7,1794.7,0,0
ACP,MV,D,20070912,000000,1476.67,1476.67,1476.67,1476.67,0,0
ACP,MV,D,20070913,000000,1592.51,1592.51,1592.51,1592.51,0,0
ACP,MV,D,20070914,000000,1612.95,1612.95,1612.95,1612.95,0,0
ACP,MV,D,20070917,000000,1634.55,1634.55,1634.55,1634.55,0,0
ACP,MV,D,20070918,000000,1641.37,1641.37,1641.37,1641.37,0,0
ACP,MV,D,20070919,000000,1794.7,1794.7,1794.7,1794.7,0,0
ACP,MV,D,20070920,000000,1794.7,1794.7,1794.7,1794.7,0,0
ACP,MV,D,20070921,000000,1778.79,1778.79,1778.79,1778.79,0,0
ACP,MV,D,20070924,000000,1749.27,1749.27,1749.27,1749.27,0,0
ACP,MV,D,20070925,000000,1726.55,1726.55,1726.55,1726.55,0,0
ACP,MV,D,20070926,000000,1708.37,1708.37,1708.37,1708.37,0,0
ACP,MV,D,20070927,000000,1707.23,1707.23,1707.23,1707.23,0,0
ACP,MV,D,20070928,000000,1684.54,1684.54,1684.54,1684.54,0,0
ACP,MV,D,20071001,000000,1677.72,1677.72,1677.72,1677.72,0,0
ACP,MV,D,20071002,000000,1678.85,1678.85,1678.85,1678.85,0,0
ACP,MV,D,20071003,000000,1693.6,1693.6,1693.6,1693.6,0,0
ACP,MV,D,20071004,000000,1703.83,1703.83,1703.83,1703.83,0,0
ACP,MV,D,20071005,000000,1726.55,1726.55,1726.55,1726.55,0,0
ACP,MV,D,20071008,000000,1771.99,1771.99,1771.99,1771.99,0,0
ACP,MV,D,20071009,000000,1769.72,1769.72,1769.72,1769.72,0,0
ACP,MV,D,20071010,000000,1828.79,1828.79,1828.79,1828.79,0,0
ACP,MV,D,20071011,000000,1820.82,1820.82,1820.82,1820.82,0,0
ACP,MV,D,20071012,000000,1815.15,1815.15,1815.15,1815.15,0,0
ACP,MV,D,20071015,000000,1791.29,1791.29,1791.29,1791.29,0,0
ACP,MV,D,20071016,000000,1753.82,1753.82,1753.82,1753.82,0,0
ACP,MV,D,20071017,000000,1769.72,1769.72,1769.72,1769.72,0,0
ACP,MV,D,20071018,000000,1749.27,1749.27,1749.27,1749.27,0,0
ACP,MV,D,20071019,000000,1758.35,1758.35,1758.35,1758.35,0,0
ACP,MV,D,20071022,000000,1746.98,1746.98,1746.98,1746.98,0,0
ACP,MV,D,20071023,000000,1758.35,1758.35,1758.35,1758.35,0,0
ACP,MV,D,20071024,000000,1742.45,1742.45,1742.45,1742.45,0,0
ACP,MV,D,20071025,000000,1726.55,1726.55,1726.55,1726.55,0,0
ACP,MV,D,20071026,000000,1715.19,1715.19,1715.19,1715.19,0,0
ACP,MV,D,20071029,000000,1728.82,1728.82,1728.82,1728.82,0,0
ACP,MV,D,20071030,000000,1783.34,1783.34,1783.34,1783.34,0,0
ACP,MV,D,20071031,000000,1806.07,1806.07,1806.07,1806.07,0,0
ACP,MV,D,20071102,000000,1774.25,1774.25,1774.25,1774.25,0,0
ACP,MV,D,20071105,000000,1817.43,1817.43,1817.43,1817.43,0,0
ACP,MV,D,20071106,000000,1846.95,1846.95,1846.95,1846.95,0,0
ACP,MV,D,20071107,000000,1812.89,1812.89,1812.89,1812.89,0,0
ACP,MV,D,20071108,000000,1817.43,1817.43,1817.43,1817.43,0,0
ACP,MV,D,20071109,000000,1844.7,1856.06,1790.17,1828.79,0,0
ACP,MV,D,20071112,000000,1826.52,1828.79,1810.61,1817.43,0,0
ACP,MV,D,20071113,000000,1817.43,1874.21,1817.43,1840.13,0,0
ACP,MV,D,20071114,000000,1887.85,1906.02,1853.77,1874.21,0,0
ACP,MV,D,20071115,000000,1885.57,1885.57,1794.7,1817.43,0,0
ACP,MV,D,20071116,000000,1817.43,1840.13,1794.7,1840.13,0,0
ACP,MV,D,20071119,000000,1811.74,1881.03,1811.74,1828.79,0,0
ACP,MV,D,20071120,000000,1821.96,1821.96,1771.99,1817.43,0,0
ACP,MV,D,20071121,000000,1790.17,1794.7,1768.58,1781.07,0,0
ACP,MV,D,20071122,000000,1808.35,1808.35,1764.04,1794.7,0,0
ACP,MV,D,20071123,000000,1821.96,1840.13,1817.43,1817.43,0,0
ACP,MV,D,20071126,000000,1828.79,1828.79,1751.55,1751.55,0,0
ACP,MV,D,20071127,000000,1761.77,1794.7,1761.77,1770.84,0,0
ACP,MV,D,20071128,000000,1770.84,1794.7,1740.18,1740.18,0,0
ACP,MV,D,20071129,000000,1765.17,1783.34,1753.82,1771.99,0,0
ACP,MV,D,20071130,000000,1771.99,1771.99,1726.55,1726.55,0,0
ACP,MV,D,20071203,000000,1726.55,1762.89,1715.19,1757.23,0,0
ACP,MV,D,20071204,000000,1751.55,1771.99,1722,1771.99,0,0
ACP,MV,D,20071205,000000,1781.07,1803.8,1717.46,1717.46,0,0
ACP,MV,D,20071206,000000,1743.6,1749.27,1703.83,1726.55,0,0
ACP,MV,D,20071207,000000,1748.13,1792.44,1726.55,1792.44,0,0
