<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,PE,D,20070813,000000,11.7379,11.7379,11.7379,11.7379,0,0
ACP,PE,D,20070814,000000,11.5439,11.5439,11.5439,11.5439,0,0
ACP,PE,D,20070816,000000,11.2493,11.2493,11.2493,11.2493,0,0
ACP,PE,D,20070817,000000,11.7379,11.7379,11.7379,11.7379,0,0
ACP,PE,D,20070820,000000,11.4451,11.4451,11.4451,11.4451,0,0
ACP,PE,D,20070821,000000,11.1505,11.1505,11.1505,11.1505,0,0
ACP,PE,D,20070822,000000,11.6382,11.6382,11.6382,11.6382,0,0
ACP,PE,D,20070823,000000,11.4451,11.4451,11.4451,11.4451,0,0
ACP,PE,D,20070824,000000,11.3976,11.3976,11.3976,11.3976,0,0
ACP,PE,D,20070827,000000,11.3976,11.3976,11.3976,11.3976,0,0
ACP,PE,D,20070828,000000,11.4451,11.4451,11.4451,11.4451,0,0
ACP,PE,D,20070829,000000,11.6382,11.6382,11.6382,11.6382,0,0
ACP,PE,D,20070830,000000,15.0656,15.0656,15.0656,15.0656,0,0
ACP,PE,D,20070831,000000,15.9942,15.9942,15.9942,15.9942,0,0
ACP,PE,D,20070903,000000,15.9439,15.9439,15.9439,15.9439,0,0
ACP,PE,D,20070904,000000,15.846,15.846,15.846,15.846,0,0
ACP,PE,D,20070905,000000,15.7527,15.7527,15.7527,15.7527,0,0
ACP,PE,D,20070906,000000,15.6521,15.6521,15.6521,15.6521,0,0
ACP,PE,D,20070907,000000,15.4562,15.4562,15.4562,15.4562,0,0
ACP,PE,D,20070910,000000,15.2586,15.2586,15.2586,15.2586,0,0
ACP,PE,D,20070911,000000,15.4562,15.4562,15.4562,15.4562,0,0
ACP,PE,D,20070912,000000,12.7141,12.7141,12.7141,12.7141,0,0
ACP,PE,D,20070913,000000,13.6977,13.6977,13.6977,13.6977,0,0
ACP,PE,D,20070914,000000,13.8926,13.8926,13.8926,13.8926,0,0
ACP,PE,D,20070917,000000,14.038,14.038,14.038,14.038,0,0
ACP,PE,D,20070918,000000,14.1378,14.1378,14.1378,14.1378,0,0
ACP,PE,D,20070919,000000,15.4562,15.4562,15.4562,15.4562,0,0
ACP,PE,D,20070920,000000,15.4562,15.4562,15.4562,15.4562,0,0
ACP,PE,D,20070921,000000,15.3071,15.3071,15.3071,15.3071,0,0
ACP,PE,D,20070924,000000,15.0656,15.0656,15.0656,15.0656,0,0
ACP,PE,D,20070925,000000,14.868,14.868,14.868,14.868,0,0
ACP,PE,D,20070926,000000,14.6758,14.6758,14.6758,14.6758,0,0
ACP,PE,D,20070927,000000,14.6758,14.6758,14.6758,14.6758,0,0
ACP,PE,D,20070928,000000,14.4781,14.4781,14.4781,14.4781,0,0
ACP,PE,D,20071001,000000,14.4288,14.4288,14.4288,14.4288,0,0
ACP,PE,D,20071002,000000,14.4288,14.4288,14.4288,14.4288,0,0
ACP,PE,D,20071003,000000,14.577,14.577,14.577,14.577,0,0
ACP,PE,D,20071004,000000,14.6758,14.6758,14.6758,14.6758,0,0
ACP,PE,D,20071005,000000,14.868,14.868,14.868,14.868,0,0
ACP,PE,D,20071008,000000,15.2586,15.2586,15.2586,15.2586,0,0
ACP,PE,D,20071009,000000,15.2137,15.2137,15.2137,15.2137,0,0
ACP,PE,D,20071010,000000,15.7527,15.7527,15.7527,15.7527,0,0
ACP,PE,D,20071011,000000,15.6521,15.6521,15.6521,15.6521,0,0
ACP,PE,D,20071012,000000,15.6036,15.6036,15.6036,15.6036,0,0
ACP,PE,D,20071015,000000,15.4068,15.4068,15.4068,15.4068,0,0
ACP,PE,D,20071016,000000,15.0656,15.0656,15.0656,15.0656,0,0
ACP,PE,D,20071017,000000,15.2137,15.2137,15.2137,15.2137,0,0
ACP,PE,D,20071018,000000,15.0656,15.0656,15.0656,15.0656,0,0
ACP,PE,D,20071019,000000,15.1149,15.1149,15.1149,15.1149,0,0
ACP,PE,D,20071022,000000,15.0161,15.0161,15.0161,15.0161,0,0
ACP,PE,D,20071023,000000,15.1149,15.1149,15.1149,15.1149,0,0
ACP,PE,D,20071024,000000,14.9676,14.9676,14.9676,14.9676,0,0
ACP,PE,D,20071025,000000,14.868,14.868,14.868,14.868,0,0
ACP,PE,D,20071026,000000,14.77,14.77,14.77,14.77,0,0
ACP,PE,D,20071029,000000,14.868,14.868,14.868,14.868,0,0
ACP,PE,D,20071030,000000,15.3574,15.3574,15.3574,15.3574,0,0
ACP,PE,D,20071031,000000,15.5541,15.5541,15.5541,15.5541,0,0
ACP,PE,D,20071102,000000,15.2586,15.2586,15.2586,15.2586,0,0
ACP,PE,D,20071105,000000,15.6521,15.6521,15.6521,15.6521,0,0
ACP,PE,D,20071106,000000,15.8954,15.8954,15.8954,15.8954,0,0
ACP,PE,D,20071107,000000,15.6036,15.6036,15.6036,15.6036,0,0
ACP,PE,D,20071108,000000,15.6521,15.6521,15.6521,15.6521,0,0
ACP,PE,D,20071109,000000,15.8954,15.9942,15.4068,15.7527,0,0
ACP,PE,D,20071112,000000,15.7527,15.7527,15.6036,15.6521,0,0
ACP,PE,D,20071113,000000,15.6521,16.1415,15.6521,15.7957,0,0
ACP,PE,D,20071114,000000,16.1909,16.3831,15.8954,16.0921,0,0
ACP,PE,D,20071115,000000,16.1909,16.1909,15.4068,15.6521,0,0
ACP,PE,D,20071116,000000,15.6521,15.846,14.038,14.038,0,0
ACP,PE,D,20071119,000000,13.8414,14.33,13.8414,13.9905,0,0
ACP,PE,D,20071120,000000,13.9392,13.9392,13.5504,13.8926,0,0
ACP,PE,D,20071121,000000,13.6977,13.6977,13.5,13.5988,0,0
ACP,PE,D,20071122,000000,13.791,13.791,13.4515,13.6977,0,0
ACP,PE,D,20071123,000000,13.8926,14.038,13.8926,13.8926,0,0
ACP,PE,D,20071126,000000,13.9905,13.9905,13.4012,13.4012,0,0
ACP,PE,D,20071127,000000,13.5,13.7416,13.5,13.5504,0,0
ACP,PE,D,20071128,000000,13.5504,13.7416,13.3024,13.3024,0,0
ACP,PE,D,20071129,000000,13.5,13.6483,13.4012,13.5504,0,0
ACP,PE,D,20071130,000000,13.5504,13.5504,13.2036,13.2036,0,0
ACP,PE,D,20071203,000000,13.2036,13.5,13.1112,13.4515,0,0
ACP,PE,D,20071204,000000,13.4012,13.5504,13.1597,13.5504,0,0
ACP,PE,D,20071205,000000,13.5988,13.791,13.1112,13.1112,0,0
ACP,PE,D,20071206,000000,13.3024,13.3527,13.0106,13.2036,0,0
ACP,PE,D,20071207,000000,13.3527,13.6977,13.2036,13.6977,0,0
ACP,PE,D,20071210,000000,13.6977,13.791,13.5504,13.5504,0,0
ACP,PE,D,20071211,000000,13.7416,13.7416,13.5504,13.6977,0,0
ACP,PE,D,20071212,000000,13.6483,13.6483,13.3527,13.4012,0,0
ACP,PE,D,20071213,000000,13.3527,13.5504,13.3024,13.4012,0,0
ACP,PE,D,20071214,000000,13.2531,13.4515,13.2036,13.3527,0,0
ACP,PE,D,20071217,000000,13.1112,13.1597,12.8632,13.0106,0,0
ACP,PE,D,20071218,000000,13.0609,13.0609,12.3244,12.7644,0,0
ACP,PE,D,20071219,000000,12.7644,12.7644,12.3244,12.5229,0,0
ACP,PE,D,20071220,000000,12.5229,12.6712,12.3244,12.6227,0,0
ACP,PE,D,20071221,000000,12.4726,13.791,12.4726,13.791,0,0
ACP,PE,D,20071227,000000,13.9905,14.1378,13.7416,13.791,0,0
ACP,PE,D,20071228,000000,13.8414,14.1378,13.791,14.038,0,0
ACP,PE,D,20080102,000000,14.038,14.2302,14.038,14.1378,0,0
ACP,PE,D,20080103,000000,14.038,14.038,13.7416,13.8414,0,0
