<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB,MV,D,20070813,000000,170.243,170.243,170.243,170.243,0,0
AMB,MV,D,20070814,000000,173.655,173.655,173.655,173.655,0,0
AMB,MV,D,20070816,000000,171.232,171.232,171.232,171.232,0,0
AMB,MV,D,20070817,000000,173.655,173.655,173.655,173.655,0,0
AMB,MV,D,20070820,000000,177.419,177.419,177.419,177.419,0,0
AMB,MV,D,20070821,000000,173.522,173.522,173.522,173.522,0,0
AMB,MV,D,20070822,000000,167.458,167.458,167.458,167.458,0,0
AMB,MV,D,20070823,000000,172.125,172.125,172.125,172.125,0,0
AMB,MV,D,20070824,000000,178.056,178.056,178.056,178.056,0,0
AMB,MV,D,20070827,000000,182.723,182.723,182.723,182.723,0,0
AMB,MV,D,20070828,000000,177.305,177.305,177.305,177.305,0,0
AMB,MV,D,20070829,000000,176.545,176.545,176.545,176.545,0,0
AMB,MV,D,20070830,000000,171.488,171.488,171.488,171.488,0,0
AMB,MV,D,20070831,000000,186.639,186.639,186.639,186.639,0,0
AMB,MV,D,20070903,000000,177.933,177.933,177.933,177.933,0,0
AMB,MV,D,20070904,000000,179.064,179.064,179.064,179.064,0,0
AMB,MV,D,20070905,000000,180.699,180.699,180.699,180.699,0,0
AMB,MV,D,20070906,000000,180.081,180.081,180.081,180.081,0,0
AMB,MV,D,20070907,000000,175.29,175.29,175.29,175.29,0,0
AMB,MV,D,20070910,000000,175.29,175.29,175.29,175.29,0,0
AMB,MV,D,20070911,000000,165.187,165.187,165.187,165.187,0,0
AMB,MV,D,20070912,000000,153.971,153.971,153.971,153.971,0,0
AMB,MV,D,20070913,000000,163.438,163.438,163.438,163.438,0,0
AMB,MV,D,20070914,000000,163.438,163.438,163.438,163.438,0,0
AMB,MV,D,20070917,000000,163.941,163.941,163.941,163.941,0,0
AMB,MV,D,20070918,000000,167.715,167.715,167.715,167.715,0,0
AMB,MV,D,20070919,000000,170.861,170.861,170.861,170.861,0,0
AMB,MV,D,20070920,000000,173.389,173.389,173.389,173.389,0,0
AMB,MV,D,20070921,000000,176.545,176.545,176.545,176.545,0,0
AMB,MV,D,20070924,000000,182.21,182.21,182.21,182.21,0,0
AMB,MV,D,20070925,000000,176.811,176.811,176.811,176.811,0,0
AMB,MV,D,20070926,000000,178.427,178.427,178.427,178.427,0,0
AMB,MV,D,20070927,000000,186.639,186.639,186.639,186.639,0,0
AMB,MV,D,20070928,000000,185.385,185.385,185.385,185.385,0,0
AMB,MV,D,20071001,000000,184.624,184.624,184.624,184.624,0,0
AMB,MV,D,20071002,000000,179.064,179.064,179.064,179.064,0,0
AMB,MV,D,20071003,000000,185.242,185.242,185.242,185.242,0,0
AMB,MV,D,20071004,000000,183.854,183.854,183.854,183.854,0,0
AMB,MV,D,20071005,000000,181.592,181.592,181.592,181.592,0,0
AMB,MV,D,20071008,000000,179.197,179.197,179.197,179.197,0,0
AMB,MV,D,20071009,000000,176.925,176.925,176.925,176.925,0,0
AMB,MV,D,20071010,000000,180.699,180.699,180.699,180.699,0,0
AMB,MV,D,20071011,000000,181.469,181.469,181.469,181.469,0,0
