<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASE,MV,D,20091028,000000,479.491,479.491,479.491,479.491,0,0
ASE,MV,D,20091029,000000,473.928,521.322,473.928,483.686,0,0
ASE,MV,D,20091030,000000,515.739,515.739,487.852,490.358,0,0
ASE,MV,D,20091102,000000,491.493,491.493,473.655,479.228,0,0
ASE,MV,D,20091103,000000,473.655,479.491,458.586,473.655,0,0
ASE,MV,D,20091104,000000,458.586,487.852,458.586,487.852,0,0
ASE,MV,D,20091105,000000,487.852,487.852,487.852,487.852,0,0
ASE,MV,D,20091106,000000,487.852,487.852,487.852,487.852,0,0
ASE,MV,D,20091109,000000,487.852,499.018,487.852,487.852,0,0
ASE,MV,D,20091110,000000,487.852,487.852,487.852,487.852,0,0
ASE,MV,D,20091112,000000,487.852,487.852,485.093,485.093,0,0
ASE,MV,D,20091116,000000,485.093,485.093,485.093,485.093,0,0
ASE,MV,D,20091118,000000,482.279,485.093,482.279,482.279,0,0
ASE,MV,D,20091119,000000,480.074,480.074,474.19,474.19,0,0
ASE,MV,D,20091123,000000,487.852,487.852,487.852,487.852,0,0
ASE,MV,D,20091124,000000,487.852,487.852,487.852,487.852,0,0
ASE,MV,D,20091125,000000,487.852,487.852,486.463,486.463,0,0
ASE,MV,D,20091126,000000,437.953,482.279,437.953,482.279,0,0
ASE,MV,D,20091203,000000,434.894,484.54,434.894,484.54,0,0
ASE,MV,D,20091204,000000,454.007,484.54,454.007,484.54,0,0
ASE,MV,D,20091217,000000,473.411,484.803,473.411,484.803,0,0
ASE,MV,D,20091218,000000,446.323,484.803,446.323,484.803,0,0
ASE,MV,D,20091221,000000,484.803,484.803,484.803,484.803,0,0
ASE,MV,D,20091228,000000,484.803,484.803,484.803,484.803,0,0
ASE,MV,D,20091229,000000,484.803,484.803,484.803,484.803,0,0
ASE,MV,D,20091231,000000,484.803,484.803,484.803,484.803,0,0
ASE,MV,D,20100104,000000,442.334,484.803,442.334,484.54,0,0
ASE,MV,D,20100105,000000,456.578,462.002,456.297,462.002,0,0
ASE,MV,D,20100106,000000,462.002,462.002,462.002,462.002,0,0
ASE,MV,D,20100107,000000,470.559,470.559,462.002,470.287,0,0
ASE,MV,D,20100108,000000,456.297,460.575,456.297,460.575,0,0
ASE,MV,D,20100112,000000,442.334,456.006,442.044,455.443,0,0
