<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASE,PB,D,20091028,000000,1.60881,1.60881,1.60881,1.60881,0,0
ASE,PB,D,20091029,000000,1.58517,1.74543,1.58517,1.62073,0,0
ASE,PB,D,20091030,000000,1.7276,1.7276,1.63236,1.64447,0,0
ASE,PB,D,20091102,000000,1.64447,1.64447,1.58517,1.60291,0,0
ASE,PB,D,20091103,000000,1.58517,1.60881,1.5376,1.58517,0,0
ASE,PB,D,20091104,000000,1.5376,1.63236,1.5376,1.63236,0,0
ASE,PB,D,20091105,000000,1.63236,1.63236,1.63236,1.63236,0,0
ASE,PB,D,20091106,000000,1.63236,1.63236,1.63236,1.63236,0,0
ASE,PB,D,20091109,000000,1.63236,1.67412,1.63236,1.63236,0,0
ASE,PB,D,20091110,000000,1.63236,1.63236,1.63236,1.63236,0,0
ASE,PB,D,20091112,000000,1.63236,1.63236,1.62665,1.62665,0,0
ASE,PB,D,20091116,000000,1.62665,1.62665,0.878534,0.878534,0,0
ASE,PB,D,20091118,000000,0.872716,0.878534,0.872716,0.872716,0,0
ASE,PB,D,20091119,000000,0.866804,0.866804,0.854888,0.854888,0,0
ASE,PB,D,20091123,000000,0.878534,0.878534,0.878534,0.878534,0,0
ASE,PB,D,20091124,000000,0.878534,0.878534,0.878534,0.878534,0,0
ASE,PB,D,20091125,000000,0.878534,0.878534,0.878534,0.878534,0,0
ASE,PB,D,20091126,000000,0.789488,0.872716,0.789488,0.872716,0,0
ASE,PB,D,20091203,000000,0.783577,0.872716,0.783577,0.872716,0,0
ASE,PB,D,20091204,000000,0.819138,0.872716,0.819138,0.872716,0,0
ASE,PB,D,20091217,000000,0.854888,0.872716,0.854888,0.872716,0,0
ASE,PB,D,20091218,000000,0.807316,0.872716,0.807316,0.872716,0,0
ASE,PB,D,20091221,000000,0.872716,0.872716,0.872716,0.872716,0,0
ASE,PB,D,20091228,000000,0.872716,0.872716,0.872716,0.872716,0,0
ASE,PB,D,20091229,000000,0.872716,0.872716,0.872716,0.872716,0,0
ASE,PB,D,20091231,000000,0.872716,0.872716,0.872716,0.872716,0,0
ASE,PB,D,20100104,000000,0.801593,0.872716,0.801593,0.872716,0,0
ASE,PB,D,20100105,000000,0.825144,0.837154,0.825144,0.837154,0,0
ASE,PB,D,20100106,000000,0.837154,0.837154,0.837154,0.837154,0,0
ASE,PB,D,20100107,000000,0.848977,0.848977,0.837154,0.848977,0,0
ASE,PB,D,20100108,000000,0.825144,0.831055,0.825144,0.831055,0,0
ASE,PB,D,20100112,000000,0.801593,0.825144,0.795493,0.825144,0,0
ASE,PB,D,20100113,000000,0.831055,0.831055,0.831055,0.831055,0,0
ASE,PB,D,20100114,000000,0.795493,0.831055,0.795493,0.831055,0,0
ASE,PB,D,20100115,000000,0.825144,0.825144,0.825144,0.825144,0,0
ASE,PB,D,20100122,000000,0.771848,0.825144,0.771848,0.825144,0,0
ASE,PB,D,20100126,000000,0.825144,0.825144,0.825144,0.825144,0,0
ASE,PB,D,20100202,000000,0.789488,0.848977,0.789488,0.848977,0,0
ASE,PB,D,20100205,000000,0.789488,0.789488,0.789488,0.789488,0,0
ASE,PB,D,20100216,000000,0.789488,0.789488,0.789488,0.789488,0,0
ASE,PB,D,20100222,000000,0.742104,0.759744,0.742104,0.759744,0,0
ASE,PB,D,20100226,000000,0.783577,0.789488,0.783577,0.789488,0,0
ASE,PB,D,20100302,000000,0.789488,0.789488,0.789488,0.789488,0,0
ASE,PB,D,20100304,000000,0.795493,0.795493,0.795493,0.795493,0,0
ASE,PB,D,20100310,000000,0.795493,0.795493,0.795493,0.795493,0,0
ASE,PB,D,20100311,000000,0.771848,0.771848,0.771848,0.771848,0,0
ASE,PB,D,20100312,000000,0.795493,0.842877,0.795493,0.842877,0,0
ASE,PB,D,20100315,000000,0.848977,0.848977,0.848977,0.848977,0,0
ASE,PB,D,20100317,000000,0.890544,0.902366,0.884538,0.884538,0,0
ASE,PB,D,20100318,000000,0.902366,0.902366,0.860705,0.860705,0,0
ASE,PB,D,20100329,000000,0.789488,0.860705,0.789488,0.860705,0,0
ASE,PB,D,20100330,000000,0.860705,0.866804,0.860705,0.866804,0,0
ASE,PB,D,20100331,000000,0.865115,0.865115,0.853011,0.853011,0,0
ASE,PB,D,20100401,000000,0.860705,0.860705,0.860705,0.860705,0,0
ASE,PB,D,20100406,000000,0.854888,0.854888,0.831055,0.837154,0,0
ASE,PB,D,20100412,000000,0.813415,0.825144,0.807316,0.825144,0,0
ASE,PB,D,20100413,000000,0.765843,0.771848,0.759744,0.771848,0,0
ASE,PB,D,20100414,000000,0.837154,0.837154,0.837154,0.837154,0,0
ASE,PB,D,20100415,000000,0.813415,0.813415,0.765843,0.807316,0,0
ASE,PB,D,20100416,000000,0.777759,0.807316,0.777759,0.789488,0,0
ASE,PB,D,20100419,000000,0.801593,0.801593,0.789488,0.789488,0,0
ASE,PB,D,20100420,000000,0.789488,0.807316,0.789488,0.789488,0,0
ASE,PB,D,20100421,000000,0.789488,0.801593,0.789488,0.789488,0,0
ASE,PB,D,20100423,000000,0.787049,0.787049,0.745013,0.768939,0,0
ASE,PB,D,20100426,000000,0.771848,0.771848,0.771848,0.771848,0,0
ASE,PB,D,20100427,000000,0.771848,0.771848,0.759744,0.759744,0,0
ASE,PB,D,20100428,000000,0.759744,0.759744,0.759744,0.759744,0,0
ASE,PB,D,20100429,000000,0.759744,0.759744,0.759744,0.759744,0,0
ASE,PB,D,20100430,000000,0.762934,0.762934,0.757023,0.757023,0,0
ASE,PB,D,20100504,000000,0.759744,0.759744,0.754114,0.754114,0,0
ASE,PB,D,20100505,000000,0.771848,0.771848,0.771848,0.771848,0,0
ASE,PB,D,20100506,000000,0.771848,0.771848,0.771848,0.771848,0,0
ASE,PB,D,20100507,000000,0.742104,0.759744,0.742104,0.759744,0,0
ASE,PB,D,20100510,000000,0.765843,0.765843,0.742104,0.747922,0,0
ASE,PB,D,20100511,000000,0.742104,0.742104,0.700631,0.700631,0,0
ASE,PB,D,20100512,000000,0.68862,0.68862,0.659064,0.659064,0,0
ASE,PB,D,20100513,000000,0.659064,0.664788,0.611492,0.664788,0,0
ASE,PB,D,20100514,000000,0.706636,0.706636,0.635419,0.635419,0,0
ASE,PB,D,20100517,000000,0.641236,0.641236,0.611492,0.62932,0,0
ASE,PB,D,20100518,000000,0.647147,0.647147,0.587847,0.587847,0,0
ASE,PB,D,20100519,000000,0.587847,0.587847,0.540182,0.540182,0,0
ASE,PB,D,20100520,000000,0.546092,0.546092,0.534364,0.534364,0,0
ASE,PB,D,20100521,000000,0.534364,0.546092,0.534364,0.546092,0,0
ASE,PB,D,20100524,000000,0.546092,0.546092,0.528358,0.540182,0,0
ASE,PB,D,20100525,000000,0.540182,0.540182,0.504619,0.528358,0,0
ASE,PB,D,20100526,000000,0.534364,0.546092,0.522541,0.546092,0,0
