<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASE,PE,D,20091028,000000,15.3169,15.3169,15.3169,15.3169,0,0
ASE,PE,D,20091029,000000,15.1376,16.6239,15.1376,15.436,0,0
ASE,PE,D,20091030,000000,16.4447,16.4447,15.5561,15.6725,0,0
ASE,PE,D,20091102,000000,15.7316,15.7316,15.1376,15.3169,0,0
ASE,PE,D,20091103,000000,15.1376,15.3169,14.6629,15.1376,0,0
ASE,PE,D,20091104,000000,14.6629,15.6134,14.6629,15.5561,0,0
ASE,PE,D,20091105,000000,15.5561,15.5561,15.5561,15.5561,0,0
ASE,PE,D,20091106,000000,15.5561,15.5561,15.5561,15.5561,0,0
ASE,PE,D,20091109,000000,15.5561,15.9117,15.5561,15.5561,0,0
ASE,PE,D,20091110,000000,15.5561,15.5561,15.5561,15.5561,0,0
ASE,PE,D,20091112,000000,15.5561,15.5561,15.4942,15.4942,0,0
ASE,PE,D,20091116,000000,15.4942,15.4942,10.9237,10.9237,0,0
ASE,PE,D,20091118,000000,10.8637,10.9237,10.8637,10.8637,0,0
ASE,PE,D,20091119,000000,10.8055,10.8055,10.6863,10.6863,0,0
ASE,PE,D,20091123,000000,10.9828,10.9828,10.9828,10.9828,0,0
ASE,PE,D,20091124,000000,10.9828,10.9828,10.9828,10.9828,0,0
ASE,PE,D,20091125,000000,10.9828,10.9828,10.9237,10.9237,0,0
ASE,PE,D,20091126,000000,9.85594,10.8637,9.85594,10.8637,0,0
ASE,PE,D,20091203,000000,9.79585,10.9237,9.79585,10.9237,0,0
ASE,PE,D,20091204,000000,10.2106,10.9237,10.2106,10.9237,0,0
ASE,PE,D,20091217,000000,10.6863,10.9237,10.6863,10.9237,0,0
ASE,PE,D,20091218,000000,10.0323,10.9237,10.0323,10.9237,0,0
ASE,PE,D,20091221,000000,10.9237,10.9237,10.9237,10.9237,0,0
ASE,PE,D,20091228,000000,10.9237,10.9237,10.9237,10.9237,0,0
ASE,PE,D,20091229,000000,10.9237,10.9237,10.9237,10.9237,0,0
ASE,PE,D,20091231,000000,10.9237,10.9237,10.9237,10.9237,0,0
ASE,PE,D,20100104,000000,9.97507,15.7316,9.97507,15.7316,0,0
ASE,PE,D,20100105,000000,14.8421,15.0185,14.8421,15.0185,0,0
ASE,PE,D,20100106,000000,15.0185,15.0185,15.0185,15.0185,0,0
ASE,PE,D,20100107,000000,15.3169,15.3169,15.0185,15.3169,0,0
ASE,PE,D,20100108,000000,14.8421,15.0185,14.8421,14.9622,0,0
ASE,PE,D,20100112,000000,14.3654,14.782,14.3654,14.782,0,0
ASE,PE,D,20100113,000000,14.9622,15.0185,14.9622,15.0185,0,0
ASE,PE,D,20100114,000000,14.3654,15.0185,14.3654,15.0185,0,0
ASE,PE,D,20100115,000000,14.8421,14.8421,14.8421,14.8421,0,0
ASE,PE,D,20100122,000000,13.8906,14.8421,13.8906,14.8421,0,0
ASE,PE,D,20100126,000000,14.8421,14.8421,14.8421,14.8421,0,0
ASE,PE,D,20100202,000000,14.189,15.3169,14.189,15.2568,0,0
ASE,PE,D,20100205,000000,14.189,14.189,14.189,14.189,0,0
ASE,PE,D,20100216,000000,14.189,14.189,14.189,14.189,0,0
ASE,PE,D,20100222,000000,13.4159,13.7133,13.4159,13.6552,0,0
ASE,PE,D,20100226,000000,14.1281,14.189,14.1281,14.189,0,0
ASE,PE,D,20100302,000000,14.249,14.249,14.249,14.249,0,0
