<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST,PE,D,20070813,000000,15.4373,15.4373,15.4373,15.4373,0,0
AST,PE,D,20070814,000000,12.5813,12.5813,12.5813,12.5813,0,0
AST,PE,D,20070816,000000,12.2247,12.2247,12.2247,12.2247,0,0
AST,PE,D,20070817,000000,12.0459,12.0459,12.0459,12.0459,0,0
AST,PE,D,20070820,000000,12.3141,12.3141,12.3141,12.3141,0,0
AST,PE,D,20070821,000000,12.6707,12.6707,12.6707,12.6707,0,0
AST,PE,D,20070822,000000,13.2956,13.2956,13.2956,13.2956,0,0
AST,PE,D,20070823,000000,13.831,13.831,13.831,13.831,0,0
AST,PE,D,20070824,000000,13.385,13.385,13.385,13.385,0,0
AST,PE,D,20070827,000000,13.9204,13.9204,13.9204,13.9204,0,0
AST,PE,D,20070828,000000,13.7416,13.7416,13.7416,13.7416,0,0
AST,PE,D,20070829,000000,13.831,13.831,13.831,13.831,0,0
AST,PE,D,20071119,000000,10.976,10.976,10.976,10.976,0,0
AST,PE,D,20071120,000000,11.0644,11.0644,10.7078,10.976,0,0
AST,PE,D,20071121,000000,10.4405,10.4405,9.36966,10.083,0,0
AST,PE,D,20071122,000000,9.72631,10.6184,9.36966,10.6184,0,0
AST,PE,D,20071123,000000,10.6184,10.8866,9.9051,10.1723,0,0
AST,PE,D,20071126,000000,10.2617,10.6184,9.8157,9.8157,0,0
AST,PE,D,20071127,000000,9.63691,10.1723,9.36966,9.72631,0,0
AST,PE,D,20071128,000000,9.72631,10.083,9.72631,10.083,0,0
AST,PE,D,20071129,000000,10.2617,10.6184,10.083,10.6184,0,0
AST,PE,D,20071130,000000,10.7078,10.976,10.7078,10.976,0,0
AST,PE,D,20071203,000000,11.1538,11.1538,10.8866,10.976,0,0
AST,PE,D,20071204,000000,10.976,11.1538,10.8866,10.8866,0,0
AST,PE,D,20071205,000000,10.8866,10.8866,10.6184,10.7972,0,0
AST,PE,D,20071206,000000,10.7972,11.2432,10.7972,11.0644,0,0
AST,PE,D,20071207,000000,10.8866,10.8866,10.4405,10.4405,0,0
AST,PE,D,20071210,000000,10.529,10.529,10.2617,10.529,0,0
AST,PE,D,20071211,000000,10.529,10.976,10.2617,10.976,0,0
AST,PE,D,20071212,000000,10.2617,11.9574,10.2617,11.9574,0,0
AST,PE,D,20071213,000000,12.0459,12.4035,11.9574,12.0459,0,0
AST,PE,D,20071214,000000,12.0459,12.5813,11.9574,12.4929,0,0
AST,PE,D,20071217,000000,12.0459,13.1168,11.422,11.9574,0,0
AST,PE,D,20071218,000000,11.8681,13.0283,11.5999,12.8495,0,0
AST,PE,D,20071219,000000,13.0283,14.5452,13.0283,14.0098,0,0
AST,PE,D,20071220,000000,14.1877,14.1877,13.5628,14.1877,0,0
AST,PE,D,20071221,000000,14.1877,15.0797,14.1877,15.0797,0,0
AST,PE,D,20071227,000000,15.2585,15.7046,14.277,14.9913,0,0
AST,PE,D,20071228,000000,15.5267,15.5267,14.277,15.2585,0,0
AST,PE,D,20080102,000000,14.9019,15.2585,14.5452,14.5452,0,0
AST,PE,D,20080103,000000,14.3664,14.7231,13.7416,14.6337,0,0
AST,PE,D,20080104,000000,14.9913,14.9913,14.277,14.6337,0,0
AST,PE,D,20080107,000000,14.277,14.5452,14.0098,14.0983,0,0
AST,PE,D,20080108,000000,14.1877,14.7231,14.1877,14.6337,0,0
AST,PE,D,20080109,000000,14.277,14.277,13.831,14.277,0,0
AST,PE,D,20080110,000000,13.7416,14.277,13.7416,13.831,0,0
