<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC,MV,D,20091023,000000,484.395,484.395,484.395,484.395,0,0
ATC,MV,D,20091026,000000,487.233,487.233,479.992,481.256,0,0
ATC,MV,D,20091027,000000,481.256,490.062,474.961,490.062,0,0
ATC,MV,D,20091028,000000,487.233,487.233,474.961,475.28,0,0
ATC,MV,D,20091029,000000,475.598,475.598,459.234,465.838,0,0
ATC,MV,D,20091030,000000,460.489,465.537,460.489,462.381,0,0
ATC,MV,D,20091102,000000,465.537,465.537,460.825,462.381,0,0
ATC,MV,D,20091103,000000,462.381,471.505,456.095,467.102,0,0
ATC,MV,D,20091104,000000,470.249,470.249,462.381,462.381,0,0
ATC,MV,D,20091105,000000,457.668,471.505,457.668,458.296,0,0
ATC,MV,D,20091106,000000,459.234,467.412,454.521,467.412,0,0
ATC,MV,D,20091109,000000,457.978,485.986,457.978,475.598,0,0
ATC,MV,D,20091110,000000,482.83,482.83,472.451,478.109,0,0
ATC,MV,D,20091112,000000,476.535,478.109,471.195,471.195,0,0
ATC,MV,D,20091113,000000,473.397,474.961,473.397,474.961,0,0
ATC,MV,D,20091116,000000,481.256,481.256,472.142,475.908,0,0
ATC,MV,D,20091117,000000,472.451,474.334,471.815,471.815,0,0
ATC,MV,D,20091118,000000,471.815,471.815,465.537,465.537,0,0
ATC,MV,D,20091119,000000,463.954,466.784,460.18,460.825,0,0
ATC,MV,D,20091120,000000,463.954,467.412,459.552,467.412,0,0
ATC,MV,D,20091123,000000,459.234,461.126,459.234,461.126,0,0
ATC,MV,D,20091124,000000,461.126,463.017,459.552,460.825,0,0
ATC,MV,D,20091125,000000,460.825,462.072,456.413,456.413,0,0
ATC,MV,D,20091126,000000,458.924,458.924,449.801,452.947,0,0
ATC,MV,D,20091127,000000,440.375,534.27,440.375,534.27,0,0
ATC,MV,D,20091130,000000,523.109,535.389,519.024,533.901,0,0
ATC,MV,D,20091201,000000,528.329,529.808,521.621,527.95,0,0
ATC,MV,D,20091202,000000,527.95,528.329,520.873,527.95,0,0
ATC,MV,D,20091203,000000,521.251,552.501,521.251,552.501,0,0
ATC,MV,D,20091204,000000,551.753,557.343,539.843,556.973,0,0
ATC,MV,D,20091207,000000,556.973,556.973,546.929,553.997,0,0
ATC,MV,D,20091208,000000,557.343,600.871,557.343,588.592,0,0
ATC,MV,D,20091209,000000,596.039,617.985,596.039,613.899,0,0
ATC,MV,D,20091210,000000,620.959,621.338,599.754,602.737,0,0
ATC,MV,D,20091211,000000,606.452,609.798,597.518,603.847,0,0
ATC,MV,D,20091214,000000,599.385,604.595,593.433,599.006,0,0
ATC,MV,D,20091215,000000,596.77,602.737,596.77,601.242,0,0
ATC,MV,D,20091216,000000,596.77,605.704,596.77,605.704,0,0
ATC,MV,D,20091217,000000,604.595,609.798,599.006,602.351,0,0
ATC,MV,D,20091218,000000,604.595,604.595,593.433,602.737,0,0
ATC,MV,D,20091221,000000,602.737,603.847,600.871,600.871,0,0
ATC,MV,D,20091222,000000,600.871,601.242,593.433,600.871,0,0
ATC,MV,D,20091223,000000,601.981,601.981,597.148,601.611,0,0
ATC,MV,D,20091228,000000,600.871,602.351,599.006,600.871,0,0
ATC,MV,D,20091229,000000,599.754,605.704,599.754,600.871,0,0
ATC,MV,D,20091230,000000,599.006,605.335,599.006,602.351,0,0
ATC,MV,D,20091231,000000,601.242,601.611,597.148,600.871,0,0
ATC,MV,D,20100104,000000,600.871,604.595,594.912,602.737,0,0
ATC,MV,D,20100105,000000,604.965,609.058,601.611,606.452,0,0
ATC,MV,D,20100106,000000,605.335,605.335,601.611,602.737,0,0
ATC,MV,D,20100107,000000,606.452,606.452,593.433,595.29,0,0
ATC,MV,D,20100108,000000,598.627,598.627,575.573,575.573,0,0
ATC,MV,D,20100111,000000,576.312,584.12,562.175,562.915,0,0
ATC,MV,D,20100112,000000,562.915,567.386,559.93,561.057,0,0
ATC,MV,D,20100113,000000,561.796,591.567,560.688,588.214,0,0
ATC,MV,D,20100114,000000,595.29,595.29,576.682,576.682,0,0
ATC,MV,D,20100115,000000,576.682,587.844,576.682,580.397,0,0
ATC,MV,D,20100118,000000,585.617,599.385,585.617,597.518,0,0
ATC,MV,D,20100119,000000,597.518,597.518,588.592,595.29,0,0
ATC,MV,D,20100120,000000,596.77,596.77,585.617,585.995,0,0
ATC,MV,D,20100121,000000,587.844,587.844,580.397,580.397,0,0
ATC,MV,D,20100122,000000,578.539,582.263,577.422,577.8,0,0
ATC,MV,D,20100125,000000,580.027,590.45,568.504,586.365,0,0
ATC,MV,D,20100126,000000,577.061,582.263,572.958,582.263,0,0
ATC,MV,D,20100127,000000,582.263,591.189,580.397,590.45,0,0
ATC,MV,D,20100128,000000,590.08,602.737,582.263,595.29,0,0
ATC,MV,D,20100129,000000,595.299,598.257,591.567,597.897,0,0
ATC,MV,D,20100201,000000,598.257,598.257,591.567,597.148,0,0
ATC,MV,D,20100202,000000,597.148,617.614,597.148,612.033,0,0
ATC,MV,D,20100203,000000,611.655,638.081,605.704,636.215,0,0
ATC,MV,D,20100204,000000,639.939,650.73,625.792,626.162,0,0
ATC,MV,D,20100205,000000,621.338,623.565,605.335,623.565,0,0
ATC,MV,D,20100208,000000,613.899,638.081,606.823,623.565,0,0
ATC,MV,D,20100209,000000,630.634,632.5,617.614,628.776,0,0
ATC,MV,D,20100210,000000,632.13,632.5,617.614,617.614,0,0
ATC,MV,D,20100211,000000,625.053,630.264,620.59,626.911,0,0
ATC,MV,D,20100212,000000,630.634,639.939,630.634,632.5,0,0
ATC,MV,D,20100215,000000,634.358,657.42,634.358,651.1,0,0
ATC,MV,D,20100216,000000,656.673,658.53,646.628,647.377,0,0
ATC,MV,D,20100217,000000,652.958,665.968,651.839,665.968,0,0
ATC,MV,D,20100218,000000,669.7,677.139,658.908,675.273,0,0
ATC,MV,D,20100219,000000,662.632,677.139,662.632,675.273,0,0
ATC,MV,D,20100222,000000,690.914,690.914,675.273,684.577,0,0
ATC,MV,D,20100223,000000,693.503,693.881,673.415,688.3,0,0
ATC,MV,D,20100224,000000,686.434,686.434,670.826,670.826,0,0
ATC,MV,D,20100225,000000,680.122,688.3,670.448,685.703,0,0
ATC,MV,D,20100226,000000,683.089,718.071,683.089,703.186,0,0
ATC,MV,D,20100301,000000,706.909,719.937,706.531,713.969,0,0
ATC,MV,D,20100302,000000,710.624,725.131,704.665,711.363,0,0
ATC,MV,D,20100303,000000,718.81,725.131,703.186,703.186,0,0
ATC,MV,D,20100304,000000,695.747,695.747,680.862,681.24,0,0
ATC,MV,D,20100305,000000,683.089,740.394,683.089,740.394,0,0
ATC,MV,D,20100308,000000,740.755,770.148,734.814,763.088,0,0
ATC,MV,D,20100309,000000,763.088,780.94,762.709,773.871,0,0
ATC,MV,D,20100310,000000,777.586,805.508,777.586,786.899,0,0
ATC,MV,D,20100311,000000,790.614,790.614,766.433,768.29,0,0
ATC,MV,D,20100312,000000,773.871,790.235,768.29,773.871,0,0
ATC,MV,D,20100315,000000,774.62,774.62,738.537,744.118,0,0
ATC,MV,D,20100316,000000,744.118,747.841,736.671,742.252,0,0
ATC,MV,D,20100317,000000,751.556,751.556,736.671,738.898,0,0
ATC,MV,D,20100318,000000,732.947,760.741,714.347,760.741,0,0
ATC,MV,D,20100319,000000,760.741,774.516,758.788,772.942,0,0
ATC,MV,D,20100322,000000,774.912,774.912,757.206,770.974,0,0
ATC,MV,D,20100323,000000,772.151,783.967,769.013,776.881,0,0
ATC,MV,D,20100324,000000,777.259,784.741,763.105,767.835,0,0
ATC,MV,D,20100325,000000,767.835,778.059,759.167,770.974,0,0
ATC,MV,D,20100326,000000,770.578,770.578,754.842,756.036,0,0
ATC,MV,D,20100329,000000,749.346,749.346,734.383,735.579,0,0
ATC,MV,D,20100330,000000,733.215,735.974,726.137,733.618,0,0
ATC,MV,D,20100331,000000,729.671,732.819,700.176,702.136,0,0
ATC,MV,D,20100401,000000,703.314,723.763,703.314,703.314,0,0
ATC,MV,D,20100406,000000,719.834,719.834,685.617,688.369,0,0
ATC,MV,D,20100407,000000,690.339,690.339,666.742,680.5,0,0
ATC,MV,D,20100408,000000,674.602,676.571,671.059,671.85,0,0
ATC,MV,D,20100409,000000,675.771,696.229,672.641,691.912,0,0
ATC,MV,D,20100412,000000,694.268,710.4,694.268,706.857,0,0
ATC,MV,D,20100413,000000,712.756,713.547,660.834,664.772,0,0
ATC,MV,D,20100414,000000,668.316,681.679,664.772,681.679,0,0
ATC,MV,D,20100415,000000,680.5,683.648,673.424,682.083,0,0
ATC,MV,D,20100416,000000,682.47,682.47,672.246,680.887,0,0
ATC,MV,D,20100419,000000,662.021,662.021,645.106,656.905,0,0
ATC,MV,D,20100420,000000,656.905,672.641,656.905,672.641,0,0
ATC,MV,D,20100421,000000,674.602,677.758,651.392,651.392,0,0
ATC,MV,D,20100422,000000,653.757,660.834,645.106,645.106,0,0
ATC,MV,D,20100423,000000,645.493,660.447,645.106,658.083,0,0
ATC,MV,D,20100426,000000,660.834,673.037,660.834,669.493,0,0
ATC,MV,D,20100427,000000,669.098,669.098,664.772,667.92,0,0
ATC,MV,D,20100428,000000,657.3,658.074,652.184,652.184,0,0
ATC,MV,D,20100429,000000,662.408,662.408,645.106,647.067,0,0
ATC,MV,D,20100430,000000,666.346,666.346,637.633,640.377,0,0
ATC,MV,D,20100504,000000,646.285,646.285,625.045,627.409,0,0
ATC,MV,D,20100505,000000,613.625,621.51,607.347,609.703,0,0
ATC,MV,D,20100506,000000,609.703,625.045,609.308,617.563,0,0
ATC,MV,D,20100507,000000,594.749,605.369,594.749,599.47,0,0
ATC,MV,D,20100510,000000,609.703,649.036,609.703,649.036,0,0
ATC,MV,D,20100511,000000,648.245,648.245,634.082,636.842,0,0
ATC,MV,D,20100512,000000,637.246,649.036,636.842,640.772,0,0
ATC,MV,D,20100513,000000,660.834,667.92,659.665,663.191,0,0
ATC,MV,D,20100514,000000,664.386,664.386,649.036,649.036,0,0
ATC,MV,D,20100517,000000,649.036,658.47,642.346,645.106,0,0
ATC,MV,D,20100518,000000,629.37,645.106,576.27,586.098,0,0
ATC,MV,D,20100519,000000,582.169,582.169,550.696,552.269,0,0
ATC,MV,D,20100520,000000,550.696,564.85,546.765,553.051,0,0
ATC,MV,D,20100521,000000,547.152,554.625,546.765,554.625,0,0
ATC,MV,D,20100524,000000,558.572,558.572,547.548,553.851,0,0
ATC,MV,D,20100525,000000,542.836,542.836,527.486,532.207,0,0
ATC,MV,D,20100526,000000,538.897,568.788,534.959,568.788,0,0
ATC,MV,D,20100527,000000,567.214,567.214,545.974,555.417,0,0
ATC,MV,D,20100528,000000,557.385,557.385,538.897,538.897,0,0
ATC,MV,D,20100531,000000,550.696,550.696,528.277,532.998,0,0
ATC,MV,D,20100601,000000,532.998,532.998,515.301,517.262,0,0
ATC,MV,D,20100602,000000,521.2,531.037,518.835,530.237,0,0
ATC,MV,D,20100604,000000,531.037,532.594,523.556,531.037,0,0
ATC,MV,D,20100607,000000,530.633,532.594,530.633,532.594,0,0
ATC,MV,D,20100608,000000,531.424,534.959,531.037,534.959,0,0
ATC,MV,D,20100609,000000,542.431,554.625,542.431,554.625,0,0
ATC,MV,D,20100610,000000,557.772,557.772,552.664,553.456,0,0
ATC,MV,D,20100611,000000,560.533,560.533,547.152,553.456,0,0
ATC,MV,D,20100614,000000,551.09,554.238,551.09,551.09,0,0
ATC,MV,D,20100615,000000,551.09,554.625,549.122,551.09,0,0
ATC,MV,D,20100616,000000,551.09,555.417,550.696,553.851,0,0
ATC,MV,D,20100617,000000,553.447,557.772,552.269,554.238,0,0
ATC,MV,D,20100618,000000,554.625,554.625,546.765,550.696,0,0
ATC,MV,D,20100621,000000,558.254,558.254,527.176,545.656,0,0
ATC,MV,D,20100622,000000,548.184,548.184,535.999,541.46,0,0
ATC,MV,D,20100623,000000,538.51,538.51,527.597,529.266,0,0
ATC,MV,D,20100624,000000,536.833,536.833,509.109,509.53,0,0
ATC,MV,D,20100625,000000,494.826,513.315,494.826,513.315,0,0
ATC,MV,D,20100628,000000,504.07,525.069,504.07,504.07,0,0
ATC,MV,D,20100629,000000,501.972,527.176,499.874,522.129,0,0
ATC,MV,D,20100630,000000,524.236,525.069,512.472,524.648,0,0
ATC,MV,D,20100701,000000,520.864,525.069,520.864,525.069,0,0
ATC,MV,D,20100702,000000,527.176,545.656,527.176,542.715,0,0
ATC,MV,D,20100705,000000,546.077,546.077,538.931,546.077,0,0
ATC,MV,D,20100706,000000,547.754,583.888,546.077,583.045,0,0
ATC,MV,D,20100707,000000,583.888,583.888,571.282,579.684,0,0
ATC,MV,D,20100708,000000,583.888,591.447,583.888,586.399,0,0
ATC,MV,D,20100709,000000,588.084,591.025,578.841,583.045,0,0
ATC,MV,D,20100712,000000,584.723,587.655,567.928,575.478,0,0
ATC,MV,D,20100713,000000,571.282,591.447,571.282,590.596,0,0
ATC,MV,D,20100714,000000,596.056,604.879,596.056,596.486,0,0
ATC,MV,D,20100715,000000,600.27,605.722,592.281,602.79,0,0
ATC,MV,D,20100716,000000,604.879,610.77,602.79,609.084,0,0
ATC,MV,D,20100719,000000,609.084,609.084,596.486,596.486,0,0
ATC,MV,D,20100720,000000,604.879,604.879,585.986,588.084,0,0
ATC,MV,D,20100721,000000,592.281,592.281,583.888,591.447,0,0
ATC,MV,D,20100722,000000,591.447,593.537,581.36,588.084,0,0
ATC,MV,D,20100723,000000,593.966,593.966,586.821,588.084,0,0
ATC,MV,D,20100726,000000,591.86,591.86,579.684,580.939,0,0
ATC,MV,D,20100727,000000,581.36,581.782,573.389,575.478,0,0
ATC,MV,D,20100728,000000,575.478,575.478,567.498,571.282,0,0
ATC,MV,D,20100729,000000,571.282,579.684,571.282,579.684,0,0
ATC,MV,D,20100730,000000,579.684,583.045,575.899,580.526,0,0
ATC,MV,D,20100802,000000,580.939,588.084,580.526,580.526,0,0
ATC,MV,D,20100803,000000,588.084,588.084,577.585,577.585,0,0
ATC,MV,D,20100804,000000,577.585,579.684,572.537,579.684,0,0
ATC,MV,D,20100805,000000,586.399,586.399,577.997,585.565,0,0
ATC,MV,D,20100806,000000,585.565,587.655,575.478,575.478,0,0
ATC,MV,D,20100809,000000,577.585,584.723,575.478,581.782,0,0
ATC,MV,D,20100810,000000,585.135,585.135,577.585,579.684,0,0
ATC,MV,D,20100811,000000,584.301,584.301,574.636,583.045,0,0
ATC,MV,D,20100812,000000,578.841,592.281,574.636,592.281,0,0
ATC,MV,D,20100813,000000,592.281,592.281,588.084,591.86,0,0
ATC,MV,D,20100816,000000,592.703,592.703,588.084,588.084,0,0
ATC,MV,D,20100817,000000,588.084,604.879,588.084,602.79,0,0
ATC,MV,D,20100818,000000,604.045,604.879,596.486,598.593,0,0
ATC,MV,D,20100819,000000,598.998,598.998,588.084,592.281,0,0
ATC,MV,D,20100820,000000,591.447,592.281,583.888,592.281,0,0
ATC,MV,D,20100823,000000,604.466,617.485,604.466,617.485,0,0
ATC,MV,D,20100824,000000,621.26,621.26,604.466,608.241,0,0
ATC,MV,D,20100825,000000,604.879,604.879,594.379,598.593,0,0
ATC,MV,D,20100826,000000,597.32,604.466,588.084,604.466,0,0
ATC,MV,D,20100827,000000,605.309,606.143,593.966,604.879,0,0
ATC,MV,D,20100830,000000,604.879,605.309,598.171,602.79,0,0
ATC,MV,D,20100831,000000,589.34,597.32,588.084,592.281,0,0
ATC,MV,D,20100901,000000,593.124,600.27,593.124,596.486,0,0
ATC,MV,D,20100902,000000,596.486,604.879,596.486,604.879,0,0
ATC,MV,D,20100903,000000,606.564,613.28,606.564,613.28,0,0
ATC,MV,D,20100906,000000,613.711,613.711,606.564,609.918,0,0
ATC,MV,D,20100907,000000,609.084,609.918,604.879,606.986,0,0
ATC,MV,D,20100908,000000,609.084,609.084,601.947,606.143,0,0
ATC,MV,D,20100909,000000,606.564,606.564,594.379,604.045,0,0
ATC,MV,D,20100910,000000,604.879,604.879,589.34,600.683,0,0
ATC,MV,D,20100913,000000,606.143,606.143,593.537,599.427,0,0
ATC,MV,D,20100914,000000,595.644,595.644,591.025,591.86,0,0
ATC,MV,D,20100915,000000,591.86,591.86,584.301,590.596,0,0
ATC,MV,D,20100916,000000,590.596,596.486,587.655,591.025,0,0
ATC,MV,D,20100917,000000,595.644,595.644,588.084,590.596,0,0
ATC,MV,D,20100920,000000,587.242,590.183,587.242,588.084,0,0
ATC,MV,D,20100921,000000,588.497,590.183,587.242,588.084,0,0
ATC,MV,D,20100922,000000,585.565,588.084,581.782,585.986,0,0
ATC,MV,D,20100923,000000,583.045,587.242,583.045,587.242,0,0
ATC,MV,D,20100924,000000,583.888,588.084,583.045,588.084,0,0
ATC,MV,D,20100927,000000,583.888,588.084,583.888,588.084,0,0
ATC,MV,D,20100928,000000,588.084,588.084,583.888,584.723,0,0
ATC,MV,D,20100929,000000,585.135,588.084,581.782,585.135,0,0
ATC,MV,D,20100930,000000,588.084,589.771,579.684,587.655,0,0
ATC,MV,D,20101001,000000,587.242,587.242,585.986,585.986,0,0
ATC,MV,D,20101004,000000,583.888,585.986,583.045,583.888,0,0
ATC,MV,D,20101005,000000,581.782,583.888,579.684,581.782,0,0
ATC,MV,D,20101006,000000,582.624,588.084,580.096,580.939,0,0
ATC,MV,D,20101007,000000,580.526,581.782,579.684,581.782,0,0
ATC,MV,D,20101008,000000,580.096,581.782,580.096,581.782,0,0
ATC,MV,D,20101011,000000,581.782,585.986,579.253,579.253,0,0
ATC,MV,D,20101012,000000,582.203,582.203,577.585,577.997,0,0
ATC,MV,D,20101013,000000,581.782,581.782,577.997,577.997,0,0
ATC,MV,D,20101014,000000,581.36,581.36,575.478,578.841,0,0
ATC,MV,D,20101015,000000,573.389,579.253,572.95,579.253,0,0
ATC,MV,D,20101018,000000,574.223,575.478,572.124,575.478,0,0
ATC,MV,D,20101019,000000,573.793,576.321,571.282,575.057,0,0
ATC,MV,D,20101020,000000,568.754,575.057,567.928,571.282,0,0
ATC,MV,D,20101021,000000,570.026,573.389,567.077,573.389,0,0
ATC,MV,D,20101022,000000,567.498,570.86,567.498,569.183,0,0
ATC,MV,D,20101025,000000,567.928,567.928,558.254,564.987,0,0
ATC,MV,D,20101026,000000,559.518,561.195,555.322,560.352,0,0
ATC,MV,D,20101027,000000,549.009,554.479,549.009,549.861,0,0
ATC,MV,D,20101028,000000,551.53,552.381,541.872,541.872,0,0
ATC,MV,D,20101029,000000,541.872,546.077,531.794,543.979,0,0
