<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC,PE,D,20091023,000000,4.8989,4.8989,4.8989,4.8989,0,0
ATC,PE,D,20091026,000000,4.8989,4.8989,4.82778,4.82778,0,0
ATC,PE,D,20091027,000000,4.82778,4.8989,4.75684,4.8989,0,0
ATC,PE,D,20091028,000000,4.8989,4.8989,4.75684,4.75684,0,0
ATC,PE,D,20091029,000000,4.75684,4.75684,4.61495,4.6859,0,0
ATC,PE,D,20091030,000000,4.61495,4.6859,4.61495,4.6859,0,0
ATC,PE,D,20091102,000000,4.6859,4.6859,4.6859,4.6859,0,0
ATC,PE,D,20091103,000000,4.6859,4.75684,4.61495,4.6859,0,0
ATC,PE,D,20091104,000000,4.6859,4.6859,4.61495,4.6859,0,0
ATC,PE,D,20091105,000000,4.61495,4.75684,4.61495,4.61495,0,0
ATC,PE,D,20091106,000000,4.61495,4.6859,4.54393,4.6859,0,0
ATC,PE,D,20091109,000000,4.61495,4.8989,4.61495,4.75684,0,0
ATC,PE,D,20091110,000000,4.82778,4.82778,4.75684,4.82778,0,0
ATC,PE,D,20091112,000000,4.82778,4.82778,4.75684,4.75684,0,0
ATC,PE,D,20091113,000000,4.75684,4.82778,4.75684,4.75684,0,0
ATC,PE,D,20091116,000000,4.82778,4.82778,4.75684,4.75684,0,0
ATC,PE,D,20091117,000000,4.75684,4.75684,4.6859,4.75684,0,0
ATC,PE,D,20091118,000000,4.75684,4.75684,4.6859,4.6859,0,0
ATC,PE,D,20091119,000000,4.6859,4.6859,4.25989,4.25989,0,0
ATC,PE,D,20091120,000000,4.25989,4.33092,4.25989,4.33092,0,0
ATC,PE,D,20091123,000000,4.25989,4.25989,4.25989,4.25989,0,0
ATC,PE,D,20091124,000000,4.25989,4.25989,4.25989,4.25989,0,0
ATC,PE,D,20091125,000000,4.25989,4.25989,4.18886,4.25989,0,0
ATC,PE,D,20091126,000000,4.25989,4.25989,4.18886,4.18886,0,0
ATC,PE,D,20091127,000000,4.04689,4.96984,4.04689,4.96984,0,0
ATC,PE,D,20091130,000000,4.8989,4.96984,4.82778,4.96984,0,0
ATC,PE,D,20091201,000000,4.8989,4.8989,4.82778,4.8989,0,0
ATC,PE,D,20091202,000000,4.8989,4.8989,4.82778,4.8989,0,0
ATC,PE,D,20091203,000000,4.82778,5.11182,4.82778,5.11182,0,0
ATC,PE,D,20091204,000000,5.11182,5.18285,4.96984,5.18285,0,0
ATC,PE,D,20091207,000000,5.18285,5.18285,5.11182,5.11182,0,0
ATC,PE,D,20091208,000000,5.11182,5.53783,5.11182,5.46688,0,0
ATC,PE,D,20091209,000000,5.53783,5.75091,5.53783,5.6798,0,0
ATC,PE,D,20091210,000000,5.75091,5.75091,5.53783,5.60885,0,0
ATC,PE,D,20091211,000000,5.60885,5.6798,5.53783,5.60885,0,0
ATC,PE,D,20091214,000000,5.53783,5.60885,5.53783,5.53783,0,0
ATC,PE,D,20091215,000000,5.53783,5.60885,5.53783,5.60885,0,0
ATC,PE,D,20091216,000000,5.53783,5.6798,5.53783,5.60885,0,0
ATC,PE,D,20091217,000000,5.60885,5.6798,5.53783,5.60885,0,0
ATC,PE,D,20091218,000000,5.60885,5.60885,5.53783,5.60885,0,0
ATC,PE,D,20091221,000000,5.60885,5.60885,5.60885,5.60885,0,0
ATC,PE,D,20091222,000000,5.60885,5.60885,5.53783,5.60885,0,0
ATC,PE,D,20091223,000000,5.60885,5.60885,5.60885,5.60885,0,0
ATC,PE,D,20091228,000000,5.60885,5.60885,5.60885,5.60885,0,0
ATC,PE,D,20091229,000000,5.60885,5.6798,5.60885,5.60885,0,0
ATC,PE,D,20091230,000000,5.60885,5.6798,5.60885,5.60885,0,0
ATC,PE,D,20091231,000000,5.60885,5.60885,5.53783,5.60885,0,0
ATC,PE,D,20100104,000000,5.60885,5.60885,5.53783,5.60885,0,0
ATC,PE,D,20100105,000000,5.60885,5.6798,5.60885,5.60885,0,0
ATC,PE,D,20100106,000000,5.60885,5.60885,5.53783,5.60885,0,0
ATC,PE,D,20100107,000000,5.60885,5.60885,5.53783,5.53783,0,0
ATC,PE,D,20100108,000000,5.53783,5.53783,5.3249,5.3249,0,0
ATC,PE,D,20100111,000000,5.3249,5.39594,5.18285,5.25388,0,0
ATC,PE,D,20100112,000000,5.25388,5.3249,5.18285,5.18285,0,0
