<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG,PE,D,20070813,000000,14.2626,14.2626,14.2626,14.2626,0,0
ATG,PE,D,20070814,000000,14.3527,14.3527,14.3527,14.3527,0,0
ATG,PE,D,20070816,000000,13.5973,13.5973,13.5973,13.5973,0,0
ATG,PE,D,20070817,000000,13.5973,13.5973,13.5973,13.5973,0,0
ATG,PE,D,20070820,000000,13.4568,13.4568,13.4568,13.4568,0,0
ATG,PE,D,20070821,000000,12.8878,12.8878,12.8878,12.8878,0,0
ATG,PE,D,20070822,000000,13.8827,13.8827,13.8827,13.8827,0,0
ATG,PE,D,20070823,000000,15.7753,15.7753,15.7753,15.7753,0,0
ATG,PE,D,20070824,000000,16.202,16.202,16.202,16.202,0,0
ATG,PE,D,20070827,000000,16.4389,16.4389,16.4389,16.4389,0,0
ATG,PE,D,20070828,000000,16.3911,16.3911,16.3911,16.3911,0,0
ATG,PE,D,20070829,000000,15.8239,15.8239,15.8239,15.8239,0,0
ATG,PE,D,20070830,000000,16.3478,16.3478,16.3478,16.3478,0,0
ATG,PE,D,20070831,000000,16.3911,16.3911,16.3911,16.3911,0,0
ATG,PE,D,20070903,000000,16.5369,16.5369,16.5369,16.5369,0,0
ATG,PE,D,20070904,000000,16.6774,16.6774,16.6774,16.6774,0,0
ATG,PE,D,20070905,000000,17.9091,17.9091,17.9091,17.9091,0,0
ATG,PE,D,20070906,000000,17.5742,17.5742,17.5742,17.5742,0,0
ATG,PE,D,20070907,000000,17.5742,17.5742,17.5742,17.5742,0,0
ATG,PE,D,20070910,000000,17.5742,17.5742,17.5742,17.5742,0,0
ATG,PE,D,20070911,000000,17.72,17.72,17.72,17.72,0,0
ATG,PE,D,20070912,000000,17.8605,17.8605,17.8605,17.8605,0,0
ATG,PE,D,20070913,000000,17.8605,17.8605,17.8605,17.8605,0,0
ATG,PE,D,20070914,000000,17.8605,17.8605,17.8605,17.8605,0,0
ATG,PE,D,20070917,000000,17.4338,17.4338,17.4338,17.4338,0,0
ATG,PE,D,20070918,000000,17.1961,17.1961,17.1961,17.1961,0,0
ATG,PE,D,20070919,000000,17.8605,17.8605,17.8605,17.8605,0,0
