<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP,PE,D,20070813,000000,63.9917,63.9917,63.9917,63.9917,0,0
ATP,PE,D,20070814,000000,64.9478,64.9478,64.9478,64.9478,0,0
ATP,PE,D,20070816,000000,60.5712,60.5712,60.5712,60.5712,0,0
ATP,PE,D,20070817,000000,59.9702,59.9702,59.9702,59.9702,0,0
ATP,PE,D,20070820,000000,63.7507,63.7507,63.7507,63.7507,0,0
ATP,PE,D,20070821,000000,58.9526,58.9526,58.9526,58.9526,0,0
ATP,PE,D,20070822,000000,62.9731,62.9731,62.9731,62.9731,0,0
ATP,PE,D,20070830,000000,168.47,168.47,168.47,168.47,0,0
ATP,PE,D,20070831,000000,169.123,169.123,169.123,169.123,0,0
ATP,PE,D,20070903,000000,169.286,169.286,169.286,169.286,0,0
ATP,PE,D,20070904,000000,169.958,169.958,169.958,169.958,0,0
ATP,PE,D,20070905,000000,169.123,169.123,169.123,169.123,0,0
ATP,PE,D,20070906,000000,167.798,167.798,167.798,167.798,0,0
ATP,PE,D,20070907,000000,169.123,169.123,169.123,169.123,0,0
ATP,PE,D,20070910,000000,168.47,168.47,168.47,168.47,0,0
ATP,PE,D,20070911,000000,167.798,167.798,167.798,167.798,0,0
ATP,PE,D,20070912,000000,167.798,167.798,167.798,167.798,0,0
ATP,PE,D,20070913,000000,169.123,169.123,169.123,169.123,0,0
ATP,PE,D,20070914,000000,169.123,169.123,169.123,169.123,0,0
ATP,PE,D,20070917,000000,169.123,169.123,169.123,169.123,0,0
ATP,PE,D,20070918,000000,165.101,165.101,165.101,165.101,0,0
ATP,PE,D,20070919,000000,164.381,164.381,164.381,164.381,0,0
ATP,PE,D,20070920,000000,165.101,165.101,165.101,165.101,0,0
ATP,PE,D,20070921,000000,168.47,168.47,168.47,168.47,0,0
ATP,PE,D,20070924,000000,164.381,164.381,164.381,164.381,0,0
ATP,PE,D,20070925,000000,163.728,163.728,163.728,163.728,0,0
ATP,PE,D,20070926,000000,160.906,160.906,160.906,160.906,0,0
ATP,PE,D,20070927,000000,167.798,167.798,167.798,167.798,0,0
ATP,PE,D,20070928,000000,162.403,162.403,162.403,162.403,0,0
ATP,PE,D,20071001,000000,162.403,162.403,162.403,162.403,0,0
ATP,PE,D,20071002,000000,163.728,163.728,163.728,163.728,0,0
ATP,PE,D,20071003,000000,161.03,161.03,161.03,161.03,0,0
ATP,PE,D,20071004,000000,161.674,161.674,161.674,161.674,0,0
ATP,PE,D,20071005,000000,161.674,161.674,161.674,161.674,0,0
ATP,PE,D,20071008,000000,159.629,159.629,159.629,159.629,0,0
ATP,PE,D,20071009,000000,159.629,159.629,159.629,159.629,0,0
ATP,PE,D,20071010,000000,159.629,159.629,159.629,159.629,0,0
ATP,PE,D,20071011,000000,156.701,156.701,156.701,156.701,0,0
ATP,PE,D,20071012,000000,155.626,155.626,155.626,155.626,0,0
ATP,PE,D,20071015,000000,155.626,155.626,155.626,155.626,0,0
ATP,PE,D,20071016,000000,155.626,155.626,155.626,155.626,0,0
ATP,PE,D,20071017,000000,155.626,155.626,155.626,155.626,0,0
ATP,PE,D,20071018,000000,155.626,155.626,155.626,155.626,0,0
ATP,PE,D,20071019,000000,158.746,158.746,158.746,158.746,0,0
ATP,PE,D,20071022,000000,155.741,155.741,155.741,155.741,0,0
ATP,PE,D,20071023,000000,154.906,154.906,154.906,154.906,0,0
ATP,PE,D,20071024,000000,155.626,155.626,155.626,155.626,0,0
ATP,PE,D,20071025,000000,154.243,154.243,154.243,154.243,0,0
ATP,PE,D,20071026,000000,154.243,154.243,154.243,154.243,0,0
ATP,PE,D,20071029,000000,154.243,154.243,154.243,154.243,0,0
ATP,PE,D,20071030,000000,154.243,154.243,154.243,154.243,0,0
ATP,PE,D,20071031,000000,151.546,151.546,151.546,151.546,0,0
ATP,PE,D,20071102,000000,151.546,151.546,151.546,151.546,0,0
ATP,PE,D,20071105,000000,143.453,143.453,143.453,143.453,0,0
ATP,PE,D,20080303,000000,74.9626,74.9626,74.9626,74.9626,0,0
ATP,PE,D,20080304,000000,74.8406,77.0064,74.8406,74.9626,0,0
ATP,PE,D,20080306,000000,72.9274,79.0502,72.9274,79.0502,0,0
ATP,PE,D,20080307,000000,79.7683,79.7683,75.3878,78.3802,0,0
ATP,PE,D,20080310,000000,79.8835,79.8835,79.8835,79.8835,0,0
ATP,PE,D,20080311,000000,79.8835,81.0778,79.8835,79.8835,0,0
ATP,PE,D,20080312,000000,80.423,80.423,79.7683,79.7683,0,0
ATP,PE,D,20080313,000000,76.3373,79.7683,76.3373,79.0502,0,0
ATP,PE,D,20080314,000000,79.0502,81.0778,79.0502,81.0778,0,0
ATP,PE,D,20080317,000000,81.0778,81.0778,79.0502,79.0502,0,0
ATP,PE,D,20080318,000000,79.0502,79.9987,79.0502,79.9987,0,0
ATP,PE,D,20080319,000000,81.6173,81.6173,79.9987,81.0778,0,0
ATP,PE,D,20080320,000000,81.6173,81.6173,78.4954,81.0778,0,0
ATP,PE,D,20080325,000000,80.9558,81.0778,77.6611,81.0778,0,0
ATP,PE,D,20080326,000000,80.423,80.423,80.423,80.423,0,0
ATP,PE,D,20080327,000000,79.8835,80.423,79.1645,79.2144,0,0
ATP,PE,D,20080328,000000,79.0502,79.0502,77.6611,78.3802,0,0
ATP,PE,D,20080331,000000,78.3802,78.3802,78.3802,78.3802,0,0
ATP,PE,D,20080401,000000,80.423,81.0778,78.625,78.6826,0,0
ATP,PE,D,20080402,000000,80.423,80.423,80.423,80.423,0,0
ATP,PE,D,20080403,000000,80.9558,80.9558,80.9558,80.9558,0,0
ATP,PE,D,20080404,000000,81.6173,81.6173,77.8416,80.7187,0,0
ATP,PE,D,20080407,000000,80.423,80.423,79.7683,79.7683,0,0
ATP,PE,D,20080408,000000,79.5821,79.5821,79.5821,79.5821,0,0
ATP,PE,D,20080409,000000,79.8835,79.8835,79.8835,79.8835,0,0
ATP,PE,D,20080410,000000,79.8835,79.9987,79.8835,79.9987,0,0
ATP,PE,D,20080411,000000,77.6611,78.3802,77.6611,78.3802,0,0
ATP,PE,D,20080414,000000,77.9635,79.7683,77.9635,79.7683,0,0
ATP,PE,D,20080415,000000,75.9197,79.0502,75.6259,79.0502,0,0
ATP,PE,D,20080416,000000,78.3802,78.7987,75.2659,78.7987,0,0
ATP,PE,D,20080418,000000,79.7683,79.7683,79.7683,79.7683,0,0
ATP,PE,D,20080421,000000,75.6259,79.5821,73.0416,79.5821,0,0
ATP,PE,D,20080422,000000,76.3373,76.3373,75.503,75.503,0,0
ATP,PE,D,20080423,000000,78.9206,78.9206,71.8493,75.3878,0,0
ATP,PE,D,20080424,000000,75.3878,75.3878,75.3878,75.3878,0,0
ATP,PE,D,20080425,000000,71.8493,75.3878,71.8493,75.3878,0,0
ATP,PE,D,20080430,000000,71.9635,72.8054,71.544,71.544,0,0
ATP,PE,D,20080505,000000,72.9274,73.0416,72.9274,73.0416,0,0
ATP,PE,D,20080507,000000,74.6678,74.7254,74.6678,74.7254,0,0
ATP,PE,D,20080509,000000,74.9626,74.9626,74.6678,74.7254,0,0
ATP,PE,D,20080512,000000,74.9626,74.9626,74.9626,74.9626,0,0
ATP,PE,D,20080513,000000,74.8406,74.9626,74.8406,74.9626,0,0
ATP,PE,D,20080514,000000,78.625,78.625,77.1216,77.1869,0,0
ATP,PE,D,20080515,000000,79.0502,79.0502,77.6611,77.7245,0,0
ATP,PE,D,20080516,000000,79.0502,79.0502,21.1104,21.1104,0,0
ATP,PE,D,20080519,000000,20.2099,20.2099,20.2099,20.2099,0,0
ATP,PE,D,20080520,000000,20.3894,20.3894,20.3894,20.3894,0,0
ATP,PE,D,20080521,000000,22.129,22.129,21.0499,21.1104,0,0
ATP,PE,D,20080523,000000,21.1104,21.1104,21.1104,21.1104,0,0
ATP,PE,D,20080526,000000,20.2099,21.169,20.2099,21.169,0,0
ATP,PE,D,20080527,000000,20.6899,20.7494,20.6899,20.7494,0,0
ATP,PE,D,20080530,000000,20.9894,20.9894,20.929,20.929,0,0
ATP,PE,D,20080602,000000,21.1104,21.1104,21.1104,21.1104,0,0
ATP,PE,D,20080603,000000,21.1104,21.4694,21.1104,21.4694,0,0
ATP,PE,D,20080604,000000,20.5104,21.169,20.5104,21.169,0,0
ATP,PE,D,20080605,000000,21.1104,21.1104,19.9709,20.6899,0,0
ATP,PE,D,20080606,000000,19.9709,20.8109,19.9709,20.8109,0,0
ATP,PE,D,20080609,000000,19.7318,20.8109,19.7318,19.7318,0,0
ATP,PE,D,20080610,000000,19.6714,19.7318,19.0118,19.5504,0,0
ATP,PE,D,20080613,000000,19.1914,19.4899,19.1914,19.4899,0,0
ATP,PE,D,20080616,000000,19.8509,19.8509,19.8509,19.8509,0,0
ATP,PE,D,20080617,000000,19.7904,19.8509,19.7904,19.7904,0,0
ATP,PE,D,20080619,000000,18.7718,19.7904,18.7718,19.7904,0,0
ATP,PE,D,20080620,000000,18.8304,19.6118,18.7718,19.5504,0,0
ATP,PE,D,20080623,000000,18.5309,19.5504,18.5309,19.4899,0,0
ATP,PE,D,20080624,000000,18.5309,19.4314,18.5309,19.4314,0,0
ATP,PE,D,20080625,000000,18.8304,18.8304,18.8304,18.8304,0,0
ATP,PE,D,20080626,000000,18.6509,19.3104,18.6509,19.3104,0,0
ATP,PE,D,20080627,000000,18.4109,18.4109,18.4109,18.4109,0,0
ATP,PE,D,20080630,000000,18.0518,18.0518,18.0518,18.0518,0,0
ATP,PE,D,20080702,000000,17.2714,17.9923,17.1523,17.9923,0,0
ATP,PE,D,20080703,000000,17.0918,17.4509,16.3123,17.4509,0,0
ATP,PE,D,20080704,000000,16.6723,17.3309,16.4323,16.4918,0,0
ATP,PE,D,20080707,000000,16.9718,16.9718,16.8509,16.9123,0,0
ATP,PE,D,20080708,000000,16.3123,16.4323,15.5923,16.3728,0,0
ATP,PE,D,20080709,000000,16.6723,16.6723,15.8333,16.3728,0,0
ATP,PE,D,20080711,000000,17.2118,17.2118,15.8909,16.3728,0,0
ATP,PE,D,20080714,000000,16.0118,16.0118,16.0118,16.0118,0,0
ATP,PE,D,20080721,000000,15.2928,16.0118,15.2928,16.0118,0,0
ATP,PE,D,20080724,000000,16.0723,16.0723,16.0723,16.0723,0,0
ATP,PE,D,20080725,000000,15.3523,15.7133,15.3523,15.7133,0,0
ATP,PE,D,20080728,000000,15.7133,15.7133,15.7133,15.7133,0,0
ATP,PE,D,20080730,000000,16.0723,16.9718,16.0723,16.9718,0,0
ATP,PE,D,20080731,000000,16.0723,16.8509,16.0723,16.8509,0,0
ATP,PE,D,20080801,000000,16.8509,16.8509,16.8509,16.8509,0,0
ATP,PE,D,20080804,000000,16.7309,16.7309,16.7309,16.7309,0,0
ATP,PE,D,20080805,000000,15.8909,16.6723,15.8909,16.6723,0,0
