<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR,MV,D,20090107,000000,52.9199,52.9199,52.9199,52.9199,0,0
ATR,MV,D,20090108,000000,51.104,51.9067,51.104,51.9067,0,0
ATR,MV,D,20090112,000000,51.5376,55.2348,51.5376,52.1239,0,0
ATR,MV,D,20090113,000000,50.8858,55.0167,50.8858,55.0167,0,0
ATR,MV,D,20090114,000000,55.0167,56.4711,52.5576,55.7482,0,0
ATR,MV,D,20090115,000000,53.6429,55.7482,53.6429,53.6429,0,0
ATR,MV,D,20090116,000000,52.3412,54.9446,52.3412,52.9199,0,0
ATR,MV,D,20090119,000000,56.1105,56.1105,56.1105,56.1105,0,0
ATR,MV,D,20090120,000000,52.1961,53.9314,51.1753,53.9314,0,0
ATR,MV,D,20090121,000000,54.0044,54.0044,51.8261,51.8261,0,0
ATR,MV,D,20090122,000000,51.4646,52.9199,51.4646,52.9199,0,0
ATR,MV,D,20090123,000000,53.8602,53.8602,50.8137,53.6429,0,0
ATR,MV,D,20090126,000000,53.8602,53.8602,49.8736,50.5974,0,0
ATR,MV,D,20090127,000000,50.5974,50.5974,49.512,50.3072,0,0
ATR,MV,D,20090128,000000,50.5974,50.5974,50.3072,50.5974,0,0
ATR,MV,D,20090129,000000,50.0187,50.0187,50.0187,50.0187,0,0
ATR,MV,D,20090130,000000,49.4399,49.4399,48.8604,49.2948,0,0
ATR,MV,D,20090202,000000,50.0187,50.0187,42.8424,45.5994,0,0
ATR,MV,D,20090203,000000,45.6698,45.6698,43.4932,43.4932,0,0
ATR,MV,D,20090204,000000,43.4932,43.4932,41.3235,42.1907,0,0
ATR,MV,D,20090205,000000,39.1452,42.7694,36.9678,41.6119,0,0
ATR,MV,D,20090206,000000,41.6119,49.9457,41.6119,44.4334,0,0
ATR,MV,D,20090209,000000,42.0464,44.7296,42.0464,44.7296,0,0
ATR,MV,D,20090210,000000,45.8149,47.3346,43.4932,47.3346,0,0
ATR,MV,D,20090211,000000,48.4268,49.9457,47.1174,47.4067,0,0
ATR,MV,D,20090212,000000,48.5719,48.5719,48.5719,48.5719,0,0
ATR,MV,D,20090213,000000,48.5719,49.0785,48.5719,49.0785,0,0
ATR,MV,D,20090216,000000,47.8404,48.5719,43.4932,43.4932,0,0
ATR,MV,D,20090217,000000,42.0464,42.0464,39.2894,39.2894,0,0
ATR,MV,D,20090218,000000,38.3492,38.3492,37.5541,38.277,0,0
ATR,MV,D,20090219,000000,39.2173,39.2173,39.0731,39.0731,0,0
ATR,MV,D,20090220,000000,39.0731,39.0731,39.0731,39.0731,0,0
ATR,MV,D,20090223,000000,37.3292,39.0731,37.3292,38.9287,0,0
ATR,MV,D,20090224,000000,39.0731,42.7694,36.2439,42.7694,0,0
ATR,MV,D,20090225,000000,41.6119,46.3945,41.6119,43.4932,0,0
ATR,MV,D,20090226,000000,43.8539,45.5994,43.8539,45.5994,0,0
ATR,MV,D,20090227,000000,43.4932,44.9477,43.4932,44.9477,0,0
ATR,MV,D,20090302,000000,43.999,43.999,43.7825,43.7825,0,0
ATR,MV,D,20090303,000000,42.0464,42.3357,41.3235,41.9021,0,0
ATR,MV,D,20090304,000000,40.8813,43.4202,40.8813,43.4202,0,0
ATR,MV,D,20090305,000000,43.7096,45.3091,42.7694,45.3091,0,0
ATR,MV,D,20090306,000000,44.2162,45.3091,41.3235,45.3091,0,0
ATR,MV,D,20090309,000000,42.7694,42.7694,42.7694,42.7694,0,0
ATR,MV,D,20090310,000000,42.8424,42.8424,42.8424,42.8424,0,0
ATR,MV,D,20090311,000000,42.8424,43.4932,42.8424,43.4932,0,0
