<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,PB,D,20190611,000000,6.3323,6.3323,6.3323,6.3323,0,0
BBT,PB,D,20190612,000000,6.3064,6.46192,5.78802,5.83992,0,0
BBT,PB,D,20190613,000000,5.83992,6.29773,5.77079,5.77079,0,0
BBT,PB,D,20190614,000000,5.94355,6.09906,5.72764,6.04726,0,0
BBT,PB,D,20190617,000000,6.13364,6.13364,5.80536,6.00403,0,0
BBT,PB,D,20190618,000000,6.09906,6.09906,5.80536,5.83992,0,0
BBT,PB,D,20190619,000000,5.83992,5.83992,5.37336,5.40794,0,0
BBT,PB,D,20190621,000000,5.43384,5.78802,5.43384,5.64117,0,0
BBT,PB,D,20190624,000000,5.64117,5.64117,5.34746,5.49432,0,0
BBT,PB,D,20190625,000000,5.49432,5.82259,5.05375,5.70164,0,0
BBT,PB,D,20190626,000000,5.60669,5.77944,5.4425,5.71897,0,0
BBT,PB,D,20190627,000000,5.82259,5.93497,5.6585,5.71897,0,0
BBT,PB,D,20190628,000000,5.80536,5.92631,5.60669,5.86583,0,0
BBT,PB,D,20190701,000000,6.09906,6.16821,5.86583,6.13364,0,0
BBT,PB,D,20190702,000000,6.11631,6.79886,6.11631,6.69516,0,0
BBT,PB,D,20190703,000000,6.69516,6.69516,6.4101,6.60011,0,0
BBT,PB,D,20190704,000000,6.60877,6.60877,6.17678,6.29773,0,0
BBT,PB,D,20190705,000000,6.23726,6.29773,6.01268,6.11631,0,0
BBT,PB,D,20190708,000000,6.25459,6.29773,6.03859,6.16821,0,0
BBT,PB,D,20190709,000000,6.23726,6.37554,6.16821,6.29773,0,0
BBT,PB,D,20190710,000000,6.39278,6.42735,6.23726,6.32365,0,0
BBT,PB,D,20190711,000000,6.40145,6.40145,6.19411,6.38411,0,0
BBT,PB,D,20190712,000000,6.37554,6.37554,6.29773,6.29773,0,0
BBT,PB,D,20190715,000000,6.38411,6.71239,6.36688,6.47916,0,0
BBT,PB,D,20190716,000000,6.56554,6.79886,6.46192,6.53106,0,0
BBT,PB,D,20190717,000000,6.69516,6.72973,6.60011,6.63468,0,0
BBT,PB,D,20190718,000000,6.76429,6.76429,6.53106,6.67792,0,0
BBT,PB,D,20190719,000000,6.63468,6.76429,6.54829,6.72106,0,0
BBT,PB,D,20190722,000000,6.72106,6.74697,6.49649,6.63468,0,0
BBT,PB,D,20190723,000000,6.70382,6.70382,6.46192,6.56554,0,0
BBT,PB,D,20190724,000000,6.56554,6.56554,6.46192,6.46192,0,0
BBT,PB,D,20190725,000000,6.53106,6.53106,6.16821,6.18545,0,0
BBT,PB,D,20190726,000000,6.18545,6.20277,6.08183,6.18545,0,0
BBT,PB,D,20190729,000000,6.18545,6.22002,6.06451,6.15088,0,0
BBT,PB,D,20190730,000000,6.18545,6.29773,6.06451,6.13364,0,0
BBT,PB,D,20190731,000000,6.2805,6.2805,5.93497,6.13364,0,0
BBT,PB,D,20190801,000000,6.16821,6.16821,6.09906,6.13364,0,0
BBT,PB,D,20190802,000000,6.16821,6.16821,6.00403,6.13364,0,0
BBT,PB,D,20190805,000000,6.13364,6.13364,5.80536,5.90041,0,0
BBT,PB,D,20190806,000000,5.81402,6.85926,5.81402,6.12497,0,0
BBT,PB,D,20190807,000000,6.23726,6.78153,6.23726,6.61744,0,0
BBT,PB,D,20190808,000000,6.76429,7.39486,6.76429,7.26534,0,0
BBT,PB,D,20190809,000000,7.36896,7.43809,7.12705,7.25667,0,0
BBT,PB,D,20190812,000000,7.23077,7.25667,6.83335,7.12705,0,0
BBT,PB,D,20190813,000000,6.96296,7.09257,6.79886,6.96296,0,0
BBT,PB,D,20190814,000000,7.04935,7.04935,6.63468,6.86791,0,0
BBT,PB,D,20190816,000000,6.70382,7.02344,6.70382,7.02344,0,0
BBT,PB,D,20190819,000000,7.0321,7.36039,7.0321,7.26534,0,0
BBT,PB,D,20190820,000000,7.26534,7.29124,7.15305,7.29124,0,0
BBT,PB,D,20190821,000000,7.26534,7.28258,7.0321,7.16162,0,0
BBT,PB,D,20190822,000000,7.0321,7.10982,6.79886,7.0062,0,0
BBT,PB,D,20190823,000000,7.0062,7.17895,7.0062,7.07525,0,0
BBT,PB,D,20190826,000000,7.06667,7.85276,7.06667,7.82686,0,0
BBT,PB,D,20190827,000000,7.74048,7.95647,7.62818,7.75771,0,0
BBT,PB,D,20190828,000000,7.86142,7.86142,7.54181,7.55905,0,0
BBT,PB,D,20190829,000000,7.61953,7.82686,7.55905,7.72315,0,0
BBT,PB,D,20190830,000000,7.79228,7.86142,7.62818,7.78362,0,0
BBT,PB,D,20190902,000000,7.78362,7.79228,7.63676,7.63676,0,0
BBT,PB,D,20190903,000000,7.68866,7.68866,7.29124,7.57629,0,0
BBT,PB,D,20190904,000000,7.61953,7.75771,7.54181,7.68,0,0
BBT,PB,D,20190905,000000,7.79228,7.79228,7.48134,7.48134,0,0
BBT,PB,D,20190906,000000,7.56772,7.61953,7.41219,7.44677,0,0
BBT,PB,D,20190909,000000,7.464,7.55905,7.16162,7.17895,0,0
BBT,PB,D,20190910,000000,7.16162,7.29124,6.83335,7.08391,0,0
BBT,PB,D,20190911,000000,6.96296,7.26534,6.88525,7.23077,0,0
BBT,PB,D,20190912,000000,7.23077,7.29124,7.0321,7.23077,0,0
