<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT,PE,D,20200424,000000,23.2387,23.2387,23.2387,23.2387,0,0
BBT,PE,D,20200427,000000,26.8673,30.2358,25.8302,25.8302,0,0
BBT,PE,D,20200428,000000,25.7435,26.2625,24.275,24.6207,0,0
BBT,PE,D,20200429,000000,24.0159,24.535,23.3254,24.3617,0,0
BBT,PE,D,20200430,000000,24.535,24.535,22.7206,23.2387,0,0
BBT,PE,D,20200504,000000,23.3254,24.0159,22.9797,24.0159,0,0
BBT,PE,D,20200505,000000,24.4482,25.2255,23.9302,23.9302,0,0
BBT,PE,D,20200506,000000,23.4978,24.3617,23.2387,24.0159,0,0
BBT,PE,D,20200507,000000,24.794,24.794,23.4978,24.1892,0,0
BBT,PE,D,20200508,000000,24.6207,24.6207,23.8435,23.8435,0,0
BBT,PE,D,20200511,000000,24.275,24.535,23.1521,23.4978,0,0
BBT,PE,D,20200512,000000,23.7568,23.9302,23.4978,23.8435,0,0
BBT,PE,D,20200513,000000,23.4112,24.0159,23.4112,23.7568,0,0
BBT,PE,D,20200514,000000,23.7568,23.7568,22.2883,22.634,0,0
BBT,PE,D,20200515,000000,22.634,23.6702,22.634,22.9797,0,0
BBT,PE,D,20200518,000000,22.3749,23.8435,22.3749,23.6702,0,0
BBT,PE,D,20200519,000000,23.9302,24.535,23.6702,24.4482,0,0
BBT,PE,D,20200520,000000,24.535,25.312,24.1892,25.053,0,0
BBT,PE,D,20200521,000000,25.2255,25.5711,24.8797,24.8797,0,0
BBT,PE,D,20200522,000000,24.6207,25.1397,24.1892,24.794,0,0
BBT,PE,D,20200525,000000,24.7072,26.0892,24.4482,26.0892,0,0
BBT,PE,D,20200526,000000,26.1759,28.1625,26.1759,27.7311,0,0
BBT,PE,D,20200527,000000,28.1625,28.5083,24.6207,25.2255,0,0
BBT,PE,D,20200528,000000,25.7435,26.4349,25.312,26.0892,0,0
BBT,PE,D,20200529,000000,28.2491,28.5083,15.9817,15.9817,0,0
BBT,PE,D,20200601,000000,16.3275,16.3275,15.4636,15.896,0,0
BBT,PE,D,20200602,000000,15.896,15.896,15.5502,15.896,0,0
BBT,PE,D,20200603,000000,15.896,15.9817,15.5502,15.896,0,0
BBT,PE,D,20200604,000000,15.636,15.7227,15.0313,15.2912,0,0
BBT,PE,D,20200605,000000,14.8588,14.9455,14.5132,14.6865,0,0
BBT,PE,D,20200608,000000,14.8588,14.8588,13.9951,14.7722,0,0
BBT,PE,D,20200609,000000,14.5998,15.2912,14.3408,15.2912,0,0
BBT,PE,D,20200610,000000,15.4636,15.4636,14.4273,14.7722,0,0
BBT,PE,D,20200612,000000,14.0817,14.4273,13.9083,14.2541,0,0
BBT,PE,D,20200615,000000,13.9083,14.1675,13.8226,13.9083,0,0
BBT,PE,D,20200616,000000,14.0817,14.4273,14.0817,14.4273,0,0
BBT,PE,D,20200617,000000,14.5132,14.5132,14.1675,14.3408,0,0
BBT,PE,D,20200618,000000,14.4273,14.4273,13.9951,14.0817,0,0
BBT,PE,D,20200619,000000,13.9951,14.3408,13.6493,14.3408,0,0
BBT,PE,D,20200622,000000,14.3408,14.8588,14.2541,14.4273,0,0
BBT,PE,D,20200623,000000,14.5132,15.7227,14.2541,15.377,0,0
BBT,PE,D,20200624,000000,15.377,15.377,15.0313,15.0313,0,0
BBT,PE,D,20200625,000000,15.0313,15.0313,14.7722,14.8588,0,0
BBT,PE,D,20200626,000000,15.2046,15.377,14.8588,15.118,0,0
BBT,PE,D,20200629,000000,15.118,15.2912,15.118,15.2046,0,0
BBT,PE,D,20200630,000000,15.2912,15.2912,14.5998,14.5998,0,0
BBT,PE,D,20200701,000000,14.5132,15.0313,14.5132,15.0313,0,0
BBT,PE,D,20200702,000000,15.118,15.2912,14.8588,15.118,0,0
BBT,PE,D,20200703,000000,15.2046,15.9817,15.0313,15.7227,0,0
BBT,PE,D,20200706,000000,15.896,15.896,15.0313,15.0313,0,0
BBT,PE,D,20200707,000000,15.0313,15.5502,14.7722,14.7722,0,0
BBT,PE,D,20200708,000000,15.118,15.8093,14.5998,15.8093,0,0
BBT,PE,D,20200709,000000,16.155,16.414,15.118,15.5502,0,0
BBT,PE,D,20200710,000000,15.896,15.896,15.2046,15.377,0,0
BBT,PE,D,20200713,000000,15.8093,15.8093,15.118,15.2912,0,0
BBT,PE,D,20200714,000000,15.2912,15.2912,14.5998,14.8588,0,0
BBT,PE,D,20200715,000000,14.8588,15.4636,14.8588,15.2046,0,0
BBT,PE,D,20200716,000000,15.2046,15.2046,14.8588,15.118,0,0
BBT,PE,D,20200717,000000,14.9455,15.4636,14.6865,15.2912,0,0
BBT,PE,D,20200720,000000,15.118,15.4636,15.0313,15.0313,0,0
BBT,PE,D,20200721,000000,15.0313,15.118,14.8588,14.9455,0,0
BBT,PE,D,20200722,000000,15.118,15.118,14.6865,14.7722,0,0
BBT,PE,D,20200723,000000,14.9455,15.0313,14.6865,14.7722,0,0
BBT,PE,D,20200724,000000,14.6865,14.9455,14.4273,14.5998,0,0
BBT,PE,D,20200727,000000,14.5998,14.5998,14.2541,14.2541,0,0
BBT,PE,D,20200728,000000,14.2541,14.9455,14.0817,14.1675,0,0
BBT,PE,D,20200729,000000,14.5132,14.5132,13.477,14.3408,0,0
BBT,PE,D,20200730,000000,14.6865,14.6865,12.3532,12.958,0,0
BBT,PE,D,20200731,000000,13.477,14.1675,13.1313,14.1675,0,0
BBT,PE,D,20200803,000000,14.3408,15.377,14.3408,15.377,0,0
BBT,PE,D,20200804,000000,15.5502,15.636,14.5132,15.0313,0,0
BBT,PE,D,20200805,000000,14.5132,15.0313,14.5132,14.5998,0,0
BBT,PE,D,20200806,000000,14.6865,14.7722,13.9083,14.1675,0,0
BBT,PE,D,20200807,000000,14.1675,14.1675,13.8226,13.9083,0,0
BBT,PE,D,20200810,000000,14.4273,14.4273,13.7361,14.0817,0,0
BBT,PE,D,20200811,000000,14.3408,14.3408,13.8226,13.9083,0,0
BBT,PE,D,20200812,000000,13.9951,13.9951,13.3903,13.7361,0,0
BBT,PE,D,20200813,000000,13.6493,13.7361,13.477,13.7361,0,0
BBT,PE,D,20200814,000000,13.7361,13.7361,13.6493,13.7361,0,0
BBT,PE,D,20200817,000000,13.477,13.7361,13.477,13.7361,0,0
BBT,PE,D,20200818,000000,13.7361,13.7361,13.6493,13.6493,0,0
BBT,PE,D,20200819,000000,13.6493,13.6493,13.477,13.5628,0,0
BBT,PE,D,20200820,000000,13.477,13.7361,12.6989,13.3037,0,0
BBT,PE,D,20200821,000000,13.0446,13.3037,12.958,13.2178,0,0
BBT,PE,D,20200824,000000,13.1313,13.477,13.1313,13.2178,0,0
BBT,PE,D,20200825,000000,13.3037,13.3037,12.6989,12.958,0,0
BBT,PE,D,20200826,000000,12.7856,13.1313,12.7856,12.958,0,0
BBT,PE,D,20200827,000000,13.1313,13.5628,12.7856,13.2178,0,0
BBT,PE,D,20200828,000000,13.3903,13.7361,13.0446,13.7361,0,0
BBT,PE,D,20200831,000000,13.7361,13.7361,13.3037,13.7361,0,0
BBT,PE,D,20200901,000000,13.3037,13.7361,12.8722,13.6493,0,0
BBT,PE,D,20200902,000000,13.5628,13.7361,13.477,13.477,0,0
BBT,PE,D,20200903,000000,13.7361,14.0817,13.6493,13.9083,0,0
BBT,PE,D,20200904,000000,14.1675,14.7722,14.0817,14.1675,0,0
BBT,PE,D,20200907,000000,14.1675,14.6865,13.9083,14.4273,0,0
BBT,PE,D,20200908,000000,14.4273,14.4273,13.1313,13.9083,0,0
BBT,PE,D,20200909,000000,13.477,14.0817,13.477,13.9951,0,0
BBT,PE,D,20200910,000000,14.5132,14.6865,13.9951,14.5132,0,0
BBT,PE,D,20200911,000000,14.5998,15.118,14.5998,14.6865,0,0
BBT,PE,D,20200914,000000,15.0313,15.118,14.7722,14.9455,0,0
BBT,PE,D,20200915,000000,15.2046,15.2046,14.5998,14.8588,0,0
BBT,PE,D,20200916,000000,14.9455,15.0313,14.5132,14.6865,0,0
BBT,PE,D,20200917,000000,14.6865,14.6865,14.1675,14.4273,0,0
BBT,PE,D,20200918,000000,14.2541,14.7722,14.1675,14.5998,0,0
BBT,PE,D,20200921,000000,14.7722,15.118,14.5132,14.6865,0,0
BBT,PE,D,20200922,000000,14.8588,15.377,14.8588,15.118,0,0
BBT,PE,D,20200923,000000,15.377,15.377,12.0942,12.0942,0,0
BBT,PE,D,20200924,000000,11.8352,11.8352,11.2304,11.4894,0,0
BBT,PE,D,20200925,000000,11.7494,11.7494,11.4894,11.6627,0,0
BBT,PE,D,20200928,000000,11.7494,11.9218,11.4894,11.4894,0,0
BBT,PE,D,20200929,000000,11.7494,11.7494,11.1446,11.6627,0,0
BBT,PE,D,20200930,000000,11.6627,11.7494,11.2304,11.7494,0,0
BBT,PE,D,20201001,000000,11.8352,11.8352,11.3169,11.3169,0,0
BBT,PE,D,20201002,000000,11.2304,11.4037,11.2304,11.4037,0,0
BBT,PE,D,20201005,000000,11.4037,11.4037,11.2304,11.4037,0,0
BBT,PE,D,20201006,000000,11.4894,11.576,11.2304,11.3169,0,0
BBT,PE,D,20201007,000000,11.6627,12.2674,11.6627,11.9218,0,0
BBT,PE,D,20201008,000000,12.3532,12.3532,12.0084,12.0942,0,0
BBT,PE,D,20201009,000000,12.1808,12.1808,11.6627,12.0084,0,0
BBT,PE,D,20201012,000000,12.3532,12.5265,12.1808,12.2674,0,0
BBT,PE,D,20201013,000000,12.4398,12.4398,11.9218,12.2674,0,0
BBT,PE,D,20201014,000000,12.2674,12.2674,11.8352,11.8352,0,0
BBT,PE,D,20201015,000000,11.9218,11.9218,10.7122,11.2304,0,0
BBT,PE,D,20201016,000000,11.2304,11.4894,11.2304,11.4894,0,0
BBT,PE,D,20201019,000000,11.576,11.9218,11.576,11.7494,0,0
BBT,PE,D,20201020,000000,11.7494,11.9218,11.3169,11.576,0,0
BBT,PE,D,20201021,000000,11.576,11.576,11.2304,11.576,0,0
