<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCM,PE,D,20070813,000000,6.86148,6.86148,6.86148,6.86148,0,0
BCM,PE,D,20070814,000000,6.86148,6.86148,6.86148,6.86148,0,0
BCM,PE,D,20070816,000000,6.59449,6.59449,6.59449,6.59449,0,0
BCM,PE,D,20070817,000000,6.11671,6.11671,6.11671,6.11671,0,0
BCM,PE,D,20070820,000000,6.11671,6.11671,6.11671,6.11671,0,0
BCM,PE,D,20070821,000000,6.00887,6.00887,6.00887,6.00887,0,0
BCM,PE,D,20070822,000000,6.21911,6.21911,6.21911,6.21911,0,0
BCM,PE,D,20070823,000000,6.43518,6.43518,6.43518,6.43518,0,0
BCM,PE,D,20070824,000000,6.37834,6.37834,6.37834,6.37834,0,0
BCM,PE,D,20070827,000000,6.43518,6.43518,6.43518,6.43518,0,0
BCM,PE,D,20070828,000000,6.37834,6.37834,6.37834,6.37834,0,0
BCM,PE,D,20070829,000000,6.27595,6.27595,6.27595,6.27595,0,0
BCM,PE,D,20070830,000000,6.86148,6.86148,6.86148,6.86148,0,0
BCM,PE,D,20070831,000000,6.96342,6.96342,6.96342,6.96342,0,0
BCM,PE,D,20070903,000000,7.28206,7.28206,7.28206,7.28206,0,0
BCM,PE,D,20070904,000000,7.33835,7.33835,7.33835,7.33835,0,0
BCM,PE,D,20070905,000000,7.44129,7.44129,7.44129,7.44129,0,0
BCM,PE,D,20070906,000000,7.07146,7.07146,7.07146,7.07146,0,0
BCM,PE,D,20070907,000000,7.07146,7.07146,7.07146,7.07146,0,0
BCM,PE,D,20070910,000000,6.96342,6.96342,6.96342,6.96342,0,0
BCM,PE,D,20070911,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070912,000000,6.91295,6.91295,6.91295,6.91295,0,0
BCM,PE,D,20070913,000000,6.80465,6.80465,6.80465,6.80465,0,0
BCM,PE,D,20070914,000000,6.91295,6.91295,6.91295,6.91295,0,0
BCM,PE,D,20070917,000000,6.96342,6.96342,6.96342,6.96342,0,0
BCM,PE,D,20070918,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070919,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070920,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070921,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070924,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070925,000000,7.07146,7.07146,7.07146,7.07146,0,0
BCM,PE,D,20070926,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20070927,000000,7.17985,7.17985,7.17985,7.17985,0,0
BCM,PE,D,20070928,000000,7.17985,7.17985,7.17985,7.17985,0,0
BCM,PE,D,20071001,000000,7.17985,7.17985,7.17985,7.17985,0,0
BCM,PE,D,20071002,000000,7.07146,7.07146,7.07146,7.07146,0,0
BCM,PE,D,20071003,000000,7.07146,7.07146,7.07146,7.07146,0,0
BCM,PE,D,20071004,000000,7.07146,7.07146,7.07146,7.07146,0,0
BCM,PE,D,20071005,000000,7.02025,7.02025,7.02025,7.02025,0,0
BCM,PE,D,20071008,000000,7.17985,7.17985,7.17985,7.17985,0,0
BCM,PE,D,20071009,000000,7.1512,7.1512,7.1512,7.1512,0,0
BCM,PE,D,20071010,000000,7.20231,7.20231,7.20231,7.20231,0,0
BCM,PE,D,20071011,000000,7.1512,7.1512,7.1512,7.1512,0,0
BCM,PE,D,20071012,000000,7.1512,7.1512,7.1512,7.1512,0,0
BCM,PE,D,20071015,000000,7.20231,7.20231,7.20231,7.20231,0,0
BCM,PE,D,20071016,000000,7.42474,7.42474,7.42474,7.42474,0,0
BCM,PE,D,20071017,000000,7.42474,7.42474,7.42474,7.42474,0,0
BCM,PE,D,20071018,000000,7.42474,7.42474,7.42474,7.42474,0,0
BCM,PE,D,20071019,000000,7.36772,7.36772,7.36772,7.36772,0,0
BCM,PE,D,20071022,000000,7.36772,7.36772,7.36772,7.36772,0,0
BCM,PE,D,20071023,000000,7.20231,7.20231,7.20231,7.20231,0,0
BCM,PE,D,20071024,000000,7.20231,7.20231,7.20231,7.20231,0,0
BCM,PE,D,20071025,000000,7.20231,7.20231,7.20231,7.20231,0,0
BCM,PE,D,20071026,000000,7.20231,7.20231,7.20231,7.20231,0,0
BCM,PE,D,20071029,000000,7.25942,7.25942,7.25942,7.25942,0,0
BCM,PE,D,20071030,000000,7.31071,7.31071,7.31071,7.31071,0,0
BCM,PE,D,20071031,000000,6.87876,6.87876,6.87876,6.87876,0,0
BCM,PE,D,20071102,000000,6.76509,6.76509,6.76509,6.76509,0,0
BCM,PE,D,20071105,000000,52.7192,52.7192,52.7192,52.7192,0,0
BCM,PE,D,20071106,000000,51.9536,51.9536,51.9536,51.9536,0,0
BCM,PE,D,20071107,000000,50.3158,50.3158,50.3158,50.3158,0,0
BCM,PE,D,20071108,000000,49.8256,49.8256,49.8256,49.8256,0,0
BCM,PE,D,20071109,000000,49.0073,50.2066,48.5134,50.2066,0,0
BCM,PE,D,20071112,000000,50.1512,50.2066,49.0073,50.0994,0,0
BCM,PE,D,20071113,000000,50.1512,50.1512,50.0994,50.0994,0,0
BCM,PE,D,20071114,000000,50.1512,50.1512,48.7853,50.0994,0,0
BCM,PE,D,20071115,000000,48.7853,50.0994,45.5689,47.6941,0,0
BCM,PE,D,20071116,000000,46.3883,47.6941,45.7344,46.6601,0,0
BCM,PE,D,20071119,000000,46.6601,48.2406,45.1306,47.4222,0,0
BCM,PE,D,20071120,000000,45.8982,47.0985,45.3525,47.0985,0,0
BCM,PE,D,20071121,000000,45.0224,45.0224,42.4025,43.6602,0,0
BCM,PE,D,20071122,000000,43.6602,44.2622,39.7308,44.2622,0,0
BCM,PE,D,20071123,000000,44.2622,44.2622,42.6745,44.0976,0,0
BCM,PE,D,20071126,000000,44.2049,44.2049,44.1467,44.2049,0,0
BCM,PE,D,20071127,000000,44.2622,44.2622,44.0976,44.2049,0,0
BCM,PE,D,20071128,000000,44.2049,47.6441,43.22,47.6441,0,0
BCM,PE,D,20071129,000000,47.1485,47.9678,46.8765,46.8765,0,0
BCM,PE,D,20071130,000000,48.0252,48.0252,47.1485,47.2049,0,0
BCM,PE,D,20071203,000000,46.2218,48.4625,46.2218,47.9678,0,0
BCM,PE,D,20071204,000000,47.9678,48.8999,7.20231,7.20231,0,0
BCM,PE,D,20071205,000000,7.20231,7.47503,7.09428,7.47503,0,0
BCM,PE,D,20071206,000000,7.47503,7.47503,7.20231,7.20231,0,0
BCM,PE,D,20071207,000000,7.42474,7.47503,7.25942,7.36772,0,0
BCM,PE,D,20071210,000000,7.20231,7.42474,7.03717,7.31071,0,0
BCM,PE,D,20071211,000000,6.98597,7.36772,6.98597,7.36772,0,0
BCM,PE,D,20071212,000000,6.98597,7.36772,6.98597,7.36772,0,0
BCM,PE,D,20071213,000000,7.03717,7.03717,6.98597,7.03717,0,0
BCM,PE,D,20071214,000000,7.1512,7.1512,6.76509,6.92996,0,0
BCM,PE,D,20071217,000000,6.6567,6.82184,6.6567,6.82184,0,0
BCM,PE,D,20071218,000000,6.60549,6.76509,6.60549,6.76509,0,0
BCM,PE,D,20071219,000000,6.60549,6.76509,6.60549,6.76509,0,0
BCM,PE,D,20071220,000000,6.54876,6.54876,6.49192,6.49192,0,0
BCM,PE,D,20071221,000000,6.49192,6.49192,6.27595,6.33278,0,0
BCM,PE,D,20071227,000000,6.33278,6.49192,6.16792,6.49192,0,0
BCM,PE,D,20071228,000000,6.27595,6.82184,6.21911,6.76509,0,0
BCM,PE,D,20080102,000000,6.54876,6.76509,6.54876,6.76509,0,0
BCM,PE,D,20080103,000000,6.76509,6.76509,6.54876,6.71353,0,0
BCM,PE,D,20080104,000000,6.71353,6.82184,6.71353,6.76509,0,0
BCM,PE,D,20080107,000000,6.6567,6.76509,6.38398,6.71353,0,0
BCM,PE,D,20080108,000000,6.54876,6.60549,6.38398,6.60549,0,0
BCM,PE,D,20080109,000000,6.44082,6.60549,6.38398,6.60549,0,0
BCM,PE,D,20080110,000000,6.49192,6.49192,6.38398,6.49192,0,0
BCM,PE,D,20080111,000000,6.38398,6.49192,6.38398,6.49192,0,0
BCM,PE,D,20080114,000000,6.27595,6.27595,6.27595,6.27595,0,0
BCM,PE,D,20080115,000000,5.94621,6.44082,5.94621,6.27595,0,0
BCM,PE,D,20080116,000000,5.67332,5.94621,5.56528,5.94621,0,0
BCM,PE,D,20080117,000000,5.94621,6.16792,5.73024,6.11089,0,0
BCM,PE,D,20080118,000000,5.73024,6.11089,5.73024,6.05988,0,0
BCM,PE,D,20080121,000000,5.78707,6.00295,5.78707,6.00295,0,0
BCM,PE,D,20080122,000000,5.45734,6.11089,5.45734,6.05988,0,0
BCM,PE,D,20080123,000000,6.05988,6.05988,5.73024,5.73024,0,0
BCM,PE,D,20080124,000000,5.83818,6.11089,5.83818,5.89519,0,0
BCM,PE,D,20080125,000000,5.94621,6.11089,5.94621,6.11089,0,0
BCM,PE,D,20080128,000000,5.78707,6.11089,5.78707,6.05988,0,0
BCM,PE,D,20080129,000000,6.11089,6.38398,5.94621,6.38398,0,0
BCM,PE,D,20080130,000000,6.38398,6.38398,6.05988,6.05988,0,0
BCM,PE,D,20080131,000000,6.38398,6.38398,6.11089,6.33278,0,0
BCM,PE,D,20080201,000000,6.27595,6.38398,6.27595,6.38398,0,0
BCM,PE,D,20080204,000000,6.38398,6.54876,6.38398,6.49192,0,0
BCM,PE,D,20080205,000000,6.44082,6.44082,6.11089,6.11089,0,0
BCM,PE,D,20080206,000000,5.78707,10.2048,5.67332,10.2048,0,0
BCM,PE,D,20080207,000000,10.534,11.0796,10.4768,10.8068,0,0
BCM,PE,D,20080208,000000,10.6986,10.9714,10.6986,10.9714,0,0
BCM,PE,D,20080211,000000,10.8578,10.8578,10.585,10.585,0,0
BCM,PE,D,20080212,000000,10.2612,10.8068,10.0393,10.4768,0,0
BCM,PE,D,20080213,000000,10.2048,10.4768,10.0957,10.2048,0,0
BCM,PE,D,20080214,000000,10.6414,10.6414,10.0393,10.2612,0,0
BCM,PE,D,20080215,000000,10.2612,10.4258,10.0957,10.4258,0,0
BCM,PE,D,20080218,000000,10.4258,10.4258,9.98845,10.3122,0,0
BCM,PE,D,20080219,000000,10.585,10.585,10.0957,10.4768,0,0
BCM,PE,D,20080220,000000,10.3694,10.3694,10.1539,10.3122,0,0
BCM,PE,D,20080221,000000,10.3694,10.4258,10.0393,10.3122,0,0
BCM,PE,D,20080225,000000,10.2612,10.2612,10.2048,10.2048,0,0
BCM,PE,D,20080226,000000,9.88015,10.2612,9.88015,10.1539,0,0
