<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS,MV,D,20211207,000000,123.485,123.485,123.485,123.485,0,0
BCS,MV,D,20211208,000000,123.485,123.485,119.315,121.659,0,0
BCS,MV,D,20211209,000000,118.546,121.659,111.387,121.516,0,0
BCS,MV,D,20211210,000000,118.832,121.695,117.042,120.622,0,0
BCS,MV,D,20211213,000000,115.682,120.801,114.895,120.801,0,0
BCS,MV,D,20211214,000000,120.801,120.801,114.357,119.547,0,0
BCS,MV,D,20211215,000000,116.147,119.547,114.608,119.547,0,0
BCS,MV,D,20211216,000000,115.324,119.547,115.324,119.547,0,0
BCS,MV,D,20211217,000000,119.172,121.337,115.396,121.337,0,0
BCS,MV,D,20211220,000000,116.505,120.085,116.326,120.067,0,0
BCS,MV,D,20211221,000000,116.541,121.695,116.505,121.695,0,0
BCS,MV,D,20211222,000000,121.624,121.695,118.832,121.319,0,0
BCS,MV,D,20211223,000000,119.905,119.905,117.544,119.905,0,0
BCS,MV,D,20211227,000000,118.116,120.765,117.615,120.765,0,0
BCS,MV,D,20211228,000000,118.832,121.319,118.116,121.319,0,0
BCS,MV,D,20211229,000000,119.476,126.348,118.832,126.348,0,0
BCS,MV,D,20211230,000000,125.274,128.782,122.894,128.782,0,0
BCS,MV,D,20220103,000000,128.782,130.644,127.422,129.57,0,0
BCS,MV,D,20220104,000000,129.606,142.348,129.606,141.739,0,0
BCS,MV,D,20220105,000000,141.918,148.54,139.61,144.424,0,0
BCS,MV,D,20220107,000000,144.943,144.943,140.773,141.668,0,0
BCS,MV,D,20220110,000000,143.171,144.567,141.023,141.918,0,0
BCS,MV,D,20220111,000000,142.455,143.171,137.981,139.95,0,0
BCS,MV,D,20220112,000000,141.382,142.097,139.234,141.382,0,0
BCS,MV,D,20220113,000000,141.382,141.382,137.802,139.592,0,0
BCS,MV,D,20220114,000000,137.802,141.023,136.013,141.023,0,0
BCS,MV,D,20220117,000000,141.382,149.256,141.382,148.54,0,0
BCS,MV,D,20220118,000000,148.54,149.793,144.245,144.245,0,0
BCS,MV,D,20220119,000000,144.245,144.245,139.592,139.592,0,0
BCS,MV,D,20220120,000000,142.813,149.256,139.592,146.321,0,0
BCS,MV,D,20220121,000000,146.572,147.636,139.95,147.636,0,0
BCS,MV,D,20220124,000000,144.308,144.308,133.65,140.218,0,0
BCS,MV,D,20220125,000000,135.422,138.714,135.234,136.164,0,0
BCS,MV,D,20220126,000000,136.343,139.108,133.202,139.108,0,0
BCS,MV,D,20220127,000000,134.142,141.641,134.142,141.641,0,0
BCS,MV,D,20220128,000000,140.603,142.822,136.532,142.822,0,0
BCS,MV,D,20220131,000000,142.822,142.822,138.232,142.455,0,0
BCS,MV,D,20220201,000000,140.97,142.455,139.493,142.455,0,0
BCS,MV,D,20220202,000000,142.455,142.455,139.198,142.079,0,0
