<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCX,PB,D,20211108,000000,13.58,13.58,13.58,13.58,0,0
BCX,PB,D,20211109,000000,13.85,15.44,13.85,14.2,0,0
BCX,PB,D,20211110,000000,14.2,14.2,13.04,13.58,0,0
BCX,PB,D,20211112,000000,13.93,13.93,13.23,13.25,0,0
BCX,PB,D,20211115,000000,13.25,13.25,12.46,12.53,0,0
BCX,PB,D,20211116,000000,12.38,12.38,11.68,12.13,0,0
BCX,PB,D,20211117,000000,12.19,13.93,12.19,13.93,0,0
BCX,PB,D,20211118,000000,13.92,13.93,13,13.39,0,0
BCX,PB,D,20211119,000000,13.35,14.32,12.81,14.09,0,0
BCX,PB,D,20211122,000000,14.09,14.09,13.28,13.78,0,0
BCX,PB,D,20211123,000000,13.78,14.09,13,14.09,0,0
BCX,PB,D,20211124,000000,14.08,14.16,13.78,13.97,0,0
BCX,PB,D,20211125,000000,13.78,14.08,13.58,14.08,0,0
BCX,PB,D,20211126,000000,13.47,14.09,13.35,14.07,0,0
BCX,PB,D,20211129,000000,13.9,13.9,13.58,13.9,0,0
BCX,PB,D,20211130,000000,13.97,14.16,13.97,14.16,0,0
BCX,PB,D,20211201,000000,13.7,14.36,13.7,14.36,0,0
BCX,PB,D,20211202,000000,14.44,16.74,14.36,16.74,0,0
BCX,PB,D,20211203,000000,16.42,16.77,16.42,16.77,0,0
BCX,PB,D,20211206,000000,16.65,16.77,16.63,16.63,0,0
BCX,PB,D,20211207,000000,16.42,16.42,15.97,16.11,0,0
BCX,PB,D,20211208,000000,16.32,16.32,15.88,16.27,0,0
BCX,PB,D,20211209,000000,16.27,16.27,15.88,16.15,0,0
BCX,PB,D,20211210,000000,15.93,15.93,15.93,15.93,0,0
BCX,PB,D,20211213,000000,16.1,16.23,15.84,16.19,0,0
BCX,PB,D,20211214,000000,15.88,16.77,15.77,16.77,0,0
BCX,PB,D,20211215,000000,16.76,18.88,16.76,18.88,0,0
BCX,PB,D,20211216,000000,18.89,21.4,18.89,20.68,0,0
BCX,PB,D,20211217,000000,20.56,20.56,19.99,20.38,0,0
BCX,PB,D,20211220,000000,20.29,20.47,19.32,19.94,0,0
BCX,PB,D,20211221,000000,18.97,19.81,18.97,19.69,0,0
BCX,PB,D,20211222,000000,19.2,19.41,18.99,19.41,0,0
BCX,PB,D,20211223,000000,19.69,20.29,19.6,20.25,0,0
BCX,PB,D,20211227,000000,20.25,20.25,19.41,20.24,0,0
BCX,PB,D,20211228,000000,19.86,20.29,19.86,20.29,0,0
BCX,PB,D,20211229,000000,20.29,22.5,20.29,22.5,0,0
BCX,PB,D,20211230,000000,22.41,23.29,22.28,23.03,0,0
BCX,PB,D,20220103,000000,23.07,24.66,23.07,24.66,0,0
BCX,PB,D,20220104,000000,25.83,30.44,25.83,29.12,0,0
BCX,PB,D,20220105,000000,29.34,29.34,26.61,28.5,0,0
BCX,PB,D,20220107,000000,28.23,28.28,27.71,28.28,0,0
BCX,PB,D,20220110,000000,28.01,28.46,27.35,28.18,0,0
BCX,PB,D,20220111,000000,26.97,28.12,26.96,28.08,0,0
BCX,PB,D,20220112,000000,27.35,27.88,25.73,26.95,0,0
BCX,PB,D,20220113,000000,27,27.01,26.47,26.82,0,0
BCX,PB,D,20220114,000000,26.47,26.91,26.29,26.91,0,0
BCX,PB,D,20220117,000000,26.74,27.8,26.74,27,0,0
BCX,PB,D,20220118,000000,27.04,27.71,27,27.71,0,0
BCX,PB,D,20220119,000000,27,27.13,26.74,26.74,0,0
BCX,PB,D,20220120,000000,26.91,27.35,26.57,27.35,0,0
BCX,PB,D,20220121,000000,26.56,27.26,25.59,27.15,0,0
BCX,PB,D,20220124,000000,26.08,26.08,24.97,26.03,0,0
BCX,PB,D,20220125,000000,24.97,27.12,24.97,27.12,0,0
BCX,PB,D,20220126,000000,27.12,27.3,26.47,27.3,0,0
BCX,PB,D,20220127,000000,27.34,27.57,27.34,27.35,0,0
BCX,PB,D,20220128,000000,27.35,27.35,26.91,26.91,0,0
BCX,PB,D,20220131,000000,26.91,26.96,26.48,26.89,0,0
BCX,PB,D,20220201,000000,26.91,26.91,25.37,26.59,0,0
BCX,PB,D,20220202,000000,25.35,26.56,25.35,26.54,0,0
BCX,PB,D,20220203,000000,26.56,27.53,23.38,24.14,0,0
BCX,PB,D,20220204,000000,24.31,24.71,21.18,22.05,0,0
BCX,PB,D,20220207,000000,22.08,22.5,21.62,22.06,0,0
BCX,PB,D,20220208,000000,20.82,20.82,18.84,19.41,0,0
BCX,PB,D,20220209,000000,19.59,21.66,19.59,20.74,0,0
BCX,PB,D,20220210,000000,21.52,21.52,19.85,20.16,0,0
BCX,PB,D,20220211,000000,20.16,20.16,19.23,19.85,0,0
BCX,PB,D,20220214,000000,19.33,19.33,18.14,18.92,0,0
BCX,PB,D,20220215,000000,18.92,19.41,17.65,18.88,0,0
BCX,PB,D,20220216,000000,18.88,22.73,18.09,22.73,0,0
BCX,PB,D,20220217,000000,21.97,22.71,21.49,21.91,0,0
BCX,PB,D,20220218,000000,21.91,22.46,21.91,22.46,0,0
BCX,PB,D,20220221,000000,22.46,22.46,21.53,22.46,0,0
BCX,PB,D,20220222,000000,21.64,22.62,21.64,22.41,0,0
BCX,PB,D,20220223,000000,22.41,22.52,21.1,22.49,0,0
BCX,PB,D,20220224,000000,20.82,21.36,18.9,20.75,0,0
BCX,PB,D,20220225,000000,19.75,22.46,19.75,21.91,0,0
BCX,PB,D,20220228,000000,21.91,22.35,20.82,22.35,0,0
BCX,PB,D,20220301,000000,21.91,22.13,21.91,22.13,0,0
BCX,PB,D,20220302,000000,21.1,21.86,18.08,21.86,0,0
BCX,PB,D,20220303,000000,20.27,21.47,20.09,21.47,0,0
BCX,PB,D,20220304,000000,21.47,21.47,20.13,20.63,0,0
BCX,PB,D,20220307,000000,20.11,21.31,19.28,21.31,0,0
BCX,PB,D,20220308,000000,21.31,21.86,21.31,21.8,0,0
BCX,PB,D,20220309,000000,21.36,21.58,20.27,21.58,0,0
BCX,PB,D,20220310,000000,22.19,23.01,22.19,23.01,0,0
BCX,PB,D,20220311,000000,24.65,24.65,22.57,23.56,0,0
BCX,PB,D,20220314,000000,23.56,23.86,22.02,23.86,0,0
BCX,PB,D,20220315,000000,22.84,22.84,19.29,20.05,0,0
BCX,PB,D,20220316,000000,20.27,21.09,20.27,20.98,0,0
BCX,PB,D,20220317,000000,20.22,20.82,20.22,20.82,0,0
BCX,PB,D,20220318,000000,19.72,20.81,19.72,20.54,0,0
BCX,PB,D,20220321,000000,20.49,20.54,19.83,20.54,0,0
BCX,PB,D,20220322,000000,20.54,20.54,20.49,20.49,0,0
BCX,PB,D,20220323,000000,20.27,20.54,19.94,20.54,0,0
BCX,PB,D,20220324,000000,20.54,20.76,20.54,20.75,0,0
BCX,PB,D,20220325,000000,20.54,20.71,20.54,20.71,0,0
BCX,PB,D,20220328,000000,20.71,21.53,20.27,21.53,0,0
BCX,PB,D,20220329,000000,21.61,22.18,21.61,22.18,0,0
BCX,PB,D,20220330,000000,22.4,22.4,21.91,22.27,0,0
BCX,PB,D,20220331,000000,22.27,22.73,21.64,22.68,0,0
BCX,PB,D,20220401,000000,22.68,22.68,21.91,22.57,0,0
BCX,PB,D,20220404,000000,22.52,22.52,21.97,22.46,0,0
BCX,PB,D,20220405,000000,22.02,22.18,22.02,22.18,0,0
BCX,PB,D,20220407,000000,21.2,21.91,20.82,21.89,0,0
BCX,PB,D,20220408,000000,21.67,21.69,21.67,21.69,0,0
BCX,PB,D,20220411,000000,20.87,21.31,20.27,21.26,0,0
BCX,PB,D,20220412,000000,21.26,21.63,20.27,20.82,0,0
BCX,PB,D,20220413,000000,20.27,20.82,20.27,20.82,0,0
BCX,PB,D,20220414,000000,20.82,20.82,20.05,20.6,0,0
BCX,PB,D,20220419,000000,20.6,20.76,19.67,20.27,0,0
BCX,PB,D,20220420,000000,20.27,20.43,20.27,20.43,0,0
BCX,PB,D,20220421,000000,20.38,20.82,20.27,20.71,0,0
BCX,PB,D,20220422,000000,20.71,20.71,20.27,20.27,0,0
BCX,PB,D,20220425,000000,19.83,20.16,19.78,20.16,0,0
BCX,PB,D,20220427,000000,19.72,20.27,19.23,20.27,0,0
BCX,PB,D,20220428,000000,19.23,20.11,19.23,20.11,0,0
BCX,PB,D,20220429,000000,20.11,20.11,20.11,20.11,0,0
BCX,PB,D,20220505,000000,20.05,20.54,19.45,20.38,0,0
BCX,PB,D,20220506,000000,20.38,20.38,20,20.27,0,0
BCX,PB,D,20220509,000000,19.78,20.27,19.17,19.17,0,0
BCX,PB,D,20220510,000000,19.83,19.94,19.17,19.89,0,0
BCX,PB,D,20220511,000000,19.28,19.83,19.17,19.83,0,0
BCX,PB,D,20220512,000000,19.23,19.72,19.17,19.72,0,0
BCX,PB,D,20220513,000000,19.72,20.43,19.17,20.43,0,0
BCX,PB,D,20220516,000000,19.83,20.54,19.28,20.54,0,0
BCX,PB,D,20220517,000000,20.49,26.96,20.49,26.96,0,0
BCX,PB,D,20220518,000000,26.96,26.96,26.96,26.96,0,0
BCX,PB,D,20220519,000000,25.8,26.6,25.8,26.6,0,0
BCX,PB,D,20220520,000000,25.73,26.24,25.73,26.24,0,0
BCX,PB,D,20220523,000000,26.24,26.24,24.51,26.09,0,0
BCX,PB,D,20220525,000000,25.95,26.09,25.95,26.09,0,0
BCX,PB,D,20220526,000000,25.95,25.95,24.94,25.59,0,0
BCX,PB,D,20220527,000000,25.95,26.24,25.95,26.24,0,0
BCX,PB,D,20220530,000000,26.24,26.24,26.24,26.24,0,0
BCX,PB,D,20220531,000000,26.24,26.67,26.24,26.24,0,0
BCX,PB,D,20220601,000000,26.24,26.24,25.95,25.95,0,0
BCX,PB,D,20220602,000000,25.95,25.95,25.95,25.95,0,0
BCX,PB,D,20220603,000000,25.95,25.95,25.01,25.59,0,0
BCX,PB,D,20220606,000000,25.52,25.52,25.23,25.23,0,0
BCX,PB,D,20220607,000000,25.3,28.4,24.51,28.4,0,0
BCX,PB,D,20220608,000000,28.54,28.54,25.88,27.25,0,0
BCX,PB,D,20220609,000000,25.8,27.1,25.8,26.96,0,0
BCX,PB,D,20220610,000000,26.67,26.89,26.67,26.89,0,0
BCX,PB,D,20220613,000000,26.02,26.96,25.23,26.96,0,0
BCX,PB,D,20220615,000000,26.6,26.6,25.95,25.95,0,0
BCX,PB,D,20220617,000000,25.73,25.88,25.66,25.66,0,0
BCX,PB,D,20220620,000000,25.59,26.24,24.8,26.24,0,0
BCX,PB,D,20220621,000000,24.94,25.52,24.87,25.52,0,0
BCX,PB,D,20220622,000000,24.8,26.02,24.51,25.52,0,0
BCX,PB,D,20220623,000000,24.58,24.58,24.51,24.51,0,0
BCX,PB,D,20220624,000000,24.51,26.38,24.15,26.16,0,0
BCX,PB,D,20220627,000000,26.16,26.31,22.7,25.23,0,0
BCX,PB,D,20220628,000000,24.36,25.37,24.36,25.08,0,0
BCX,PB,D,20220629,000000,25.08,25.23,23.07,24.87,0,0
BCX,PB,D,20220630,000000,23.07,25.08,22.56,24.8,0,0
BCX,PB,D,20220701,000000,24.51,25.08,22.99,25.08,0,0
BCX,PB,D,20220704,000000,24.65,25.23,23.79,25.23,0,0
BCX,PB,D,20220705,000000,24.87,24.87,23.93,24.87,0,0
BCX,PB,D,20220706,000000,23.86,25.08,23.86,25.08,0,0
BCX,PB,D,20220707,000000,24.8,25.23,23.79,24.29,0,0
BCX,PB,D,20220708,000000,24.51,24.65,23.64,24.22,0,0
BCX,PB,D,20220711,000000,24.22,25.73,22.85,25.59,0,0
BCX,PB,D,20220712,000000,24.29,25.01,23.86,23.93,0,0
BCX,PB,D,20220713,000000,24.15,24.15,23.28,23.93,0,0
BCX,PB,D,20220714,000000,23.35,23.79,22.27,22.27,0,0
BCX,PB,D,20220715,000000,22.34,22.78,22.27,22.27,0,0
BCX,PB,D,20220718,000000,22.7,22.99,21.98,22.99,0,0
BCX,PB,D,20220719,000000,21.98,22.92,21.91,22.92,0,0
BCX,PB,D,20220720,000000,22.27,22.99,22.2,22.99,0,0
BCX,PB,D,20220721,000000,22.27,22.7,22.06,22.7,0,0
BCX,PB,D,20220722,000000,22.78,22.78,22.78,22.78,0,0
BCX,PB,D,20220725,000000,22.85,22.85,22.85,22.85,0,0
BCX,PB,D,20220726,000000,22.85,22.85,22.34,22.63,0,0
BCX,PB,D,20220727,000000,22.34,22.34,21.55,22.2,0,0
BCX,PB,D,20220728,000000,21.55,22.13,21.55,22.13,0,0
BCX,PB,D,20220729,000000,22.2,22.7,21.62,22.56,0,0
BCX,PB,D,20220801,000000,22.7,23.28,22.7,23.28,0,0
BCX,PB,D,20220802,000000,23.21,23.64,22.49,23.64,0,0
BCX,PB,D,20220803,000000,23.64,25.44,23.64,25.44,0,0
BCX,PB,D,20220804,000000,25.52,25.52,24.8,25.52,0,0
BCX,PB,D,20220805,000000,25.52,25.95,24.51,25.95,0,0
BCX,PB,D,20220808,000000,26.16,32.36,26.16,32.36,0,0
BCX,PB,D,20220809,000000,32.29,32.36,30.2,32,0,0
BCX,PB,D,20220810,000000,31.93,33.16,31.71,33.16,0,0
BCX,PB,D,20220811,000000,33.88,33.88,31.71,33.73,0,0
BCX,PB,D,20220812,000000,33.88,37.48,33.16,37.48,0,0
BCX,PB,D,20220816,000000,38.2,58.43,34.6,58.43,0,0
BCX,PB,D,20220817,000000,59.29,62.09,56.85,60.26,0,0
BCX,PB,D,20220818,000000,60.26,62.09,60.26,62.09,0,0
BCX,PB,D,20220819,000000,60.26,60.87,59.89,60.87,0,0
BCX,PB,D,20220822,000000,60.87,60.87,57.7,60.5,0,0
BCX,PB,D,20220823,000000,60.26,60.26,58.43,60.26,0,0
BCX,PB,D,20220824,000000,60.38,60.38,59.04,59.04,0,0
BCX,PB,D,20220825,000000,58.07,59.65,57.21,59.65,0,0
BCX,PB,D,20220826,000000,60.26,64.23,59.65,64.23,0,0
BCX,PB,D,20220829,000000,64.23,64.74,62.2,63.47,0,0
BCX,PB,D,20220830,000000,63.47,69.81,63.47,69.31,0,0
BCX,PB,D,20220831,000000,66.51,69.31,66.01,68.8,0,0
BCX,PB,D,20220901,000000,68.8,68.8,66.01,67.79,0,0
BCX,PB,D,20220902,000000,67.79,67.79,65.5,67.02,0,0
BCX,PB,D,20220905,000000,67.02,68.04,66.01,66.01,0,0
BCX,PB,D,20220906,000000,67.53,67.53,55.22,64.74,0,0
BCX,PB,D,20220907,000000,63.72,64.74,59.66,64.74,0,0
BCX,PB,D,20220908,000000,62.45,64.74,59.66,60.42,0,0
BCX,PB,D,20220909,000000,62.83,62.83,60.3,61.94,0,0
BCX,PB,D,20220912,000000,60.8,60.93,56.36,59.28,0,0
BCX,PB,D,20220913,000000,59.15,59.15,54.33,55.22,0,0
BCX,PB,D,20220914,000000,54.58,56.87,54.58,55.98,0,0
BCX,PB,D,20220915,000000,57.25,57.63,50.65,54.33,0,0
BCX,PB,D,20220916,000000,52.3,53.19,48.87,52.43,0,0
BCX,PB,D,20220919,000000,52.43,52.43,49,50.9,0,0
BCX,PB,D,20220920,000000,52.04,53.19,52.04,53.19,0,0
BCX,PB,D,20220921,000000,52.81,52.81,48.24,48.24,0,0
BCX,PB,D,20220922,000000,47.86,49.89,43.16,46.46,0,0
BCX,PB,D,20220923,000000,46.33,46.33,44.43,45.95,0,0
BCX,PB,D,20220926,000000,45.95,45.95,42.9,44.17,0,0
BCX,PB,D,20220927,000000,44.05,49.13,44.05,49.13,0,0
BCX,PB,D,20220928,000000,49.13,50.27,47.35,49,0,0
BCX,PB,D,20220929,000000,47.86,48.24,42.65,43.41,0,0
BCX,PB,D,20220930,000000,44.43,44.94,41,43.16,0,0
BCX,PB,D,20221003,000000,43.03,43.16,41.76,41.89,0,0
BCX,PB,D,20221004,000000,42.4,45.19,40.49,42.65,0,0
BCX,PB,D,20221005,000000,42.65,45.83,42.65,45.7,0,0
BCX,PB,D,20221006,000000,45.95,46.33,42.14,42.9,0,0
BCX,PB,D,20221007,000000,43.03,44.81,41.89,41.89,0,0
BCX,PB,D,20221010,000000,43.54,43.54,40.62,41.76,0,0
BCX,PB,D,20221011,000000,40.62,41.64,39.48,41.26,0,0
BCX,PB,D,20221012,000000,41.13,42.27,40.62,41.64,0,0
BCX,PB,D,20221013,000000,40.75,41.76,40.62,40.75,0,0
BCX,PB,D,20221014,000000,41.64,42.01,39.35,42.01,0,0
BCX,PB,D,20221017,000000,42.53,42.53,40.62,40.87,0,0
BCX,PB,D,20221018,000000,41,43.67,39.35,39.35,0,0
BCX,PB,D,20221019,000000,39.99,39.99,38.84,39.99,0,0
BCX,PB,D,20221020,000000,39.48,41.13,39.1,41.13,0,0
BCX,PB,D,20221021,000000,41.13,41.13,39.22,39.22,0,0
BCX,PB,D,20221024,000000,39.35,40.37,39.22,39.99,0,0
BCX,PB,D,20221025,000000,39.99,40.62,39.35,39.48,0,0
BCX,PB,D,20221026,000000,40.62,41.64,39.86,39.99,0,0
BCX,PB,D,20221027,000000,40.11,40.62,39.35,40.37,0,0
BCX,PB,D,20221028,000000,40.11,40.24,39.1,39.35,0,0
BCX,PB,D,20221031,000000,39.48,39.6,39.22,39.48,0,0
BCX,PB,D,20221102,000000,39.99,41,38.59,38.97,0,0
