<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX,PB,D,20070813,000000,1.73485,1.73485,1.73485,1.73485,0,0
BDX,PB,D,20070814,000000,1.7117,1.7117,1.7117,1.7117,0,0
BDX,PB,D,20070816,000000,1.56299,1.56299,1.56299,1.56299,0,0
BDX,PB,D,20070817,000000,1.4472,1.4472,1.4472,1.4472,0,0
BDX,PB,D,20070820,000000,1.46388,1.46388,1.46388,1.46388,0,0
BDX,PB,D,20070821,000000,1.41752,1.41752,1.41752,1.41752,0,0
BDX,PB,D,20070822,000000,1.4472,1.4472,1.4472,1.4472,0,0
BDX,PB,D,20070823,000000,1.44389,1.44389,1.44389,1.44389,0,0
BDX,PB,D,20070824,000000,1.41752,1.41752,1.41752,1.41752,0,0
BDX,PB,D,20070827,000000,1.42083,1.42083,1.42083,1.42083,0,0
BDX,PB,D,20070828,000000,1.36792,1.36792,1.36792,1.36792,0,0
BDX,PB,D,20070829,000000,1.33499,1.33499,1.33499,1.33499,0,0
BDX,PB,D,20070830,000000,1.29194,1.29194,1.29194,1.29194,0,0
BDX,PB,D,20070831,000000,1.3019,1.3019,1.3019,1.3019,0,0
BDX,PB,D,20070903,000000,1.33499,1.33499,1.33499,1.33499,0,0
BDX,PB,D,20070904,000000,1.32836,1.32836,1.32836,1.32836,0,0
BDX,PB,D,20070905,000000,1.40101,1.40101,1.40101,1.40101,0,0
BDX,PB,D,20070906,000000,1.46388,1.46388,1.46388,1.46388,0,0
BDX,PB,D,20070907,000000,1.4472,1.4472,1.4472,1.4472,0,0
BDX,PB,D,20070910,000000,1.36792,1.36792,1.36792,1.36792,0,0
BDX,PB,D,20070911,000000,1.29527,1.29527,1.29527,1.29527,0,0
BDX,PB,D,20070912,000000,1.26898,1.26898,1.26898,1.26898,0,0
BDX,PB,D,20070913,000000,1.27544,1.27544,1.27544,1.27544,0,0
BDX,PB,D,20070914,000000,1.23902,1.23902,1.23902,1.23902,0,0
BDX,PB,D,20070917,000000,1.26225,1.26225,1.26225,1.26225,0,0
BDX,PB,D,20070918,000000,1.26898,1.26898,1.26898,1.26898,0,0
BDX,PB,D,20070919,000000,1.25553,1.25553,1.25553,1.25553,0,0
BDX,PB,D,20070920,000000,1.20619,1.20619,1.20619,1.20619,0,0
BDX,PB,D,20070921,000000,1.19607,1.19607,1.19607,1.19607,0,0
BDX,PB,D,20070924,000000,1.21265,1.21265,1.21265,1.21265,0,0
BDX,PB,D,20070925,000000,1.15983,1.15983,1.15983,1.15983,0,0
