<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHW,MV,D,20070813,000000,5618.44,5618.44,5618.44,5618.44,0,0
BHW,MV,D,20070814,000000,5538.18,5538.18,5538.18,5538.18,0,0
BHW,MV,D,20070816,000000,5297.4,5297.4,5297.4,5297.4,0,0
BHW,MV,D,20070817,000000,5538.18,5538.18,5538.18,5538.18,0,0
BHW,MV,D,20070820,000000,5618.44,5618.44,5618.44,5618.44,0,0
BHW,MV,D,20070821,000000,5618.44,5618.44,5618.44,5618.44,0,0
BHW,MV,D,20070822,000000,5837.82,5837.82,5837.82,5837.82,0,0
BHW,MV,D,20070823,000000,6126.78,6126.78,6126.78,6126.78,0,0
BHW,MV,D,20070824,000000,6190.99,6190.99,6190.99,6190.99,0,0
BHW,MV,D,20070827,000000,6207.05,6207.05,6207.05,6207.05,0,0
BHW,MV,D,20070828,000000,6244.5,6244.5,6244.5,6244.5,0,0
BHW,MV,D,20070829,000000,6153.53,6153.53,6153.53,6153.53,0,0
BHW,MV,D,20070830,000000,6201.73,6201.73,6201.73,6201.73,0,0
BHW,MV,D,20070831,000000,6340.84,6340.84,6340.84,6340.84,0,0
BHW,MV,D,20070903,000000,6410.41,6410.41,6410.41,6410.41,0,0
BHW,MV,D,20070904,000000,6415.73,6415.73,6415.73,6415.73,0,0
BHW,MV,D,20070905,000000,6367.59,6367.59,6367.59,6367.59,0,0
BHW,MV,D,20070906,000000,6153.53,6153.53,6153.53,6153.53,0,0
BHW,MV,D,20070907,000000,6046.51,6046.51,6046.51,6046.51,0,0
BHW,MV,D,20070910,000000,5912.77,5912.77,5912.77,5912.77,0,0
BHW,MV,D,20070911,000000,6003.74,6003.74,6003.74,6003.74,0,0
BHW,MV,D,20070912,000000,6014.43,6014.43,6014.43,6014.43,0,0
BHW,MV,D,20070913,000000,5939.52,5939.52,5939.52,5939.52,0,0
BHW,MV,D,20070914,000000,5934.16,5934.16,5934.16,5934.16,0,0
BHW,MV,D,20070917,000000,5832.5,5832.5,5832.5,5832.5,0,0
BHW,MV,D,20070918,000000,5923.45,5923.45,5923.45,5923.45,0,0
BHW,MV,D,20070919,000000,6207.05,6207.05,6207.05,6207.05,0,0
BHW,MV,D,20070920,000000,6260.58,6260.58,6260.58,6260.58,0,0
BHW,MV,D,20070921,000000,6207.05,6207.05,6207.05,6207.05,0,0
BHW,MV,D,20070924,000000,6158.91,6158.91,6158.91,6158.91,0,0
BHW,MV,D,20070925,000000,6158.91,6158.91,6158.91,6158.91,0,0
BHW,MV,D,20070926,000000,6137.47,6137.47,6137.47,6137.47,0,0
BHW,MV,D,20070927,000000,6073.27,6073.27,6073.27,6073.27,0,0
BHW,MV,D,20070928,000000,6067.95,6067.95,6067.95,6067.95,0,0
BHW,MV,D,20071001,000000,5896.7,5896.7,5896.7,5896.7,0,0
BHW,MV,D,20071002,000000,5939.52,5939.52,5939.52,5939.52,0,0
BHW,MV,D,20071003,000000,6046.51,6046.51,6046.51,6046.51,0,0
BHW,MV,D,20071004,000000,6057.24,6057.24,6057.24,6057.24,0,0
BHW,MV,D,20071005,000000,6153.53,6153.53,6153.53,6153.53,0,0
BHW,MV,D,20071008,000000,6207.05,6207.05,6207.05,6207.05,0,0
BHW,MV,D,20071009,000000,6287.31,6287.31,6287.31,6287.31,0,0
BHW,MV,D,20071010,000000,6340.84,6340.84,6340.84,6340.84,0,0
BHW,MV,D,20071011,000000,6496,6496,6496,6496,0,0
BHW,MV,D,20071012,000000,6586.97,6586.97,6586.97,6586.97,0,0
BHW,MV,D,20071015,000000,6688.62,6688.62,6688.62,6688.62,0,0
BHW,MV,D,20071016,000000,6720.76,6720.76,6720.76,6720.76,0,0
BHW,MV,D,20071017,000000,6501.37,6501.37,6501.37,6501.37,0,0
BHW,MV,D,20071018,000000,6314.08,6314.08,6314.08,6314.08,0,0
BHW,MV,D,20071019,000000,6367.59,6367.59,6367.59,6367.59,0,0
BHW,MV,D,20071022,000000,6100.02,6100.02,6100.02,6100.02,0,0
BHW,MV,D,20071023,000000,6362.23,6362.23,6362.23,6362.23,0,0
BHW,MV,D,20071024,000000,6378.28,6378.28,6378.28,6378.28,0,0
BHW,MV,D,20071025,000000,6308.71,6308.71,6308.71,6308.71,0,0
BHW,MV,D,20071026,000000,6153.53,6153.53,6153.53,6153.53,0,0
BHW,MV,D,20071029,000000,6169.6,6169.6,6169.6,6169.6,0,0
