<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHW,PE,D,20070813,000000,7.45481,7.45481,7.45481,7.45481,0,0
BHW,PE,D,20070814,000000,7.3721,7.3721,7.3721,7.3721,0,0
BHW,PE,D,20070816,000000,7.04505,7.04505,7.04505,7.04505,0,0
BHW,PE,D,20070817,000000,7.3721,7.3721,7.3721,7.3721,0,0
BHW,PE,D,20070820,000000,7.45481,7.45481,7.45481,7.45481,0,0
BHW,PE,D,20070821,000000,7.45481,7.45481,7.45481,7.45481,0,0
BHW,PE,D,20070822,000000,7.74313,7.74313,7.74313,7.74313,0,0
BHW,PE,D,20070823,000000,8.14674,8.14674,8.14674,8.14674,0,0
BHW,PE,D,20070824,000000,8.23042,8.23042,8.23042,8.23042,0,0
BHW,PE,D,20070827,000000,8.23042,8.23042,8.23042,8.23042,0,0
BHW,PE,D,20070828,000000,8.31412,8.31412,8.31412,8.31412,0,0
BHW,PE,D,20070829,000000,8.19104,8.19104,8.19104,8.19104,0,0
BHW,PE,D,20070830,000000,8.23042,8.23042,8.23042,8.23042,0,0
BHW,PE,D,20070831,000000,8.39453,8.39453,8.39453,8.39453,0,0
BHW,PE,D,20070903,000000,8.51842,8.51842,8.51842,8.51842,0,0
BHW,PE,D,20070904,000000,8.51842,8.51842,8.51842,8.51842,0,0
BHW,PE,D,20070905,000000,8.43473,8.43473,8.43473,8.43473,0,0
BHW,PE,D,20070906,000000,8.14674,8.14674,8.14674,8.14674,0,0
BHW,PE,D,20070907,000000,8.0253,8.0253,8.0253,8.0253,0,0
BHW,PE,D,20070910,000000,7.86366,7.86366,7.86366,7.86366,0,0
BHW,PE,D,20070911,000000,7.98674,7.98674,7.98674,7.98674,0,0
BHW,PE,D,20070912,000000,7.98674,7.98674,7.98674,7.98674,0,0
BHW,PE,D,20070913,000000,7.86366,7.86366,7.86366,7.86366,0,0
BHW,PE,D,20070914,000000,7.86366,7.86366,7.86366,7.86366,0,0
BHW,PE,D,20070917,000000,7.74313,7.74313,7.74313,7.74313,0,0
BHW,PE,D,20070918,000000,7.86366,7.86366,7.86366,7.86366,0,0
BHW,PE,D,20070919,000000,8.23042,8.23042,8.23042,8.23042,0,0
BHW,PE,D,20070920,000000,8.31412,8.31412,8.31412,8.31412,0,0
BHW,PE,D,20070921,000000,8.23042,8.23042,8.23042,8.23042,0,0
BHW,PE,D,20070924,000000,8.19104,8.19104,8.19104,8.19104,0,0
BHW,PE,D,20070925,000000,8.19104,8.19104,8.19104,8.19104,0,0
BHW,PE,D,20070926,000000,8.14674,8.14674,8.14674,8.14674,0,0
BHW,PE,D,20070927,000000,8.06879,8.06879,8.06879,8.06879,0,0
BHW,PE,D,20070928,000000,8.06879,8.06879,8.06879,8.06879,0,0
BHW,PE,D,20071001,000000,7.82099,7.82099,7.82099,7.82099,0,0
BHW,PE,D,20071002,000000,7.86366,7.86366,7.86366,7.86366,0,0
