<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMC,PB,D,20090205,000000,5.5582,5.5582,5.5582,5.5582,0,0
BMC,PB,D,20090206,000000,6.28489,6.28489,5.66622,5.66622,0,0
BMC,PB,D,20090209,000000,5.6073,5.6073,5.58766,5.58766,0,0
BMC,PB,D,20090210,000000,5.96083,5.96083,5.5582,5.5582,0,0
BMC,PB,D,20090211,000000,5.5582,5.5582,4.95917,4.95917,0,0
BMC,PB,D,20090212,000000,5.05737,5.05737,4.62529,4.62529,0,0
BMC,PB,D,20090213,000000,4.51727,4.62529,4.51727,4.51727,0,0
BMC,PB,D,20090216,000000,4.93953,4.93953,4.73331,4.73331,0,0
BMC,PB,D,20090217,000000,4.99845,5.03773,4.99845,5.03773,0,0
BMC,PB,D,20090218,000000,4.93953,5.00827,3.13263,3.13263,0,0
BMC,PB,D,20090219,000000,3.27011,3.27011,3.27011,3.27011,0,0
BMC,PB,D,20090220,000000,3.35849,3.35849,3.35849,3.35849,0,0
BMC,PB,D,20090223,000000,3.27011,3.35849,2.70054,2.88712,0,0
BMC,PB,D,20090224,000000,2.89694,2.89694,2.81838,2.81838,0,0
BMC,PB,D,20090225,000000,2.75946,2.75946,2.75946,2.75946,0,0
BMC,PB,D,20090226,000000,2.8282,2.8282,2.73,2.73,0,0
BMC,PB,D,20090227,000000,2.73,2.73,2.60234,2.60234,0,0
BMC,PB,D,20090302,000000,2.8282,2.8282,2.66126,2.66126,0,0
BMC,PB,D,20090303,000000,2.8282,2.8282,2.51396,2.51396,0,0
BMC,PB,D,20090304,000000,2.59252,2.59252,2.17025,2.30773,0,0
BMC,PB,D,20090305,000000,2.54342,2.54342,2.28809,2.28809,0,0
BMC,PB,D,20090306,000000,2.40594,2.40594,1.93457,1.93457,0,0
BMC,PB,D,20090309,000000,2.15061,2.15061,2.09169,2.09169,0,0
BMC,PB,D,20090310,000000,2.05241,2.10151,2.05241,2.05241,0,0
BMC,PB,D,20090311,000000,2.23899,2.26845,2.01313,2.04259,0,0
BMC,PB,D,20090312,000000,2.00331,2.46486,2.00331,2.25863,0,0
BMC,PB,D,20090313,000000,2.41576,2.41576,2.21935,2.21935,0,0
BMC,PB,D,20090316,000000,2.28809,2.28809,2.06223,2.28809,0,0
BMC,PB,D,20090317,000000,2.23899,2.41576,2.23899,2.41576,0,0
BMC,PB,D,20090318,000000,2.37647,2.5336,2.37647,2.45504,0,0
BMC,PB,D,20090319,000000,2.17025,3.01478,2.17025,3.01478,0,0
BMC,PB,D,20090320,000000,2.89694,3.01478,2.81838,3.01478,0,0
BMC,PB,D,20090323,000000,3.01478,3.26029,2.73,3.26029,0,0
BMC,PB,D,20090324,000000,3.47633,3.47633,3.13263,3.13263,0,0
BMC,PB,D,20090325,000000,2.89694,2.94604,2.7791,2.94604,0,0
BMC,PB,D,20090326,000000,2.95586,3.18173,2.95586,3.18173,0,0
BMC,PB,D,20090327,000000,3.17191,3.17191,3.11299,3.11299,0,0
BMC,PB,D,20090330,000000,3.11299,3.21119,3.08353,3.08353,0,0
BMC,PB,D,20090331,000000,2.81838,3.17191,2.81838,3.17191,0,0
BMC,PB,D,20090401,000000,3.28975,3.28975,3.25047,3.25047,0,0
BMC,PB,D,20090402,000000,2.86748,3.25047,2.55324,2.86748,0,0
BMC,PB,D,20090403,000000,2.90676,3.15227,2.86748,2.89694,0,0
BMC,PB,D,20090406,000000,3.01478,3.05406,2.98532,3.05406,0,0
BMC,PB,D,20090407,000000,3.18173,3.18173,3.06388,3.06388,0,0
BMC,PB,D,20090408,000000,3.07371,3.07371,2.89694,2.91658,0,0
BMC,PB,D,20090409,000000,2.89694,2.89694,2.6809,2.80856,0,0
BMC,PB,D,20090414,000000,2.94604,2.94604,2.76928,2.81838,0,0
BMC,PB,D,20090415,000000,2.89694,2.89694,2.74964,2.81838,0,0
BMC,PB,D,20090416,000000,2.79874,3.08353,2.66126,3.08353,0,0
BMC,PB,D,20090417,000000,3.11299,3.11299,2.99514,3.00496,0,0
BMC,PB,D,20090420,000000,3.12281,3.12281,3.11299,3.11299,0,0
BMC,PB,D,20090421,000000,2.96568,3.11299,2.78892,2.89694,0,0
BMC,PB,D,20090422,000000,3.11299,3.36831,2.89694,3.36831,0,0
BMC,PB,D,20090423,000000,3.35849,3.35849,3.12281,3.12281,0,0
BMC,PB,D,20090424,000000,3.18173,3.18173,3.01478,3.17191,0,0
BMC,PB,D,20090427,000000,3.06388,3.06388,2.99514,3.04424,0,0
BMC,PB,D,20090428,000000,2.79874,3.01478,2.79874,3.01478,0,0
BMC,PB,D,20090429,000000,2.99514,3.04424,2.89694,3.04424,0,0
BMC,PB,D,20090430,000000,2.89694,2.89694,2.85766,2.86748,0,0
BMC,PB,D,20090504,000000,2.88712,2.9755,2.26845,2.26845,0,0
BMC,PB,D,20090505,000000,2.19971,2.37647,2.19971,2.25863,0,0
BMC,PB,D,20090506,000000,2.37647,2.37647,2.23899,2.23899,0,0
BMC,PB,D,20090507,000000,2.16043,2.28809,2.16043,2.28809,0,0
BMC,PB,D,20090508,000000,2.34701,2.34701,2.23899,2.23899,0,0
BMC,PB,D,20090511,000000,2.24881,2.24881,2.23899,2.23899,0,0
BMC,PB,D,20090512,000000,2.34701,2.34701,2.23899,2.23899,0,0
BMC,PB,D,20090513,000000,2.26845,2.26845,2.19971,2.21935,0,0
BMC,PB,D,20090514,000000,2.12115,2.21935,2.12115,2.21935,0,0
BMC,PB,D,20090515,000000,2.23899,2.23899,2.22917,2.22917,0,0
BMC,PB,D,20090518,000000,2.28809,2.28809,2.20953,2.24881,0,0
