<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW,MV,D,20120125,000000,136.657,136.657,136.657,136.657,0,0
BOW,MV,D,20120126,000000,141.216,150.324,130.154,136.657,0,0
BOW,MV,D,20120127,000000,143.815,143.815,130.797,130.797,0,0
BOW,MV,D,20120130,000000,133.406,133.406,133.406,133.406,0,0
BOW,MV,D,20120131,000000,131.183,133.406,129.89,130.154,0,0
BOW,MV,D,20120201,000000,130.154,130.154,119.737,130.154,0,0
BOW,MV,D,20120202,000000,129.497,129.497,117.787,128.06,0,0
BOW,MV,D,20120203,000000,128.718,128.718,123.766,128.59,0,0
BOW,MV,D,20120206,000000,128.204,128.59,123.766,127.811,0,0
BOW,MV,D,20120207,000000,124.281,124.953,117.787,120.908,0,0
BOW,MV,D,20120208,000000,120.387,120.387,115.307,119.087,0,0
BOW,MV,D,20120209,000000,119.608,119.608,117.129,119.472,0,0
BOW,MV,D,20120210,000000,117.129,117.129,117.129,117.129,0,0
BOW,MV,D,20120213,000000,117.129,117.129,117.129,117.129,0,0
BOW,MV,D,20120214,000000,120.908,120.908,120.908,120.908,0,0
BOW,MV,D,20120215,000000,118.952,120.908,112.449,117.129,0,0
BOW,MV,D,20120216,000000,111.419,115.835,106.854,115.835,0,0
BOW,MV,D,20120217,000000,117.129,117.129,115.186,115.186,0,0
BOW,MV,D,20120220,000000,114.528,114.528,110.369,110.369,0,0
BOW,MV,D,20120221,000000,111.278,111.278,100.217,106.726,0,0
BOW,MV,D,20120222,000000,105.418,106.075,105.418,106.075,0,0
BOW,MV,D,20120223,000000,110.491,110.491,106.075,106.075,0,0
BOW,MV,D,20120224,000000,104.117,105.418,101.388,105.418,0,0
BOW,MV,D,20120227,000000,106.075,106.075,105.297,105.297,0,0
BOW,MV,D,20120228,000000,105.161,105.161,104.896,104.896,0,0
BOW,MV,D,20120229,000000,105.161,105.161,104.775,104.775,0,0
BOW,MV,D,20120301,000000,104.117,104.775,102.16,104.253,0,0
BOW,MV,D,20120302,000000,106.726,106.726,106.726,106.726,0,0
BOW,MV,D,20120305,000000,106.726,106.726,105.418,105.418,0,0
BOW,MV,D,20120306,000000,104.647,104.647,104.647,104.647,0,0
BOW,MV,D,20120307,000000,109.326,109.326,105.418,105.418,0,0
BOW,MV,D,20120308,000000,106.726,106.726,97.0864,104.117,0,0
BOW,MV,D,20120309,000000,101.517,101.517,101.517,101.517,0,0
BOW,MV,D,20120312,000000,101.517,101.517,101.517,101.517,0,0
BOW,MV,D,20120313,000000,100.867,100.867,96.437,97.8728,0,0
BOW,MV,D,20120314,000000,99.823,99.823,95.2658,95.2658,0,0
BOW,MV,D,20120315,000000,100.217,100.217,96.3159,96.3159,0,0
BOW,MV,D,20120316,000000,100.217,100.217,96.3159,96.3159,0,0
BOW,MV,D,20120319,000000,98.266,98.266,96.3159,96.437,0,0
