<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR,PE,D,20070813,000000,53.7888,53.7888,53.7888,53.7888,0,0
CAR,PE,D,20070814,000000,52.7429,52.7429,52.7429,52.7429,0,0
CAR,PE,D,20070816,000000,45.9618,45.9618,45.9618,45.9618,0,0
CAR,PE,D,20070817,000000,47.1061,47.1061,47.1061,47.1061,0,0
CAR,PE,D,20070820,000000,48.2496,48.2496,48.2496,48.2496,0,0
CAR,PE,D,20070821,000000,48.2496,48.2496,48.2496,48.2496,0,0
CAR,PE,D,20070822,000000,49.8037,49.8037,49.8037,49.8037,0,0
CAR,PE,D,20070823,000000,35.2391,35.2391,35.2391,35.2391,0,0
CAR,PE,D,20070824,000000,36.1031,36.1031,36.1031,36.1031,0,0
CAR,PE,D,20070827,000000,36.7743,36.7743,36.7743,36.7743,0,0
CAR,PE,D,20070828,000000,38.5959,38.5959,38.5959,38.5959,0,0
CAR,PE,D,20070829,000000,38.9747,38.9747,38.9747,38.9747,0,0
CAR,PE,D,20070830,000000,39.2671,39.2671,39.2671,39.2671,0,0
CAR,PE,D,20070831,000000,38.4001,38.4001,38.4001,38.4001,0,0
CAR,PE,D,20070903,000000,38.4001,38.4001,38.4001,38.4001,0,0
CAR,PE,D,20070904,000000,38.4001,38.4001,38.4001,38.4001,0,0
CAR,PE,D,20070905,000000,38.2081,38.2081,38.2081,38.2081,0,0
CAR,PE,D,20070906,000000,38.6944,38.6944,38.6944,38.6944,0,0
CAR,PE,D,20070907,000000,38.2081,38.2081,38.2081,38.2081,0,0
CAR,PE,D,20070910,000000,37.4405,37.4405,37.4405,37.4405,0,0
CAR,PE,D,20070911,000000,37.5399,37.5399,37.5399,37.5399,0,0
CAR,PE,D,20070912,000000,36.7743,36.7743,36.7743,36.7743,0,0
CAR,PE,D,20070913,000000,36.6759,36.6759,36.6759,36.6759,0,0
CAR,PE,D,20070914,000000,37.1602,37.1602,37.1602,37.1602,0,0
CAR,PE,D,20070917,000000,36.5864,36.5864,36.5864,36.5864,0,0
CAR,PE,D,20070918,000000,36.1987,36.1987,36.1987,36.1987,0,0
CAR,PE,D,20070919,000000,36.7743,36.7743,36.7743,36.7743,0,0
CAR,PE,D,20070920,000000,36.5864,36.5864,36.5864,36.5864,0,0
CAR,PE,D,20070921,000000,36.5864,36.5864,36.5864,36.5864,0,0
CAR,PE,D,20070924,000000,35.7254,35.7254,35.7254,35.7254,0,0
CAR,PE,D,20070925,000000,34.7639,34.7639,34.7639,34.7639,0,0
CAR,PE,D,20070926,000000,36.8679,36.8679,36.8679,36.8679,0,0
CAR,PE,D,20070927,000000,36.5864,36.5864,36.5864,36.5864,0,0
CAR,PE,D,20070928,000000,36.5864,36.5864,36.5864,36.5864,0,0
CAR,PE,D,20071001,000000,36.1031,36.1031,36.1031,36.1031,0,0
CAR,PE,D,20071002,000000,36.1031,36.1031,36.1031,36.1031,0,0
CAR,PE,D,20071003,000000,35.8208,35.8208,35.8208,35.8208,0,0
CAR,PE,D,20071004,000000,35.4331,35.4331,35.4331,35.4331,0,0
CAR,PE,D,20071005,000000,35.6269,35.6269,35.6269,35.6269,0,0
CAR,PE,D,20071008,000000,35.5305,35.5305,35.5305,35.5305,0,0
CAR,PE,D,20071009,000000,35.7254,35.7254,35.7254,35.7254,0,0
CAR,PE,D,20071010,000000,34.8623,34.8623,34.8623,34.8623,0,0
CAR,PE,D,20071011,000000,35.6269,35.6269,35.6269,35.6269,0,0
CAR,PE,D,20071012,000000,36.0057,36.0057,36.0057,36.0057,0,0
CAR,PE,D,20071015,000000,37.6354,37.6354,37.6354,37.6354,0,0
CAR,PE,D,20071016,000000,36.1987,36.1987,36.1987,36.1987,0,0
CAR,PE,D,20071017,000000,36.49,36.49,36.49,36.49,0,0
CAR,PE,D,20071018,000000,35.4331,35.4331,35.4331,35.4331,0,0
CAR,PE,D,20071019,000000,35.9182,35.9182,35.9182,35.9182,0,0
CAR,PE,D,20071022,000000,36.1987,36.1987,36.1987,36.1987,0,0
CAR,PE,D,20071023,000000,36.9653,36.9653,36.9653,36.9653,0,0
CAR,PE,D,20071024,000000,36.8679,36.8679,36.8679,36.8679,0,0
CAR,PE,D,20071025,000000,35.4331,35.4331,35.4331,35.4331,0,0
CAR,PE,D,20071026,000000,36.0057,36.0057,36.0057,36.0057,0,0
CAR,PE,D,20071029,000000,36.49,36.49,36.49,36.49,0,0
CAR,PE,D,20071030,000000,36.1987,36.1987,36.1987,36.1987,0,0
CAR,PE,D,20071031,000000,36.2981,36.2981,36.2981,36.2981,0,0
CAR,PE,D,20071102,000000,35.4331,35.4331,35.4331,35.4331,0,0
CAR,PE,D,20071105,000000,35.4331,35.4331,35.4331,35.4331,0,0
CAR,PE,D,20071106,000000,34.385,34.385,34.385,34.385,0,0
CAR,PE,D,20071107,000000,34.2886,34.2886,34.2886,34.2886,0,0
CAR,PE,D,20071108,000000,33.6174,33.6174,33.6174,33.6174,0,0
CAR,PE,D,20071109,000000,33.6174,33.6174,32.1836,32.4641,0,0
CAR,PE,D,20071112,000000,32.4641,32.4641,31.8923,32.1836,0,0
CAR,PE,D,20071113,000000,33.1332,33.1332,30.736,31.6985,0,0
CAR,PE,D,20071114,000000,31.6985,32.4641,30.552,31.1237,0,0
CAR,PE,D,20071115,000000,31.6985,31.6985,24.0432,24.0432,0,0
CAR,PE,D,20071116,000000,22.8889,24.0432,21.5495,22.4136,0,0
CAR,PE,D,20071119,000000,22.1223,22.9853,22.1223,22.694,0,0
CAR,PE,D,20071120,000000,22.1223,22.51,22.0258,22.3161,0,0
CAR,PE,D,20071121,000000,22.1223,22.1223,22.1223,22.1223,0,0
CAR,PE,D,20071122,000000,22.1223,23.8494,20.9768,23.6555,0,0
CAR,PE,D,20071123,000000,23.6555,23.8494,22.5966,23.5571,0,0
CAR,PE,D,20071126,000000,23.5571,24.0432,23.2766,23.9458,0,0
CAR,PE,D,20071127,000000,23.9458,23.9458,22.5966,23.1782,0,0
CAR,PE,D,20071128,000000,23.1782,23.1782,22.2177,23.1782,0,0
CAR,PE,D,20071129,000000,23.2766,23.6555,23.2766,23.6555,0,0
CAR,PE,D,20071130,000000,23.6555,23.7509,23.0827,23.5571,0,0
CAR,PE,D,20071203,000000,23.7509,24.5185,23.7509,23.8494,0,0
CAR,PE,D,20071204,000000,24.0432,24.5185,23.8494,23.9458,0,0
CAR,PE,D,20071205,000000,24.1298,24.7104,23.9458,24.7104,0,0
CAR,PE,D,20071206,000000,24.7104,25.8589,24.7104,25.1867,0,0
CAR,PE,D,20071207,000000,25.8589,26.3312,25.8589,26.3312,0,0
CAR,PE,D,20071210,000000,26.3312,28.448,26.3312,27.583,0,0
CAR,PE,D,20071211,000000,28.448,28.448,26.5271,27.3901,0,0
CAR,PE,D,20071212,000000,27.3901,27.3901,26.4306,27.1972,0,0
CAR,PE,D,20071213,000000,27.1972,27.1972,26.5271,26.9148,0,0
CAR,PE,D,20071214,000000,26.9148,28.2531,26.9148,28.2531,0,0
CAR,PE,D,20071217,000000,27.1972,28.7294,26.5271,28.7294,0,0
CAR,PE,D,20071218,000000,27.2927,28.1567,27.1972,28.1567,0,0
