<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBF,MV,D,20171229,000000,185.82,185.82,185.82,185.82,0,0
CBF,MV,D,20180103,000000,183.121,183.121,178.918,180.112,0,0
CBF,MV,D,20180104,000000,180.616,180.616,173.618,175.609,0,0
CBF,MV,D,20180105,000000,184.121,184.121,175.609,183.024,0,0
CBF,MV,D,20180108,000000,185.12,190.022,180.112,180.112,0,0
CBF,MV,D,20180109,000000,178.112,178.112,175.705,175.705,0,0
CBF,MV,D,20180110,000000,177.016,180.015,177.016,180.015,0,0
CBF,MV,D,20180111,000000,182.616,182.616,176.122,180.112,0,0
CBF,MV,D,20180112,000000,175.609,183.121,175.609,183.121,0,0
CBF,MV,D,20180115,000000,189.12,189.12,184.121,186.615,0,0
CBF,MV,D,20180116,000000,190.022,190.022,183.528,186.829,0,0
CBF,MV,D,20180117,000000,186.829,244.456,182.714,244.456,0,0
CBF,MV,D,20180118,000000,244.456,245.65,234.497,245.65,0,0
CBF,MV,D,20180119,000000,245.65,245.65,243.126,244.456,0,0
CBF,MV,D,20180122,000000,245.65,245.786,244.456,245.786,0,0
CBF,MV,D,20180123,000000,244.456,247.377,243.126,245.786,0,0
CBF,MV,D,20180124,000000,245.786,247.125,243.67,246.581,0,0
CBF,MV,D,20180125,000000,246.581,265.713,244.193,263.587,0,0
CBF,MV,D,20180126,000000,252.434,262.529,252.434,260.393,0,0
CBF,MV,D,20180129,000000,253.482,260.393,253.482,260.393,0,0
CBF,MV,D,20180130,000000,261.461,261.461,253.482,257.734,0,0
CBF,MV,D,20180131,000000,254.822,263.587,254.822,257.734,0,0
CBF,MV,D,20180201,000000,263.334,265.713,257.482,265.713,0,0
CBF,MV,D,20180202,000000,265.713,265.713,265.713,265.713,0,0
CBF,MV,D,20180205,000000,259.073,259.073,249.775,259.073,0,0
CBF,MV,D,20180206,000000,252.434,256.414,239.146,256.414,0,0
CBF,MV,D,20180207,000000,264.392,264.392,256.414,258.812,0,0
CBF,MV,D,20180208,000000,256.151,259.073,245.786,259.073,0,0
CBF,MV,D,20180209,000000,252.687,259.073,248.445,257.734,0,0
CBF,MV,D,20180212,000000,258.812,259.073,258.54,259.073,0,0
