<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEZ,PB,D,20070813,000000,1.11227,1.11227,1.11227,1.11227,0,0
CEZ,PB,D,20070814,000000,1.11227,1.11227,1.11227,1.11227,0,0
CEZ,PB,D,20070816,000000,1.03964,1.03964,1.03964,1.03964,0,0
CEZ,PB,D,20070817,000000,1.07792,1.07792,1.07792,1.07792,0,0
CEZ,PB,D,20070820,000000,1.22697,1.22697,1.22697,1.22697,0,0
CEZ,PB,D,20070821,000000,1.23461,1.23461,1.23461,1.23461,0,0
CEZ,PB,D,20070822,000000,1.24989,1.24989,1.24989,1.24989,0,0
CEZ,PB,D,20070823,000000,1.24989,1.24989,1.24989,1.24989,0,0
CEZ,PB,D,20070824,000000,1.29968,1.29968,1.29968,1.29968,0,0
CEZ,PB,D,20070827,000000,1.26895,1.26895,1.26895,1.26895,0,0
CEZ,PB,D,20070828,000000,1.22697,1.22697,1.22697,1.22697,0,0
CEZ,PB,D,20070829,000000,1.22697,1.22697,1.22697,1.22697,0,0
CEZ,PB,D,20070830,000000,1.32638,1.32638,1.32638,1.32638,0,0
CEZ,PB,D,20070831,000000,1.3378,1.3378,1.3378,1.3378,0,0
CEZ,PB,D,20070903,000000,1.37222,1.37222,1.37222,1.37222,0,0
CEZ,PB,D,20070904,000000,1.35686,1.35686,1.35686,1.35686,0,0
CEZ,PB,D,20070905,000000,1.3378,1.3378,1.3378,1.3378,0,0
CEZ,PB,D,20070906,000000,1.3378,1.3378,1.3378,1.3378,0,0
CEZ,PB,D,20070907,000000,1.34543,1.34543,1.34543,1.34543,0,0
CEZ,PB,D,20070910,000000,1.3493,1.3493,1.3493,1.3493,0,0
CEZ,PB,D,20070911,000000,1.35686,1.35686,1.35686,1.35686,0,0
CEZ,PB,D,20070912,000000,1.376,1.376,1.376,1.376,0,0
CEZ,PB,D,20070913,000000,1.39901,1.39901,1.39901,1.39901,0,0
CEZ,PB,D,20070914,000000,1.38758,1.38758,1.38758,1.38758,0,0
CEZ,PB,D,20070917,000000,1.37222,1.37222,1.37222,1.37222,0,0
CEZ,PB,D,20070918,000000,1.38373,1.38373,1.38373,1.38373,0,0
CEZ,PB,D,20070919,000000,1.36844,1.36844,1.36844,1.36844,0,0
CEZ,PB,D,20070920,000000,1.40287,1.40287,1.40287,1.40287,0,0
CEZ,PB,D,20070921,000000,1.4105,1.4105,1.4105,1.4105,0,0
CEZ,PB,D,20070924,000000,1.38758,1.38758,1.38758,1.38758,0,0
CEZ,PB,D,20070925,000000,1.44855,1.44855,1.44855,1.44855,0,0
CEZ,PB,D,20070926,000000,1.49448,1.49448,1.49448,1.49448,0,0
CEZ,PB,D,20070927,000000,1.49448,1.49448,1.49448,1.49448,0,0
CEZ,PB,D,20070928,000000,1.46785,1.46785,1.46785,1.46785,0,0
