<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE,PB,D,20070813,000000,2.20551,2.20551,2.20551,2.20551,0,0
CIE,PB,D,20070814,000000,2.17926,2.17926,2.17926,2.17926,0,0
CIE,PB,D,20070816,000000,2.01508,2.01508,2.01508,2.01508,0,0
CIE,PB,D,20070817,000000,1.9824,1.9824,1.9824,1.9824,0,0
CIE,PB,D,20070820,000000,1.94955,1.94955,1.94955,1.94955,0,0
CIE,PB,D,20070821,000000,1.87732,1.87732,1.87732,1.87732,0,0
CIE,PB,D,20070822,000000,1.96267,1.96267,1.96267,1.96267,0,0
CIE,PB,D,20070823,000000,1.96267,1.96267,1.96267,1.96267,0,0
CIE,PB,D,20070824,000000,2.03481,2.03481,2.03481,2.03481,0,0
CIE,PB,D,20070827,000000,2.04142,2.04142,2.04142,2.04142,0,0
CIE,PB,D,20070828,000000,2.02829,2.02829,2.02829,2.02829,0,0
CIE,PB,D,20070829,000000,2.02177,2.02177,2.02177,2.02177,0,0
CIE,PB,D,20070830,000000,1.6935,1.6935,1.6935,1.6935,0,0
CIE,PB,D,20070831,000000,1.72636,1.72636,1.72636,1.72636,0,0
CIE,PB,D,20070903,000000,1.75251,1.75251,1.75251,1.75251,0,0
CIE,PB,D,20070904,000000,1.75251,1.75251,1.75251,1.75251,0,0
CIE,PB,D,20070905,000000,1.74599,1.74599,1.74599,1.74599,0,0
CIE,PB,D,20070906,000000,1.7001,1.7001,1.7001,1.7001,0,0
CIE,PB,D,20070907,000000,1.66725,1.66725,1.66725,1.66725,0,0
CIE,PB,D,20070910,000000,1.66065,1.66065,1.66065,1.66065,0,0
CIE,PB,D,20070911,000000,1.65421,1.65421,1.65421,1.65421,0,0
CIE,PB,D,20070912,000000,1.67386,1.67386,1.67386,1.67386,0,0
CIE,PB,D,20070913,000000,1.71984,1.71984,1.71984,1.71984,0,0
CIE,PB,D,20070914,000000,1.70662,1.70662,1.70662,1.70662,0,0
CIE,PB,D,20070917,000000,1.70662,1.70662,1.70662,1.70662,0,0
CIE,PB,D,20070918,000000,1.70662,1.70662,1.70662,1.70662,0,0
CIE,PB,D,20070919,000000,1.73288,1.73288,1.73288,1.73288,0,0
CIE,PB,D,20070920,000000,1.71984,1.71984,1.71984,1.71984,0,0
CIE,PB,D,20070921,000000,1.75921,1.75921,1.75921,1.75921,0,0
CIE,PB,D,20070924,000000,1.75251,1.75251,1.75251,1.75251,0,0
CIE,PB,D,20070925,000000,1.75251,1.75251,1.75251,1.75251,0,0
CIE,PB,D,20070926,000000,1.77885,1.77885,1.77885,1.77885,0,0
CIE,PB,D,20070927,000000,1.76573,1.76573,1.76573,1.76573,0,0
CIE,PB,D,20070928,000000,1.75921,1.75921,1.75921,1.75921,0,0
CIE,PB,D,20071001,000000,1.71323,1.71323,1.71323,1.71323,0,0
CIE,PB,D,20071002,000000,1.71323,1.71323,1.71323,1.71323,0,0
CIE,PB,D,20071003,000000,1.71323,1.71323,1.71323,1.71323,0,0
CIE,PB,D,20071004,000000,1.6935,1.6935,1.6935,1.6935,0,0
CIE,PB,D,20071005,000000,1.70662,1.70662,1.70662,1.70662,0,0
CIE,PB,D,20071008,000000,1.75251,1.75251,1.75251,1.75251,0,0
CIE,PB,D,20071009,000000,1.78546,1.78546,1.78546,1.78546,0,0
CIE,PB,D,20071010,000000,1.79849,1.79849,1.79849,1.79849,0,0
CIE,PB,D,20071011,000000,1.92982,1.92982,1.92982,1.92982,0,0
CIE,PB,D,20071012,000000,1.94955,1.94955,1.94955,1.94955,0,0
CIE,PB,D,20071015,000000,2.01508,2.01508,2.01508,2.01508,0,0
CIE,PB,D,20071016,000000,1.94295,1.94295,1.94295,1.94295,0,0
CIE,PB,D,20071017,000000,1.99544,1.99544,1.99544,1.99544,0,0
CIE,PB,D,20071018,000000,1.9824,1.9824,1.9824,1.9824,0,0
CIE,PB,D,20071019,000000,1.99544,1.99544,1.99544,1.99544,0,0
CIE,PB,D,20071022,000000,1.9824,1.9824,1.9824,1.9824,0,0
CIE,PB,D,20071023,000000,1.96919,1.96919,1.96919,1.96919,0,0
CIE,PB,D,20071024,000000,1.96919,1.96919,1.96919,1.96919,0,0
CIE,PB,D,20071025,000000,1.96919,1.96919,1.96919,1.96919,0,0
CIE,PB,D,20071026,000000,1.98884,1.98884,1.98884,1.98884,0,0
CIE,PB,D,20071029,000000,1.97571,1.97571,1.97571,1.97571,0,0
CIE,PB,D,20071030,000000,1.96919,1.96919,1.96919,1.96919,0,0
CIE,PB,D,20071031,000000,1.94955,1.94955,1.94955,1.94955,0,0
CIE,PB,D,20071102,000000,1.92321,1.92321,1.92321,1.92321,0,0
CIE,PB,D,20071105,000000,1.87072,1.87072,1.87072,1.87072,0,0
CIE,PB,D,20071106,000000,1.87732,1.87732,1.87732,1.87732,0,0
CIE,PB,D,20071107,000000,1.8642,1.8642,1.8642,1.8642,0,0
CIE,PB,D,20071108,000000,1.79197,1.79197,1.79197,1.79197,0,0
CIE,PB,D,20071109,000000,1.79197,1.79849,1.641,1.641,0,0
CIE,PB,D,20071112,000000,1.60163,1.641,1.56226,1.60163,0,0
