<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIE,PE,D,20070813,000000,9.41964,9.41964,9.41964,9.41964,0,0
CIE,PE,D,20070814,000000,9.29359,9.29359,9.29359,9.29359,0,0
CIE,PE,D,20070816,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20070817,000000,8.46794,8.46794,8.46794,8.46794,0,0
CIE,PE,D,20070820,000000,8.33583,8.33583,8.33583,8.33583,0,0
CIE,PE,D,20070821,000000,8.08013,8.08013,8.08013,8.08013,0,0
CIE,PE,D,20070822,000000,8.40189,8.40189,8.40189,8.40189,0,0
CIE,PE,D,20070823,000000,8.40189,8.40189,8.40189,8.40189,0,0
CIE,PE,D,20070824,000000,8.71738,8.71738,8.71738,8.71738,0,0
CIE,PE,D,20070827,000000,8.7817,8.7817,8.7817,8.7817,0,0
CIE,PE,D,20070828,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20070829,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20070830,000000,8.59223,8.59223,8.59223,8.59223,0,0
CIE,PE,D,20070831,000000,8.71738,8.71738,8.71738,8.71738,0,0
CIE,PE,D,20070903,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20070904,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20070905,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20070906,000000,8.59223,8.59223,8.59223,8.59223,0,0
CIE,PE,D,20070907,000000,8.40189,8.40189,8.40189,8.40189,0,0
CIE,PE,D,20070910,000000,8.40189,8.40189,8.40189,8.40189,0,0
CIE,PE,D,20070911,000000,8.33583,8.33583,8.33583,8.33583,0,0
CIE,PE,D,20070912,000000,8.46794,8.46794,8.46794,8.46794,0,0
CIE,PE,D,20070913,000000,8.71738,8.71738,8.71738,8.71738,0,0
CIE,PE,D,20070914,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20070917,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20070918,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20070919,000000,8.7817,8.7817,8.7817,8.7817,0,0
CIE,PE,D,20070920,000000,8.71738,8.71738,8.71738,8.71738,0,0
CIE,PE,D,20070921,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20070924,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20070925,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20070926,000000,8.9729,8.9729,8.9729,8.9729,0,0
CIE,PE,D,20070927,000000,8.90773,8.90773,8.90773,8.90773,0,0
CIE,PE,D,20070928,000000,8.90773,8.90773,8.90773,8.90773,0,0
CIE,PE,D,20071001,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20071002,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20071003,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20071004,000000,8.52618,8.52618,8.52618,8.52618,0,0
CIE,PE,D,20071005,000000,8.65828,8.65828,8.65828,8.65828,0,0
CIE,PE,D,20071008,000000,8.84862,8.84862,8.84862,8.84862,0,0
CIE,PE,D,20071009,000000,9.03807,9.03807,9.03807,9.03807,0,0
CIE,PE,D,20071010,000000,9.10506,9.10506,9.10506,9.10506,0,0
CIE,PE,D,20071011,000000,9.73431,9.73431,9.73431,9.73431,0,0
CIE,PE,D,20071012,000000,9.86549,9.86549,9.86549,9.86549,0,0
CIE,PE,D,20071015,000000,10.3705,10.3705,10.3705,10.3705,0,0
