<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN,PB,D,20161201,000000,7.30795,7.30795,7.30795,7.30795,0,0
CLN,PB,D,20161202,000000,7.30795,7.32711,7.25038,7.30795,0,0
CLN,PB,D,20161205,000000,7.30795,7.47079,7.30795,7.45154,0,0
CLN,PB,D,20161206,000000,7.49954,7.83471,7.49954,7.71027,0,0
CLN,PB,D,20161207,000000,7.81554,8.22745,7.81554,8.08377,0,0
CLN,PB,D,20161208,000000,8.19862,8.19862,7.99756,8.0646,0,0
CLN,PB,D,20161209,000000,8.17956,8.17956,7.8827,8.0646,0,0
CLN,PB,D,20161212,000000,8.10293,8.10293,7.83471,7.85387,0,0
CLN,PB,D,20161213,000000,7.98798,7.99756,7.85387,7.96881,0,0
CLN,PB,D,20161214,000000,7.99756,8.03597,7.87312,7.9305,0,0
CLN,PB,D,20161215,000000,7.8827,8.10293,7.8827,8.04535,0,0
CLN,PB,D,20161216,000000,8.05483,8.16041,8.01671,8.09335,0,0
CLN,PB,D,20161219,000000,8.07419,8.07419,7.94966,8.00714,0,0
CLN,PB,D,20161220,000000,8.00714,8.03597,7.98798,8.00714,0,0
CLN,PB,D,20161221,000000,8.01671,8.19862,7.94966,8.11241,0,0
CLN,PB,D,20161222,000000,8.13166,8.13166,7.90176,8.05483,0,0
CLN,PB,D,20161223,000000,8.05483,8.19862,8.05483,8.16041,0,0
CLN,PB,D,20161227,000000,8.16041,8.18904,8.13166,8.17956,0,0
CLN,PB,D,20161228,000000,8.18904,8.18904,8.0646,8.12198,0,0
CLN,PB,D,20161229,000000,8.15072,8.15072,8.07419,8.13166,0,0
CLN,PB,D,20161230,000000,8.13166,8.13166,8.03597,8.03597,0,0
CLN,PB,D,20170102,000000,8.18904,8.19862,8.02629,8.02629,0,0
CLN,PB,D,20170103,000000,8.10293,8.3903,8.10293,8.3903,0,0
CLN,PB,D,20170104,000000,8.38062,8.38062,8.24652,8.33273,0,0
CLN,PB,D,20170105,000000,8.36137,8.49548,8.36137,8.48619,0,0
CLN,PB,D,20170109,000000,8.48619,8.49548,8.41894,8.49548,0,0
CLN,PB,D,20170110,000000,8.45716,8.49548,8.41894,8.42852,0,0
CLN,PB,D,20170111,000000,8.49548,8.49548,8.4381,8.48619,0,0
CLN,PB,D,20170112,000000,8.48619,8.48619,8.37114,8.40945,0,0
CLN,PB,D,20170113,000000,8.37114,8.48619,8.24652,8.34221,0,0
CLN,PB,D,20170116,000000,8.29441,8.29441,8.0646,8.26558,0,0
CLN,PB,D,20170117,000000,8.2562,8.2562,8.14114,8.2562,0,0
CLN,PB,D,20170118,000000,8.2562,8.49548,8.24652,8.45716,0,0
CLN,PB,D,20170119,000000,8.44778,8.99369,8.38062,8.86897,0,0
CLN,PB,D,20170120,000000,8.97443,9.47168,8.84991,9.21401,0,0
CLN,PB,D,20170123,000000,9.26103,9.51078,9.26103,9.501,0,0
CLN,PB,D,20170124,000000,9.66423,10.4883,9.62612,10.4784,0,0
CLN,PB,D,20170125,000000,10.3915,10.6701,10.2576,10.3436,0,0
CLN,PB,D,20170126,000000,10.4883,10.4883,10.0093,10.1627,0,0
CLN,PB,D,20170127,000000,10.1334,10.2967,9.83627,10.2967,0,0
CLN,PB,D,20170130,000000,10.2967,11.1099,10.2967,10.9466,0,0
CLN,PB,D,20170131,000000,10.9858,11.0522,10.8333,11.0522,0,0
CLN,PB,D,20170201,000000,11.0806,11.1099,10.8245,10.9193,0,0
CLN,PB,D,20170202,000000,11.0141,11.023,10.6603,10.7756,0,0
CLN,PB,D,20170203,000000,10.756,10.805,10.0562,10.1149,0,0
CLN,PB,D,20170206,000000,9.99948,10.0953,9.70236,9.99948,0,0
CLN,PB,D,20170207,000000,9.99948,9.99948,9.96138,9.96138,0,0
CLN,PB,D,20170208,000000,10.0288,10.5449,10.0288,10.3153,0,0
CLN,PB,D,20170209,000000,10.4883,10.5547,10.0562,10.0855,0,0
CLN,PB,D,20170210,000000,10.1627,10.1627,9.83627,9.97113,0,0
CLN,PB,D,20170213,000000,9.97113,9.99948,9.72093,9.90372,0,0
CLN,PB,D,20170214,000000,9.99948,10.0288,9.83627,9.99948,0,0
CLN,PB,D,20170215,000000,9.99948,10.324,9.99948,10.2771,0,0
CLN,PB,D,20170216,000000,10.324,10.5938,10.324,10.584,0,0
CLN,PB,D,20170217,000000,10.584,10.584,10.1627,10.3534,0,0
CLN,PB,D,20170220,000000,10.4883,10.5068,10.1431,10.2478,0,0
CLN,PB,D,20170221,000000,10.2478,10.4393,9.89394,9.99948,0,0
CLN,PB,D,20170222,000000,10.1246,10.1246,9.91349,9.99073,0,0
CLN,PB,D,20170223,000000,9.99073,10.4208,9.93304,10.3915,0,0
CLN,PB,D,20170224,000000,10.3817,10.3915,10.1334,10.1627,0,0
CLN,PB,D,20170227,000000,10.1999,10.5351,10.1999,10.3915,0,0
CLN,PB,D,20170228,000000,10.4296,10.5547,10.3064,10.3621,0,0
CLN,PB,D,20170301,000000,10.4883,10.8518,10.3621,10.8518,0,0
CLN,PB,D,20170302,000000,10.9662,11.1197,10.9389,11.0806,0,0
CLN,PB,D,20170303,000000,11.1099,11.1099,10.8245,11.0621,0,0
CLN,PB,D,20170306,000000,11.0806,11.2624,11.0044,11.2448,0,0
CLN,PB,D,20170307,000000,11.2819,11.2819,10.6036,11.149,0,0
CLN,PB,D,20170308,000000,10.8518,11.149,10.8245,11.149,0,0
CLN,PB,D,20170309,000000,11.0806,11.149,10.8245,11.0621,0,0
CLN,PB,D,20170310,000000,10.9858,11.1393,10.8812,11.1099,0,0
CLN,PB,D,20170313,000000,11.1294,11.4462,11.1294,11.3982,0,0
CLN,PB,D,20170314,000000,11.4266,11.4462,11.3982,11.4462,0,0
CLN,PB,D,20170315,000000,11.4462,11.7521,11.2351,11.2819,0,0
CLN,PB,D,20170316,000000,11.408,11.6192,11.3298,11.3298,0,0
CLN,PB,D,20170317,000000,11.4178,11.4462,11.2819,11.408,0,0
