<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMR,PB,D,20070813,000000,5.08676,5.08676,5.08676,5.08676,0,0
CMR,PB,D,20070814,000000,5.02663,5.02663,5.02663,5.02663,0,0
CMR,PB,D,20070816,000000,4.46061,4.46061,4.46061,4.46061,0,0
CMR,PB,D,20070817,000000,4.61496,4.61496,4.61496,4.61496,0,0
CMR,PB,D,20070820,000000,4.3147,4.3147,4.3147,4.3147,0,0
CMR,PB,D,20070821,000000,4.40902,4.40902,4.40902,4.40902,0,0
CMR,PB,D,20070822,000000,4.63215,4.63215,4.63215,4.63215,0,0
CMR,PB,D,20070823,000000,4.85528,4.85528,4.85528,4.85528,0,0
CMR,PB,D,20070824,000000,4.93231,4.93231,4.93231,4.93231,0,0
CMR,PB,D,20070827,000000,4.88957,4.88957,4.88957,4.88957,0,0
CMR,PB,D,20070828,000000,4.82944,4.82944,4.82944,4.82944,0,0
CMR,PB,D,20070829,000000,4.93231,4.93231,4.93231,4.93231,0,0
CMR,PB,D,20070830,000000,5.18964,5.18964,5.18964,5.18964,0,0
CMR,PB,D,20070831,000000,5.21556,5.21556,5.21556,5.21556,0,0
CMR,PB,D,20070903,000000,5.28404,5.28404,5.28404,5.28404,0,0
CMR,PB,D,20070904,000000,5.30134,5.30134,5.30134,5.30134,0,0
CMR,PB,D,20070905,000000,5.2926,5.2926,5.2926,5.2926,0,0
CMR,PB,D,20070906,000000,5.28404,5.28404,5.28404,5.28404,0,0
CMR,PB,D,20070907,000000,5.2584,5.2584,5.2584,5.2584,0,0
CMR,PB,D,20070910,000000,5.02663,5.02663,5.02663,5.02663,0,0
CMR,PB,D,20070911,000000,5.23247,5.23247,5.23247,5.23247,0,0
CMR,PB,D,20070912,000000,5.22401,5.22401,5.22401,5.22401,0,0
CMR,PB,D,20070913,000000,5.23247,5.23247,5.23247,5.23247,0,0
CMR,PB,D,20070914,000000,5.22401,5.22401,5.22401,5.22401,0,0
CMR,PB,D,20070917,000000,5.16389,5.16389,5.16389,5.16389,0,0
CMR,PB,D,20070918,000000,5.14689,5.14689,5.14689,5.14689,0,0
CMR,PB,D,20070919,000000,5.18118,5.18118,5.18118,5.18118,0,0
CMR,PB,D,20070920,000000,5.1126,5.1126,5.1126,5.1126,0,0
CMR,PB,D,20070921,000000,5.08676,5.08676,5.08676,5.08676,0,0
CMR,PB,D,20070924,000000,5.08676,5.08676,5.08676,5.08676,0,0
CMR,PB,D,20070925,000000,5.18118,5.18118,5.18118,5.18118,0,0
CMR,PB,D,20070926,000000,5.21556,5.21556,5.21556,5.21556,0,0
CMR,PB,D,20070927,000000,5.2584,5.2584,5.2584,5.2584,0,0
CMR,PB,D,20070928,000000,5.24975,5.24975,5.24975,5.24975,0,0
CMR,PB,D,20071001,000000,4.89802,4.89802,4.89802,4.89802,0,0
CMR,PB,D,20071002,000000,5.02663,5.02663,5.02663,5.02663,0,0
CMR,PB,D,20071003,000000,4.91531,4.91531,4.91531,4.91531,0,0
CMR,PB,D,20071004,000000,4.88957,4.88957,4.88957,4.88957,0,0
