<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR,PB,D,20111208,000000,8.61451,8.61451,8.61451,8.61451,0,0
CSR,PB,D,20111209,000000,8.93808,9.44193,6.89009,6.90937,0,0
CSR,PB,D,20111212,000000,7.22168,7.22168,6.13352,6.35898,0,0
CSR,PB,D,20111213,000000,6.70429,6.87582,6.35898,6.5315,0,0
CSR,PB,D,20111214,000000,6.63781,6.63781,6.63781,6.63781,0,0
CSR,PB,D,20111215,000000,6.55123,6.55123,6.51158,6.51158,0,0
CSR,PB,D,20111216,000000,6.44547,6.44547,6.44547,6.44547,0,0
CSR,PB,D,20111219,000000,6.35898,6.35898,6.35898,6.35898,0,0
CSR,PB,D,20111220,000000,6.35898,6.35898,6.35898,6.35898,0,0
CSR,PB,D,20111222,000000,6.35898,6.35898,6.35898,6.35898,0,0
CSR,PB,D,20111228,000000,6.70429,6.70429,6.70429,6.70429,0,0
CSR,PB,D,20111229,000000,6.85663,6.87582,6.85663,6.87582,0,0
CSR,PB,D,20120111,000000,6.58452,6.58452,6.58452,6.58452,0,0
CSR,PB,D,20120127,000000,6.56487,6.56487,6.56487,6.56487,0,0
CSR,PB,D,20120131,000000,6.87582,6.87582,6.87582,6.87582,0,0
CSR,PB,D,20120202,000000,6.87582,6.87582,6.87582,6.87582,0,0
CSR,PB,D,20120227,000000,7.42612,8.69344,7.42612,8.69344,0,0
CSR,PB,D,20120229,000000,9.05814,9.42282,9.05814,9.42282,0,0
CSR,PB,D,20120301,000000,9.60203,9.96664,9.60203,9.96664,0,0
CSR,PB,D,20120302,000000,9.96664,11.9557,9.96664,11.9557,0,0
CSR,PB,D,20120305,000000,9.95306,9.95306,9.60203,9.60203,0,0
CSR,PB,D,20120309,000000,9.60203,10.5105,9.60203,10.325,0,0
CSR,PB,D,20120314,000000,8.33394,8.33394,8.33394,8.33394,0,0
CSR,PB,D,20120315,000000,8.33394,8.33394,8.15433,8.15433,0,0
CSR,PB,D,20120525,000000,5.11903,5.11903,5.11903,5.11903,0,0
CSR,PB,D,20120720,000000,4.99289,5.11903,4.99289,5.11903,0,0
CSR,PB,D,20120829,000000,5.16541,5.16541,5.16541,5.16541,0,0
CSR,PB,D,20120830,000000,5.16541,5.23171,5.16541,5.16541,0,0
CSR,PB,D,20120913,000000,5.03272,5.03272,5.03272,5.03272,0,0
CSR,PB,D,20121120,000000,4.99289,4.99289,4.8672,4.8672,0,0
CSR,PB,D,20121217,000000,4.62856,4.62856,4.62856,4.62856,0,0
CSR,PB,D,20121220,000000,4.38956,4.38956,3.93211,3.93211,0,0
CSR,PB,D,20121221,000000,3.66026,3.66026,3.66026,3.66026,0,0
CSR,PB,D,20130110,000000,3.73321,3.73321,3.73321,3.73321,0,0
CSR,PB,D,20130111,000000,3.94538,3.94538,3.94538,3.94538,0,0
CSR,PB,D,20130122,000000,3.94538,3.94538,3.94538,3.94538,0,0
CSR,PB,D,20130227,000000,4.23713,4.71451,4.23713,4.71451,0,0
CSR,PB,D,20130228,000000,5.07273,5.07273,5.07273,5.07273,0,0
CSR,PB,D,20130301,000000,6.05394,6.05394,4.71451,4.71451,0,0
