<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR,PE,D,20111208,000000,106.76,106.76,106.76,106.76,0,0
CSR,PE,D,20111209,000000,110.799,117.101,85.4747,85.673,0,0
CSR,PE,D,20111212,000000,89.5218,89.5218,76.1256,78.9031,0,0
CSR,PE,D,20111213,000000,83.1493,85.2756,78.9031,80.963,0,0
CSR,PE,D,20111214,000000,82.2189,82.2917,82.2189,82.2917,0,0
CSR,PE,D,20111215,000000,81.2303,81.2303,80.752,80.752,0,0
CSR,PE,D,20111216,000000,79.9062,79.9062,79.9062,79.9062,0,0
CSR,PE,D,20111219,000000,78.8494,78.8494,78.8494,78.8494,0,0
CSR,PE,D,20111220,000000,78.8494,78.8494,78.8494,78.8494,0,0
CSR,PE,D,20111222,000000,78.8494,78.8494,78.8494,78.8494,0,0
CSR,PE,D,20111228,000000,83.0829,83.1493,83.0829,83.1493,0,0
CSR,PE,D,20111229,000000,85.0692,85.2756,85.0692,85.2756,0,0
CSR,PE,D,20120111,000000,81.6841,81.6841,81.6269,81.6269,0,0
CSR,PE,D,20120127,000000,81.425,81.425,81.425,81.425,0,0
CSR,PE,D,20120131,000000,85.2756,85.2756,85.2756,85.2756,0,0
CSR,PE,D,20120202,000000,85.2756,85.2756,85.2756,85.2756,0,0
CSR,PE,D,20120227,000000,75.7264,88.6524,75.7264,88.6524,0,0
CSR,PE,D,20120229,000000,92.373,96.084,92.373,96.084,0,0
CSR,PE,D,20120301,000000,97.9384,101.585,97.9384,101.585,0,0
CSR,PE,D,20120302,000000,101.585,121.949,101.585,121.949,0,0
CSR,PE,D,20120305,000000,101.522,101.522,97.9384,97.9384,0,0
CSR,PE,D,20120309,000000,97.9384,107.17,97.9384,105.306,0,0
CSR,PE,D,20120314,000000,85.0028,85.0028,85.0028,85.0028,0,0
CSR,PE,D,20120315,000000,85.0028,85.0028,83.1493,83.1493,0,0
CSR,PE,D,20120525,000000,88.4623,88.4623,88.4623,88.4623,0,0
CSR,PE,D,20120720,000000,86.195,88.4623,86.195,88.4623,0,0
CSR,PE,D,20120829,000000,2402.96,2411.72,2402.96,2411.72,0,0
CSR,PE,D,20120830,000000,2402.96,2433.34,2402.96,2411.72,0,0
CSR,PE,D,20120913,000000,2342.1,2350.65,2342.1,2350.65,0,0
CSR,PE,D,20121120,000000,2323.86,2323.86,2262.98,2271.28,0,0
CSR,PE,D,20131016,000000,871.227,871.227,847.027,847.691,0,0
CSR,PE,D,20131017,000000,871.227,883.296,856.712,871.882,0,0
CSR,PE,D,20131021,000000,832.975,832.975,799.344,799.945,0,0
CSR,PE,D,20131120,000000,834.904,884.023,834.904,884.023,0,0
CSR,PE,D,20131121,000000,883.296,883.296,883.296,883.296,0,0
CSR,PE,D,20131122,000000,883.296,884.023,883.296,884.023,0,0
CSR,PE,D,20131126,000000,883.296,884.023,883.296,884.023,0,0
CSR,PE,D,20131127,000000,883.296,884.023,883.296,884.023,0,0
CSR,PE,D,20131128,000000,919.647,919.647,883.296,884.023,0,0
CSR,PE,D,20131129,000000,919.647,920.373,919.647,920.373,0,0
CSR,PE,D,20131202,000000,968.041,968.763,968.041,968.763,0,0
CSR,PE,D,20131206,000000,968.041,968.763,968.041,968.763,0,0
CSR,PE,D,20131209,000000,1173.73,1174.66,1173.73,1174.66,0,0
CSR,PE,D,20131227,000000,1173.73,1174.66,1173.73,1174.66,0,0
CSR,PE,D,20140127,000000,1103.33,1103.33,919.647,920.373,0,0
CSR,PE,D,20140128,000000,1103.51,1104.44,1103.51,1104.44,0,0
CSR,PE,D,20140211,000000,318.817,318.817,311.387,311.587,0,0
CSR,PE,D,20140218,000000,319.145,335.124,319.145,334.933,0,0
CSR,PE,D,20140225,000000,85.7976,94.5647,85.7976,94.5647,0,0
CSR,PE,D,20140228,000000,76.0502,78.974,76.0502,78.9031,0,0
CSR,PE,D,20140306,000000,78.9031,78.9031,78.9031,78.9031,0,0
CSR,PE,D,20140310,000000,78.9031,78.9031,78.9031,78.9031,0,0
CSR,PE,D,20140312,000000,78.9031,78.9031,78.9031,78.9031,0,0
CSR,PE,D,20140313,000000,78.9031,78.9031,78.9031,78.9031,0,0
CSR,PE,D,20140314,000000,78.9031,88.9998,78.9031,88.9998,0,0
CSR,PE,D,20140331,000000,87.6593,87.6593,87.2619,87.3283,0,0
CSR,PE,D,20140403,000000,87.7338,87.7338,87.7338,87.7338,0,0
CSR,PE,D,20140404,000000,87.7921,87.7921,87.7338,87.7338,0,0
CSR,PE,D,20140408,000000,87.7338,87.7338,87.7338,87.7338,0,0
CSR,PE,D,20140422,000000,88.0649,88.1149,88.0649,88.1149,0,0
CSR,PE,D,20140428,000000,88.4623,91.6363,88.4623,91.6363,0,0
CSR,PE,D,20140502,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140508,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140509,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140513,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140514,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140515,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140520,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140522,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140523,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140527,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140528,000000,91.6363,91.6363,91.6363,91.6363,0,0
CSR,PE,D,20140529,000000,89.7119,89.7119,87.0718,87.0718,0,0
CSR,PE,D,20140703,000000,88.4951,90.1011,88.4951,90.1011,0,0
CSR,PE,D,20140714,000000,89.1653,89.1653,57.1644,57.1644,0,0
CSR,PE,D,20140814,000000,54.2214,58.304,54.2214,58.304,0,0
CSR,PE,D,20140819,000000,54.2214,54.2214,54.2214,54.2214,0,0
CSR,PE,D,20140901,000000,51.8096,51.8096,51.8096,51.8096,0,0
CSR,PE,D,20140912,000000,43.6437,43.6437,43.6437,43.6437,0,0
CSR,PE,D,20140917,000000,43.7783,44.1802,43.7783,44.1802,0,0
CSR,PE,D,20140922,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20140923,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20141008,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20141014,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20141015,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20141027,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20141028,000000,44.1802,44.1802,44.1802,44.1802,0,0
CSR,PE,D,20150108,000000,33.5369,33.938,33.5369,33.938,0,0
CSR,PE,D,20150109,000000,34.0717,34.0717,34.0717,34.0717,0,0
CSR,PE,D,20150121,000000,31.729,31.729,31.6616,31.6616,0,0
CSR,PE,D,20150209,000000,31.1942,31.2606,31.1942,31.2606,0,0
CSR,PE,D,20150210,000000,31.2606,31.2606,31.2606,31.2606,0,0
CSR,PE,D,20150220,000000,35.0767,35.0767,33.8716,33.938,0,0
CSR,PE,D,20150318,000000,33.0676,33.0676,32.6648,32.6648,0,0
CSR,PE,D,20150408,000000,32.9339,33.0003,32.9339,33.0003,0,0
CSR,PE,D,20150410,000000,31.7954,31.7954,25.4364,26.5087,0,0
CSR,PE,D,20150413,000000,28.5831,28.7168,27.9129,28.5831,0,0
CSR,PE,D,20150414,000000,28.8506,28.917,28.8506,28.917,0,0
CSR,PE,D,20150506,000000,29.6536,30.0555,29.6536,30.0555,0,0
CSR,PE,D,20150629,000000,29.9491,30.7677,29.9491,30.6994,0,0
CSR,PE,D,20150708,000000,28.5831,30.6994,28.5831,28.6513,0,0
CSR,PE,D,20150723,000000,28.1057,28.1057,28.1057,28.1057,0,0
CSR,PE,D,20150806,000000,28.1057,28.1057,28.1057,28.1057,0,0
CSR,PE,D,20150817,000000,26.1295,26.1295,26.1295,26.1295,0,0
CSR,PE,D,20150820,000000,26.1295,26.1295,26.1295,26.1295,0,0
CSR,PE,D,20150826,000000,31.8599,31.8599,31.7908,31.7908,0,0
CSR,PE,D,20150827,000000,32.0645,33.1559,32.0645,33.1559,0,0
CSR,PE,D,20150901,000000,31.3133,31.3133,31.3133,31.3133,0,0
CSR,PE,D,20150915,000000,31.6534,31.6534,31.6534,31.6534,0,0
CSR,PE,D,20151118,000000,29.3344,29.4026,29.3344,29.4026,0,0
CSR,PE,D,20151119,000000,30.2892,30.2892,30.2892,30.2892,0,0
CSR,PE,D,20151222,000000,38.8172,38.8172,38.8172,38.8172,0,0
CSR,PE,D,20160122,000000,44.8214,44.8214,44.8214,44.8214,0,0
CSR,PE,D,20160211,000000,41.682,41.682,41.682,41.682,0,0
CSR,PE,D,20160310,000000,39.2274,39.2274,39.2274,39.2274,0,0
CSR,PE,D,20160421,000000,36.4981,36.4981,36.4981,36.4981,0,0
CSR,PE,D,20160531,000000,39.9776,39.9776,39.9776,39.9776,0,0
CSR,PE,D,20160602,000000,40.114,40.114,40.114,40.114,0,0
CSR,PE,D,20160713,000000,38.8272,38.8272,37.373,37.373,0,0
CSR,PE,D,20160803,000000,36.3344,36.3344,33.7743,33.7743,0,0
CSR,PE,D,20160809,000000,34.1199,34.1199,34.1199,34.1199,0,0
CSR,PE,D,20160919,000000,34.189,34.189,34.189,34.189,0,0
CSR,PE,D,20161004,000000,34.5346,34.5346,34.5346,34.5346,0,0
CSR,PE,D,20161017,000000,34.9502,34.9502,34.9502,34.9502,0,0
CSR,PE,D,20161024,000000,33.7743,33.7743,33.7743,33.7743,0,0
CSR,PE,D,20161104,000000,33.8434,33.8434,33.7743,33.7743,0,0
CSR,PE,D,20161107,000000,32.5284,32.5284,32.5284,32.5284,0,0
CSR,PE,D,20161115,000000,34.1199,34.189,34.1199,34.189,0,0
CSR,PE,D,20161215,000000,27.1316,27.1316,27.1316,27.1316,0,0
CSR,PE,D,20170102,000000,27.269,27.269,27.269,27.269,0,0
CSR,PE,D,20170112,000000,28.0293,28.0993,28.0293,28.0993,0,0
CSR,PE,D,20170117,000000,28.9287,28.9287,28.9287,28.9287,0,0
CSR,PE,D,20170217,000000,21.0393,21.0393,21.0393,21.0393,0,0
CSR,PE,D,20170405,000000,22.9764,23.0473,22.9764,22.9764,0,0
CSR,PE,D,20170410,000000,23.0473,23.0473,23.0473,23.0473,0,0
CSR,PE,D,20170511,000000,21.8714,21.9387,21.8714,21.9387,0,0
CSR,PE,D,20170620,000000,19.4486,19.4486,19.4486,19.4486,0,0
CSR,PE,D,20170712,000000,20.1762,20.1762,20.1762,20.1762,0,0
CSR,PE,D,20170714,000000,20.1762,20.1762,20.1762,20.1762,0,0
CSR,PE,D,20170828,000000,16.9685,16.9685,16.8967,16.8967,0,0
CSR,PE,D,20171117,000000,16.6121,16.6121,14.3311,14.3311,0,0
CSR,PE,D,20171206,000000,15.0423,15.0423,15.0423,15.0423,0,0
CSR,PE,D,20171208,000000,15.0423,15.0423,15.0423,15.0423,0,0
CSR,PE,D,20171213,000000,14.5431,14.6158,14.5431,14.6158,0,0
CSR,PE,D,20171214,000000,14.6859,14.6859,14.6158,14.6158,0,0
CSR,PE,D,20180103,000000,15.4006,15.4006,15.4006,15.4006,0,0
CSR,PE,D,20180104,000000,15.6853,15.6853,15.4006,15.4006,0,0
CSR,PE,D,20180108,000000,16.1846,16.1846,15.7562,15.7562,0,0
CSR,PE,D,20180119,000000,16.3265,16.3265,16.3265,16.3265,0,0
CSR,PE,D,20180201,000000,15.7562,15.7562,15.7562,15.7562,0,0
CSR,PE,D,20180302,000000,11.1217,11.1217,11.1217,11.1217,0,0
CSR,PE,D,20180308,000000,11.0508,11.1217,11.0508,11.1217,0,0
CSR,PE,D,20180313,000000,11.1217,11.1217,11.1217,11.1217,0,0
CSR,PE,D,20180316,000000,11.1217,11.1217,11.1217,11.1217,0,0
CSR,PE,D,20180320,000000,11.2644,11.2644,11.1944,11.1944,0,0
CSR,PE,D,20180322,000000,11.0508,11.1217,11.0508,11.1217,0,0
CSR,PE,D,20180425,000000,11.0508,11.0508,10.7652,10.7652,0,0
CSR,PE,D,20180427,000000,10.7652,10.7652,10.7652,10.7652,0,0
CSR,PE,D,20180507,000000,11.2644,11.3364,11.2644,11.3364,0,0
CSR,PE,D,20180601,000000,12.2631,12.2631,12.2631,12.2631,0,0
CSR,PE,D,20180626,000000,12.253,12.253,12.253,12.253,0,0
CSR,PE,D,20180627,000000,12.103,12.1784,12.103,12.1784,0,0
CSR,PE,D,20180702,000000,11.7274,11.7274,11.651,11.651,0,0
CSR,PE,D,20180704,000000,11.3509,11.3509,11.3509,11.3509,0,0
CSR,PE,D,20180705,000000,11.1254,11.1254,11.1254,11.1254,0,0
CSR,PE,D,20180709,000000,11.651,11.651,11.651,11.651,0,0
CSR,PE,D,20180710,000000,12.0275,12.103,12.0275,12.103,0,0
CSR,PE,D,20181008,000000,14.8832,14.8832,14.8832,14.8832,0,0
CSR,PE,D,20190115,000000,13.9064,13.9064,13.9064,13.9064,0,0
CSR,PE,D,20190116,000000,13.7564,13.7564,13.7564,13.7564,0,0
CSR,PE,D,20190118,000000,13.7564,17.0631,13.7564,17.0631,0,0
CSR,PE,D,20190129,000000,17.2141,17.2141,17.2141,17.2141,0,0
CSR,PE,D,20190207,000000,17.0631,17.0631,17.0631,17.0631,0,0
CSR,PE,D,20190304,000000,29.2407,29.2407,29.2407,29.2407,0,0
CSR,PE,D,20190306,000000,28.0393,28.0393,28.0393,28.0393,0,0
CSR,PE,D,20190510,000000,25.4082,25.4082,24.7316,24.7316,0,0
CSR,PE,D,20190517,000000,24.055,24.055,24.055,24.055,0,0
CSR,PE,D,20190521,000000,24.055,24.055,24.055,24.055,0,0
CSR,PE,D,20190522,000000,24.9562,24.9562,24.9562,24.9562,0,0
CSR,PE,D,20190530,000000,24.9562,27.0608,24.9562,27.0608,0,0
CSR,PE,D,20190702,000000,33.8534,33.8534,33.7771,33.7771,0,0
CSR,PE,D,20190712,000000,33.7771,34.9329,33.7771,34.9329,0,0
CSR,PE,D,20190718,000000,34.9329,34.9329,34.9329,34.9329,0,0
CSR,PE,D,20190805,000000,33.3141,33.3141,31.9254,31.9254,0,0
CSR,PE,D,20190816,000000,19.8188,19.8188,19.6641,19.6641,0,0
CSR,PE,D,20191106,000000,19.2012,19.2012,18.0453,18.0453,0,0
CSR,PE,D,20191108,000000,15.8854,15.8854,15.8854,15.8854,0,0
CSR,PE,D,20191112,000000,15.8854,16.5802,15.8854,16.5802,0,0
CSR,PE,D,20191113,000000,17.1195,17.1968,17.1195,17.1968,0,0
CSR,PE,D,20191114,000000,16.5029,16.5029,15.578,16.3483,0,0
CSR,PE,D,20191127,000000,16.1946,16.1946,16.1946,16.1946,0,0
CSR,PE,D,20191202,000000,16.7339,16.7339,16.7339,16.7339,0,0
CSR,PE,D,20200205,000000,16.7339,16.7339,16.7339,16.7339,0,0
CSR,PE,D,20200207,000000,16.7339,16.7339,16.7339,16.7339,0,0
CSR,PE,D,20200214,000000,17.0431,17.0431,9.33097,9.33097,0,0
CSR,PE,D,20200306,000000,10.5642,10.5642,9.33097,9.33097,0,0
CSR,PE,D,20200326,000000,9.48558,11.1817,9.02266,9.48558,0,0
CSR,PE,D,20200327,000000,9.48558,9.48558,9.02266,9.02266,0,0
