<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC,PE,D,20070813,000000,10.0331,10.0331,10.0331,10.0331,0,0
DBC,PE,D,20070814,000000,10.0331,10.0331,10.0331,10.0331,0,0
DBC,PE,D,20070816,000000,9.93321,9.93321,9.93321,9.93321,0,0
DBC,PE,D,20070817,000000,9.73611,9.73611,9.73611,9.73611,0,0
DBC,PE,D,20070820,000000,9.93321,9.93321,9.93321,9.93321,0,0
DBC,PE,D,20070821,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070822,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070823,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070824,000000,9.39363,9.39363,9.39363,9.39363,0,0
DBC,PE,D,20070827,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070828,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070829,000000,9.4445,9.4445,9.4445,9.4445,0,0
DBC,PE,D,20070830,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070831,000000,9.49444,9.49444,9.49444,9.49444,0,0
DBC,PE,D,20070903,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070904,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070905,000000,9.53901,9.53901,9.53901,9.53901,0,0
DBC,PE,D,20070906,000000,9.49444,9.49444,9.49444,9.49444,0,0
DBC,PE,D,20070907,000000,9.19742,9.19742,9.19742,9.19742,0,0
DBC,PE,D,20070910,000000,9.10113,9.10113,9.10113,9.10113,0,0
DBC,PE,D,20070911,000000,9.10113,9.10113,9.10113,9.10113,0,0
DBC,PE,D,20070912,000000,9.19742,9.19742,9.19742,9.19742,0,0
DBC,PE,D,20070913,000000,9.10113,9.10113,9.10113,9.10113,0,0
DBC,PE,D,20070914,000000,9.00484,9.00484,9.00484,9.00484,0,0
DBC,PE,D,20070917,000000,9.00484,9.00484,9.00484,9.00484,0,0
DBC,PE,D,20070918,000000,9.00484,9.00484,9.00484,9.00484,0,0
DBC,PE,D,20070919,000000,9.00484,9.00484,9.00484,9.00484,0,0
DBC,PE,D,20070920,000000,9.00484,9.00484,9.00484,9.00484,0,0
DBC,PE,D,20070921,000000,9.00484,9.00484,9.00484,9.00484,0,0
DBC,PE,D,20070924,000000,9.10113,9.10113,9.10113,9.10113,0,0
