<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR,PE,D,20070813,000000,9.05358,9.05358,9.05358,9.05358,0,0
DCR,PE,D,20070814,000000,8.19242,8.19242,8.19242,8.19242,0,0
DCR,PE,D,20070816,000000,7.37347,7.37347,7.37347,7.37347,0,0
DCR,PE,D,20070817,000000,7.45235,7.45235,7.45235,7.45235,0,0
DCR,PE,D,20070820,000000,8.15145,8.15145,8.15145,8.15145,0,0
DCR,PE,D,20070821,000000,8.43838,8.43838,8.43838,8.43838,0,0
DCR,PE,D,20070822,000000,9.13247,9.13247,9.13247,9.13247,0,0
DCR,PE,D,20070823,000000,9.70615,9.70615,9.70615,9.70615,0,0
DCR,PE,D,20070824,000000,9.1746,9.1746,9.1746,9.1746,0,0
DCR,PE,D,20070827,000000,8.84562,8.84562,8.84562,8.84562,0,0
DCR,PE,D,20070828,000000,8.48016,8.48016,8.48016,8.48016,0,0
DCR,PE,D,20070829,000000,8.35467,8.35467,8.35467,8.35467,0,0
DCR,PE,D,20070830,000000,8.39733,8.39733,8.39733,8.39733,0,0
DCR,PE,D,20070831,000000,8.6009,8.6009,8.6009,8.6009,0,0
DCR,PE,D,20070903,000000,8.88685,8.88685,8.88685,8.88685,0,0
DCR,PE,D,20070904,000000,8.88685,8.88685,8.88685,8.88685,0,0
DCR,PE,D,20070905,000000,8.88685,8.88685,8.88685,8.88685,0,0
DCR,PE,D,20070906,000000,8.97111,8.97111,8.97111,8.97111,0,0
DCR,PE,D,20070907,000000,8.43838,8.43838,8.43838,8.43838,0,0
DCR,PE,D,20070910,000000,8.35467,8.35467,8.35467,8.35467,0,0
DCR,PE,D,20070911,000000,8.39733,8.39733,8.39733,8.39733,0,0
DCR,PE,D,20070912,000000,8.6009,8.6009,8.6009,8.6009,0,0
DCR,PE,D,20070913,000000,8.6009,8.6009,8.6009,8.6009,0,0
DCR,PE,D,20070914,000000,8.68247,8.68247,8.68247,8.68247,0,0
DCR,PE,D,20070917,000000,8.97111,8.97111,8.97111,8.97111,0,0
DCR,PE,D,20070918,000000,8.88685,8.88685,8.88685,8.88685,0,0
DCR,PE,D,20070919,000000,8.88685,8.88685,8.88685,8.88685,0,0
DCR,PE,D,20070920,000000,8.97111,8.97111,8.97111,8.97111,0,0
DCR,PE,D,20070921,000000,8.84562,8.84562,8.84562,8.84562,0,0
