<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIG,PB,D,20111017,000000,1.25214,1.26641,1.25214,1.25214,0,0
DIG,PB,D,20111018,000000,1.25214,1.25214,1.25214,1.25214,0,0
DIG,PB,D,20111019,000000,1.245,1.3095,1.245,1.245,0,0
DIG,PB,D,20111020,000000,1.3095,1.3095,1.245,1.3095,0,0
DIG,PB,D,20111021,000000,1.3095,1.3095,1.3095,1.3095,0,0
DIG,PB,D,20111024,000000,1.3095,1.3095,1.3095,1.3095,0,0
DIG,PB,D,20111025,000000,1.30218,1.30218,1.30218,1.30218,0,0
DIG,PB,D,20111026,000000,1.30218,1.30218,1.30218,1.30218,0,0
DIG,PB,D,20111027,000000,1.30218,1.30218,1.245,1.30218,0,0
DIG,PB,D,20111028,000000,1.30218,1.30218,1.25214,1.30218,0,0
DIG,PB,D,20111031,000000,1.34517,1.34517,1.30218,1.30218,0,0
DIG,PB,D,20111102,000000,1.28791,1.28791,1.28791,1.28791,0,0
DIG,PB,D,20111103,000000,1.27354,1.41671,1.27354,1.41671,0,0
DIG,PB,D,20111104,000000,1.38817,1.49538,1.38094,1.49538,0,0
DIG,PB,D,20111107,000000,1.46684,1.49538,1.46684,1.49538,0,0
DIG,PB,D,20111108,000000,1.49538,1.53114,1.4812,1.53114,0,0
DIG,PB,D,20111109,000000,1.53114,1.53114,1.51687,1.53114,0,0
DIG,PB,D,20111110,000000,1.53114,1.53114,1.51687,1.52401,0,0
DIG,PB,D,20111114,000000,1.52401,1.52401,1.52401,1.52401,0,0
DIG,PB,D,20111115,000000,1.52401,1.52401,1.44534,1.47397,0,0
DIG,PB,D,20111116,000000,1.4812,1.4812,1.47397,1.47397,0,0
DIG,PB,D,20111117,000000,1.47397,1.48824,1.46684,1.46684,0,0
DIG,PB,D,20111118,000000,1.47397,1.47397,1.40957,1.40957,0,0
DIG,PB,D,20111121,000000,1.48824,1.48824,1.47397,1.47397,0,0
DIG,PB,D,20111122,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20111123,000000,1.47397,1.47397,1.39521,1.47397,0,0
DIG,PB,D,20111124,000000,1.47397,1.47397,1.4597,1.47397,0,0
DIG,PB,D,20111125,000000,1.46684,1.46684,1.40234,1.46684,0,0
DIG,PB,D,20111128,000000,1.47397,1.47397,1.40234,1.40234,0,0
DIG,PB,D,20111129,000000,1.40234,1.40234,1.40234,1.40234,0,0
DIG,PB,D,20111130,000000,1.35756,1.42816,1.35756,1.42816,0,0
DIG,PB,D,20111201,000000,1.47397,1.47397,1.46684,1.46684,0,0
DIG,PB,D,20111202,000000,1.40957,1.46684,1.40957,1.46684,0,0
DIG,PB,D,20111205,000000,1.47397,1.47397,1.40234,1.42384,0,0
DIG,PB,D,20111206,000000,1.45238,1.45238,1.38817,1.43107,0,0
DIG,PB,D,20111207,000000,1.45238,1.45238,1.41671,1.42384,0,0
DIG,PB,D,20111208,000000,1.4597,1.4597,1.41671,1.41671,0,0
DIG,PB,D,20111209,000000,1.43107,1.43107,1.43107,1.43107,0,0
DIG,PB,D,20111212,000000,1.45238,1.45238,1.38094,1.38094,0,0
DIG,PB,D,20111213,000000,1.45238,1.45238,1.40234,1.40234,0,0
DIG,PB,D,20111214,000000,1.45238,1.45238,1.38817,1.38817,0,0
DIG,PB,D,20111215,000000,1.38817,1.38817,1.38817,1.38817,0,0
DIG,PB,D,20111216,000000,1.44534,1.45238,1.38817,1.43107,0,0
DIG,PB,D,20111219,000000,1.4597,1.4597,1.45238,1.45238,0,0
DIG,PB,D,20111220,000000,1.47397,1.47397,1.45238,1.47397,0,0
DIG,PB,D,20111221,000000,1.46684,1.47397,1.46684,1.47397,0,0
DIG,PB,D,20111222,000000,1.47397,1.47397,1.4597,1.47397,0,0
DIG,PB,D,20111223,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20111227,000000,1.47397,1.47397,1.43107,1.47397,0,0
DIG,PB,D,20111228,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20111229,000000,1.47397,1.47397,1.4597,1.46684,0,0
DIG,PB,D,20111230,000000,1.45951,1.47529,1.42816,1.42816,0,0
DIG,PB,D,20120102,000000,1.47397,1.47397,1.43811,1.43811,0,0
DIG,PB,D,20120103,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20120104,000000,1.47397,1.47397,1.44534,1.44534,0,0
DIG,PB,D,20120105,000000,1.44534,1.44534,1.44534,1.44534,0,0
DIG,PB,D,20120109,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20120110,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20120111,000000,1.45238,1.45238,1.45238,1.45238,0,0
DIG,PB,D,20120112,000000,1.45238,1.45238,1.44534,1.44534,0,0
DIG,PB,D,20120113,000000,1.45238,1.45238,1.41671,1.41671,0,0
DIG,PB,D,20120116,000000,1.39521,1.45238,1.39521,1.45238,0,0
DIG,PB,D,20120117,000000,1.45238,1.45238,1.44534,1.44534,0,0
DIG,PB,D,20120118,000000,1.45238,1.47397,1.45238,1.47397,0,0
DIG,PB,D,20120119,000000,1.47397,1.47397,1.47397,1.47397,0,0
DIG,PB,D,20120120,000000,1.47397,1.51687,1.47397,1.51687,0,0
DIG,PB,D,20120123,000000,1.52401,1.54551,1.52401,1.52401,0,0
DIG,PB,D,20120124,000000,1.53837,1.53837,1.52401,1.52401,0,0
DIG,PB,D,20120125,000000,1.52401,1.52401,1.52401,1.52401,0,0
DIG,PB,D,20120126,000000,1.51687,1.68144,1.51687,1.67431,0,0
DIG,PB,D,20120127,000000,1.67431,1.71721,1.64567,1.71721,0,0
DIG,PB,D,20120130,000000,1.71721,1.71721,1.68858,1.68858,0,0
DIG,PB,D,20120131,000000,1.68707,1.68707,1.68707,1.68707,0,0
DIG,PB,D,20120201,000000,1.68858,1.68858,1.65281,1.65281,0,0
DIG,PB,D,20120202,000000,1.67431,1.67431,1.64567,1.67431,0,0
DIG,PB,D,20120203,000000,1.67431,1.67431,1.61713,1.64567,0,0
DIG,PB,D,20120206,000000,1.65994,1.66717,1.60268,1.66717,0,0
DIG,PB,D,20120207,000000,1.66717,1.66717,1.66717,1.66717,0,0
DIG,PB,D,20120208,000000,1.65281,1.65281,1.65281,1.65281,0,0
DIG,PB,D,20120209,000000,1.65281,1.65281,1.5885,1.65281,0,0
DIG,PB,D,20120210,000000,1.65281,1.65281,1.55987,1.63854,0,0
DIG,PB,D,20120213,000000,1.63854,1.63854,1.63854,1.63854,0,0
DIG,PB,D,20120214,000000,1.62418,1.64567,1.55264,1.64567,0,0
DIG,PB,D,20120215,000000,1.65281,1.65281,1.64567,1.65281,0,0
DIG,PB,D,20120216,000000,1.66717,1.66717,1.60268,1.60268,0,0
DIG,PB,D,20120217,000000,1.65281,1.65281,1.5885,1.5885,0,0
DIG,PB,D,20120220,000000,1.65281,1.68144,1.60268,1.64567,0,0
DIG,PB,D,20120221,000000,1.60268,1.6958,1.49538,1.6958,0,0
DIG,PB,D,20120222,000000,1.6958,1.6958,1.59554,1.66717,0,0
DIG,PB,D,20120223,000000,1.66717,1.66717,1.66717,1.66717,0,0
DIG,PB,D,20120224,000000,1.6958,1.6958,1.59554,1.66717,0,0
DIG,PB,D,20120227,000000,1.66717,1.66717,1.63854,1.65994,0,0
DIG,PB,D,20120228,000000,1.65994,1.65994,1.65994,1.65994,0,0
DIG,PB,D,20120229,000000,1.66351,1.69487,1.66351,1.69487,0,0
DIG,PB,D,20120301,000000,1.71721,1.71721,1.61713,1.61713,0,0
DIG,PB,D,20120302,000000,1.61713,1.62418,1.60268,1.60268,0,0
DIG,PB,D,20120305,000000,1.60268,1.71721,1.60268,1.71721,0,0
DIG,PB,D,20120306,000000,1.68858,1.68858,1.64567,1.66717,0,0
DIG,PB,D,20120307,000000,1.6958,1.71721,1.65281,1.65281,0,0
DIG,PB,D,20120308,000000,1.60859,1.69487,1.60859,1.69487,0,0
DIG,PB,D,20120309,000000,1.6958,1.6958,1.57414,1.57414,0,0
DIG,PB,D,20120312,000000,1.56691,1.56691,1.56691,1.56691,0,0
DIG,PB,D,20120313,000000,1.56691,1.56691,1.56691,1.56691,0,0
DIG,PB,D,20120314,000000,1.53837,1.57414,1.53837,1.56691,0,0
DIG,PB,D,20120315,000000,1.56691,1.56691,1.56691,1.56691,0,0
DIG,PB,D,20120316,000000,1.56691,1.59554,1.56691,1.57414,0,0
DIG,PB,D,20120319,000000,1.57414,1.5885,1.57414,1.58127,0,0
DIG,PB,D,20120320,000000,1.52401,1.58127,1.52401,1.57414,0,0
DIG,PB,D,20120321,000000,1.57414,1.5885,1.57414,1.58127,0,0
DIG,PB,D,20120322,000000,1.58127,1.5885,1.55264,1.5885,0,0
DIG,PB,D,20120323,000000,1.58127,1.60268,1.52401,1.60268,0,0
DIG,PB,D,20120326,000000,1.60991,1.61713,1.60991,1.61713,0,0
DIG,PB,D,20120327,000000,1.6958,1.6958,1.60991,1.68858,0,0
DIG,PB,D,20120328,000000,1.71721,1.71721,1.61713,1.61713,0,0
DIG,PB,D,20120329,000000,1.61713,1.61713,1.60991,1.61713,0,0
DIG,PB,D,20120330,000000,1.61648,1.61648,1.61648,1.61648,0,0
DIG,PB,D,20120402,000000,1.62418,1.62418,1.61713,1.61713,0,0
DIG,PB,D,20120403,000000,1.61648,1.61648,1.61648,1.61648,0,0
DIG,PB,D,20120404,000000,1.62427,1.62427,1.55377,1.61648,0,0
DIG,PB,D,20120405,000000,1.61648,1.61648,1.61648,1.61648,0,0
DIG,PB,D,20120410,000000,1.61713,1.61713,1.61713,1.61713,0,0
DIG,PB,D,20120411,000000,1.63131,1.63131,1.62418,1.62418,0,0
DIG,PB,D,20120412,000000,1.61713,1.61713,1.61713,1.61713,0,0
DIG,PB,D,20120413,000000,1.61648,1.61648,1.60859,1.61648,0,0
DIG,PB,D,20120416,000000,1.61713,1.61713,1.61713,1.61713,0,0
DIG,PB,D,20120417,000000,1.61648,1.61648,1.60071,1.61648,0,0
DIG,PB,D,20120418,000000,1.61648,1.61648,1.60071,1.60859,0,0
DIG,PB,D,20120419,000000,1.61648,1.61648,1.60859,1.61648,0,0
DIG,PB,D,20120420,000000,1.61648,1.61648,1.60859,1.61648,0,0
DIG,PB,D,20120423,000000,1.61648,1.61648,1.60859,1.61648,0,0
DIG,PB,D,20120424,000000,1.61648,1.61648,1.60071,1.60071,0,0
DIG,PB,D,20120425,000000,1.60071,1.60071,1.50664,1.59291,0,0
DIG,PB,D,20120426,000000,1.64004,1.64004,1.59291,1.59291,0,0
DIG,PB,D,20120427,000000,1.60071,1.63216,1.59291,1.63216,0,0
DIG,PB,D,20120430,000000,1.61648,1.63216,1.56156,1.61648,0,0
DIG,PB,D,20120502,000000,1.61648,1.61648,1.59291,1.59291,0,0
DIG,PB,D,20120504,000000,1.59291,1.59291,1.59291,1.59291,0,0
DIG,PB,D,20120507,000000,1.59291,1.59291,1.59291,1.59291,0,0
DIG,PB,D,20120508,000000,1.59291,1.59291,1.52222,1.538,0,0
DIG,PB,D,20120509,000000,1.5302,1.56935,1.51443,1.51443,0,0
DIG,PB,D,20120510,000000,1.49087,1.50664,1.44384,1.44384,0,0
DIG,PB,D,20120511,000000,1.43595,1.43595,1.3968,1.41248,0,0
DIG,PB,D,20120514,000000,1.38113,1.45172,1.38113,1.41248,0,0
DIG,PB,D,20120515,000000,1.41248,1.50664,1.41248,1.50664,0,0
DIG,PB,D,20120516,000000,1.58512,1.58512,1.43595,1.48308,0,0
DIG,PB,D,20120517,000000,1.51443,1.51443,1.36536,1.4046,0,0
DIG,PB,D,20120518,000000,1.4046,1.4674,1.4046,1.4674,0,0
DIG,PB,D,20120521,000000,1.4674,1.4674,1.4674,1.4674,0,0
DIG,PB,D,20120522,000000,1.52222,1.52222,1.52222,1.52222,0,0
DIG,PB,D,20120523,000000,1.52222,1.52222,1.52222,1.52222,0,0
DIG,PB,D,20120524,000000,1.49087,1.49087,1.45172,1.45951,0,0
DIG,PB,D,20120525,000000,1.45951,1.45951,1.3968,1.3968,0,0
DIG,PB,D,20120528,000000,1.42816,1.42816,1.3968,1.4046,0,0
DIG,PB,D,20120529,000000,1.41248,1.41248,1.41248,1.41248,0,0
DIG,PB,D,20120530,000000,1.31823,1.45172,1.31823,1.3968,0,0
DIG,PB,D,20120531,000000,1.3968,1.3968,1.3968,1.3968,0,0
DIG,PB,D,20120601,000000,1.43595,1.43595,1.3968,1.3968,0,0
DIG,PB,D,20120604,000000,1.3968,1.42816,1.3968,1.4046,0,0
DIG,PB,D,20120605,000000,1.43595,1.43595,1.4046,1.43595,0,0
DIG,PB,D,20120606,000000,1.43595,1.45951,1.43595,1.45951,0,0
DIG,PB,D,20120608,000000,1.48308,1.48308,1.47529,1.47529,0,0
DIG,PB,D,20120611,000000,1.48308,1.48308,1.48308,1.48308,0,0
DIG,PB,D,20120612,000000,1.48308,1.49087,1.42037,1.49087,0,0
DIG,PB,D,20120613,000000,1.47529,1.47529,1.4674,1.47529,0,0
DIG,PB,D,20120614,000000,1.32611,1.47529,1.32611,1.45951,0,0
DIG,PB,D,20120615,000000,1.47529,1.47529,1.42816,1.45951,0,0
DIG,PB,D,20120618,000000,1.47529,1.49885,1.45951,1.45951,0,0
DIG,PB,D,20120619,000000,1.45172,1.4674,1.45172,1.45951,0,0
DIG,PB,D,20120620,000000,1.49087,1.49087,1.45172,1.45951,0,0
DIG,PB,D,20120621,000000,1.45951,1.45951,1.45172,1.45172,0,0
DIG,PB,D,20120622,000000,1.45172,1.45172,1.3968,1.3968,0,0
DIG,PB,D,20120625,000000,1.44384,1.44384,1.44384,1.44384,0,0
