<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL,MV,D,20070813,000000,925.095,925.095,925.095,925.095,0,0
DVL,MV,D,20070814,000000,911.383,911.383,911.383,911.383,0,0
DVL,MV,D,20070816,000000,822.305,822.305,822.305,822.305,0,0
DVL,MV,D,20070817,000000,890.84,890.84,890.84,890.84,0,0
DVL,MV,D,20070820,000000,906.821,906.821,906.821,906.821,0,0
DVL,MV,D,20070821,000000,902.258,902.258,902.258,902.258,0,0
DVL,MV,D,20070822,000000,931.949,931.949,931.949,931.949,0,0
DVL,MV,D,20070823,000000,934.234,934.234,934.234,934.234,0,0
DVL,MV,D,20070824,000000,950.217,950.217,950.217,950.217,0,0
DVL,MV,D,20070827,000000,979.927,979.927,979.927,979.927,0,0
DVL,MV,D,20070828,000000,984.487,984.487,984.487,984.487,0,0
DVL,MV,D,20070829,000000,979.927,979.927,979.927,979.927,0,0
DVL,MV,D,20070830,000000,934.234,934.234,934.234,934.234,0,0
DVL,MV,D,20070831,000000,968.494,968.494,968.494,968.494,0,0
DVL,MV,D,20070903,000000,959.356,959.356,959.356,959.356,0,0
DVL,MV,D,20070904,000000,941.088,941.088,941.088,941.088,0,0
DVL,MV,D,20070905,000000,886.269,886.269,886.269,886.269,0,0
DVL,MV,D,20070906,000000,886.269,886.269,886.269,886.269,0,0
DVL,MV,D,20070907,000000,854.275,854.275,854.275,854.275,0,0
DVL,MV,D,20070910,000000,831.438,831.438,831.438,831.438,0,0
DVL,MV,D,20070911,000000,856.576,856.576,856.576,856.576,0,0
DVL,MV,D,20070912,000000,849.712,849.712,849.712,849.712,0,0
DVL,MV,D,20070913,000000,911.383,911.383,911.383,911.383,0,0
DVL,MV,D,20070914,000000,872.565,872.565,872.565,872.565,0,0
DVL,MV,D,20070917,000000,865.709,865.709,865.709,865.709,0,0
DVL,MV,D,20070918,000000,863.424,863.424,863.424,863.424,0,0
DVL,MV,D,20070919,000000,881.69,881.69,881.69,881.69,0,0
DVL,MV,D,20070920,000000,863.424,863.424,863.424,863.424,0,0
DVL,MV,D,20070921,000000,867.987,867.987,867.987,867.987,0,0
DVL,MV,D,20070924,000000,861.138,861.138,861.138,861.138,0,0
DVL,MV,D,20070925,000000,897.671,897.671,897.671,897.671,0,0
DVL,MV,D,20070926,000000,1025.61,1025.61,1025.61,1025.61,0,0
DVL,MV,D,20070927,000000,977.633,977.633,977.633,977.633,0,0
DVL,MV,D,20070928,000000,959.356,959.356,959.356,959.356,0,0
DVL,MV,D,20071001,000000,945.657,945.657,945.657,945.657,0,0
DVL,MV,D,20071002,000000,943.363,943.363,943.363,943.363,0,0
DVL,MV,D,20071003,000000,918.251,918.251,918.251,918.251,0,0
DVL,MV,D,20071004,000000,947.942,947.942,947.942,947.942,0,0
DVL,MV,D,20071005,000000,970.779,970.779,970.779,970.779,0,0
DVL,MV,D,20071008,000000,957.071,957.071,957.071,957.071,0,0
DVL,MV,D,20071009,000000,970.779,970.779,970.779,970.779,0,0
DVL,MV,D,20071010,000000,959.356,959.356,959.356,959.356,0,0
DVL,MV,D,20071011,000000,959.356,959.356,959.356,959.356,0,0
DVL,MV,D,20071012,000000,970.779,970.779,970.779,970.779,0,0
DVL,MV,D,20071015,000000,986.762,986.762,986.762,986.762,0,0
DVL,MV,D,20071016,000000,963.925,963.925,963.925,963.925,0,0
DVL,MV,D,20071017,000000,979.927,979.927,979.927,979.927,0,0
DVL,MV,D,20071018,000000,957.071,957.071,957.071,957.071,0,0
DVL,MV,D,20071019,000000,952.511,952.511,952.511,952.511,0,0
DVL,MV,D,20071022,000000,936.519,936.519,936.519,936.519,0,0
DVL,MV,D,20071023,000000,938.803,938.803,938.803,938.803,0,0
DVL,MV,D,20071024,000000,936.519,936.519,936.519,936.519,0,0
DVL,MV,D,20071025,000000,936.519,936.519,936.519,936.519,0,0
DVL,MV,D,20071026,000000,934.234,934.234,934.234,934.234,0,0
DVL,MV,D,20071029,000000,957.071,957.071,957.071,957.071,0,0
DVL,MV,D,20071030,000000,943.363,943.363,943.363,943.363,0,0
DVL,MV,D,20071031,000000,941.088,941.088,941.088,941.088,0,0
DVL,MV,D,20071102,000000,922.82,922.82,922.82,922.82,0,0
DVL,MV,D,20071105,000000,911.383,911.383,911.383,911.383,0,0
DVL,MV,D,20071106,000000,906.821,906.821,906.821,906.821,0,0
DVL,MV,D,20071107,000000,824.591,824.591,824.591,824.591,0,0
DVL,MV,D,20071108,000000,845.15,845.15,845.15,845.15,0,0
DVL,MV,D,20071109,000000,847.435,883.976,822.305,845.15,0,0
DVL,MV,D,20071112,000000,822.305,845.15,822.305,845.15,0,0
DVL,MV,D,20071113,000000,852.005,854.275,822.305,838.294,0,0
DVL,MV,D,20071114,000000,870.272,879.413,845.15,856.576,0,0
DVL,MV,D,20071115,000000,847.435,856.576,781.193,806.316,0,0
DVL,MV,D,20071116,000000,799.459,806.316,772.06,772.06,0,0
DVL,MV,D,20071119,000000,785.764,785.764,749.208,749.208,0,0
DVL,MV,D,20071120,000000,744.645,744.645,694.393,708.096,0,0
DVL,MV,D,20071121,000000,685.26,696.677,653.273,669.27,0,0
DVL,MV,D,20071122,000000,662.414,708.096,625.865,703.526,0,0
DVL,MV,D,20071123,000000,719.515,719.515,694.393,694.393,0,0
DVL,MV,D,20071126,000000,708.096,708.096,662.414,673.841,0,0
DVL,MV,D,20071127,000000,650.996,692.099,650.996,680.681,0,0
DVL,MV,D,20071128,000000,689.83,717.237,680.681,705.811,0,0
DVL,MV,D,20071129,000000,719.515,724.086,698.963,701.24,0,0
DVL,MV,D,20071130,000000,705.811,740.083,705.811,724.086,0,0
DVL,MV,D,20071203,000000,728.664,728.664,710.381,721.8,0,0
DVL,MV,D,20071204,000000,719.515,726.379,712.667,724.086,0,0
DVL,MV,D,20071205,000000,726.379,767.49,726.379,765.196,0,0
DVL,MV,D,20071206,000000,767.49,772.06,749.208,749.208,0,0
DVL,MV,D,20071207,000000,749.208,758.349,744.645,753.778,0,0
DVL,MV,D,20071210,000000,742.352,756.072,733.226,744.645,0,0
DVL,MV,D,20071211,000000,746.93,746.93,717.237,726.379,0,0
DVL,MV,D,20071212,000000,708.096,721.8,705.811,714.944,0,0
DVL,MV,D,20071213,000000,708.096,708.096,689.83,694.393,0,0
DVL,MV,D,20071214,000000,694.393,701.24,676.118,685.26,0,0
DVL,MV,D,20071217,000000,680.681,680.681,650.996,650.996,0,0
DVL,MV,D,20071218,000000,641.855,678.411,621.295,676.118,0,0
DVL,MV,D,20071219,000000,685.26,685.26,660.13,671.555,0,0
DVL,MV,D,20071220,000000,662.414,676.118,657.844,669.27,0,0
DVL,MV,D,20071221,000000,669.27,676.118,666.993,671.555,0,0
DVL,MV,D,20071227,000000,676.118,703.526,676.118,687.537,0,0
DVL,MV,D,20071228,000000,689.83,708.096,689.83,692.099,0,0
DVL,MV,D,20080102,000000,698.963,698.963,689.83,692.099,0,0
DVL,MV,D,20080103,000000,687.537,714.944,678.411,712.667,0,0
DVL,MV,D,20080104,000000,719.515,749.208,714.944,726.379,0,0
DVL,MV,D,20080107,000000,705.811,721.8,696.677,696.677,0,0
DVL,MV,D,20080108,000000,696.677,701.24,682.982,698.963,0,0
DVL,MV,D,20080109,000000,685.26,692.099,682.982,687.537,0,0
DVL,MV,D,20080110,000000,692.099,692.099,673.841,673.841,0,0
DVL,MV,D,20080111,000000,676.118,689.83,676.118,685.26,0,0
DVL,MV,D,20080114,000000,689.83,689.83,689.83,689.83,0,0
DVL,MV,D,20080115,000000,685.26,701.24,676.118,685.26,0,0
DVL,MV,D,20080116,000000,650.996,666.993,639.57,662.414,0,0
DVL,MV,D,20080117,000000,673.841,673.841,641.855,655.567,0,0
DVL,MV,D,20080118,000000,650.996,673.841,648.703,655.567,0,0
DVL,MV,D,20080121,000000,641.855,650.996,603.021,603.021,0,0
DVL,MV,D,20080122,000000,568.758,609.877,568.758,598.458,0,0
DVL,MV,D,20080123,000000,609.877,616.732,577.906,596.173,0,0
DVL,MV,D,20080124,000000,623.588,637.292,609.877,634.998,0,0
DVL,MV,D,20080125,000000,648.703,655.567,630.428,637.292,0,0
DVL,MV,D,20080128,000000,614.439,616.732,607.591,607.591,0,0
DVL,MV,D,20080129,000000,623.588,630.428,614.439,623.588,0,0
DVL,MV,D,20080130,000000,621.295,648.703,621.295,639.57,0,0
DVL,MV,D,20080131,000000,641.855,648.703,634.998,637.292,0,0
DVL,MV,D,20080201,000000,648.703,664.691,648.703,660.13,0,0
DVL,MV,D,20080204,000000,671.555,671.555,655.567,662.414,0,0
DVL,MV,D,20080205,000000,662.414,662.414,625.865,630.428,0,0
DVL,MV,D,20080206,000000,614.439,628.167,609.877,623.588,0,0
DVL,MV,D,20080207,000000,625.865,630.428,609.877,612.162,0,0
DVL,MV,D,20080208,000000,612.162,630.428,609.877,630.428,0,0
DVL,MV,D,20080211,000000,637.292,655.567,634.998,653.273,0,0
DVL,MV,D,20080212,000000,662.414,662.414,657.844,662.414,0,0
DVL,MV,D,20080213,000000,664.691,664.691,639.57,646.425,0,0
DVL,MV,D,20080214,000000,657.844,662.414,644.132,648.703,0,0
DVL,MV,D,20080215,000000,644.132,644.132,632.721,632.721,0,0
DVL,MV,D,20080218,000000,637.292,646.425,625.865,625.865,0,0
DVL,MV,D,20080219,000000,634.998,653.273,625.865,644.132,0,0
DVL,MV,D,20080220,000000,634.998,646.425,632.721,644.132,0,0
DVL,MV,D,20080221,000000,646.425,648.703,637.292,646.425,0,0
DVL,MV,D,20080222,000000,644.132,644.132,634.998,637.292,0,0
DVL,MV,D,20080225,000000,641.855,641.855,634.998,637.292,0,0
DVL,MV,D,20080226,000000,634.998,641.855,630.428,630.428,0,0
DVL,MV,D,20080227,000000,641.855,648.703,630.428,639.57,0,0
DVL,MV,D,20080228,000000,641.855,646.425,616.732,616.732,0,0
DVL,MV,D,20080229,000000,619.01,625.865,600.744,605.306,0,0
DVL,MV,D,20080303,000000,591.594,591.594,571.051,577.906,0,0
DVL,MV,D,20080304,000000,582.469,582.469,571.051,571.051,0,0
DVL,MV,D,20080305,000000,575.622,580.192,571.051,579.188,0,0
DVL,MV,D,20080306,000000,583.768,583.768,570.039,570.039,0,0
DVL,MV,D,20080307,000000,563.16,565.461,558.581,565.461,0,0
DVL,MV,D,20080310,000000,563.16,576.904,547.139,547.139,0,0
DVL,MV,D,20080311,000000,542.552,563.16,542.552,558.581,0,0
DVL,MV,D,20080312,000000,572.325,572.325,554.01,558.581,0,0
DVL,MV,D,20080313,000000,547.139,558.581,540.275,542.552,0,0
DVL,MV,D,20080314,000000,542.552,547.139,535.697,535.697,0,0
DVL,MV,D,20080317,000000,526.54,526.54,501.354,505.924,0,0
DVL,MV,D,20080318,000000,508.225,526.54,503.646,526.54,0,0
DVL,MV,D,20080319,000000,533.411,533.411,524.254,526.54,0,0
DVL,MV,D,20080320,000000,521.953,558.581,521.953,558.581,0,0
DVL,MV,D,20080325,000000,581.49,588.346,581.49,586.069,0,0
DVL,MV,D,20080326,000000,590.639,604.367,583.768,592.924,0,0
DVL,MV,D,20080327,000000,618.111,663.903,592.924,650.16,0,0
DVL,MV,D,20080328,000000,661.602,673.06,650.16,670.767,0,0
DVL,MV,D,20080331,000000,654.738,654.738,654.738,654.738,0,0
DVL,MV,D,20080401,000000,654.738,654.738,631.838,652.453,0,0
DVL,MV,D,20080402,000000,659.325,739.445,654.738,721.123,0,0
DVL,MV,D,20080403,000000,721.123,721.123,684.503,695.945,0,0
DVL,MV,D,20080404,000000,693.66,727.995,693.66,709.689,0,0
DVL,MV,D,20080407,000000,721.123,750.887,721.123,732.574,0,0
DVL,MV,D,20080408,000000,723.417,725.701,716.545,725.701,0,0
DVL,MV,D,20080409,000000,721.123,748.61,721.123,746.309,0,0
DVL,MV,D,20080410,000000,750.887,750.887,730.288,746.309,0,0
DVL,MV,D,20080411,000000,753.173,753.173,718.846,737.152,0,0
DVL,MV,D,20080414,000000,718.846,732.574,698.238,732.574,0,0
DVL,MV,D,20080415,000000,730.288,730.288,702.817,716.545,0,0
DVL,MV,D,20080416,000000,707.396,707.396,682.21,693.66,0,0
DVL,MV,D,20080417,000000,700.524,700.524,673.06,686.78,0,0
DVL,MV,D,20080418,000000,682.21,682.21,668.482,668.482,0,0
DVL,MV,D,20080421,000000,673.06,673.06,647.874,663.903,0,0
DVL,MV,D,20080422,000000,654.738,654.738,620.395,638.717,0,0
DVL,MV,D,20080423,000000,629.552,638.717,615.817,638.717,0,0
DVL,MV,D,20080424,000000,638.717,670.767,638.717,670.767,0,0
DVL,MV,D,20080425,000000,679.924,714.267,679.924,698.238,0,0
DVL,MV,D,20080428,000000,693.66,718.846,679.924,718.846,0,0
DVL,MV,D,20080429,000000,711.974,727.995,709.689,727.995,0,0
DVL,MV,D,20080430,000000,732.574,732.574,711.974,718.846,0,0
DVL,MV,D,20080505,000000,725.701,732.574,721.123,730.288,0,0
DVL,MV,D,20080506,000000,730.288,730.288,709.689,709.689,0,0
DVL,MV,D,20080507,000000,711.974,721.123,702.817,709.689,0,0
DVL,MV,D,20080508,000000,702.817,709.689,689.081,709.689,0,0
DVL,MV,D,20080509,000000,700.524,709.689,686.78,709.689,0,0
DVL,MV,D,20080512,000000,702.817,723.417,702.817,714.267,0,0
DVL,MV,D,20080513,000000,723.417,727.995,711.974,725.701,0,0
DVL,MV,D,20080514,000000,725.701,753.173,725.701,737.152,0,0
DVL,MV,D,20080515,000000,744.023,748.61,727.995,744.023,0,0
DVL,MV,D,20080516,000000,744.023,748.61,732.574,748.61,0,0
DVL,MV,D,20080519,000000,748.61,794.387,737.152,792.094,0,0
DVL,MV,D,20080520,000000,792.094,801.26,771.495,776.074,0,0
DVL,MV,D,20080521,000000,776.074,792.094,764.631,766.917,0,0
DVL,MV,D,20080523,000000,766.917,792.094,755.474,771.495,0,0
DVL,MV,D,20080526,000000,778.359,787.516,764.631,778.359,0,0
DVL,MV,D,20080527,000000,778.359,778.359,766.917,771.495,0,0
DVL,MV,D,20080528,000000,769.21,771.495,744.023,744.023,0,0
DVL,MV,D,20080529,000000,753.173,753.173,709.689,709.689,0,0
DVL,MV,D,20080530,000000,709.689,732.574,709.689,718.846,0,0
DVL,MV,D,20080602,000000,721.123,721.123,702.817,702.817,0,0
DVL,MV,D,20080603,000000,695.945,725.701,695.945,725.701,0,0
DVL,MV,D,20080604,000000,727.995,727.995,700.524,705.102,0,0
DVL,MV,D,20080605,000000,695.945,705.102,689.081,689.081,0,0
DVL,MV,D,20080606,000000,693.66,702.817,670.767,670.767,0,0
DVL,MV,D,20080609,000000,661.602,686.78,647.874,686.78,0,0
DVL,MV,D,20080610,000000,677.639,686.78,647.874,654.738,0,0
DVL,MV,D,20080611,000000,654.738,659.325,641.003,645.581,0,0
DVL,MV,D,20080612,000000,643.304,659.325,643.304,650.16,0,0
DVL,MV,D,20080613,000000,650.16,652.453,638.717,652.453,0,0
DVL,MV,D,20080616,000000,661.602,673.06,652.453,652.453,0,0
DVL,MV,D,20080617,000000,661.602,661.602,643.304,643.304,0,0
DVL,MV,D,20080618,000000,645.581,645.581,615.817,615.817,0,0
DVL,MV,D,20080619,000000,613.531,629.552,602.09,606.668,0,0
DVL,MV,D,20080620,000000,615.817,629.552,615.817,615.817,0,0
DVL,MV,D,20080623,000000,624.974,631.838,590.639,590.639,0,0
DVL,MV,D,20080624,000000,590.639,590.639,554.01,554.01,0,0
DVL,MV,D,20080625,000000,558.581,558.581,540.275,544.862,0,0
DVL,MV,D,20080626,000000,544.862,560.883,537.982,540.275,0,0
DVL,MV,D,20080627,000000,533.411,563.16,526.54,560.883,0,0
DVL,MV,D,20080630,000000,567.738,567.738,542.552,554.01,0,0
DVL,MV,D,20080701,000000,544.862,544.862,501.354,503.646,0,0
DVL,MV,D,20080702,000000,512.804,526.54,503.646,503.646,0,0
DVL,MV,D,20080703,000000,494.49,499.068,483.047,483.047,0,0
DVL,MV,D,20080704,000000,489.903,489.903,455.568,455.568,0,0
DVL,MV,D,20080707,000000,460.155,467.019,423.526,437.254,0,0
DVL,MV,D,20080708,000000,430.382,457.861,423.526,430.382,0,0
DVL,MV,D,20080709,000000,437.254,446.411,416.647,416.647,0,0
DVL,MV,D,20080710,000000,409.783,423.526,407.498,407.498,0,0
DVL,MV,D,20080711,000000,414.361,414.361,377.733,377.733,0,0
DVL,MV,D,20080714,000000,382.312,386.89,359.419,380.018,0,0
DVL,MV,D,20080715,000000,363.997,368.584,354.832,357.134,0,0
DVL,MV,D,20080716,000000,359.419,363.997,350.262,361.713,0,0
DVL,MV,D,20080717,000000,377.733,398.34,373.155,389.183,0,0
DVL,MV,D,20080718,000000,391.477,396.047,382.312,384.597,0,0
DVL,MV,D,20080721,000000,389.183,398.34,380.018,389.183,0,0
DVL,MV,D,20080722,000000,393.762,409.783,386.89,407.498,0,0
DVL,MV,D,20080723,000000,416.647,430.382,407.498,428.105,0,0
DVL,MV,D,20080724,000000,432.676,437.254,396.047,396.047,0,0
DVL,MV,D,20080725,000000,389.183,412.068,389.183,412.068,0,0
DVL,MV,D,20080728,000000,412.068,423.526,412.068,421.233,0,0
DVL,MV,D,20080729,000000,409.783,425.812,407.498,418.94,0,0
DVL,MV,D,20080730,000000,430.382,441.841,430.382,439.547,0,0
DVL,MV,D,20080731,000000,439.547,439.547,421.233,430.382,0,0
DVL,MV,D,20080801,000000,423.526,428.105,418.94,418.94,0,0
DVL,MV,D,20080804,000000,421.233,421.233,396.047,396.047,0,0
DVL,MV,D,20080805,000000,398.34,412.068,398.34,407.498,0,0
DVL,MV,D,20080806,000000,412.068,412.068,400.634,402.919,0,0
DVL,MV,D,20080807,000000,402.919,405.204,389.183,391.477,0,0
DVL,MV,D,20080808,000000,389.183,393.762,377.733,389.183,0,0
DVL,MV,D,20080811,000000,393.762,396.047,384.597,389.183,0,0
DVL,MV,D,20080812,000000,409.783,469.296,407.498,450.99,0,0
DVL,MV,D,20080813,000000,441.841,441.841,418.94,418.94,0,0
DVL,MV,D,20080814,000000,421.233,430.382,412.068,414.361,0,0
DVL,MV,D,20080818,000000,418.94,421.233,402.919,402.919,0,0
DVL,MV,D,20080819,000000,396.047,396.047,380.018,384.597,0,0
DVL,MV,D,20080820,000000,384.597,402.919,384.597,400.634,0,0
DVL,MV,D,20080821,000000,396.047,400.634,393.762,396.047,0,0
DVL,MV,D,20080822,000000,402.919,418.94,400.634,416.647,0,0
DVL,MV,D,20080825,000000,418.94,428.105,402.919,402.919,0,0
DVL,MV,D,20080826,000000,400.634,407.498,398.34,407.498,0,0
DVL,MV,D,20080827,000000,407.498,423.526,405.204,405.204,0,0
DVL,MV,D,20080828,000000,407.498,414.361,402.919,402.919,0,0
DVL,MV,D,20080829,000000,402.919,409.783,400.634,409.783,0,0
DVL,MV,D,20080901,000000,405.204,418.94,405.204,416.647,0,0
DVL,MV,D,20080902,000000,418.94,446.411,412.068,437.254,0,0
DVL,MV,D,20080903,000000,434.969,444.126,432.676,432.676,0,0
DVL,MV,D,20080904,000000,434.969,439.547,421.233,425.812,0,0
DVL,MV,D,20080905,000000,416.647,416.647,398.34,400.634,0,0
DVL,MV,D,20080908,000000,409.783,409.783,396.047,396.047,0,0
DVL,MV,D,20080909,000000,396.047,400.634,393.762,396.047,0,0
DVL,MV,D,20080910,000000,389.183,389.183,380.018,389.183,0,0
DVL,MV,D,20080911,000000,391.477,391.477,384.597,386.89,0,0
DVL,MV,D,20080912,000000,396.047,396.047,384.597,384.597,0,0
DVL,MV,D,20080915,000000,382.312,382.312,359.419,361.713,0,0
