<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAH,PB,D,20110616,000000,2.56033,2.56033,2.56033,2.56033,0,0
EAH,PB,D,20110617,000000,2.59373,2.6688,2.29356,2.29356,0,0
EAH,PB,D,20110620,000000,2.33522,2.38524,2.16004,2.16838,0,0
EAH,PB,D,20110621,000000,2.16004,2.36018,1.97659,2.29356,0,0
EAH,PB,D,20110622,000000,2.24345,2.29356,2.16838,2.29356,0,0
EAH,PB,D,20110624,000000,2.33522,2.37688,2.20179,2.37688,0,0
EAH,PB,D,20110627,000000,2.24345,2.24345,2.09332,2.24345,0,0
EAH,PB,D,20110628,000000,2.16838,2.35193,2.07662,2.35193,0,0
EAH,PB,D,20110629,000000,2.35193,2.35193,2.10167,2.10167,0,0
EAH,PB,D,20110630,000000,2.12672,2.34357,2.12672,2.29356,0,0
EAH,PB,D,20110701,000000,2.2852,2.35193,2.16004,2.2518,0,0
EAH,PB,D,20110704,000000,2.2518,2.2518,2.2518,2.2518,0,0
EAH,PB,D,20110705,000000,2.27686,2.29356,2.27686,2.29356,0,0
EAH,PB,D,20110706,000000,2.29356,2.35193,2.29356,2.35193,0,0
EAH,PB,D,20110707,000000,2.29356,2.37688,2.26842,2.37688,0,0
EAH,PB,D,20110708,000000,2.37688,2.37688,2.37688,2.37688,0,0
EAH,PB,D,20110711,000000,2.37688,2.37688,2.33522,2.33522,0,0
EAH,PB,D,20110712,000000,2.33522,2.33522,2.33522,2.33522,0,0
EAH,PB,D,20110713,000000,2.31852,2.31852,2.16004,2.21005,0,0
EAH,PB,D,20110714,000000,2.2351,2.26842,2.2351,2.26842,0,0
EAH,PB,D,20110715,000000,2.24345,2.24345,2.18509,2.24345,0,0
EAH,PB,D,20110718,000000,2.2184,2.24345,2.15178,2.24345,0,0
EAH,PB,D,20110719,000000,2.24345,2.24345,2.24345,2.24345,0,0
EAH,PB,D,20110720,000000,2.24345,2.3019,2.24345,2.24345,0,0
EAH,PB,D,20110721,000000,2.2351,2.2351,2.16004,2.16004,0,0
EAH,PB,D,20110722,000000,2.11837,2.11837,2.11837,2.11837,0,0
EAH,PB,D,20110725,000000,2.13507,2.13507,2.13507,2.13507,0,0
EAH,PB,D,20110726,000000,2.13507,2.16004,2.13507,2.16004,0,0
EAH,PB,D,20110727,000000,2.18509,2.33522,2.18509,2.20179,0,0
EAH,PB,D,20110728,000000,2.31017,2.31017,2.29356,2.29356,0,0
EAH,PB,D,20110802,000000,2.32687,2.32687,2.13507,2.13507,0,0
EAH,PB,D,20110803,000000,2.13507,2.13507,2.13507,2.13507,0,0
EAH,PB,D,20110804,000000,2.13507,2.16838,2.11837,2.11837,0,0
EAH,PB,D,20110805,000000,2.11837,2.11837,1.98495,2.11837,0,0
EAH,PB,D,20110808,000000,2.11837,2.19344,2.11837,2.11837,0,0
EAH,PB,D,20110809,000000,2.16004,2.33522,2.16004,2.33522,0,0
EAH,PB,D,20110810,000000,2.33522,2.33522,2.33522,2.33522,0,0
EAH,PB,D,20110812,000000,2.32687,2.32687,2.31852,2.31852,0,0
EAH,PB,D,20110816,000000,2.3019,2.3019,2.3019,2.3019,0,0
EAH,PB,D,20110817,000000,2.29356,2.29356,2.14342,2.14342,0,0
EAH,PB,D,20110818,000000,2.14342,2.14342,1.97659,1.97659,0,0
EAH,PB,D,20110819,000000,1.97659,1.98495,1.97659,1.98495,0,0
EAH,PB,D,20110822,000000,2.01826,2.01826,2.01826,2.01826,0,0
EAH,PB,D,20110824,000000,2.01826,2.10167,2.01826,2.10167,0,0
EAH,PB,D,20110825,000000,2.10167,2.18509,2.10167,2.18509,0,0
EAH,PB,D,20110826,000000,2.18509,2.18509,2.18509,2.18509,0,0
EAH,PB,D,20110829,000000,2.18509,2.18509,2.18509,2.18509,0,0
EAH,PB,D,20110830,000000,2.18509,2.18509,2.15178,2.18509,0,0
EAH,PB,D,20110831,000000,2.18509,2.18509,2.15178,2.18509,0,0
EAH,PB,D,20110901,000000,2.18509,2.18509,2.18509,2.18509,0,0
EAH,PB,D,20110902,000000,2.18509,2.18509,2.18509,2.18509,0,0
EAH,PB,D,20110906,000000,2.15178,2.26006,2.15178,2.15178,0,0
EAH,PB,D,20110915,000000,2.11003,2.11003,2.01826,2.01826,0,0
EAH,PB,D,20110916,000000,2.05992,2.05992,2.05992,2.05992,0,0
EAH,PB,D,20110919,000000,2.01826,2.01826,2.01826,2.01826,0,0
EAH,PB,D,20110920,000000,1.95989,1.95989,1.95989,1.95989,0,0
EAH,PB,D,20110921,000000,1.95989,1.95989,1.94328,1.94328,0,0
EAH,PB,D,20110922,000000,1.90152,1.90152,1.86812,1.86812,0,0
EAH,PB,D,20110923,000000,1.87647,1.88482,1.87647,1.88482,0,0
EAH,PB,D,20110926,000000,1.88482,1.88482,1.8015,1.8015,0,0
EAH,PB,D,20110928,000000,1.79314,1.79314,1.67632,1.67632,0,0
EAH,PB,D,20110929,000000,1.68468,1.70138,1.68468,1.70138,0,0
EAH,PB,D,20110930,000000,1.70973,1.95989,1.70973,1.95989,0,0
EAH,PB,D,20111003,000000,1.95989,1.95989,1.90152,1.90152,0,0
EAH,PB,D,20111004,000000,1.92648,1.95989,1.45122,1.45122,0,0
EAH,PB,D,20111005,000000,1.49288,1.61797,1.38441,1.44286,0,0
EAH,PB,D,20111007,000000,1.41772,1.41772,1.13425,1.20932,0,0
EAH,PB,D,20111010,000000,1.20932,1.45122,1.20932,1.37607,0,0
EAH,PB,D,20111011,000000,1.41772,1.61797,1.41772,1.53454,0,0
EAH,PB,D,20111012,000000,1.53454,1.73469,1.53454,1.63467,0,0
EAH,PB,D,20111013,000000,1.61797,1.64301,1.61797,1.64301,0,0
EAH,PB,D,20111017,000000,1.64301,1.70138,1.64301,1.70138,0,0
EAH,PB,D,20111018,000000,1.70138,1.70138,1.70138,1.70138,0,0
EAH,PB,D,20111019,000000,1.70138,1.85977,1.70138,1.85977,0,0
EAH,PB,D,20111020,000000,1.81811,1.81811,1.81811,1.81811,0,0
EAH,PB,D,20111024,000000,1.8015,1.8015,1.8015,1.8015,0,0
EAH,PB,D,20111025,000000,1.77644,1.77644,1.40111,1.61797,0,0
EAH,PB,D,20111026,000000,1.60135,1.61797,1.60135,1.61797,0,0
EAH,PB,D,20111027,000000,1.6097,1.70138,1.29273,1.29273,0,0
EAH,PB,D,20111028,000000,1.37607,1.61797,1.37607,1.61797,0,0
EAH,PB,D,20111031,000000,1.61797,1.61797,1.61797,1.61797,0,0
EAH,PB,D,20111102,000000,1.61797,1.61797,1.61797,1.61797,0,0
EAH,PB,D,20111103,000000,1.61797,1.61797,1.61797,1.61797,0,0
EAH,PB,D,20111104,000000,1.61797,1.61797,1.61797,1.61797,0,0
EAH,PB,D,20111107,000000,1.61797,1.61797,1.61797,1.61797,0,0
EAH,PB,D,20111109,000000,1.61797,1.61797,1.61797,1.61797,0,0
EAH,PB,D,20111110,000000,1.6097,1.6097,1.6097,1.6097,0,0
EAH,PB,D,20111114,000000,1.6097,1.6097,1.6097,1.6097,0,0
EAH,PB,D,20111115,000000,1.6097,1.6097,1.57621,1.57621,0,0
EAH,PB,D,20111116,000000,1.56786,1.56786,1.56786,1.56786,0,0
