<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDI,MV,D,20101220,000000,34.4588,34.4588,34.4588,34.4588,0,0
EDI,MV,D,20101221,000000,34.1323,34.4588,33.15,33.3114,0,0
EDI,MV,D,20101222,000000,33.0412,34.9513,33.0412,34.4025,0,0
EDI,MV,D,20101223,000000,34.9513,35.2252,34.4025,35.2252,0,0
EDI,MV,D,20101227,000000,34.242,35.0601,33.9119,35.0039,0,0
EDI,MV,D,20101228,000000,34.9513,35.0039,33.4765,33.6416,0,0
EDI,MV,D,20101229,000000,34.8433,35.987,33.6416,35.3857,0,0
EDI,MV,D,20101230,000000,34.9513,36.0442,34.9513,36.0442,0,0
EDI,MV,D,20101231,000000,35.7703,36.0977,35.4973,36.0442,0,0
EDI,MV,D,20110103,000000,35.0039,36.0442,34.4025,34.4025,0,0
EDI,MV,D,20110104,000000,34.4025,34.4025,34.4025,34.4025,0,0
EDI,MV,D,20110105,000000,34.4025,34.4025,34.1858,34.4025,0,0
EDI,MV,D,20110107,000000,34.9513,34.9513,34.6773,34.6773,0,0
EDI,MV,D,20110110,000000,34.6773,34.6773,34.242,34.242,0,0
EDI,MV,D,20110112,000000,35.1127,35.2252,34.4588,35.2252,0,0
EDI,MV,D,20110113,000000,35.4428,35.8873,35.2252,35.8873,0,0
EDI,MV,D,20110114,000000,35.939,36.1049,35.1127,35.666,0,0
EDI,MV,D,20110117,000000,35.1127,35.831,35.1127,35.831,0,0
EDI,MV,D,20110118,000000,35.7739,36.0523,35.7739,36.0523,0,0
EDI,MV,D,20110119,000000,36.0523,36.1049,34.8896,34.8896,0,0
EDI,MV,D,20110120,000000,36.0523,36.0523,35.6088,35.6088,0,0
EDI,MV,D,20110121,000000,35.5517,35.997,34.8896,35.997,0,0
EDI,MV,D,20110124,000000,35.939,35.939,35.3857,35.939,0,0
EDI,MV,D,20110125,000000,35.939,35.939,35.939,35.939,0,0
EDI,MV,D,20110126,000000,35.7739,35.7739,35.1127,35.1127,0,0
EDI,MV,D,20110127,000000,35.1127,35.6088,35.1127,35.6088,0,0
EDI,MV,D,20110128,000000,35.3349,35.3349,35.3349,35.3349,0,0
EDI,MV,D,20110131,000000,35.3358,35.6632,34.8343,35.3358,0,0
EDI,MV,D,20110201,000000,34.612,35.666,34.612,35.666,0,0
EDI,MV,D,20110202,000000,34.612,35.6088,34.612,35.6088,0,0
EDI,MV,D,20110203,000000,35.3857,35.6088,34.8896,35.3857,0,0
EDI,MV,D,20110204,000000,35.3857,35.3857,34.8343,35.3857,0,0
EDI,MV,D,20110207,000000,35.3349,36.2174,35.3349,36.2174,0,0
EDI,MV,D,20110208,000000,35.939,36.2174,35.3349,35.666,0,0
EDI,MV,D,20110209,000000,35.8873,35.8873,35.4428,35.666,0,0
EDI,MV,D,20110210,000000,35.666,35.666,35.6088,35.6088,0,0
EDI,MV,D,20110211,000000,35.3857,35.6088,35.3857,35.6088,0,0
EDI,MV,D,20110214,000000,35.666,35.666,35.5517,35.5517,0,0
EDI,MV,D,20110215,000000,35.5517,35.5517,35.5517,35.5517,0,0
EDI,MV,D,20110216,000000,35.3857,35.666,35.3857,35.3857,0,0
EDI,MV,D,20110217,000000,35.3857,35.3857,34.8343,34.8343,0,0
EDI,MV,D,20110218,000000,34.8343,35.3857,34.8343,35.3349,0,0
EDI,MV,D,20110221,000000,35.1127,35.666,35.1127,35.5517,0,0
EDI,MV,D,20110222,000000,35.1127,35.5517,35.1127,35.1127,0,0
EDI,MV,D,20110223,000000,35.3857,35.3857,34.8896,35.3857,0,0
EDI,MV,D,20110224,000000,34.8896,35.2769,34.8896,35.2769,0,0
EDI,MV,D,20110225,000000,34.8343,35.2769,34.8343,35.1127,0,0
EDI,MV,D,20110228,000000,35.1127,35.6632,35.1127,35.6632,0,0
EDI,MV,D,20110301,000000,35.831,35.831,35.3857,35.831,0,0
EDI,MV,D,20110302,000000,35.3857,35.3857,35.3857,35.3857,0,0
EDI,MV,D,20110303,000000,35.3857,35.3857,35.1127,35.3857,0,0
EDI,MV,D,20110304,000000,35.3857,35.3857,35.3857,35.3857,0,0
EDI,MV,D,20110307,000000,35.666,35.666,35.666,35.666,0,0
EDI,MV,D,20110308,000000,35.666,35.666,35.666,35.666,0,0
EDI,MV,D,20110309,000000,35.666,35.666,35.666,35.666,0,0
EDI,MV,D,20110310,000000,35.831,35.831,35.0002,35.0002,0,0
EDI,MV,D,20110311,000000,35.831,35.831,35.0002,35.0002,0,0
EDI,MV,D,20110314,000000,35.4428,35.4428,35.0002,35.0002,0,0
EDI,MV,D,20110315,000000,35.3857,35.3857,35.0002,35.3349,0,0
EDI,MV,D,20110316,000000,34.9467,35.3349,34.9467,35.3349,0,0
EDI,MV,D,20110317,000000,35.2769,35.3349,35.2769,35.2769,0,0
EDI,MV,D,20110318,000000,35.2215,35.2769,35.2215,35.2215,0,0
EDI,MV,D,20110321,000000,35.1127,35.1127,35.1127,35.1127,0,0
EDI,MV,D,20110322,000000,35.2769,35.939,34.9467,35.939,0,0
EDI,MV,D,20110323,000000,36.0523,37.5978,36.0523,37.3239,0,0
EDI,MV,D,20110324,000000,37.2668,38.707,37.2668,38.3198,0,0
EDI,MV,D,20110325,000000,38.707,38.707,37.8763,38.0404,0,0
EDI,MV,D,20110328,000000,37.9851,37.9851,37.1579,37.5978,0,0
EDI,MV,D,20110329,000000,37.5978,37.5978,37.0446,37.5978,0,0
EDI,MV,D,20110330,000000,37.7674,37.7674,36.6056,36.6056,0,0
EDI,MV,D,20110331,000000,37.5452,37.5452,36.6038,36.6038,0,0
EDI,MV,D,20110401,000000,36.1049,36.6056,35.939,36.4922,0,0
EDI,MV,D,20110404,000000,36.4922,36.7716,36.4922,36.7716,0,0
EDI,MV,D,20110405,000000,36.7135,36.7716,36.7135,36.7135,0,0
EDI,MV,D,20110406,000000,36.4922,36.6056,36.1049,36.5475,0,0
EDI,MV,D,20110407,000000,36.5475,36.5475,36.4405,36.4405,0,0
EDI,MV,D,20110408,000000,36.4405,36.4405,36.4405,36.4405,0,0
EDI,MV,D,20110411,000000,36.1049,36.1049,35.666,35.666,0,0
EDI,MV,D,20110412,000000,35.666,35.666,35.1127,35.1127,0,0
EDI,MV,D,20110413,000000,35.1653,35.6088,35.1653,35.6088,0,0
EDI,MV,D,20110414,000000,35.3857,36.1612,35.3857,36.1612,0,0
EDI,MV,D,20110415,000000,36.2174,36.2174,36.1612,36.2174,0,0
EDI,MV,D,20110418,000000,36.1612,36.1612,35.3857,36.1612,0,0
EDI,MV,D,20110419,000000,35.5517,36.1612,34.6683,35.666,0,0
EDI,MV,D,20110420,000000,35.666,35.666,34.8343,35.6088,0,0
EDI,MV,D,20110421,000000,35.666,35.666,35.666,35.666,0,0
EDI,MV,D,20110426,000000,35.5,35.666,35.5,35.5,0,0
EDI,MV,D,20110427,000000,35.5,35.5,34.5585,35.2215,0,0
EDI,MV,D,20110428,000000,35.1127,35.1127,34.8343,34.8343,0,0
EDI,MV,D,20110429,000000,34.8343,34.8343,34.0053,34.8343,0,0
EDI,MV,D,20110502,000000,34.5585,34.8343,34.5585,34.5585,0,0
EDI,MV,D,20110504,000000,34.0071,34.2819,33.7287,33.8375,0,0
EDI,MV,D,20110505,000000,33.9509,34.0071,33.7287,34.0071,0,0
EDI,MV,D,20110506,000000,34.2819,34.2819,33.1763,33.3985,0,0
EDI,MV,D,20110509,000000,32.623,33.0675,32.623,33.0675,0,0
EDI,MV,D,20110510,000000,33.0675,33.0675,32.3446,32.9532,0,0
EDI,MV,D,20110511,000000,33.1763,33.1763,32.1278,32.1278,0,0
EDI,MV,D,20110512,000000,33.1201,33.1201,31.239,31.5174,0,0
EDI,MV,D,20110513,000000,31.5174,31.5174,29.8595,30.6867,0,0
EDI,MV,D,20110516,000000,29.8595,30.6867,29.581,29.581,0,0
EDI,MV,D,20110517,000000,29.9665,29.9665,29.1403,29.1403,0,0
EDI,MV,D,20110518,000000,28.0882,29.1403,27.0923,27.0923,0,0
EDI,MV,D,20110519,000000,26.5953,27.866,26.5953,27.7018,0,0
EDI,MV,D,20110520,000000,27.7018,27.7018,27.7018,27.7018,0,0
EDI,MV,D,20110523,000000,27.1476,27.7571,27.1476,27.6483,0,0
EDI,MV,D,20110524,000000,27.7571,27.7571,27.6483,27.6483,0,0
EDI,MV,D,20110525,000000,27.592,28.2015,27.592,28.2015,0,0
EDI,MV,D,20110526,000000,27.3136,28.2015,27.3136,28.2015,0,0
EDI,MV,D,20110527,000000,28.7539,28.7539,27.866,27.866,0,0
EDI,MV,D,20110530,000000,28.5326,28.5326,27.866,28.4754,0,0
EDI,MV,D,20110531,000000,28.6967,28.6967,28.4773,28.6967,0,0
EDI,MV,D,20110601,000000,28.7539,28.7539,27.7018,27.7018,0,0
EDI,MV,D,20110602,000000,28.6405,28.6405,26.3731,26.3731,0,0
EDI,MV,D,20110603,000000,26.539,26.539,25.3246,25.3808,0,0
EDI,MV,D,20110606,000000,25.6547,26.9826,25.3246,25.7119,0,0
EDI,MV,D,20110607,000000,26.0983,26.0983,24.9373,25.0453,0,0
EDI,MV,D,20110608,000000,24.9373,26.0438,24.8784,26.0438,0,0
EDI,MV,D,20110609,000000,26.0438,27.5948,26.0438,27.5948,0,0
EDI,MV,D,20110610,000000,27.592,28.1444,27.592,27.592,0,0
EDI,MV,D,20110613,000000,28.031,28.5879,28.031,28.5879,0,0
EDI,MV,D,20110614,000000,28.5879,28.5879,27.9231,28.4754,0,0
EDI,MV,D,20110615,000000,28.4754,30.1334,28.4754,29.25,0,0
EDI,MV,D,20110616,000000,29.3053,29.3053,27.7553,27.7553,0,0
EDI,MV,D,20110617,000000,28.4773,28.4773,27.7553,28.4773,0,0
EDI,MV,D,20110620,000000,28.4754,28.4754,27.6483,27.6483,0,0
EDI,MV,D,20110621,000000,27.6483,29.3062,27.6483,29.3062,0,0
EDI,MV,D,20110622,000000,28.2043,30.1343,28.2043,30.1343,0,0
EDI,MV,D,20110624,000000,30.1343,30.1343,29.0867,30.1343,0,0
EDI,MV,D,20110627,000000,29.0867,30.0799,29.0287,29.0287,0,0
EDI,MV,D,20110628,000000,30.0799,30.0799,29.0287,29.9683,0,0
EDI,MV,D,20110629,000000,29.3053,29.8622,27.9222,29.8622,0,0
EDI,MV,D,20110630,000000,29.8622,29.8622,29.3597,29.3597,0,0
EDI,MV,D,20110701,000000,29.3597,29.3597,29.3053,29.3053,0,0
EDI,MV,D,20110704,000000,29.8622,29.8622,29.8622,29.8622,0,0
EDI,MV,D,20110705,000000,29.8622,29.8622,29.8622,29.8622,0,0
EDI,MV,D,20110706,000000,29.8622,29.8622,28.9697,28.9697,0,0
EDI,MV,D,20110707,000000,29.825,29.825,29.825,29.825,0,0
EDI,MV,D,20110708,000000,29.825,29.825,29.825,29.825,0,0
EDI,MV,D,20110711,000000,29.825,29.825,29.825,29.825,0,0
EDI,MV,D,20110712,000000,29.3144,29.3144,27.8895,27.8895,0,0
EDI,MV,D,20110713,000000,27.8895,28.6877,27.8895,28.6877,0,0
EDI,MV,D,20110714,000000,28.6877,28.6877,27.3789,27.3789,0,0
EDI,MV,D,20110715,000000,27.4959,27.4959,27.3209,27.3209,0,0
EDI,MV,D,20110718,000000,27.5503,28.4637,27.3209,28.4637,0,0
EDI,MV,D,20110719,000000,27.3209,28.4047,27.3209,28.4047,0,0
EDI,MV,D,20110720,000000,28.4047,28.4637,28.4047,28.4637,0,0
EDI,MV,D,20110721,000000,28.4637,28.4637,27.3209,27.3209,0,0
EDI,MV,D,20110722,000000,27.2093,27.2093,27.2093,27.2093,0,0
EDI,MV,D,20110725,000000,27.2093,27.2093,27.2093,27.2093,0,0
EDI,MV,D,20110726,000000,27.1494,27.3209,27.1494,27.3209,0,0
EDI,MV,D,20110727,000000,27.3209,27.8895,26.6397,27.8895,0,0
EDI,MV,D,20110728,000000,26.6397,27.8895,26.6397,27.8895,0,0
EDI,MV,D,20110729,000000,27.4959,29.4314,27.4959,28.177,0,0
EDI,MV,D,20110801,000000,27.6655,28.4637,27.6655,28.4637,0,0
EDI,MV,D,20110802,000000,28.4637,28.4637,27.6655,28.4637,0,0
EDI,MV,D,20110803,000000,28.4637,29.4314,28.0074,28.0074,0,0
EDI,MV,D,20110804,000000,28.4637,28.4637,28.4637,28.4637,0,0
EDI,MV,D,20110805,000000,27.1494,28.4637,27.1494,27.3789,0,0
EDI,MV,D,20110808,000000,27.3209,28.3476,26.1835,26.1835,0,0
EDI,MV,D,20110809,000000,25.672,26.9218,24.7623,26.072,0,0
