<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDI,PE,D,20101220,000000,2.13248,2.13248,2.13248,2.13248,0,0
EDI,PE,D,20101221,000000,2.13248,2.13248,2.04541,2.08904,0,0
EDI,PE,D,20101222,000000,2.08904,2.17602,2.08904,2.13248,0,0
EDI,PE,D,20101223,000000,2.17602,2.17602,2.13248,2.17602,0,0
EDI,PE,D,20101227,000000,2.13248,2.17602,2.08904,2.17602,0,0
EDI,PE,D,20101228,000000,2.17602,2.17602,2.08904,2.08904,0,0
EDI,PE,D,20101229,000000,2.17602,2.21955,2.08904,2.21955,0,0
EDI,PE,D,20101230,000000,2.17602,2.263,2.17602,2.263,0,0
EDI,PE,D,20101231,000000,2.26254,2.26254,2.21774,2.26254,0,0
EDI,PE,D,20110103,000000,2.21955,2.263,2.13248,2.13248,0,0
EDI,PE,D,20110104,000000,2.13248,2.13248,2.13248,2.13248,0,0
EDI,PE,D,20110105,000000,2.13248,2.13248,2.13248,2.13248,0,0
EDI,PE,D,20110107,000000,2.17602,2.17602,2.13248,2.17602,0,0
EDI,PE,D,20110110,000000,2.17602,2.17602,2.13248,2.13248,0,0
EDI,PE,D,20110112,000000,2.17602,2.17602,2.13248,2.17602,0,0
EDI,PE,D,20110113,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110114,000000,2.21955,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110117,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110118,000000,2.21955,2.263,2.21955,2.263,0,0
EDI,PE,D,20110119,000000,2.263,2.263,2.17602,2.17602,0,0
EDI,PE,D,20110120,000000,2.263,2.263,2.21955,2.21955,0,0
EDI,PE,D,20110121,000000,2.21955,2.263,2.17602,2.263,0,0
EDI,PE,D,20110124,000000,2.263,2.263,2.21955,2.21955,0,0
EDI,PE,D,20110125,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110126,000000,2.21955,2.21955,2.17602,2.17602,0,0
EDI,PE,D,20110127,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110128,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110131,000000,2.21774,2.21774,2.17747,2.21774,0,0
EDI,PE,D,20110201,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110202,000000,2.13248,2.21955,2.13248,2.21955,0,0
EDI,PE,D,20110203,000000,2.21955,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110204,000000,2.21955,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110207,000000,2.21955,2.263,2.21955,2.263,0,0
EDI,PE,D,20110208,000000,2.263,2.263,2.21955,2.21955,0,0
EDI,PE,D,20110209,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110210,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110211,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110214,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110215,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110216,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110217,000000,2.21955,2.21955,2.17602,2.17602,0,0
EDI,PE,D,20110218,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110221,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110222,000000,2.17602,2.21955,2.17602,2.17602,0,0
EDI,PE,D,20110223,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110224,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110225,000000,2.17602,2.21955,2.17602,2.17602,0,0
EDI,PE,D,20110228,000000,2.17747,2.21774,2.17747,2.21774,0,0
EDI,PE,D,20110301,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110302,000000,2.17602,2.21955,2.17602,2.21955,0,0
EDI,PE,D,20110303,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110304,000000,2.21955,2.21955,2.21955,2.21955,0,0
EDI,PE,D,20110307,000000,2.21955,2.21955,2.21955,2.21955,0,0
