<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELT,MV,D,20070813,000000,180.441,180.441,180.441,180.441,0,0
ELT,MV,D,20070814,000000,184.914,184.914,184.914,184.914,0,0
ELT,MV,D,20070816,000000,172.539,172.539,172.539,172.539,0,0
ELT,MV,D,20070817,000000,179.127,179.127,179.127,179.127,0,0
ELT,MV,D,20070820,000000,185.805,185.805,185.805,185.805,0,0
ELT,MV,D,20070821,000000,185.805,185.805,185.805,185.805,0,0
ELT,MV,D,20070822,000000,198.621,198.621,198.621,198.621,0,0
ELT,MV,D,20070823,000000,195.975,195.975,195.975,195.975,0,0
ELT,MV,D,20070824,000000,194.661,194.661,194.661,194.661,0,0
ELT,MV,D,20070827,000000,194.211,194.211,194.211,194.211,0,0
ELT,MV,D,20070828,000000,196.857,196.857,196.857,196.857,0,0
ELT,MV,D,20070829,000000,201.276,201.276,201.276,201.276,0,0
ELT,MV,D,20070830,000000,197.307,197.307,197.307,197.307,0,0
ELT,MV,D,20070831,000000,199.08,199.08,199.08,199.08,0,0
ELT,MV,D,20070903,000000,201.24,201.24,201.24,201.24,0,0
ELT,MV,D,20070904,000000,203.004,203.004,203.004,203.004,0,0
ELT,MV,D,20070905,000000,197.253,197.253,197.253,197.253,0,0
ELT,MV,D,20070906,000000,197.703,197.703,197.703,197.703,0,0
ELT,MV,D,20070907,000000,197.253,197.253,197.253,197.253,0,0
ELT,MV,D,20070910,000000,193.77,193.77,193.77,193.77,0,0
ELT,MV,D,20070911,000000,196.425,196.425,196.425,196.425,0,0
ELT,MV,D,20070912,000000,191.115,191.115,191.115,191.115,0,0
ELT,MV,D,20070913,000000,196.425,196.425,196.425,196.425,0,0
ELT,MV,D,20070914,000000,196.821,196.821,196.821,196.821,0,0
ELT,MV,D,20070917,000000,196.785,196.785,196.785,196.785,0,0
ELT,MV,D,20070918,000000,197.757,197.757,197.757,197.757,0,0
ELT,MV,D,20070919,000000,198.108,198.108,198.108,198.108,0,0
