<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELT,PB,D,20070813,000000,2.24487,2.24487,2.24487,2.24487,0,0
ELT,PB,D,20070814,000000,2.30328,2.30328,2.30328,2.30328,0,0
ELT,PB,D,20070816,000000,2.14749,2.14749,2.14749,2.14749,0,0
ELT,PB,D,20070817,000000,2.23029,2.23029,2.23029,2.23029,0,0
ELT,PB,D,20070820,000000,2.313,2.313,2.313,2.313,0,0
ELT,PB,D,20070821,000000,2.313,2.313,2.313,2.313,0,0
ELT,PB,D,20070822,000000,2.47374,2.47374,2.47374,2.47374,0,0
ELT,PB,D,20070823,000000,2.43963,2.43963,2.43963,2.43963,0,0
ELT,PB,D,20070824,000000,2.42019,2.42019,2.42019,2.42019,0,0
ELT,PB,D,20070827,000000,2.41524,2.41524,2.41524,2.41524,0,0
ELT,PB,D,20070828,000000,2.44944,2.44944,2.44944,2.44944,0,0
ELT,PB,D,20070829,000000,2.50281,2.50281,2.50281,2.50281,0,0
ELT,PB,D,20070830,000000,2.4543,2.4543,2.4543,2.4543,0,0
ELT,PB,D,20070831,000000,2.4786,2.4786,2.4786,2.4786,0,0
ELT,PB,D,20070903,000000,2.50281,2.50281,2.50281,2.50281,0,0
ELT,PB,D,20070904,000000,2.5272,2.5272,2.5272,2.5272,0,0
ELT,PB,D,20070905,000000,2.4543,2.4543,2.4543,2.4543,0,0
ELT,PB,D,20070906,000000,2.46393,2.46393,2.46393,2.46393,0,0
ELT,PB,D,20070907,000000,2.4543,2.4543,2.4543,2.4543,0,0
ELT,PB,D,20070910,000000,2.41047,2.41047,2.41047,2.41047,0,0
ELT,PB,D,20070911,000000,2.44449,2.44449,2.44449,2.44449,0,0
ELT,PB,D,20070912,000000,2.38122,2.38122,2.38122,2.38122,0,0
ELT,PB,D,20070913,000000,2.44449,2.44449,2.44449,2.44449,0,0
ELT,PB,D,20070914,000000,2.44944,2.44944,2.44944,2.44944,0,0
ELT,PB,D,20070917,000000,2.44944,2.44944,2.44944,2.44944,0,0
ELT,PB,D,20070918,000000,2.46393,2.46393,2.46393,2.46393,0,0
ELT,PB,D,20070919,000000,2.46888,2.46888,2.46888,2.46888,0,0
ELT,PB,D,20070920,000000,2.4786,2.4786,2.4786,2.4786,0,0
ELT,PB,D,20070921,000000,2.44449,2.44449,2.44449,2.44449,0,0
ELT,PB,D,20070924,000000,2.36655,2.36655,2.36655,2.36655,0,0
ELT,PB,D,20070925,000000,2.35683,2.35683,2.35683,2.35683,0,0
ELT,PB,D,20070926,000000,2.313,2.313,2.313,2.313,0,0
ELT,PB,D,20070927,000000,2.27898,2.27898,2.27898,2.27898,0,0
ELT,PB,D,20070928,000000,2.16207,2.16207,2.16207,2.16207,0,0
ELT,PB,D,20071001,000000,2.09385,2.09385,2.09385,2.09385,0,0
ELT,PB,D,20071002,000000,2.04039,2.04039,2.04039,2.04039,0,0
ELT,PB,D,20071003,000000,2.09385,2.09385,2.09385,2.09385,0,0
ELT,PB,D,20071004,000000,2.09385,2.09385,2.09385,2.09385,0,0
ELT,PB,D,20071005,000000,2.14749,2.14749,2.14749,2.14749,0,0
ELT,PB,D,20071008,000000,2.14749,2.14749,2.14749,2.14749,0,0
ELT,PB,D,20071009,000000,2.14254,2.14254,2.14254,2.14254,0,0
ELT,PB,D,20071010,000000,2.20095,2.20095,2.20095,2.20095,0,0
ELT,PB,D,20071011,000000,2.19132,2.19132,2.19132,2.19132,0,0
ELT,PB,D,20071012,000000,2.20095,2.20095,2.20095,2.20095,0,0
ELT,PB,D,20071015,000000,2.23029,2.23029,2.23029,2.23029,0,0
ELT,PB,D,20071016,000000,2.25945,2.25945,2.25945,2.25945,0,0
ELT,PB,D,20071017,000000,2.21076,2.21076,2.21076,2.21076,0,0
ELT,PB,D,20071018,000000,2.18151,2.18151,2.18151,2.18151,0,0
ELT,PB,D,20071019,000000,2.20095,2.20095,2.20095,2.20095,0,0
ELT,PB,D,20071022,000000,2.17674,2.17674,2.17674,2.17674,0,0
ELT,PB,D,20071023,000000,2.09385,2.09385,2.09385,2.09385,0,0
ELT,PB,D,20071024,000000,2.08422,2.08422,2.08422,2.08422,0,0
ELT,PB,D,20071025,000000,2.07441,2.07441,2.07441,2.07441,0,0
ELT,PB,D,20071026,000000,2.04039,2.04039,2.04039,2.04039,0,0
ELT,PB,D,20071029,000000,2.02086,2.02086,2.02086,2.02086,0,0
ELT,PB,D,20071030,000000,2.00142,2.00142,2.00142,2.00142,0,0
ELT,PB,D,20071031,000000,1.88937,1.88937,1.88937,1.88937,0,0
ELT,PB,D,20071102,000000,1.81629,1.81629,1.81629,1.81629,0,0
ELT,PB,D,20071105,000000,1.73844,1.73844,1.73844,1.73844,0,0
ELT,PB,D,20071106,000000,1.65078,1.65078,1.65078,1.65078,0,0
ELT,PB,D,20071107,000000,1.65078,1.65078,1.65078,1.65078,0,0
ELT,PB,D,20071108,000000,1.59237,1.59237,1.59237,1.59237,0,0
ELT,PB,D,20071109,000000,1.62153,1.62153,1.54368,1.62153,0,0
ELT,PB,D,20071112,000000,1.58256,1.62153,1.57275,1.60209,0,0
ELT,PB,D,20071113,000000,1.64097,1.64097,1.58751,1.61667,0,0
ELT,PB,D,20071114,000000,1.65078,1.68003,1.54854,1.61667,0,0
ELT,PB,D,20071115,000000,1.62153,1.62153,1.34901,1.50948,0,0
ELT,PB,D,20071116,000000,1.47051,1.50948,1.37808,1.43163,0,0
ELT,PB,D,20071119,000000,1.48527,1.48527,1.37808,1.43163,0,0
ELT,PB,D,20071120,000000,1.39761,1.39761,1.33911,1.35864,0,0
ELT,PB,D,20071121,000000,1.34901,1.34901,1.2222,1.22706,0,0
ELT,PB,D,20071122,000000,1.19313,1.29528,1.12986,1.29528,0,0
ELT,PB,D,20071123,000000,1.29528,1.32453,1.27089,1.32453,0,0
ELT,PB,D,20071126,000000,1.32948,1.35369,1.2807,1.32453,0,0
ELT,PB,D,20071127,000000,1.28556,1.29528,1.26603,1.2807,0,0
ELT,PB,D,20071128,000000,1.29528,1.29528,1.24659,1.24659,0,0
ELT,PB,D,20071129,000000,1.27584,1.31472,1.25145,1.26117,0,0
ELT,PB,D,20071130,000000,1.2807,1.30995,1.26603,1.30995,0,0
ELT,PB,D,20071203,000000,1.33911,1.33911,1.29042,1.31472,0,0
ELT,PB,D,20071204,000000,1.33425,1.33425,1.27584,1.30995,0,0
ELT,PB,D,20071205,000000,1.32453,1.32453,1.2807,1.29042,0,0
ELT,PB,D,20071206,000000,1.29042,1.29042,1.26117,1.2807,0,0
ELT,PB,D,20071207,000000,1.27089,1.27089,1.2564,1.2564,0,0
ELT,PB,D,20071210,000000,1.27089,1.27089,1.23678,1.25145,0,0
ELT,PB,D,20071211,000000,1.2564,1.2564,1.18809,1.22706,0,0
ELT,PB,D,20071212,000000,1.20276,1.20276,1.16379,1.18341,0,0
ELT,PB,D,20071213,000000,1.17846,1.17846,1.14444,1.16379,0,0
ELT,PB,D,20071214,000000,1.14921,1.14921,1.08585,1.14921,0,0
ELT,PB,D,20071217,000000,1.14444,1.14444,1.06146,1.07613,0,0
ELT,PB,D,20071218,000000,1.06641,1.07613,1.02258,1.02744,0,0
ELT,PB,D,20071219,000000,1.04202,1.04202,1.02744,1.02744,0,0
ELT,PB,D,20071220,000000,1.02744,1.06146,1.02258,1.05174,0,0
ELT,PB,D,20071221,000000,1.05669,1.10547,1.04202,1.06641,0,0
ELT,PB,D,20071227,000000,1.04697,1.06146,1.04202,1.06146,0,0
ELT,PB,D,20071228,000000,1.06641,1.09566,1.06641,1.06641,0,0
ELT,PB,D,20080102,000000,1.08108,1.08108,1.07613,1.07613,0,0
