<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENP,PB,D,20071105,000000,5.44162,5.44162,5.44162,5.44162,0,0
ENP,PB,D,20071106,000000,5.31063,5.31063,5.31063,5.31063,0,0
ENP,PB,D,20071107,000000,5.00964,5.00964,5.00964,5.00964,0,0
ENP,PB,D,20071108,000000,4.93218,4.93218,4.93218,4.93218,0,0
ENP,PB,D,20071109,000000,4.95544,4.95544,4.59275,4.64666,0,0
ENP,PB,D,20071112,000000,4.46138,4.64666,4.3843,4.43831,0,0
ENP,PB,D,20071113,000000,4.47685,4.74708,4.36114,4.70836,0,0
ENP,PB,D,20071114,000000,4.89374,4.89374,4.5542,4.68529,0,0
ENP,PB,D,20071115,000000,4.72383,4.72383,4.09868,4.1527,0,0
ENP,PB,D,20071116,000000,4.13731,4.36114,3.89033,4.36114,0,0
ENP,PB,D,20071119,000000,4.36114,4.36114,4.17586,4.21439,0,0
ENP,PB,D,20071120,000000,3.94425,4.25293,3.94425,4.13731,0,0
ENP,PB,D,20071121,000000,3.96741,4.02151,3.81306,3.83622,0,0
ENP,PB,D,20071122,000000,3.81306,4.2685,3.60462,4.2685,0,0
ENP,PB,D,20071123,000000,4.09868,4.56939,4.09868,4.56939,0,0
ENP,PB,D,20071126,000000,4.56939,4.74708,4.42275,4.56939,0,0
ENP,PB,D,20071127,000000,4.51539,4.51539,4.30694,4.39967,0,0
ENP,PB,D,20071128,000000,4.43831,4.64666,4.3843,4.64666,0,0
ENP,PB,D,20071129,000000,4.74708,4.81657,4.74708,4.74708,0,0
ENP,PB,D,20071130,000000,4.78563,4.81657,4.74708,4.80119,0,0
ENP,PB,D,20071203,000000,4.78563,4.78563,4.51539,4.74708,0,0
ENP,PB,D,20071204,000000,4.50001,4.68529,4.50001,4.68529,0,0
ENP,PB,D,20071205,000000,4.70836,4.83973,4.70836,4.83973,0,0
ENP,PB,D,20071206,000000,4.76247,4.76247,4.64666,4.64666,0,0
ENP,PB,D,20071207,000000,4.64666,4.74708,4.50001,4.64666,0,0
ENP,PB,D,20071210,000000,4.56939,4.64666,4.56939,4.56939,0,0
ENP,PB,D,20071211,000000,4.74708,4.74708,4.53864,4.66982,0,0
ENP,PB,D,20071212,000000,4.53864,4.64666,4.47685,4.64666,0,0
ENP,PB,D,20071213,000000,4.5542,4.66982,4.5542,4.66982,0,0
ENP,PB,D,20071214,000000,4.56939,4.70836,4.47685,4.66982,0,0
ENP,PB,D,20071217,000000,4.50001,4.51539,4.36114,4.46138,0,0
ENP,PB,D,20071218,000000,4.36114,4.53864,4.33029,4.50001,0,0
ENP,PB,D,20071219,000000,4.34576,4.50001,4.22987,4.50001,0,0
ENP,PB,D,20071220,000000,4.3843,4.46138,4.21439,4.29175,0,0
ENP,PB,D,20071221,000000,4.29175,4.30694,3.92887,4.17586,0,0
ENP,PB,D,20071227,000000,4.21439,4.46138,4.12184,4.46138,0,0
ENP,PB,D,20071228,000000,4.36114,4.59275,4.36114,4.59275,0,0
ENP,PB,D,20080102,000000,4.60822,4.60822,4.47685,4.51539,0,0
ENP,PB,D,20080103,000000,4.50001,4.50001,4.3843,4.46138,0,0
ENP,PB,D,20080104,000000,4.5542,4.5542,4.36114,4.46138,0,0
ENP,PB,D,20080107,000000,4.36114,4.39967,4.36114,4.39967,0,0
ENP,PB,D,20080108,000000,4.39967,4.39967,4.36114,4.39967,0,0
ENP,PB,D,20080109,000000,4.36114,4.36114,4.12184,4.30694,0,0
ENP,PB,D,20080110,000000,4.12184,4.17586,4.06005,4.1527,0,0
ENP,PB,D,20080111,000000,4.02151,4.17586,4.02151,4.13731,0,0
ENP,PB,D,20080114,000000,4.04458,4.04458,4.04458,4.04458,0,0
ENP,PB,D,20080115,000000,3.90571,4.12184,3.7975,3.90571,0,0
ENP,PB,D,20080116,000000,3.35764,3.7975,3.35764,3.7975,0,0
ENP,PB,D,20080117,000000,3.7975,3.89033,3.7975,3.87495,0,0
ENP,PB,D,20080118,000000,3.7975,3.96741,3.51207,3.96741,0,0
ENP,PB,D,20080121,000000,3.83622,3.83622,3.64325,3.73589,0,0
ENP,PB,D,20080122,000000,3.69736,4.00594,3.60462,3.7975,0,0
ENP,PB,D,20080123,000000,3.94425,3.94425,3.56609,3.7975,0,0
ENP,PB,D,20080124,000000,3.87495,4.06005,3.83622,3.98288,0,0
ENP,PB,D,20080125,000000,4.13731,4.64666,4.13731,4.59275,0,0
ENP,PB,D,20080128,000000,4.25293,4.30694,4.22987,4.30694,0,0
ENP,PB,D,20080129,000000,4.51539,4.60822,4.46138,4.53864,0,0
ENP,PB,D,20080130,000000,4.53864,4.53864,4.2685,4.42275,0,0
ENP,PB,D,20080131,000000,4.46138,4.59275,4.25293,4.2685,0,0
ENP,PB,D,20080201,000000,4.2685,4.42275,4.22987,4.34576,0,0
ENP,PB,D,20080204,000000,4.36114,4.36114,4.22987,4.25293,0,0
ENP,PB,D,20080205,000000,4.17586,4.22987,3.92887,3.92887,0,0
ENP,PB,D,20080206,000000,3.90571,3.92887,3.7975,3.92887,0,0
ENP,PB,D,20080207,000000,3.89033,3.92887,3.7975,3.92887,0,0
ENP,PB,D,20080208,000000,3.92887,3.92887,3.87495,3.87495,0,0
