<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERB,PE,D,20070813,000000,40.8128,40.8128,40.8128,40.8128,0,0
ERB,PE,D,20070814,000000,35.2126,35.2126,35.2126,35.2126,0,0
ERB,PE,D,20070816,000000,31.6896,31.6896,31.6896,31.6896,0,0
ERB,PE,D,20070817,000000,32.8911,32.8911,32.8911,32.8911,0,0
ERB,PE,D,20070820,000000,33.8503,33.8503,33.8503,33.8503,0,0
ERB,PE,D,20070821,000000,33.8503,33.8503,33.8503,33.8503,0,0
ERB,PE,D,20070822,000000,34.731,34.731,34.731,34.731,0,0
ERB,PE,D,20070823,000000,35.2126,35.2126,35.2126,35.2126,0,0
ERB,PE,D,20070824,000000,36.2502,36.2502,36.2502,36.2502,0,0
ERB,PE,D,20070827,000000,36.973,36.973,36.973,36.973,0,0
ERB,PE,D,20070828,000000,37.4526,37.4526,37.4526,37.4526,0,0
ERB,PE,D,20070829,000000,37.1319,37.1319,37.1319,37.1319,0,0
ERB,PE,D,20070830,000000,37.8518,37.8518,37.8518,37.8518,0,0
ERB,PE,D,20070831,000000,38.252,38.252,38.252,38.252,0,0
ERB,PE,D,20070903,000000,38.7316,38.7316,38.7316,38.7316,0,0
ERB,PE,D,20070904,000000,39.8526,39.8526,39.8526,39.8526,0,0
ERB,PE,D,20070905,000000,40.493,40.493,40.493,40.493,0,0
ERB,PE,D,20070906,000000,40.2518,40.2518,40.2518,40.2518,0,0
ERB,PE,D,20070907,000000,39.6123,39.6123,39.6123,39.6123,0,0
ERB,PE,D,20070910,000000,38.8924,38.8924,38.8924,38.8924,0,0
ERB,PE,D,20070911,000000,39.2131,39.2131,39.2131,39.2131,0,0
ERB,PE,D,20070912,000000,40.0134,40.0134,40.0134,40.0134,0,0
ERB,PE,D,20070913,000000,40.0134,40.0134,40.0134,40.0134,0,0
ERB,PE,D,20070914,000000,39.6927,39.6927,39.6927,39.6927,0,0
ERB,PE,D,20070917,000000,39.6123,39.6123,39.6123,39.6123,0,0
