<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR,MV,D,20070813,000000,979.818,979.818,979.818,979.818,0,0
EUR,MV,D,20070814,000000,970.574,970.574,970.574,970.574,0,0
EUR,MV,D,20070816,000000,943.726,943.726,943.726,943.726,0,0
EUR,MV,D,20070817,000000,915.986,915.986,915.986,915.986,0,0
EUR,MV,D,20070820,000000,915.986,915.986,915.986,915.986,0,0
EUR,MV,D,20070821,000000,878.973,878.973,878.973,878.973,0,0
EUR,MV,D,20070822,000000,869.72,869.72,869.72,869.72,0,0
EUR,MV,D,20070823,000000,888.226,888.226,888.226,888.226,0,0
EUR,MV,D,20070824,000000,878.973,878.973,878.973,878.973,0,0
EUR,MV,D,20070827,000000,893.774,893.774,893.774,893.774,0,0
EUR,MV,D,20070828,000000,915.986,915.986,915.986,915.986,0,0
EUR,MV,D,20070829,000000,925.229,925.229,925.229,925.229,0,0
EUR,MV,D,20070830,000000,940.952,940.952,940.952,940.952,0,0
EUR,MV,D,20070831,000000,928.935,928.935,928.935,928.935,0,0
EUR,MV,D,20070903,000000,924.308,924.308,924.308,924.308,0,0
EUR,MV,D,20070904,000000,925.229,925.229,925.229,925.229,0,0
EUR,MV,D,20070905,000000,888.226,888.226,888.226,888.226,0,0
EUR,MV,D,20070906,000000,886.374,886.374,886.374,886.374,0,0
EUR,MV,D,20070907,000000,888.226,888.226,888.226,888.226,0,0
EUR,MV,D,20070910,000000,855.83,855.83,855.83,855.83,0,0
EUR,MV,D,20070911,000000,925.229,925.229,925.229,925.229,0,0
EUR,MV,D,20070912,000000,907.664,907.664,907.664,907.664,0,0
EUR,MV,D,20070913,000000,906.723,906.723,906.723,906.723,0,0
EUR,MV,D,20070914,000000,904.89,904.89,904.89,904.89,0,0
EUR,MV,D,20070917,000000,881.757,881.757,881.757,881.757,0,0
EUR,MV,D,20070918,000000,895.627,895.627,895.627,895.627,0,0
EUR,MV,D,20070919,000000,897.479,897.479,897.479,897.479,0,0
EUR,MV,D,20070920,000000,897.479,897.479,897.479,897.479,0,0
EUR,MV,D,20070921,000000,892.843,892.843,892.843,892.843,0,0
EUR,MV,D,20070924,000000,897.479,897.479,897.479,897.479,0,0
EUR,MV,D,20070925,000000,897.479,897.479,897.479,897.479,0,0
EUR,MV,D,20070926,000000,897.479,897.479,897.479,897.479,0,0
EUR,MV,D,20070927,000000,897.479,897.479,897.479,897.479,0,0
