<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAB,MV,D,20080606,000000,19.6118,19.6118,19.6118,19.6118,0,0
FAB,MV,D,20080609,000000,19.6965,20.3921,19.6118,20.3921,0,0
FAB,MV,D,20080610,000000,20.3921,20.3921,19.6965,20.045,0,0
FAB,MV,D,20080611,000000,19.1731,19.5209,19.1731,19.1731,0,0
FAB,MV,D,20080612,000000,19.6118,20.7399,19.6118,19.6965,0,0
FAB,MV,D,20080613,000000,20.0353,20.0353,20.0353,20.0353,0,0
FAB,MV,D,20080616,000000,20.0353,20.0353,20.0353,20.0353,0,0
FAB,MV,D,20080617,000000,20.0353,20.0353,20.0353,20.0353,0,0
FAB,MV,D,20080618,000000,20.0353,20.0353,18.302,20.0284,0,0
FAB,MV,D,20080619,000000,18.3096,20.0284,18.3096,20.0284,0,0
FAB,MV,D,20080620,000000,20.0284,20.0284,20.0284,20.0284,0,0
FAB,MV,D,20080623,000000,20.0194,20.0284,20.0194,20.0194,0,0
FAB,MV,D,20080624,000000,20.0016,20.0016,18.4762,19.1731,0,0
FAB,MV,D,20080625,000000,19.6118,19.6118,19.6118,19.6118,0,0
FAB,MV,D,20080626,000000,19.6118,19.6118,19.6118,19.6118,0,0
FAB,MV,D,20080627,000000,19.1731,19.6118,18.302,19.6118,0,0
FAB,MV,D,20080630,000000,19.6118,19.6118,18.0397,18.0397,0,0
FAB,MV,D,20080701,000000,18.6498,18.6498,18.302,18.5637,0,0
FAB,MV,D,20080704,000000,17.6919,18.0397,17.6919,18.0397,0,0
FAB,MV,D,20080708,000000,17.4302,17.4302,16.4007,17.3868,0,0
FAB,MV,D,20080709,000000,17.3014,17.3014,16.559,17.3014,0,0
FAB,MV,D,20080710,000000,17.3868,17.3868,17.3441,17.3441,0,0
FAB,MV,D,20080711,000000,17.8214,17.8214,17.8214,17.8214,0,0
FAB,MV,D,20080714,000000,17.8214,17.8214,17.8214,17.8214,0,0
FAB,MV,D,20080715,000000,16.4007,18.2931,16.4007,18.2931,0,0
FAB,MV,D,20080716,000000,18.2931,18.2931,16.4303,17.3441,0,0
FAB,MV,D,20080717,000000,17.3441,17.3441,15.6018,17.143,0,0
FAB,MV,D,20080721,000000,16.8207,16.8207,16.8207,16.8207,0,0
FAB,MV,D,20080722,000000,16.9963,16.9963,16.9963,16.9963,0,0
FAB,MV,D,20080723,000000,16.984,16.9963,16.984,16.984,0,0
FAB,MV,D,20080724,000000,16.9757,16.9757,16.9757,16.9757,0,0
FAB,MV,D,20080725,000000,16.9496,16.9496,16.9496,16.9496,0,0
FAB,MV,D,20080728,000000,16.9241,16.9241,15.511,16.5411,0,0
FAB,MV,D,20080730,000000,16.464,16.8207,14.9449,16.8207,0,0
FAB,MV,D,20080731,000000,16.9061,16.9061,16.8979,16.8979,0,0
FAB,MV,D,20080801,000000,16.9061,16.9061,16.9061,16.9061,0,0
FAB,MV,D,20080804,000000,16.9061,16.9061,16.8635,16.8635,0,0
FAB,MV,D,20080805,000000,16.7174,16.7174,15.2542,16.5509,0,0
FAB,MV,D,20080806,000000,16.5509,16.5509,15.6866,16.5411,0,0
FAB,MV,D,20080807,000000,16.7174,16.7174,16.6452,16.6452,0,0
FAB,MV,D,20080808,000000,16.6355,16.6355,16.6355,16.6355,0,0
FAB,MV,D,20080811,000000,16.7092,16.7092,16.7092,16.7092,0,0
FAB,MV,D,20080812,000000,16.6871,16.6871,16.6871,16.6871,0,0
FAB,MV,D,20080813,000000,16.6789,16.6789,16.6789,16.6789,0,0
FAB,MV,D,20080814,000000,16.6871,16.6871,16.6871,16.6871,0,0
FAB,MV,D,20080818,000000,16.6693,16.6693,16.6693,16.6693,0,0
FAB,MV,D,20080819,000000,16.6789,16.6789,16.6789,16.6789,0,0
FAB,MV,D,20080820,000000,16.6693,16.6693,16.6693,16.6693,0,0
FAB,MV,D,20080821,000000,16.6527,16.6789,16.6452,16.6789,0,0
FAB,MV,D,20080822,000000,16.6279,16.6279,16.6279,16.6279,0,0
FAB,MV,D,20080825,000000,16.6279,16.6279,16.6279,16.6279,0,0
FAB,MV,D,20080826,000000,15.7809,16.6279,15.7809,16.6279,0,0
FAB,MV,D,20080827,000000,16.6279,16.6279,16.6279,16.6279,0,0
FAB,MV,D,20080828,000000,16.6279,16.6279,16.6279,16.6279,0,0
