<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAB,PB,D,20080606,000000,5.71868,5.71868,5.71868,5.71868,0,0
FAB,PB,D,20080609,000000,5.74354,5.94579,5.71868,5.94579,0,0
FAB,PB,D,20080610,000000,5.94579,5.94579,5.74354,5.8425,0,0
FAB,PB,D,20080611,000000,5.59012,5.69251,5.59012,5.59012,0,0
FAB,PB,D,20080612,000000,5.71868,6.04468,5.71868,5.74354,0,0
FAB,PB,D,20080613,000000,5.8425,5.8425,5.8425,5.8425,0,0
FAB,PB,D,20080616,000000,5.8425,5.8425,5.8425,5.8425,0,0
FAB,PB,D,20080617,000000,5.8425,5.8425,5.8425,5.8425,0,0
FAB,PB,D,20080618,000000,5.8425,5.8425,3.79944,3.79944,0,0
FAB,PB,D,20080619,000000,3.47309,3.79944,3.47309,3.79944,0,0
FAB,PB,D,20080620,000000,3.79944,3.79944,3.79944,3.79944,0,0
FAB,PB,D,20080623,000000,3.79944,3.79944,3.79944,3.79944,0,0
FAB,PB,D,20080624,000000,3.79517,3.79517,3.50753,3.63637,0,0
FAB,PB,D,20080625,000000,3.72211,3.72211,3.72211,3.72211,0,0
FAB,PB,D,20080626,000000,3.72211,3.72211,3.72211,3.72211,0,0
FAB,PB,D,20080627,000000,3.63637,3.72211,3.47309,3.72211,0,0
FAB,PB,D,20080630,000000,3.72211,3.72211,3.42165,3.42165,0,0
FAB,PB,D,20080701,000000,3.53755,3.53755,3.47309,3.52034,0,0
FAB,PB,D,20080704,000000,3.3572,3.42165,3.3572,3.42165,0,0
FAB,PB,D,20080708,000000,3.30568,3.30568,3.11246,3.30134,0,0
FAB,PB,D,20080709,000000,3.28433,3.28433,3.14255,3.28433,0,0
FAB,PB,D,20080710,000000,3.30134,3.30134,3.29287,3.29287,0,0
FAB,PB,D,20080711,000000,3.38309,3.38309,3.38309,3.38309,0,0
FAB,PB,D,20080714,000000,3.38309,3.38309,3.38309,3.38309,0,0
FAB,PB,D,20080715,000000,3.11246,3.47309,3.11246,3.47309,0,0
FAB,PB,D,20080716,000000,3.47309,3.47309,3.11679,3.29287,0,0
FAB,PB,D,20080717,000000,3.29287,3.29287,2.96226,3.25424,0,0
FAB,PB,D,20080721,000000,3.18979,3.18979,3.18979,3.18979,0,0
FAB,PB,D,20080722,000000,3.22415,3.22415,3.22415,3.22415,0,0
FAB,PB,D,20080723,000000,3.22415,3.22415,3.22415,3.22415,0,0
FAB,PB,D,20080724,000000,3.21981,3.21981,3.21981,3.21981,0,0
FAB,PB,D,20080725,000000,3.21561,3.21561,3.21561,3.21561,0,0
FAB,PB,D,20080728,000000,3.21134,3.21134,2.94511,3.13827,0,0
FAB,PB,D,20080730,000000,3.12546,3.18979,2.83768,3.18979,0,0
FAB,PB,D,20080731,000000,3.207,3.207,3.207,3.207,0,0
FAB,PB,D,20080801,000000,3.207,3.207,3.207,3.207,0,0
FAB,PB,D,20080804,000000,3.207,3.207,3.19839,3.19839,0,0
FAB,PB,D,20080805,000000,3.17271,3.17271,2.8936,3.13827,0,0
FAB,PB,D,20080806,000000,3.13827,3.13827,2.97514,3.13827,0,0
FAB,PB,D,20080807,000000,3.17271,3.17271,3.15976,3.15976,0,0
FAB,PB,D,20080808,000000,3.15543,3.15543,3.15543,3.15543,0,0
FAB,PB,D,20080811,000000,3.17271,3.17271,3.17271,3.17271,0,0
FAB,PB,D,20080812,000000,3.16823,3.16823,3.16823,3.16823,0,0
FAB,PB,D,20080813,000000,3.16403,3.16403,3.16403,3.16403,0,0
FAB,PB,D,20080814,000000,3.16823,3.16823,3.16823,3.16823,0,0
FAB,PB,D,20080818,000000,3.16403,3.16403,1.14624,1.14624,0,0
FAB,PB,D,20080819,000000,1.14624,1.14624,1.14624,1.14624,0,0
FAB,PB,D,20080820,000000,1.14624,1.14624,1.14624,1.14624,0,0
FAB,PB,D,20080821,000000,1.14624,1.14624,1.14624,1.14624,0,0
FAB,PB,D,20080822,000000,1.14191,1.14191,1.14191,1.14191,0,0
FAB,PB,D,20080825,000000,1.14191,1.14191,1.14191,1.14191,0,0
FAB,PB,D,20080826,000000,1.08612,1.14191,1.08612,1.14191,0,0
FAB,PB,D,20080827,000000,1.14191,1.14191,1.14191,1.14191,0,0
FAB,PB,D,20080828,000000,1.14191,1.14191,1.14191,1.14191,0,0
FAB,PB,D,20080829,000000,1.14191,1.14191,1.14191,1.14191,0,0
FAB,PB,D,20080901,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080902,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080903,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080904,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080905,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080908,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080909,000000,1.13764,1.13764,1.13764,1.13764,0,0
FAB,PB,D,20080910,000000,1.13337,1.13337,1.13337,1.13337,0,0
