<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMT,PB,D,20210317,000000,14.96,14.96,14.96,14.96,0,0
GMT,PB,D,20210318,000000,15.57,16.87,15.46,16.75,0,0
GMT,PB,D,20210319,000000,16.89,22.28,16.89,21.74,0,0
GMT,PB,D,20210322,000000,22.74,25.06,20.64,21,0,0
GMT,PB,D,20210323,000000,22.08,23.74,20.59,20.98,0,0
GMT,PB,D,20210324,000000,20.98,20.98,19.32,19.32,0,0
GMT,PB,D,20210325,000000,19.59,20.98,18,18.77,0,0
GMT,PB,D,20210326,000000,18.89,19.1,18.7,18.86,0,0
GMT,PB,D,20210329,000000,18.86,19.32,18.01,18.33,0,0
GMT,PB,D,20210330,000000,18.66,18.66,17.77,17.77,0,0
GMT,PB,D,20210331,000000,17.88,18.88,17.44,17.51,0,0
GMT,PB,D,20210401,000000,17.66,17.66,16.1,16.17,0,0
GMT,PB,D,20210406,000000,16.18,18.27,16.18,18.1,0,0
GMT,PB,D,20210407,000000,18.42,18.42,17.22,18.11,0,0
GMT,PB,D,20210408,000000,18.21,18.21,17.44,17.77,0,0
GMT,PB,D,20210409,000000,18.08,19.87,17.44,19.43,0,0
GMT,PB,D,20210412,000000,19.63,19.63,18.38,18.72,0,0
GMT,PB,D,20210413,000000,18.72,18.99,17.82,17.82,0,0
GMT,PB,D,20210414,000000,17.45,18.55,17.35,17.44,0,0
GMT,PB,D,20210415,000000,17.87,17.87,17.13,17.33,0,0
GMT,PB,D,20210416,000000,17.33,17.66,16.89,17.66,0,0
GMT,PB,D,20210419,000000,17.66,17.66,16.67,16.67,0,0
GMT,PB,D,20210420,000000,16.76,16.76,16.01,16.45,0,0
GMT,PB,D,20210421,000000,16.55,16.55,15.62,15.79,0,0
GMT,PB,D,20210422,000000,15.79,16.34,15.68,15.76,0,0
GMT,PB,D,20210423,000000,15.68,15.79,14.77,14.87,0,0
GMT,PB,D,20210426,000000,14.47,15.05,14.47,14.68,0,0
GMT,PB,D,20210427,000000,14.79,15.01,14.77,14.9,0,0
GMT,PB,D,20210428,000000,14.91,14.91,14.22,14.24,0,0
GMT,PB,D,20210429,000000,14.23,15.4,14.23,15.01,0,0
GMT,PB,D,20210430,000000,14.9,15.9,14.57,14.57,0,0
GMT,PB,D,20210504,000000,15.4,15.4,14.36,14.52,0,0
GMT,PB,D,20210505,000000,14.52,14.52,13.84,14.19,0,0
GMT,PB,D,20210506,000000,14.19,14.19,13.42,13.58,0,0
GMT,PB,D,20210507,000000,13.58,14.3,13.27,13.87,0,0
GMT,PB,D,20210510,000000,14.33,15.51,13.81,15.37,0,0
GMT,PB,D,20210511,000000,15.45,15.68,15.35,15.46,0,0
GMT,PB,D,20210512,000000,14.81,17.61,14.42,17.61,0,0
GMT,PB,D,20210513,000000,18.23,18.23,17.15,17.73,0,0
GMT,PB,D,20210514,000000,18.01,18.01,17.07,17.2,0,0
GMT,PB,D,20210517,000000,17.47,20.9,17.47,20.9,0,0
GMT,PB,D,20210518,000000,21.48,21.48,19.76,20.97,0,0
GMT,PB,D,20210519,000000,21.24,21.24,19.35,19.35,0,0
GMT,PB,D,20210520,000000,19.62,20.15,19.06,19.75,0,0
GMT,PB,D,20210521,000000,19.76,19.76,19.22,19.6,0,0
GMT,PB,D,20210524,000000,19.22,19.62,18.34,18.92,0,0
GMT,PB,D,20210525,000000,18.82,19.18,18.35,18.41,0,0
GMT,PB,D,20210526,000000,18.76,18.76,17.78,18.75,0,0
GMT,PB,D,20210527,000000,18.82,19.69,18.55,19.47,0,0
GMT,PB,D,20210528,000000,19.33,19.35,18.51,19.15,0,0
GMT,PB,D,20210531,000000,18.83,19.2,18.68,18.94,0,0
GMT,PB,D,20210601,000000,18.95,19.09,18.71,18.82,0,0
GMT,PB,D,20210602,000000,18.82,18.95,18.57,18.88,0,0
GMT,PB,D,20210604,000000,18.78,18.82,18.32,18.82,0,0
GMT,PB,D,20210607,000000,18.82,18.82,18.14,18.8,0,0
