<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOP,MV,D,20200417,000000,201.584,201.584,201.584,201.584,0,0
GOP,MV,D,20200420,000000,223.577,223.577,193.424,217.573,0,0
GOP,MV,D,20200421,000000,219.907,219.907,203.65,208.454,0,0
GOP,MV,D,20200422,000000,201.584,201.584,194.946,197.002,0,0
GOP,MV,D,20200423,000000,203.42,223.751,197.002,197.002,0,0
GOP,MV,D,20200424,000000,187.836,190.317,167.68,190.317,0,0
GOP,MV,D,20200427,000000,190.806,198.495,185.034,187.441,0,0
GOP,MV,D,20200428,000000,187.394,187.441,175.425,186.96,0,0
GOP,MV,D,20200429,000000,186.96,186.96,177.823,178.782,0,0
GOP,MV,D,20200430,000000,178.782,178.782,167.827,175.186,0,0
GOP,MV,D,20200504,000000,183.116,192.244,182.627,192.244,0,0
GOP,MV,D,20200505,000000,201.852,201.852,191.285,195.61,0,0
GOP,MV,D,20200506,000000,196.089,196.089,185.66,185.753,0,0
GOP,MV,D,20200507,000000,191.183,191.183,182.821,182.876,0,0
GOP,MV,D,20200508,000000,182.821,185.947,177.823,181.189,0,0
GOP,MV,D,20200511,000000,182.627,182.627,175.425,178.211,0,0
GOP,MV,D,20200512,000000,179.556,179.556,172.539,174.936,0,0
GOP,MV,D,20200513,000000,176.145,176.145,169.174,175.425,0,0
GOP,MV,D,20200514,000000,177.722,177.722,168.215,170.621,0,0
GOP,MV,D,20200515,000000,170.621,176.293,168.694,175.186,0,0
GOP,MV,D,20200518,000000,175.905,175.905,171.12,175.398,0,0
GOP,MV,D,20200519,000000,173.507,175.425,173.046,173.507,0,0
GOP,MV,D,20200520,000000,173.065,186.426,173.065,186.002,0,0
GOP,MV,D,20200521,000000,186.002,186.002,179.271,181.742,0,0
GOP,MV,D,20200522,000000,180.035,180.035,174.467,176.864,0,0
GOP,MV,D,20200525,000000,173.544,173.544,170.621,172.779,0,0
GOP,MV,D,20200526,000000,173.019,176.293,171.092,174.467,0,0
GOP,MV,D,20200527,000000,175.398,175.398,171.581,171.581,0,0
GOP,MV,D,20200528,000000,173.019,174.936,171.341,174.936,0,0
GOP,MV,D,20200529,000000,174.936,180.229,171.581,174.697,0,0
GOP,MV,D,20200601,000000,173.019,174.936,171.092,173.019,0,0
GOP,MV,D,20200602,000000,174.467,174.467,171.194,171.581,0,0
GOP,MV,D,20200603,000000,171.581,177.795,170.668,172.512,0,0
GOP,MV,D,20200604,000000,172.539,174.411,169.663,170.179,0,0
GOP,MV,D,20200605,000000,170.373,173.978,169.174,173.019,0,0
GOP,MV,D,20200608,000000,173.978,173.978,166.776,172.539,0,0
GOP,MV,D,20200609,000000,173.978,175.905,170.133,173.019,0,0
GOP,MV,D,20200610,000000,173.978,176.624,171.092,174.936,0,0
GOP,MV,D,20200612,000000,167.007,174.936,167.007,174.936,0,0
GOP,MV,D,20200615,000000,174.936,174.936,170.133,171.581,0,0
GOP,MV,D,20200616,000000,173.019,174.936,171.092,174.467,0,0
