<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,MV,D,20101109,000000,1116.62,1116.62,1116.62,1116.62,0,0
GPW,MV,D,20101110,000000,1116.62,1116.62,1075.26,1075.26,0,0
GPW,MV,D,20101112,000000,1056.65,1108.34,1040.12,1108.34,0,0
GPW,MV,D,20101115,000000,1104.21,1104.21,1082.5,1087.67,0,0
GPW,MV,D,20101116,000000,1081.49,1083.54,1058.71,1058.71,0,0
GPW,MV,D,20101117,000000,1057.69,1073.2,1048.38,1048.38,0,0
GPW,MV,D,20101118,000000,1064.92,1072.16,1055.62,1055.62,0,0
GPW,MV,D,20101119,000000,1064.92,1064.92,1053.55,1058.71,0,0
GPW,MV,D,20101122,000000,1058.71,1062.86,1056.65,1059.75,0,0
GPW,MV,D,20101123,000000,1058.71,1058.71,1037.01,1037.01,0,0
GPW,MV,D,20101124,000000,1044.24,1054.59,1038.03,1054.59,0,0
GPW,MV,D,20101125,000000,1057.69,1058.71,1045.28,1052.51,0,0
GPW,MV,D,20101126,000000,1052.51,1052.51,1033.08,1046.31,0,0
GPW,MV,D,20101129,000000,1038.03,1038.03,1029.77,1030.81,0,0
GPW,MV,D,20101130,000000,1023.57,1044.24,1023.57,1044.24,0,0
GPW,MV,D,20101201,000000,1044.24,1077.33,1044.24,1077.33,0,0
GPW,MV,D,20101202,000000,1077.33,1081.49,1069.05,1076.29,0,0
GPW,MV,D,20101203,000000,1075.26,1076.29,1064.92,1069.05,0,0
GPW,MV,D,20101206,000000,1068.02,1068.02,1052.51,1056.65,0,0
GPW,MV,D,20101207,000000,1048.38,1051.48,1044.24,1049.41,0,0
GPW,MV,D,20101208,000000,1045.28,1056.65,1042.18,1056.65,0,0
GPW,MV,D,20101209,000000,1054.59,1056.65,1046.31,1054.59,0,0
GPW,MV,D,20101210,000000,1054.59,1054.59,1048.38,1051.48,0,0
GPW,MV,D,20101213,000000,1052.51,1064.92,1052.51,1064.92,0,0
GPW,MV,D,20101214,000000,1056.65,1058.71,1046.31,1046.31,0,0
GPW,MV,D,20101215,000000,1045.28,1048.38,1043.21,1047.35,0,0
GPW,MV,D,20101216,000000,1046.31,1046.31,1039.08,1046.31,0,0
GPW,MV,D,20101217,000000,1042.18,1042.18,1038.03,1039.08,0,0
GPW,MV,D,20101220,000000,1039.08,1044.24,1033.92,1044.24,0,0
GPW,MV,D,20101221,000000,1037.01,1044.24,1033.92,1038.03,0,0
GPW,MV,D,20101222,000000,1033.92,1039.08,1033.92,1035.98,0,0
GPW,MV,D,20101223,000000,1033.92,1035.98,1032.06,1032.06,0,0
GPW,MV,D,20101227,000000,1032.46,1033.71,1019.63,1020.47,0,0
GPW,MV,D,20101228,000000,1019.43,1021.51,1009.91,1017.36,0,0
GPW,MV,D,20101229,000000,1013.24,1033.49,1013.24,1033.49,0,0
GPW,MV,D,20101230,000000,1033.92,1033.92,1025.65,1026.67,0,0
GPW,MV,D,20101231,000000,1026.67,1030.81,1007.03,1013.24,0,0
GPW,MV,D,20110103,000000,1015.3,1020.47,1011.57,1019.43,0,0
GPW,MV,D,20110104,000000,1019.43,1033.92,1019.43,1029.37,0,0
GPW,MV,D,20110105,000000,1028.54,1028.54,1011.37,1023.57,0,0
GPW,MV,D,20110107,000000,1017.36,1017.36,1005.37,1005.37,0,0
GPW,MV,D,20110110,000000,1002.88,1002.88,965.667,974.971,0,0
GPW,MV,D,20110111,000000,970.847,988.41,970.847,988.41,0,0
GPW,MV,D,20110112,000000,992.553,1017.14,992.553,1017.14,0,0
GPW,MV,D,20110113,000000,1013.24,1017.14,1002.88,1002.88,0,0
GPW,MV,D,20110114,000000,1002.88,1017.36,1002.88,1017.36,0,0
GPW,MV,D,20110117,000000,1013.24,1013.24,993.58,1000.21,0,0
GPW,MV,D,20110118,000000,998.749,1005.99,990.892,1004.75,0,0
GPW,MV,D,20110119,000000,1000.21,1000.21,995.651,998.749,0,0
GPW,MV,D,20110120,000000,992.553,996.678,990.491,992.553,0,0
GPW,MV,D,20110121,000000,992.553,1000.83,992.553,1000.83,0,0
GPW,MV,D,20110124,000000,993.58,993.785,983.65,991.312,0,0
GPW,MV,D,20110125,000000,988.41,995.651,988.41,995.651,0,0
GPW,MV,D,20110126,000000,994.615,1004.96,992.553,1002.88,0,0
GPW,MV,D,20110127,000000,1003.3,1013.24,1003.3,1013.24,0,0
GPW,MV,D,20110128,000000,1009.09,1009.09,1009.09,1009.09,0,0
GPW,MV,D,20110131,000000,1001.02,1001.02,992.768,996.267,0,0
GPW,MV,D,20110201,000000,992.768,996.678,992.768,996.482,0,0
GPW,MV,D,20110202,000000,996.678,998.33,994.615,998.33,0,0
GPW,MV,D,20110203,000000,996.892,1012.61,996.892,1012.61,0,0
GPW,MV,D,20110204,000000,1013.24,1018.19,1009.71,1018.19,0,0
GPW,MV,D,20110207,000000,1013.24,1018.19,996.678,1002.88,0,0
GPW,MV,D,20110208,000000,1000.83,1002.88,996.678,998.33,0,0
GPW,MV,D,20110209,000000,996.678,998.749,992.553,992.553,0,0
GPW,MV,D,20110210,000000,996.678,996.678,992.553,994.615,0,0
GPW,MV,D,20110211,000000,992.553,1009.09,992.553,1004.13,0,0
GPW,MV,D,20110214,000000,996.678,1008.06,994.615,1004.96,0,0
GPW,MV,D,20110215,000000,1001.85,1005.99,995.651,995.651,0,0
GPW,MV,D,20110216,000000,994.615,1004.96,993.99,1004.96,0,0
GPW,MV,D,20110217,000000,1002.88,1004.96,996.678,997.723,0,0
GPW,MV,D,20110218,000000,995.651,998.749,992.954,994.615,0,0
GPW,MV,D,20110221,000000,992.553,994.615,987.374,988.41,0,0
GPW,MV,D,20110222,000000,984.285,988.41,983.454,985.321,0,0
GPW,MV,D,20110223,000000,983.258,983.865,982.213,982.624,0,0
GPW,MV,D,20110224,000000,973.74,977.043,972.293,973.31,0,0
GPW,MV,D,20110225,000000,972.48,978.079,972.48,977.659,0,0
GPW,MV,D,20110228,000000,974.356,977.043,968.99,977.043,0,0
GPW,MV,D,20110301,000000,974.971,978.079,972.079,978.079,0,0
GPW,MV,D,20110302,000000,973.114,975.587,970.427,971.873,0,0
GPW,MV,D,20110303,000000,972.079,976.007,969.802,973.936,0,0
GPW,MV,D,20110304,000000,974.141,977.043,972.293,976.007,0,0
GPW,MV,D,20110307,000000,974.757,976.007,973.114,974.141,0,0
GPW,MV,D,20110308,000000,972.704,974.141,969.802,970.427,0,0
GPW,MV,D,20110309,000000,970.427,970.427,946.024,952.649,0,0
GPW,MV,D,20110310,000000,951.203,952.649,936.71,936.71,0,0
GPW,MV,D,20110311,000000,932.791,936.71,919.134,919.134,0,0
GPW,MV,D,20110314,000000,913.96,940.648,907.774,940.648,0,0
GPW,MV,D,20110315,000000,927.401,945.613,925.354,936.094,0,0
GPW,MV,D,20110316,000000,936.094,950.988,936.094,949.952,0,0
GPW,MV,D,20110317,000000,944.988,954.301,944.988,954.096,0,0
GPW,MV,D,20110318,000000,952.22,971.453,952.22,967.123,0,0
GPW,MV,D,20110321,000000,965.667,987.374,965.667,983.258,0,0
GPW,MV,D,20110322,000000,981.187,989.445,981.187,988.41,0,0
GPW,MV,D,20110323,000000,987.374,989.24,983.258,986.347,0,0
GPW,MV,D,20110324,000000,988.214,1016.12,986.347,1016.12,0,0
GPW,MV,D,20110325,000000,1013.24,1021.51,1002.88,1010.13,0,0
GPW,MV,D,20110328,000000,1009.09,1009.09,995.651,1003.92,0,0
GPW,MV,D,20110329,000000,1002.88,1007.03,997.518,1003.1,0,0
GPW,MV,D,20110330,000000,1001.85,1012.21,1001.03,1011.16,0,0
GPW,MV,D,20110331,000000,1011.16,1018.41,1008.26,1008.26,0,0
GPW,MV,D,20110401,000000,1005.99,1015.48,1005.99,1013.24,0,0
GPW,MV,D,20110404,000000,1007.03,1016.33,1003.1,1009.09,0,0
GPW,MV,D,20110405,000000,1010.13,1016.33,1009.09,1010.74,0,0
GPW,MV,D,20110406,000000,1009.52,1014.06,1009.09,1013.24,0,0
GPW,MV,D,20110407,000000,1013.24,1015.92,1009.29,1010.13,0,0
GPW,MV,D,20110408,000000,1009.29,1010.13,997.518,998.749,0,0
GPW,MV,D,20110411,000000,992.553,998.134,992.553,997.723,0,0
GPW,MV,D,20110412,000000,1013.24,1019.43,997.723,1019.43,0,0
GPW,MV,D,20110413,000000,1018.41,1038.03,1016.75,1038.03,0,0
GPW,MV,D,20110414,000000,1034.94,1062.86,1034.94,1053.55,0,0
GPW,MV,D,20110415,000000,1054.59,1079.4,1053.55,1079.4,0,0
GPW,MV,D,20110418,000000,1079.4,1079.4,1033.92,1035.98,0,0
GPW,MV,D,20110419,000000,1030.81,1068.02,1030.81,1054.59,0,0
GPW,MV,D,20110420,000000,1055.62,1063.88,1054.59,1054.59,0,0
GPW,MV,D,20110421,000000,1054.59,1054.59,1038.03,1042.18,0,0
GPW,MV,D,20110426,000000,1037.01,1042.18,1033.92,1035.98,0,0
GPW,MV,D,20110427,000000,1034.94,1035.98,1023.77,1025.65,0,0
GPW,MV,D,20110428,000000,1023.57,1038.03,1023.57,1033.92,0,0
GPW,MV,D,20110429,000000,1033.92,1041.14,1033.92,1039.08,0,0
GPW,MV,D,20110502,000000,1033.92,1043.21,1033.92,1041.14,0,0
GPW,MV,D,20110504,000000,1042.18,1044.24,1034.94,1038.03,0,0
GPW,MV,D,20110505,000000,1034.94,1038.03,1030.81,1037.01,0,0
GPW,MV,D,20110506,000000,1030.81,1038.03,1027.7,1038.03,0,0
GPW,MV,D,20110509,000000,1026.27,1045.28,1026.27,1045.28,0,0
GPW,MV,D,20110510,000000,1043.21,1054.59,1043.21,1050.45,0,0
GPW,MV,D,20110511,000000,1046.31,1050.45,1042.18,1043.21,0,0
GPW,MV,D,20110512,000000,1043.21,1075.26,1042.18,1075.26,0,0
GPW,MV,D,20110513,000000,1071.13,1086.64,1069.05,1075.26,0,0
GPW,MV,D,20110516,000000,1073.2,1098,1073.2,1093.87,0,0
GPW,MV,D,20110517,000000,1091.81,1091.81,1088.7,1088.7,0,0
GPW,MV,D,20110518,000000,1075.26,1089.74,1073.2,1089.74,0,0
GPW,MV,D,20110519,000000,1089.74,1095.94,1086.64,1095.94,0,0
GPW,MV,D,20110520,000000,1089.74,1095.94,1086.64,1087.67,0,0
GPW,MV,D,20110523,000000,1087.67,1090.77,1079.4,1084.56,0,0
GPW,MV,D,20110524,000000,1080.44,1089.74,1075.26,1084.56,0,0
GPW,MV,D,20110525,000000,1081.49,1081.49,1065.96,1065.96,0,0
GPW,MV,D,20110526,000000,1069.05,1075.26,1065.96,1075.26,0,0
GPW,MV,D,20110527,000000,1071.13,1085.59,1071.13,1085.59,0,0
GPW,MV,D,20110530,000000,1081.49,1086.64,1077.33,1085.59,0,0
GPW,MV,D,20110531,000000,1086.64,1104.21,1083.54,1102.16,0,0
GPW,MV,D,20110601,000000,1102.16,1116.62,1099.03,1112.49,0,0
GPW,MV,D,20110602,000000,1095.94,1102.16,1093.87,1093.87,0,0
GPW,MV,D,20110603,000000,1093.87,1093.87,1088.7,1092.83,0,0
GPW,MV,D,20110606,000000,1088.7,1090.77,1085.59,1087.67,0,0
GPW,MV,D,20110607,000000,1085.6,1092.84,1080.44,1088.7,0,0
GPW,MV,D,20110608,000000,1087.67,1090.76,1082.5,1086.64,0,0
GPW,MV,D,20110609,000000,1087.67,1107.33,1080.44,1103.18,0,0
