<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTC,MV,D,20070813,000000,7668.11,7668.11,7668.11,7668.11,0,0
GTC,MV,D,20070814,000000,7595.93,7595.93,7595.93,7595.93,0,0
GTC,MV,D,20070816,000000,7108.8,7108.8,7108.8,7108.8,0,0
GTC,MV,D,20070817,000000,7217.04,7217.04,7217.04,7217.04,0,0
GTC,MV,D,20070820,000000,7090.75,7090.75,7090.75,7090.75,0,0
GTC,MV,D,20070821,000000,7217.04,7217.04,7217.04,7217.04,0,0
GTC,MV,D,20070822,000000,7476.85,7476.85,7476.85,7476.85,0,0
GTC,MV,D,20070823,000000,7576.1,7576.1,7576.1,7576.1,0,0
GTC,MV,D,20070824,000000,7956.78,7956.78,7956.78,7956.78,0,0
GTC,MV,D,20070827,000000,7902.67,7902.67,7902.67,7902.67,0,0
GTC,MV,D,20070828,000000,7478.66,7478.66,7478.66,7478.66,0,0
GTC,MV,D,20070829,000000,7577.89,7577.89,7577.89,7577.89,0,0
GTC,MV,D,20070830,000000,7287.41,7287.41,7287.41,7287.41,0,0
GTC,MV,D,20070831,000000,7613.98,7613.98,7613.98,7613.98,0,0
GTC,MV,D,20070903,000000,7760.13,7760.13,7760.13,7760.13,0,0
GTC,MV,D,20070904,000000,7992.87,7992.87,7992.87,7992.87,0,0
GTC,MV,D,20070905,000000,7877.39,7877.39,7877.39,7877.39,0,0
GTC,MV,D,20070906,000000,7938.75,7938.75,7938.75,7938.75,0,0
GTC,MV,D,20070907,000000,7617.59,7617.59,7617.59,7617.59,0,0
GTC,MV,D,20070910,000000,7632.03,7632.03,7632.03,7632.03,0,0
GTC,MV,D,20070911,000000,7650.07,7650.07,7650.07,7650.07,0,0
GTC,MV,D,20070912,000000,8027.15,8027.15,8027.15,8027.15,0,0
GTC,MV,D,20070913,000000,8010.92,8010.92,8010.92,8010.92,0,0
GTC,MV,D,20070914,000000,7980.26,7980.26,7980.26,7980.26,0,0
GTC,MV,D,20070917,000000,7974.83,7974.83,7974.83,7974.83,0,0
GTC,MV,D,20070918,000000,8209.39,8209.39,8209.39,8209.39,0,0
GTC,MV,D,20070919,000000,8660.44,8660.44,8660.44,8660.44,0,0
GTC,MV,D,20070920,000000,8775.93,8775.93,8775.93,8775.93,0,0
GTC,MV,D,20070921,000000,8985.25,8985.25,8985.25,8985.25,0,0
GTC,MV,D,20070924,000000,8840.9,8840.9,8840.9,8840.9,0,0
GTC,MV,D,20070925,000000,8831.86,8831.86,8831.86,8831.86,0,0
GTC,MV,D,20070926,000000,8516.1,8516.1,8516.1,8516.1,0,0
GTC,MV,D,20070927,000000,8804.79,8804.79,8804.79,8804.79,0,0
GTC,MV,D,20070928,000000,8562.99,8562.99,8562.99,8562.99,0,0
GTC,MV,D,20071001,000000,8694.75,8694.75,8694.75,8694.75,0,0
GTC,MV,D,20071002,000000,9057.37,9057.37,9057.37,9057.37,0,0
GTC,MV,D,20071003,000000,9129.59,9129.59,9129.59,9129.59,0,0
GTC,MV,D,20071004,000000,9246.86,9246.86,9246.86,9246.86,0,0
GTC,MV,D,20071005,000000,9201.7,9201.7,9201.7,9201.7,0,0
GTC,MV,D,20071008,000000,9364.15,9364.15,9364.15,9364.15,0,0
GTC,MV,D,20071009,000000,9797.16,9797.16,9797.16,9797.16,0,0
GTC,MV,D,20071010,000000,9833.2,9833.2,9833.2,9833.2,0,0
GTC,MV,D,20071011,000000,10194.1,10194.1,10194.1,10194.1,0,0
GTC,MV,D,20071012,000000,9851.27,9851.27,9851.27,9851.27,0,0
GTC,MV,D,20071015,000000,10049.7,10049.7,10049.7,10049.7,0,0
GTC,MV,D,20071016,000000,9742.95,9742.95,9742.95,9742.95,0,0
GTC,MV,D,20071017,000000,9779.09,9779.09,9779.09,9779.09,0,0
GTC,MV,D,20071018,000000,9562.62,9562.62,9562.62,9562.62,0,0
GTC,MV,D,20071019,000000,9724.97,9724.97,9724.97,9724.97,0,0
GTC,MV,D,20071022,000000,9661.82,9661.82,9661.82,9661.82,0,0
GTC,MV,D,20071023,000000,9833.2,9833.2,9833.2,9833.2,0,0
GTC,MV,D,20071024,000000,9734.01,9734.01,9734.01,9734.01,0,0
GTC,MV,D,20071025,000000,9291.94,9291.94,9291.94,9291.94,0,0
GTC,MV,D,20071026,000000,9246.86,9246.86,9246.86,9246.86,0,0
GTC,MV,D,20071029,000000,9156.63,9156.63,9156.63,9156.63,0,0
GTC,MV,D,20071030,000000,8678.46,8678.46,8678.46,8678.46,0,0
GTC,MV,D,20071031,000000,9291.94,9291.94,9291.94,9291.94,0,0
GTC,MV,D,20071102,000000,8696.55,8696.55,8696.55,8696.55,0,0
GTC,MV,D,20071105,000000,9021.35,9021.35,9021.35,9021.35,0,0
GTC,MV,D,20071106,000000,9057.37,9057.37,9057.37,9057.37,0,0
GTC,MV,D,20071107,000000,9021.35,9021.35,9021.35,9021.35,0,0
GTC,MV,D,20071108,000000,8895.03,8895.03,8895.03,8895.03,0,0
GTC,MV,D,20071109,000000,8840.9,8849.87,8393.4,8481.81,0,0
GTC,MV,D,20071112,000000,8461.99,8696.55,8461.99,8617.11,0,0
GTC,MV,D,20071113,000000,8705.6,9201.7,8705.6,9201.7,0,0
GTC,MV,D,20071114,000000,9382.16,9418.27,8931.13,8987.05,0,0
GTC,MV,D,20071115,000000,9021.35,9021.35,8481.81,8481.81,0,0
GTC,MV,D,20071116,000000,8543.17,8712.76,8480,8712.76,0,0
GTC,MV,D,20071119,000000,8858.91,8858.91,8503.45,8696.55,0,0
GTC,MV,D,20071120,000000,8664.07,8831.86,8461.99,8633.4,0,0
GTC,MV,D,20071121,000000,8508.87,8784.97,8389.78,8389.78,0,0
GTC,MV,D,20071122,000000,8496.29,8842.7,8480,8842.7,0,0
GTC,MV,D,20071123,000000,8895.03,8895.03,8606.33,8840.9,0,0
GTC,MV,D,20071126,000000,8877.01,8877.01,8483.62,8483.62,0,0
