<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN,MV,D,20070813,000000,769.359,769.359,769.359,769.359,0,0
GTN,MV,D,20070814,000000,758.352,758.352,758.352,758.352,0,0
GTN,MV,D,20070816,000000,669.712,669.712,669.712,669.712,0,0
GTN,MV,D,20070817,000000,695.204,695.204,695.204,695.204,0,0
GTN,MV,D,20070820,000000,706.791,706.791,706.791,706.791,0,0
GTN,MV,D,20070821,000000,689.989,689.989,689.989,689.989,0,0
GTN,MV,D,20070822,000000,752.557,752.557,752.557,752.557,0,0
GTN,MV,D,20070823,000000,758.932,758.932,758.932,758.932,0,0
GTN,MV,D,20070824,000000,782.105,782.105,782.105,782.105,0,0
GTN,MV,D,20070827,000000,770.519,770.519,770.519,770.519,0,0
GTN,MV,D,20070828,000000,769.359,769.359,769.359,769.359,0,0
GTN,MV,D,20070829,000000,777.47,777.47,777.47,777.47,0,0
GTN,MV,D,20070830,000000,753.137,753.137,753.137,753.137,0,0
GTN,MV,D,20070831,000000,764.723,764.723,764.723,764.723,0,0
GTN,MV,D,20070903,000000,763.567,763.567,763.567,763.567,0,0
GTN,MV,D,20070904,000000,754.877,754.877,754.877,754.877,0,0
GTN,MV,D,20070905,000000,753.137,753.137,753.137,753.137,0,0
GTN,MV,D,20070906,000000,750.821,750.821,750.821,750.821,0,0
GTN,MV,D,20070907,000000,729.964,729.964,729.964,729.964,0,0
GTN,MV,D,20070910,000000,715.478,715.478,715.478,715.478,0,0
GTN,MV,D,20070911,000000,732.86,732.86,732.86,732.86,0,0
GTN,MV,D,20070912,000000,724.169,724.169,724.169,724.169,0,0
GTN,MV,D,20070913,000000,729.964,729.964,729.964,729.964,0,0
GTN,MV,D,20070914,000000,734.599,734.599,734.599,734.599,0,0
GTN,MV,D,20070917,000000,720.693,720.693,720.693,720.693,0,0
GTN,MV,D,20070918,000000,724.169,724.169,724.169,724.169,0,0
GTN,MV,D,20070919,000000,766.463,766.463,766.463,766.463,0,0
GTN,MV,D,20070920,000000,760.668,760.668,760.668,760.668,0,0
GTN,MV,D,20070921,000000,764.723,764.723,764.723,764.723,0,0
GTN,MV,D,20070924,000000,761.248,761.248,761.248,761.248,0,0
GTN,MV,D,20070925,000000,758.932,758.932,758.932,758.932,0,0
GTN,MV,D,20070926,000000,776.31,776.31,776.31,776.31,0,0
GTN,MV,D,20070927,000000,787.316,787.316,787.316,787.316,0,0
GTN,MV,D,20070928,000000,773.414,773.414,773.414,773.414,0,0
GTN,MV,D,20071001,000000,787.896,787.896,787.896,787.896,0,0
GTN,MV,D,20071002,000000,814.549,814.549,814.549,814.549,0,0
GTN,MV,D,20071003,000000,819.76,819.76,819.76,819.76,0,0
GTN,MV,D,20071004,000000,824.975,824.975,824.975,824.975,0,0
GTN,MV,D,20071005,000000,874.797,874.797,874.797,874.797,0,0
GTN,MV,D,20071008,000000,863.21,863.21,863.21,863.21,0,0
GTN,MV,D,20071009,000000,866.11,866.11,866.11,866.11,0,0
GTN,MV,D,20071010,000000,869.002,869.002,869.002,869.002,0,0
GTN,MV,D,20071011,000000,898.55,898.55,898.55,898.55,0,0
GTN,MV,D,20071012,000000,903.761,903.761,903.761,903.761,0,0
GTN,MV,D,20071015,000000,909.556,909.556,909.556,909.556,0,0
GTN,MV,D,20071016,000000,897.97,897.97,897.97,897.97,0,0
GTN,MV,D,20071017,000000,919.411,919.411,919.411,919.411,0,0
GTN,MV,D,20071018,000000,897.97,897.97,897.97,897.97,0,0
GTN,MV,D,20071019,000000,897.97,897.97,897.97,897.97,0,0
GTN,MV,D,20071022,000000,869.002,869.002,869.002,869.002,0,0
GTN,MV,D,20071023,000000,880.588,880.588,880.588,880.588,0,0
GTN,MV,D,20071024,000000,886.383,886.383,886.383,886.383,0,0
GTN,MV,D,20071025,000000,892.175,892.175,892.175,892.175,0,0
GTN,MV,D,20071026,000000,883.488,883.488,883.488,883.488,0,0
GTN,MV,D,20071029,000000,893.914,893.914,893.914,893.914,0,0
GTN,MV,D,20071030,000000,894.911,894.911,894.911,894.911,0,0
GTN,MV,D,20071031,000000,880.418,880.418,880.418,880.418,0,0
GTN,MV,D,20071102,000000,869.976,869.976,869.976,869.976,0,0
GTN,MV,D,20071105,000000,858.37,858.37,858.37,858.37,0,0
GTN,MV,D,20071106,000000,846.776,846.776,846.776,846.776,0,0
GTN,MV,D,20071107,000000,822.417,822.417,822.417,822.417,0,0
GTN,MV,D,20071108,000000,811.395,811.395,811.395,811.395,0,0
GTN,MV,D,20071109,000000,813.135,817.778,806.756,806.756,0,0
GTN,MV,D,20071112,000000,796.318,811.975,782.977,782.977,0,0
GTN,MV,D,20071113,000000,793.419,810.236,766.736,791.675,0,0
GTN,MV,D,20071114,000000,821.837,821.837,797.478,797.478,0,0
