<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR,MV,D,20070813,000000,83.8631,83.8631,83.8631,83.8631,0,0
HDR,MV,D,20070814,000000,80.647,80.647,80.647,80.647,0,0
HDR,MV,D,20070816,000000,74.1063,74.1063,74.1063,74.1063,0,0
HDR,MV,D,20070817,000000,72.0356,72.0356,72.0356,72.0356,0,0
HDR,MV,D,20070820,000000,72.5858,72.5858,72.5858,72.5858,0,0
HDR,MV,D,20070821,000000,70.3471,70.3471,70.3471,70.3471,0,0
HDR,MV,D,20070822,000000,73.0176,73.0176,73.0176,73.0176,0,0
HDR,MV,D,20070823,000000,74.1063,74.1063,74.1063,74.1063,0,0
HDR,MV,D,20070824,000000,74.4848,74.4848,74.4848,74.4848,0,0
HDR,MV,D,20070827,000000,73.5688,73.5688,73.5688,73.5688,0,0
HDR,MV,D,20070828,000000,74.5598,74.5598,74.5598,74.5598,0,0
HDR,MV,D,20070829,000000,74.1126,74.1126,74.1126,74.1126,0,0
HDR,MV,D,20070830,000000,74.67,74.67,74.67,74.67,0,0
HDR,MV,D,20070831,000000,74.5598,74.5598,74.5598,74.5598,0,0
HDR,MV,D,20070903,000000,75.6592,75.6592,75.6592,75.6592,0,0
HDR,MV,D,20070904,000000,74.783,74.783,74.783,74.783,0,0
HDR,MV,D,20070905,000000,75.7704,75.7704,75.7704,75.7704,0,0
HDR,MV,D,20070906,000000,74.67,74.67,74.67,74.67,0,0
HDR,MV,D,20070907,000000,75.221,75.221,75.221,75.221,0,0
HDR,MV,D,20070910,000000,75.221,75.221,75.221,75.221,0,0
HDR,MV,D,20070911,000000,75.1614,75.1614,75.1614,75.1614,0,0
HDR,MV,D,20070912,000000,75.221,75.221,75.221,75.221,0,0
HDR,MV,D,20070913,000000,75.7704,75.7704,75.7704,75.7704,0,0
HDR,MV,D,20070914,000000,76.2157,76.2157,76.2157,76.2157,0,0
HDR,MV,D,20070917,000000,75.221,75.221,75.221,75.221,0,0
HDR,MV,D,20070918,000000,75.0494,75.0494,75.0494,75.0494,0,0
HDR,MV,D,20070919,000000,75.1614,75.1614,75.1614,75.1614,0,0
HDR,MV,D,20070920,000000,77.4353,77.4353,77.4353,77.4353,0,0
HDR,MV,D,20070921,000000,77.4353,77.4353,77.4353,77.4353,0,0
HDR,MV,D,20070924,000000,77.4353,77.4353,77.4353,77.4353,0,0
HDR,MV,D,20070925,000000,77.4353,77.4353,77.4353,77.4353,0,0
HDR,MV,D,20070926,000000,79.992,79.992,79.992,79.992,0,0
HDR,MV,D,20070927,000000,84.6337,84.6337,84.6337,84.6337,0,0
HDR,MV,D,20070928,000000,85.1812,85.1812,85.1812,85.1812,0,0
HDR,MV,D,20071001,000000,85.1234,85.1234,85.1234,85.1234,0,0
HDR,MV,D,20071002,000000,82.9597,82.9597,82.9597,82.9597,0,0
HDR,MV,D,20071003,000000,84.7422,84.7422,84.7422,84.7422,0,0
HDR,MV,D,20071004,000000,84.6762,84.6762,84.6762,84.6762,0,0
HDR,MV,D,20071005,000000,84.6337,84.6337,84.6337,84.6337,0,0
HDR,MV,D,20071008,000000,81.3173,81.3173,81.3173,81.3173,0,0
HDR,MV,D,20071009,000000,84.6337,84.6337,84.6337,84.6337,0,0
HDR,MV,D,20071010,000000,81.9723,81.9723,81.9723,81.9723,0,0
HDR,MV,D,20071011,000000,85.1812,85.1812,85.1812,85.1812,0,0
HDR,MV,D,20071012,000000,84.9571,84.9571,84.9571,84.9571,0,0
HDR,MV,D,20071015,000000,84.7422,84.7422,84.7422,84.7422,0,0
HDR,MV,D,20071016,000000,83.9544,83.9544,83.9544,83.9544,0,0
HDR,MV,D,20071017,000000,77.9331,77.9331,77.9331,77.9331,0,0
HDR,MV,D,20071018,000000,79.6406,79.6406,79.6406,79.6406,0,0
HDR,MV,D,20071019,000000,80.7482,80.7482,80.7482,80.7482,0,0
HDR,MV,D,20071022,000000,83.5153,83.5153,83.5153,83.5153,0,0
HDR,MV,D,20071023,000000,83.7393,83.7393,83.7393,83.7393,0,0
HDR,MV,D,20071024,000000,79.9215,79.9215,79.9215,79.9215,0,0
HDR,MV,D,20071025,000000,81.6444,81.6444,81.6444,81.6444,0,0
HDR,MV,D,20071026,000000,80.5928,80.5928,80.5928,80.5928,0,0
HDR,MV,D,20071029,000000,80.2107,80.2107,80.2107,80.2107,0,0
HDR,MV,D,20071030,000000,76.2681,76.2681,76.2681,76.2681,0,0
HDR,MV,D,20071031,000000,76.8851,76.8851,76.8851,76.8851,0,0
