<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR,PE,D,20070813,000000,9.5401,9.5401,9.5401,9.5401,0,0
HDR,PE,D,20070814,000000,9.18141,9.18141,9.18141,9.18141,0,0
HDR,PE,D,20070816,000000,8.63574,8.63574,8.63574,8.63574,0,0
HDR,PE,D,20070817,000000,8.40772,8.40772,8.40772,8.40772,0,0
HDR,PE,D,20070820,000000,8.45145,8.45145,8.45145,8.45145,0,0
HDR,PE,D,20070821,000000,8.22343,8.22343,8.22343,8.22343,0,0
HDR,PE,D,20070822,000000,8.50032,8.50032,8.50032,8.50032,0,0
HDR,PE,D,20070823,000000,8.63574,8.63574,8.63574,8.63574,0,0
HDR,PE,D,20070824,000000,8.67911,8.67911,8.67911,8.67911,0,0
HDR,PE,D,20070827,000000,8.58787,8.58787,8.58787,8.58787,0,0
HDR,PE,D,20070828,000000,8.67008,8.67008,8.67008,8.67008,0,0
HDR,PE,D,20070829,000000,8.62671,8.62671,8.62671,8.62671,0,0
HDR,PE,D,20070830,000000,8.71976,8.71976,8.71976,8.71976,0,0
HDR,PE,D,20070831,000000,8.71976,8.71976,8.71976,8.71976,0,0
HDR,PE,D,20070903,000000,8.81191,8.81191,8.81191,8.81191,0,0
HDR,PE,D,20070904,000000,8.71976,8.71976,8.71976,8.71976,0,0
HDR,PE,D,20070905,000000,8.85528,8.85528,8.85528,8.85528,0,0
HDR,PE,D,20070906,000000,8.71976,8.71976,8.71976,8.71976,0,0
HDR,PE,D,20070907,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070910,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070911,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070912,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070913,000000,8.85528,8.85528,8.85528,8.85528,0,0
HDR,PE,D,20070914,000000,8.90316,8.90316,8.90316,8.90316,0,0
HDR,PE,D,20070917,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070918,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070919,000000,8.76313,8.76313,8.76313,8.76313,0,0
HDR,PE,D,20070920,000000,9.04138,9.04138,9.04138,9.04138,0,0
HDR,PE,D,20070921,000000,9.04138,9.04138,9.04138,9.04138,0,0
HDR,PE,D,20070924,000000,9.04138,9.04138,9.04138,9.04138,0,0
HDR,PE,D,20070925,000000,9.04138,9.04138,9.04138,9.04138,0,0
HDR,PE,D,20070926,000000,9.31692,9.31692,9.31692,9.31692,0,0
HDR,PE,D,20070927,000000,9.87162,9.87162,9.87162,9.87162,0,0
HDR,PE,D,20070928,000000,9.96381,9.96381,9.96381,9.96381,0,0
HDR,PE,D,20071001,000000,9.91676,9.91676,9.91676,9.91676,0,0
HDR,PE,D,20071002,000000,9.68733,9.68733,9.68733,9.68733,0,0
HDR,PE,D,20071003,000000,9.87162,9.87162,9.87162,9.87162,0,0
HDR,PE,D,20071004,000000,9.87162,9.87162,9.87162,9.87162,0,0
HDR,PE,D,20071005,000000,9.87162,9.87162,9.87162,9.87162,0,0
HDR,PE,D,20071008,000000,9.50212,9.50212,9.50212,9.50212,0,0
HDR,PE,D,20071009,000000,9.87162,9.87162,9.87162,9.87162,0,0
HDR,PE,D,20071010,000000,9.54638,9.54638,9.54638,9.54638,0,0
HDR,PE,D,20071011,000000,9.96381,9.96381,9.96381,9.96381,0,0
HDR,PE,D,20071012,000000,9.91676,9.91676,9.91676,9.91676,0,0
HDR,PE,D,20071015,000000,9.87162,9.87162,9.87162,9.87162,0,0
HDR,PE,D,20071016,000000,9.8219,9.8219,9.8219,9.8219,0,0
HDR,PE,D,20071017,000000,9.08836,9.08836,9.08836,9.08836,0,0
HDR,PE,D,20071018,000000,9.31692,9.31692,9.31692,9.31692,0,0
HDR,PE,D,20071019,000000,9.40907,9.40907,9.40907,9.40907,0,0
HDR,PE,D,20071022,000000,9.73067,9.73067,9.73067,9.73067,0,0
HDR,PE,D,20071023,000000,9.77857,9.77857,9.77857,9.77857,0,0
HDR,PE,D,20071024,000000,9.31692,9.31692,9.31692,9.31692,0,0
HDR,PE,D,20071025,000000,9.54638,9.54638,9.54638,9.54638,0,0
HDR,PE,D,20071026,000000,9.40907,9.40907,9.40907,9.40907,0,0
HDR,PE,D,20071029,000000,9.36751,9.36751,9.36751,9.36751,0,0
HDR,PE,D,20071030,000000,8.90316,8.90316,8.90316,8.90316,0,0
HDR,PE,D,20071031,000000,8.99711,8.99711,8.99711,8.99711,0,0
HDR,PE,D,20071102,000000,8.99711,8.99711,8.99711,8.99711,0,0
HDR,PE,D,20071105,000000,9.13263,9.13263,9.13263,9.13263,0,0
HDR,PE,D,20071106,000000,9.31692,9.31692,9.31692,9.31692,0,0
HDR,PE,D,20071107,000000,9.18141,9.18141,9.18141,9.18141,0,0
HDR,PE,D,20071108,000000,9.04138,9.04138,9.04138,9.04138,0,0
HDR,PE,D,20071109,000000,8.62671,9.13263,8.62671,9.04138,0,0
HDR,PE,D,20071112,000000,9.13263,9.13263,8.67008,8.99711,0,0
HDR,PE,D,20071113,000000,8.94743,8.94743,8.81191,8.90316,0,0
HDR,PE,D,20071114,000000,8.90316,8.99711,8.67008,8.90316,0,0
HDR,PE,D,20071115,000000,8.85528,8.90316,8.39409,8.67008,0,0
