<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMS,MV,D,20120104,000000,21.285,21.285,21.285,21.285,0,0
IMS,MV,D,20120105,000000,20.4879,20.4879,18.8987,19.6959,0,0
IMS,MV,D,20120109,000000,18.8987,19.8959,17.9007,19.8959,0,0
IMS,MV,D,20120110,000000,18.6979,19.8959,18.6979,19.4968,0,0
IMS,MV,D,20120111,000000,19.6959,19.6959,19.6959,19.6959,0,0
IMS,MV,D,20120112,000000,19.6959,19.8959,19.6959,19.8959,0,0
IMS,MV,D,20120113,000000,19.6959,19.6959,19.6959,19.6959,0,0
IMS,MV,D,20120116,000000,17.9007,19.6959,15.9142,19.6959,0,0
IMS,MV,D,20120117,000000,19.8959,19.8959,17.9007,19.8959,0,0
IMS,MV,D,20120118,000000,17.1087,18.6979,17.1087,18.6979,0,0
IMS,MV,D,20120119,000000,17.1087,18.6979,17.1087,18.6979,0,0
IMS,MV,D,20120120,000000,18.6979,18.6979,18.6979,18.6979,0,0
IMS,MV,D,20120123,000000,18.6979,19.2969,18.4988,19.2969,0,0
IMS,MV,D,20120124,000000,19.2969,19.2969,19.2969,19.2969,0,0
IMS,MV,D,20120125,000000,19.6959,19.6959,17.9007,18.4988,0,0
IMS,MV,D,20120126,000000,18.4988,20.2888,18.4988,20.2888,0,0
IMS,MV,D,20120127,000000,20.094,20.4879,20.094,20.2888,0,0
IMS,MV,D,20120130,000000,20.2888,20.4879,20.2888,20.4879,0,0
IMS,MV,D,20120131,000000,20.4879,20.4879,19.8959,19.8959,0,0
IMS,MV,D,20120201,000000,20.4879,20.4879,19.8959,19.8959,0,0
IMS,MV,D,20120202,000000,19.8959,19.8959,18.6979,18.8987,0,0
IMS,MV,D,20120203,000000,18.8987,18.8987,18.8987,18.8987,0,0
IMS,MV,D,20120206,000000,18.8987,18.8987,18.8987,18.8987,0,0
IMS,MV,D,20120207,000000,18.8987,18.8987,18.6979,18.8987,0,0
IMS,MV,D,20120208,000000,18.8987,18.8987,17.9007,18.8987,0,0
IMS,MV,D,20120209,000000,18.8987,19.8959,18.8987,19.8959,0,0
IMS,MV,D,20120210,000000,19.4968,21.285,19.4968,19.8959,0,0
IMS,MV,D,20120213,000000,21.8832,21.8832,21.8832,21.8832,0,0
IMS,MV,D,20120214,000000,21.8832,21.8832,21.6832,21.6832,0,0
IMS,MV,D,20120215,000000,21.8832,26.2612,21.8832,26.2612,0,0
IMS,MV,D,20120216,000000,26.2612,26.2612,25.8604,25.8604,0,0
IMS,MV,D,20120217,000000,25.8604,28.8457,25.8604,28.8457,0,0
IMS,MV,D,20120220,000000,30.8339,30.8339,30.8339,30.8339,0,0
IMS,MV,D,20120221,000000,30.8339,30.8339,28.8457,29.8359,0,0
IMS,MV,D,20120222,000000,30.6348,30.8339,30.6348,30.8339,0,0
IMS,MV,D,20120223,000000,30.8339,30.8339,30.8339,30.8339,0,0
IMS,MV,D,20120224,000000,30.8339,33.8193,30.8339,33.8193,0,0
IMS,MV,D,20120227,000000,33.8193,33.8193,33.8193,33.8193,0,0
IMS,MV,D,20120228,000000,37.3983,37.3983,33.8193,33.8193,0,0
IMS,MV,D,20120229,000000,33.8193,33.8193,33.8193,33.8193,0,0
IMS,MV,D,20120301,000000,34.0192,34.8112,34.0192,34.0192,0,0
IMS,MV,D,20120302,000000,34.2174,34.2174,33.4202,33.4202,0,0
IMS,MV,D,20120305,000000,32.8238,32.8238,32.8238,32.8238,0,0
IMS,MV,D,20120307,000000,32.8238,32.8238,31.8302,31.8302,0,0
IMS,MV,D,20120313,000000,31.8302,31.8302,31.8302,31.8302,0,0
IMS,MV,D,20120315,000000,31.6311,31.6311,31.2321,31.2321,0,0
IMS,MV,D,20120316,000000,31.2321,31.2321,31.2321,31.2321,0,0
IMS,MV,D,20120319,000000,31.0321,31.0321,30.8339,30.8339,0,0
IMS,MV,D,20120320,000000,30.8339,30.8339,30.8339,30.8339,0,0
IMS,MV,D,20120321,000000,30.8339,30.8339,30.8339,30.8339,0,0
IMS,MV,D,20120322,000000,30.8339,30.8339,30.8339,30.8339,0,0
IMS,MV,D,20120323,000000,28.6458,28.6458,28.6458,28.6458,0,0
IMS,MV,D,20120328,000000,29.6429,29.6429,29.6429,29.6429,0,0
IMS,MV,D,20120329,000000,29.6429,29.6429,29.6429,29.6429,0,0
IMS,MV,D,20120405,000000,29.6429,29.6429,29.6429,29.6429,0,0
IMS,MV,D,20120413,000000,29.6429,29.6429,29.6429,29.6429,0,0
IMS,MV,D,20120416,000000,29.6429,29.6429,29.6429,29.6429,0,0
IMS,MV,D,20120420,000000,27.8495,27.8495,27.8495,27.8495,0,0
IMS,MV,D,20120424,000000,29.6429,29.6429,29.6429,29.6429,0,0
IMS,MV,D,20120425,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120426,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120430,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120508,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120509,000000,25.8604,25.8604,23.8714,23.8714,0,0
IMS,MV,D,20120510,000000,23.8714,27.6504,23.8714,27.6504,0,0
IMS,MV,D,20120511,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120514,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120515,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120516,000000,27.6504,27.6504,25.8604,25.8604,0,0
IMS,MV,D,20120518,000000,26.8576,27.6504,26.8576,27.6504,0,0
IMS,MV,D,20120521,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120522,000000,27.6504,27.6504,26.6593,26.6593,0,0
IMS,MV,D,20120523,000000,27.6504,27.6504,27.6504,27.6504,0,0
IMS,MV,D,20120524,000000,24.6703,24.6703,24.6703,24.6703,0,0
IMS,MV,D,20120604,000000,24.6703,27.6504,24.6703,27.6504,0,0
IMS,MV,D,20120605,000000,26.6593,26.6593,26.6593,26.6593,0,0
IMS,MV,D,20120615,000000,26.8576,26.8576,26.8576,26.8576,0,0
IMS,MV,D,20120618,000000,26.8576,26.8576,26.8576,26.8576,0,0
IMS,MV,D,20120619,000000,26.8576,26.8576,26.8576,26.8576,0,0
IMS,MV,D,20120625,000000,27.4496,27.4496,24.8693,24.8693,0,0
IMS,MV,D,20120626,000000,24.6703,24.6703,24.6703,24.6703,0,0
IMS,MV,D,20120627,000000,22.8751,22.8751,22.8751,22.8751,0,0
IMS,MV,D,20120628,000000,24.6703,24.6703,24.6703,24.6703,0,0
IMS,MV,D,20120629,000000,24.6703,24.6703,23.6723,23.6723,0,0
IMS,MV,D,20120703,000000,24.6703,25.0624,24.6703,25.0624,0,0
IMS,MV,D,20120704,000000,25.0624,25.0624,25.0624,25.0624,0,0
IMS,MV,D,20120710,000000,23.8714,23.8714,23.8714,23.8714,0,0
IMS,MV,D,20120711,000000,23.8714,23.8714,23.8714,23.8714,0,0
IMS,MV,D,20120712,000000,23.8714,23.8714,23.8714,23.8714,0,0
IMS,MV,D,20120713,000000,23.8714,23.8714,23.8714,23.8714,0,0
IMS,MV,D,20120716,000000,23.8714,23.8714,23.8714,23.8714,0,0
