<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL,MV,D,20080121,000000,96.4571,96.4571,96.4571,96.4571,0,0
INL,MV,D,20080122,000000,92.1749,101.291,92.1749,101.291,0,0
INL,MV,D,20080123,000000,101.825,105.046,100.747,105.046,0,0
INL,MV,D,20080124,000000,105.782,106.325,105.782,106.325,0,0
INL,MV,D,20080125,000000,105.046,106.447,102.034,106.447,0,0
INL,MV,D,20080128,000000,100.747,105.046,100.747,105.046,0,0
INL,MV,D,20080129,000000,100.747,104.503,100.747,104.503,0,0
INL,MV,D,20080130,000000,104.503,107.078,99.7926,107.078,0,0
INL,MV,D,20080131,000000,105.572,109.337,105.046,105.046,0,0
INL,MV,D,20080201,000000,105.046,105.046,102.034,104.6,0,0
INL,MV,D,20080204,000000,101.719,101.719,97.963,99.1442,0,0
INL,MV,D,20080205,000000,95.5022,99.1442,93.4703,98.6018,0,0
INL,MV,D,20080206,000000,95.2921,96.3425,95.2921,96.3425,0,0
INL,MV,D,20080207,000000,92.1749,92.1749,92.1749,92.1749,0,0
INL,MV,D,20080208,000000,99.0487,99.0487,96.0369,96.0369,0,0
INL,MV,D,20080211,000000,92.4985,95.2921,91.0103,95.2921,0,0
INL,MV,D,20080212,000000,95.1692,95.3799,95.1692,95.3799,0,0
INL,MV,D,20080213,000000,96.0369,99.0487,91.6407,94.9678,0,0
INL,MV,D,20080214,000000,96.3425,96.3425,94.3203,96.246,0,0
INL,MV,D,20080215,000000,96.4571,96.4571,93.2431,96.3425,0,0
INL,MV,D,20080218,000000,95.7208,95.7208,95.7208,95.7208,0,0
INL,MV,D,20080219,000000,95.8173,95.8173,92.3849,95.3799,0,0
INL,MV,D,20080220,000000,95.1692,95.3799,90.2573,94.215,0,0
INL,MV,D,20080221,000000,90.6776,94.215,90.1347,93.0242,0,0
INL,MV,D,20080222,000000,93.1378,93.1378,93.1378,93.1378,0,0
INL,MV,D,20080225,000000,91.0891,93.2431,89.0752,93.2431,0,0
INL,MV,D,20080226,000000,93.2431,93.2431,89.0752,93.1378,0,0
INL,MV,D,20080227,000000,87.8932,92.7175,87.8932,92.4985,0,0
INL,MV,D,20080228,000000,92.3849,92.3849,86.9256,92.1749,0,0
INL,MV,D,20080229,000000,91.0891,91.6407,91.0891,91.6407,0,0
INL,MV,D,20080303,000000,91.7545,91.7545,91.7545,91.7545,0,0
INL,MV,D,20080304,000000,87.8932,91.9559,87.8932,91.3168,0,0
INL,MV,D,20080305,000000,87.0342,89.9246,85.7523,89.9246,0,0
INL,MV,D,20080306,000000,91.9559,91.9559,85.8529,91.5444,0,0
INL,MV,D,20080307,000000,86.8082,90.5725,86.8082,90.5725,0,0
INL,MV,D,20080310,000000,90.5725,90.5725,90.0297,90.0297,0,0
INL,MV,D,20080311,000000,85.0063,88.9527,83.7069,87.8932,0,0
INL,MV,D,20080312,000000,84.2524,87.8932,84.1351,86.7164,0,0
INL,MV,D,20080313,000000,86.0622,86.7164,82.5363,85.7523,0,0
INL,MV,D,20080314,000000,84.6797,84.6797,84.6797,84.6797,0,0
INL,MV,D,20080317,000000,83.0686,85.6349,83.0686,84.6797,0,0
INL,MV,D,20080318,000000,82.5363,85.3084,81.996,85.3084,0,0
INL,MV,D,20080319,000000,83.0686,84.0422,83.0686,84.0422,0,0
INL,MV,D,20080320,000000,85.0982,85.0982,81.777,84.0422,0,0
INL,MV,D,20080325,000000,85.0063,85.2077,83.0686,85.2077,0,0
INL,MV,D,20080326,000000,85.5343,86.7164,85.5343,86.7164,0,0
INL,MV,D,20080327,000000,86.7164,86.7164,83.0686,86.2882,0,0
INL,MV,D,20080328,000000,85.7523,85.7523,85.7523,85.7523,0,0
INL,MV,D,20080331,000000,85.7523,85.7523,85.7523,85.7523,0,0
INL,MV,D,20080401,000000,85.7523,85.7523,84.8802,85.7523,0,0
INL,MV,D,20080402,000000,85.2077,85.7523,85.2077,85.7523,0,0
INL,MV,D,20080403,000000,85.7523,85.7523,85.7523,85.7523,0,0
INL,MV,D,20080404,000000,85.7523,86.2882,85.7523,86.2882,0,0
INL,MV,D,20080407,000000,83.7069,85.7523,80.3831,85.7523,0,0
INL,MV,D,20080408,000000,85.7523,85.7523,85.7523,85.7523,0,0
INL,MV,D,20080409,000000,85.7523,85.8529,82.8418,85.8529,0,0
INL,MV,D,20080410,000000,85.9616,86.0622,85.8529,85.9616,0,0
INL,MV,D,20080411,000000,85.7523,86.0622,85.4257,85.4257,0,0
INL,MV,D,20080414,000000,85.5343,85.5343,81.777,83.7069,0,0
INL,MV,D,20080415,000000,83.7069,84.5624,82.0984,84.2524,0,0
INL,MV,D,20080416,000000,84.1351,84.6797,83.0686,84.2524,0,0
INL,MV,D,20080417,000000,83.5895,84.1351,82.6465,84.0422,0,0
INL,MV,D,20080418,000000,83.5895,84.6797,81.8874,84.6797,0,0
INL,MV,D,20080421,000000,84.1351,84.6797,82.2079,84.6797,0,0
