<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS,PE,D,20110216,000000,32.036,32.036,32.036,32.036,0,0
IZS,PE,D,20110217,000000,31.457,32.036,30.9505,31.0952,0,0
IZS,PE,D,20110218,000000,30.9505,31.0952,30.9505,31.0952,0,0
IZS,PE,D,20110221,000000,31.3847,31.3847,31.0952,31.0952,0,0
IZS,PE,D,20110222,000000,31.3847,31.3847,30.2276,31.0228,0,0
IZS,PE,D,20110223,000000,31.3847,31.8189,31.1685,31.1685,0,0
IZS,PE,D,20110224,000000,31.3123,31.3123,30.7342,31.1685,0,0
IZS,PE,D,20110225,000000,31.1685,31.3123,30.9505,31.1685,0,0
IZS,PE,D,20110228,000000,31.3847,32.4675,31.3123,31.7457,0,0
IZS,PE,D,20110301,000000,31.457,32.3237,31.457,32.036,0,0
IZS,PE,D,20110302,000000,31.8189,32.4675,31.8189,32.036,0,0
IZS,PE,D,20110303,000000,32.6142,32.6142,23.8642,23.8642,0,0
IZS,PE,D,20110304,000000,23.8642,23.8642,23.5756,23.8642,0,0
IZS,PE,D,20110307,000000,24.0089,24.227,23.5756,24.227,0,0
IZS,PE,D,20110308,000000,24.3708,24.4423,24.227,24.4423,0,0
IZS,PE,D,20110309,000000,24.4423,24.4423,24.227,24.3708,0,0
IZS,PE,D,20110310,000000,24.227,25.8155,24.227,25.7441,0,0
IZS,PE,D,20110311,000000,25.7441,25.7441,25.1661,25.1661,0,0
IZS,PE,D,20110314,000000,25.1661,25.9613,25.0213,25.4546,0,0
IZS,PE,D,20110315,000000,25.3822,25.3822,24.1537,24.805,0,0
IZS,PE,D,20110316,000000,25.0927,25.0927,24.1537,24.805,0,0
IZS,PE,D,20110317,000000,24.3708,24.805,24.3708,24.5147,0,0
IZS,PE,D,20110318,000000,24.5147,24.5147,24.0089,24.227,0,0
IZS,PE,D,20110321,000000,24.227,24.5147,23.2853,24.5147,0,0
IZS,PE,D,20110322,000000,24.5147,24.5147,24.227,24.4423,0,0
IZS,PE,D,20110323,000000,24.4423,24.4423,23.8642,24.4423,0,0
IZS,PE,D,20110324,000000,24.4423,24.4423,24.1537,24.3708,0,0
IZS,PE,D,20110325,000000,24.4423,24.4423,24.0813,24.4423,0,0
IZS,PE,D,20110328,000000,24.4423,24.4423,24.0089,24.227,0,0
IZS,PE,D,20110329,000000,24.3708,24.3708,24.0813,24.227,0,0
IZS,PE,D,20110330,000000,24.5147,24.5147,24.0813,24.227,0,0
IZS,PE,D,20110331,000000,24.4423,24.4423,24.0813,24.227,0,0
IZS,PE,D,20110401,000000,24.227,24.227,24.1537,24.1537,0,0
IZS,PE,D,20110404,000000,24.0089,25.1661,24.0089,24.805,0,0
IZS,PE,D,20110405,000000,24.7309,24.805,24.5147,24.805,0,0
IZS,PE,D,20110406,000000,25.0927,25.0927,24.5879,25.0213,0,0
IZS,PE,D,20110407,000000,25.0213,25.0213,24.8756,25.0213,0,0
IZS,PE,D,20110408,000000,25.1661,25.1661,24.8756,25.0927,0,0
IZS,PE,D,20110411,000000,25.0927,25.0927,24.6594,25.0213,0,0
IZS,PE,D,20110412,000000,24.7309,25.0213,24.5147,25.0213,0,0
IZS,PE,D,20110413,000000,25.0213,25.0927,24.8756,24.8756,0,0
IZS,PE,D,20110414,000000,24.8756,24.948,24.805,24.948,0,0
IZS,PE,D,20110415,000000,24.948,24.948,24.805,24.805,0,0
IZS,PE,D,20110418,000000,24.6594,24.805,24.1537,24.5147,0,0
IZS,PE,D,20110419,000000,24.227,24.5879,23.8642,24.5879,0,0
IZS,PE,D,20110420,000000,23.7195,24.5879,23.7195,24.5147,0,0
IZS,PE,D,20110421,000000,24.5879,24.5879,24.1537,24.1537,0,0
IZS,PE,D,20110426,000000,24.4423,24.4423,23.7918,23.7918,0,0
IZS,PE,D,20110427,000000,23.7918,23.7918,23.5024,23.5756,0,0
IZS,PE,D,20110428,000000,23.7918,23.8642,22.9958,23.1395,0,0
IZS,PE,D,20110429,000000,23.4309,23.7918,23.3576,23.7195,0,0
IZS,PE,D,20110502,000000,23.7918,23.7918,23.7195,23.7195,0,0
IZS,PE,D,20110504,000000,23.7195,23.7918,22.8528,23.5024,0,0
IZS,PE,D,20110505,000000,23.7195,23.7195,23.5024,23.7195,0,0
IZS,PE,D,20110506,000000,23.7918,23.7918,23.2129,23.7195,0,0
IZS,PE,D,20110509,000000,23.7195,23.7195,23.2129,23.5756,0,0
IZS,PE,D,20110510,000000,23.7195,23.7195,23.7195,23.7195,0,0
IZS,PE,D,20110511,000000,23.7195,23.9357,23.5756,23.5756,0,0
IZS,PE,D,20110512,000000,23.5756,23.5756,23.2853,23.4309,0,0
IZS,PE,D,20110513,000000,23.648,24.3708,23.4309,24.0089,0,0
IZS,PE,D,20110516,000000,23.8642,24.0089,16.7055,16.7055,0,0
IZS,PE,D,20110517,000000,16.7055,16.7771,16.7055,16.7771,0,0
IZS,PE,D,20110518,000000,16.7771,16.7771,16.559,16.559,0,0
IZS,PE,D,20110519,000000,16.559,16.6332,16.3419,16.6332,0,0
IZS,PE,D,20110520,000000,16.6332,16.6332,16.559,16.6332,0,0
IZS,PE,D,20110523,000000,16.7055,16.7771,16.559,16.7771,0,0
IZS,PE,D,20110524,000000,16.7771,16.7771,16.6332,16.7771,0,0
IZS,PE,D,20110525,000000,16.7771,17.1389,16.7771,16.9924,0,0
IZS,PE,D,20110526,000000,16.9924,16.9924,16.9218,16.9218,0,0
IZS,PE,D,20110527,000000,16.9218,16.9924,16.7771,16.9924,0,0
IZS,PE,D,20110530,000000,16.8494,17.2113,16.8494,17.2113,0,0
IZS,PE,D,20110531,000000,17.2113,17.8617,17.2113,17.6456,0,0
IZS,PE,D,20110601,000000,17.7884,18.5845,17.7884,18.0798,0,0
IZS,PE,D,20110602,000000,18.7293,18.7293,18.0798,18.0798,0,0
IZS,PE,D,20110603,000000,18.4398,18.4398,17.6456,18.0798,0,0
IZS,PE,D,20110606,000000,18.0798,18.0798,17.8617,17.8617,0,0
IZS,PE,D,20110607,000000,17.5008,17.7884,17.5008,17.7884,0,0
IZS,PE,D,20110608,000000,17.9341,17.9341,17.7884,17.7884,0,0
IZS,PE,D,20110609,000000,17.7884,18.0798,17.7884,17.8617,0,0
IZS,PE,D,20110610,000000,17.7884,18.0065,17.7884,18.0065,0,0
IZS,PE,D,20110613,000000,17.7884,18.1522,17.7884,18.0065,0,0
IZS,PE,D,20110614,000000,18.0065,18.0065,17.7884,17.7884,0,0
IZS,PE,D,20110615,000000,17.716,18.1522,17.716,17.7884,0,0
IZS,PE,D,20110616,000000,18.0065,18.0065,17.7884,17.7884,0,0
IZS,PE,D,20110617,000000,17.7884,17.7884,17.7884,17.7884,0,0
IZS,PE,D,20110620,000000,17.8617,17.8617,17.0666,17.3561,0,0
IZS,PE,D,20110621,000000,17.6456,17.6456,17.2113,17.4284,0,0
IZS,PE,D,20110622,000000,17.1389,17.4284,17.1389,17.2113,0,0
IZS,PE,D,20110624,000000,17.2113,17.2113,15.8371,17.0666,0,0
IZS,PE,D,20110627,000000,17.0666,17.0666,16.1257,16.1257,0,0
IZS,PE,D,20110628,000000,16.1257,16.1257,15.7648,15.7648,0,0
IZS,PE,D,20110629,000000,15.7648,16.559,15.7648,16.559,0,0
IZS,PE,D,20110630,000000,16.7055,16.9924,16.7055,16.9924,0,0
IZS,PE,D,20110701,000000,17.0666,17.0666,16.4152,17.0666,0,0
IZS,PE,D,20110704,000000,17.0666,17.0666,16.7055,16.9924,0,0
IZS,PE,D,20110705,000000,17.1389,17.1389,16.559,17.1389,0,0
IZS,PE,D,20110706,000000,17.2113,17.2113,16.9924,16.9924,0,0
IZS,PE,D,20110707,000000,16.9924,16.9924,16.9924,16.9924,0,0
IZS,PE,D,20110708,000000,16.9924,16.9924,16.7771,16.9218,0,0
IZS,PE,D,20110711,000000,16.7771,16.7771,16.4152,16.6332,0,0
IZS,PE,D,20110712,000000,16.559,16.6332,15.4753,16.6332,0,0
IZS,PE,D,20110713,000000,16.7771,17.8617,16.3419,17.8617,0,0
IZS,PE,D,20110714,000000,18.0065,18.0065,17.2113,17.2113,0,0
IZS,PE,D,20110715,000000,17.6456,17.6456,17.5732,17.5732,0,0
IZS,PE,D,20110718,000000,17.6456,17.6456,16.9218,17.3561,0,0
IZS,PE,D,20110719,000000,17.3561,17.3561,16.9924,17.2113,0,0
IZS,PE,D,20110720,000000,17.2113,17.2113,17.1389,17.1389,0,0
IZS,PE,D,20110721,000000,17.1389,17.1389,16.9924,17.1389,0,0
IZS,PE,D,20110722,000000,17.1389,17.3561,17.0666,17.3561,0,0
IZS,PE,D,20110725,000000,17.3561,17.3561,16.8494,17.1389,0,0
IZS,PE,D,20110726,000000,17.2837,17.2837,17.1389,17.1389,0,0
IZS,PE,D,20110727,000000,17.0666,17.0666,17.0666,17.0666,0,0
IZS,PE,D,20110728,000000,16.9924,16.9924,16.559,16.9218,0,0
IZS,PE,D,20110729,000000,16.9218,17.3561,16.9218,17.3561,0,0
IZS,PE,D,20110801,000000,17.2113,17.3561,16.7771,17.3561,0,0
IZS,PE,D,20110802,000000,17.2113,17.2113,17.2113,17.2113,0,0
IZS,PE,D,20110803,000000,17.2113,17.2113,16.3419,16.3419,0,0
IZS,PE,D,20110804,000000,16.3419,16.559,15.8371,16.559,0,0
IZS,PE,D,20110805,000000,16.0533,16.6332,15.0419,16.559,0,0
