<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP,MV,D,20070813,000000,28.223,28.223,28.223,28.223,0,0
KMP,MV,D,20070814,000000,27.8261,27.8261,27.8261,27.8261,0,0
KMP,MV,D,20070816,000000,21.9236,21.9236,21.9236,21.9236,0,0
KMP,MV,D,20070817,000000,23.678,23.678,23.678,23.678,0,0
KMP,MV,D,20070820,000000,28.6105,28.6105,28.6105,28.6105,0,0
KMP,MV,D,20070821,000000,29.8751,29.8751,29.8751,29.8751,0,0
KMP,MV,D,20070822,000000,31.5701,31.5701,31.5701,31.5701,0,0
KMP,MV,D,20070823,000000,31.5534,31.5534,31.5534,31.5534,0,0
KMP,MV,D,20070824,000000,33.5429,33.5429,33.5429,33.5429,0,0
KMP,MV,D,20070827,000000,34.9851,34.9851,34.9851,34.9851,0,0
KMP,MV,D,20070828,000000,33.1721,33.1721,33.1721,33.1721,0,0
KMP,MV,D,20070829,000000,32.9946,32.9946,32.9946,32.9946,0,0
KMP,MV,D,20070830,000000,31.9659,31.9659,31.9659,31.9659,0,0
KMP,MV,D,20070831,000000,32.9528,32.9528,32.9528,32.9528,0,0
KMP,MV,D,20070903,000000,33.1554,33.1554,33.1554,33.1554,0,0
KMP,MV,D,20070904,000000,33.7455,33.7455,33.7455,33.7455,0,0
KMP,MV,D,20070905,000000,33.1554,33.1554,33.1554,33.1554,0,0
KMP,MV,D,20070906,000000,33.5253,33.5253,33.5253,33.5253,0,0
KMP,MV,D,20070907,000000,32.7577,32.7577,32.7577,32.7577,0,0
KMP,MV,D,20070910,000000,32.0672,32.0672,32.0672,32.0672,0,0
KMP,MV,D,20070911,000000,33.1889,33.1889,33.1889,33.1889,0,0
KMP,MV,D,20070912,000000,33.6452,33.6452,33.6452,33.6452,0,0
KMP,MV,D,20070913,000000,34.5298,34.5298,34.5298,34.5298,0,0
KMP,MV,D,20070914,000000,34.3355,34.3355,34.3355,34.3355,0,0
KMP,MV,D,20070917,000000,33.6609,33.6609,33.6609,33.6609,0,0
KMP,MV,D,20070918,000000,34.2175,34.2175,34.2175,34.2175,0,0
KMP,MV,D,20070919,000000,36.115,36.115,36.115,36.115,0,0
KMP,MV,D,20070920,000000,37.3128,37.3128,37.3128,37.3128,0,0
KMP,MV,D,20070921,000000,35.9115,35.9115,35.9115,35.9115,0,0
KMP,MV,D,20070924,000000,35.7015,35.7015,35.7015,35.7015,0,0
KMP,MV,D,20070925,000000,35.5166,35.5166,35.5166,35.5166,0,0
KMP,MV,D,20070926,000000,35.997,35.997,35.997,35.997,0,0
KMP,MV,D,20070927,000000,36.4858,36.4858,36.4858,36.4858,0,0
KMP,MV,D,20070928,000000,37.0006,37.0006,37.0006,37.0006,0,0
KMP,MV,D,20071001,000000,36.8994,36.8994,36.8994,36.8994,0,0
KMP,MV,D,20071002,000000,38.518,38.518,38.518,38.518,0,0
KMP,MV,D,20071003,000000,38.1054,38.1054,38.1054,38.1054,0,0
KMP,MV,D,20071004,000000,37.692,37.692,37.692,37.692,0,0
KMP,MV,D,20071005,000000,37.2784,37.2784,37.2784,37.2784,0,0
KMP,MV,D,20071008,000000,37.4884,37.4884,37.4884,37.4884,0,0
KMP,MV,D,20071009,000000,36.3259,36.3259,36.3259,36.3259,0,0
KMP,MV,D,20071010,000000,37.3965,37.3965,37.3965,37.3965,0,0
KMP,MV,D,20071011,000000,36.8826,36.8826,36.8826,36.8826,0,0
KMP,MV,D,20071012,000000,35.997,35.997,35.997,35.997,0,0
KMP,MV,D,20071015,000000,34.5298,34.5298,34.5298,34.5298,0,0
KMP,MV,D,20071016,000000,34.3355,34.3355,34.3355,34.3355,0,0
KMP,MV,D,20071017,000000,35.9115,35.9115,35.9115,35.9115,0,0
KMP,MV,D,20071018,000000,36.0138,36.0138,36.0138,36.0138,0,0
KMP,MV,D,20071019,000000,36.7051,36.7051,36.7051,36.7051,0,0
KMP,MV,D,20071022,000000,36.3093,36.3093,36.3093,36.3093,0,0
KMP,MV,D,20071023,000000,36.7051,36.7051,36.7051,36.7051,0,0
