<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPL,MV,D,20110527,000000,85.5991,85.5991,85.5991,85.5991,0,0
KPL,MV,D,20110530,000000,84.4536,88.9355,83.6858,86.9578,0,0
KPL,MV,D,20110531,000000,86.7493,86.8886,83.7728,84.5322,0,0
KPL,MV,D,20110601,000000,84.0823,85.2129,83.3941,85.2129,0,0
KPL,MV,D,20110602,000000,85.1418,85.9722,83.6858,85.5991,0,0
KPL,MV,D,20110603,000000,83.7728,85.9722,83.7728,85.9722,0,0
KPL,MV,D,20110606,000000,83.7728,85.5991,83.6858,84.4536,0,0
KPL,MV,D,20110607,000000,84.4536,85.2129,76.8511,83.6148,0,0
KPL,MV,D,20110608,000000,83.6148,85.1418,83.6148,84.8416,0,0
KPL,MV,D,20110609,000000,82.9265,84.3816,82.9265,83.6858,0,0
KPL,MV,D,20110610,000000,83.6858,83.6858,82.9265,83.6858,0,0
KPL,MV,D,20110613,000000,82.9265,83.6858,82.9265,83.6148,0,0
KPL,MV,D,20110614,000000,80.8777,84.0823,80.6412,82.8555,0,0
KPL,MV,D,20110615,000000,80.6412,82.8555,78.3651,82.1756,0,0
KPL,MV,D,20110616,000000,78.8298,82.8555,78.3651,80.6412,0,0
KPL,MV,D,20110617,000000,77.9854,80.6412,77.9854,78.6016,0,0
KPL,MV,D,20110620,000000,77.9854,78.6016,75.3194,77.5319,0,0
KPL,MV,D,20110621,000000,76.0806,76.0806,75.3194,76.0806,0,0
KPL,MV,D,20110622,000000,76.0806,76.7698,75.3933,76.0806,0,0
KPL,MV,D,20110624,000000,75.0192,75.0921,75.0192,75.0921,0,0
KPL,MV,D,20110627,000000,75.0921,76.0806,74.1842,76.0077,0,0
KPL,MV,D,20110628,000000,74.1842,76.0077,73.8036,73.8036,0,0
KPL,MV,D,20110629,000000,73.8036,76.0077,73.8036,76.0077,0,0
KPL,MV,D,20110630,000000,75.7075,75.7075,72.818,75.6271,0,0
KPL,MV,D,20110701,000000,72.43,75.9338,72.43,75.8543,0,0
KPL,MV,D,20110704,000000,75.8543,75.8543,75.8543,75.8543,0,0
KPL,MV,D,20110705,000000,73.1154,75.2456,73.1154,74.5647,0,0
KPL,MV,D,20110706,000000,74.4909,74.5647,74.4909,74.5647,0,0
KPL,MV,D,20110707,000000,74.5647,74.5647,73.8036,74.4909,0,0
KPL,MV,D,20110708,000000,72.43,74.8659,72.43,74.0308,0,0
KPL,MV,D,20110711,000000,72.818,74.4909,72.2859,74.4114,0,0
KPL,MV,D,20110712,000000,72.2859,73.9569,71.2919,73.8765,0,0
KPL,MV,D,20110713,000000,72.2859,74.33,72.2859,74.0963,0,0
KPL,MV,D,20110714,000000,72.2859,73.9569,72.0549,72.818,0,0
KPL,MV,D,20110715,000000,70.0697,72.2859,70.0697,72.2045,0,0
KPL,MV,D,20110718,000000,72.1288,72.2045,65.4316,68.4753,0,0
KPL,MV,D,20110719,000000,66.1937,68.4753,65.8159,65.8159,0,0
KPL,MV,D,20110720,000000,65.8159,66.1937,64.6741,66.1216,0,0
KPL,MV,D,20110721,000000,65.0538,66.1216,65.0538,66.1216,0,0
KPL,MV,D,20110722,000000,65.0538,66.3461,65.0538,66.3461,0,0
KPL,MV,D,20110725,000000,65.1295,65.1295,64.6741,65.0538,0,0
KPL,MV,D,20110726,000000,64.6741,64.6741,63.9896,64.6741,0,0
KPL,MV,D,20110727,000000,65.4316,65.4316,63.9896,65.0538,0,0
KPL,MV,D,20110728,000000,63.1489,65.0538,61.6303,65.0538,0,0
KPL,MV,D,20110729,000000,65.0538,65.0538,61.7781,62.3868,0,0
KPL,MV,D,20110801,000000,61.6303,62.009,57.2157,58.8175,0,0
KPL,MV,D,20110802,000000,59.1177,60.7915,57.3671,60.7915,0,0
KPL,MV,D,20110803,000000,62.3157,62.3157,56.2272,60.7139,0,0
KPL,MV,D,20110804,000000,57.1389,57.1389,55.6175,57.067,0,0
KPL,MV,D,20110805,000000,53.7913,57.067,52.4962,57.067,0,0
KPL,MV,D,20110808,000000,53.2592,57.5991,52.4962,55.0846,0,0
KPL,MV,D,20110809,000000,50.9775,51.0532,45.6502,46.4114,0,0
KPL,MV,D,20110810,000000,46.4114,49.458,43.3676,46.4114,0,0
KPL,MV,D,20110811,000000,45.6502,50.2145,44.2803,47.9337,0,0
KPL,MV,D,20110812,000000,52.8805,52.8805,47.9337,51.7406,0,0
KPL,MV,D,20110816,000000,52.8805,56.9117,52.8805,56.9117,0,0
KPL,MV,D,20110817,000000,57.067,57.067,56.4564,56.4564,0,0
KPL,MV,D,20110818,000000,54.0223,54.0223,50.2145,53.6389,0,0
KPL,MV,D,20110819,000000,51.3553,53.6389,51.3553,53.1049,0,0
KPL,MV,D,20110822,000000,51.7406,51.7406,51.7406,51.7406,0,0
KPL,MV,D,20110823,000000,53.2592,53.2592,49.458,49.458,0,0
KPL,MV,D,20110824,000000,49.458,49.458,49.458,49.458,0,0
KPL,MV,D,20110825,000000,49.458,49.458,49.458,49.458,0,0
KPL,MV,D,20110826,000000,49.458,49.458,49.458,49.458,0,0
KPL,MV,D,20110829,000000,49.458,52.8805,45.6502,46.029,0,0
KPL,MV,D,20110830,000000,46.4114,49.3814,46.4114,47.1707,0,0
KPL,MV,D,20110831,000000,49.3814,50.0602,45.6502,45.8812,0,0
KPL,MV,D,20110901,000000,47.1707,47.1707,45.6502,45.6502,0,0
KPL,MV,D,20110902,000000,45.6502,45.6502,42.6046,42.6046,0,0
KPL,MV,D,20110905,000000,41.0869,42.6046,39.6394,39.716,0,0
KPL,MV,D,20110906,000000,39.716,39.716,38.8052,38.8052,0,0
KPL,MV,D,20110907,000000,38.8052,41.7733,38.8052,41.7733,0,0
KPL,MV,D,20110908,000000,41.848,41.848,40.3238,41.848,0,0
KPL,MV,D,20110909,000000,44.1307,47.9337,44.1307,47.5541,0,0
KPL,MV,D,20110912,000000,45.6502,45.6502,41.848,44.8891,0,0
KPL,MV,D,20110913,000000,44.8891,45.0405,41.1617,44.8105,0,0
KPL,MV,D,20110914,000000,45.6502,47.5541,44.8105,44.8105,0,0
KPL,MV,D,20110915,000000,44.8105,47.9337,44.8105,47.9337,0,0
KPL,MV,D,20110916,000000,48.1619,48.1619,47.9337,48.1619,0,0
KPL,MV,D,20110919,000000,44.8105,48.0872,44.8105,48.0872,0,0
KPL,MV,D,20110921,000000,44.8891,44.8891,44.8891,44.8891,0,0
KPL,MV,D,20110922,000000,44.8891,46.3376,44.8891,46.3376,0,0
KPL,MV,D,20110923,000000,45.9532,46.7911,44.1307,46.7911,0,0
KPL,MV,D,20110926,000000,44.5103,44.5103,44.1307,44.2027,0,0
KPL,MV,D,20110927,000000,44.2027,44.2027,42.0744,44.0558,0,0
KPL,MV,D,20110929,000000,41.1617,44.0558,39.5608,42.2277,0,0
KPL,MV,D,20110930,000000,42.5289,43.7463,41.848,41.848,0,0
KPL,MV,D,20111003,000000,41.0102,41.0102,40.7026,40.7026,0,0
KPL,MV,D,20111004,000000,38.8052,42.0744,38.8052,42.0744,0,0
KPL,MV,D,20111005,000000,41.848,41.848,41.7733,41.848,0,0
KPL,MV,D,20111006,000000,41.0869,43.5238,39.6394,39.6394,0,0
KPL,MV,D,20111007,000000,40.3238,40.3238,39.2606,40.3238,0,0
KPL,MV,D,20111010,000000,40.4781,40.4781,40.3238,40.4015,0,0
KPL,MV,D,20111011,000000,40.4781,40.4781,40.4781,40.4781,0,0
KPL,MV,D,20111012,000000,40.7793,40.7793,40.7793,40.7793,0,0
KPL,MV,D,20111013,000000,41.0869,41.0869,41.0869,41.0869,0,0
KPL,MV,D,20111014,000000,41.848,41.9201,41.848,41.9201,0,0
KPL,MV,D,20111017,000000,42.3044,42.3044,42.3044,42.3044,0,0
KPL,MV,D,20111018,000000,42.3044,42.3044,42.2277,42.3044,0,0
KPL,MV,D,20111019,000000,42.2277,42.2277,42.2277,42.2277,0,0
KPL,MV,D,20111020,000000,42.2277,42.2277,42.2277,42.2277,0,0
KPL,MV,D,20111021,000000,42.6046,42.6046,42.6046,42.6046,0,0
KPL,MV,D,20111024,000000,42.2277,43.3676,42.2277,43.3676,0,0
