<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPL,PB,D,20110527,000000,3.43943,3.43943,3.43943,3.43943,0,0
KPL,PB,D,20110530,000000,3.39558,3.57652,3.36276,3.49432,0,0
KPL,PB,D,20110531,000000,3.48871,3.49432,3.36817,3.40109,0,0
KPL,PB,D,20110601,000000,3.37902,3.4284,3.35172,3.4284,0,0
KPL,PB,D,20110602,000000,3.42307,3.45589,3.36276,3.43943,0,0
KPL,PB,D,20110603,000000,3.36817,3.45589,3.36817,3.45589,0,0
KPL,PB,D,20110606,000000,3.36817,3.43943,3.36276,3.39558,0,0
KPL,PB,D,20110607,000000,3.39558,3.4284,3.0883,3.36276,0,0
KPL,PB,D,20110608,000000,3.36276,3.42307,3.36276,3.41203,0,0
KPL,PB,D,20110609,000000,3.33517,3.38996,3.33517,3.36276,0,0
KPL,PB,D,20110610,000000,3.36276,3.36276,3.33517,3.36276,0,0
KPL,PB,D,20110613,000000,3.33517,3.36276,3.33517,3.36276,0,0
KPL,PB,D,20110614,000000,3.25287,3.37902,3.24193,3.32974,0,0
KPL,PB,D,20110615,000000,3.24193,3.32974,3.1488,3.30234,0,0
KPL,PB,D,20110616,000000,3.17068,3.32974,3.1488,3.24193,0,0
KPL,PB,D,20110617,000000,3.13776,3.24193,3.13776,3.15964,0,0
KPL,PB,D,20110620,000000,3.13776,3.15964,3.02798,3.11579,0,0
KPL,PB,D,20110621,000000,3.06081,3.06081,3.02798,3.06081,0,0
KPL,PB,D,20110622,000000,3.06081,3.0883,3.03359,3.06081,0,0
KPL,PB,D,20110624,000000,3.01704,3.01704,3.01704,3.01704,0,0
KPL,PB,D,20110627,000000,3.01704,3.06081,2.98422,3.05547,0,0
KPL,PB,D,20110628,000000,2.98422,3.05547,2.96766,2.96766,0,0
KPL,PB,D,20110629,000000,2.96766,3.05547,2.96766,3.05547,0,0
KPL,PB,D,20110630,000000,3.04453,3.04453,2.92933,3.03911,0,0
KPL,PB,D,20110701,000000,2.91287,3.05547,2.91287,3.04996,0,0
KPL,PB,D,20110704,000000,3.04996,3.04996,3.04996,3.04996,0,0
KPL,PB,D,20110705,000000,2.94027,3.02798,2.94027,3.00077,0,0
KPL,PB,D,20110706,000000,2.99507,3.00077,2.99507,3.00077,0,0
KPL,PB,D,20110707,000000,3.00077,3.00077,2.96766,2.99507,0,0
KPL,PB,D,20110708,000000,2.91287,3.01171,2.91287,2.9786,0,0
KPL,PB,D,20110711,000000,2.92933,2.99507,2.90735,2.98964,0,0
KPL,PB,D,20110712,000000,2.90735,2.97319,2.86883,2.97319,0,0
KPL,PB,D,20110713,000000,2.90735,2.98964,2.90735,2.9786,0,0
KPL,PB,D,20110714,000000,2.90735,2.97319,2.89622,2.92933,0,0
KPL,PB,D,20110715,000000,2.81964,2.90735,2.81964,2.90192,0,0
KPL,PB,D,20110718,000000,2.90192,2.90192,2.63318,2.7538,0,0
KPL,PB,D,20110719,000000,2.66048,2.7538,2.64412,2.64412,0,0
KPL,PB,D,20110720,000000,2.64412,2.66048,2.60017,2.66048,0,0
KPL,PB,D,20110721,000000,2.61644,2.66048,2.61644,2.66048,0,0
KPL,PB,D,20110722,000000,2.61644,2.66581,2.61644,2.66581,0,0
KPL,PB,D,20110725,000000,2.61644,2.61644,2.60017,2.61644,0,0
KPL,PB,D,20110726,000000,2.60017,2.60017,2.57277,2.60017,0,0
KPL,PB,D,20110727,000000,2.63318,2.63318,2.57277,2.61644,0,0
KPL,PB,D,20110728,000000,2.53976,2.61644,2.47945,2.61644,0,0
KPL,PB,D,20110729,000000,2.61644,2.61644,2.48487,2.50694,0,0
KPL,PB,D,20110801,000000,2.47945,2.4959,2.2985,2.36433,0,0
KPL,PB,D,20110802,000000,2.37518,2.44644,2.30945,2.44644,0,0
KPL,PB,D,20110803,000000,2.50694,2.50694,2.26006,2.4411,0,0
KPL,PB,D,20110804,000000,2.2985,2.2985,2.2381,2.29298,0,0
KPL,PB,D,20110805,000000,2.16142,2.29298,2.11204,2.29298,0,0
KPL,PB,D,20110808,000000,2.13944,2.31496,2.11204,2.21612,0,0
KPL,PB,D,20110809,000000,2.05163,2.05163,1.83759,1.86498,0,0
KPL,PB,D,20110810,000000,1.86498,1.99122,1.74445,1.86498,0,0
KPL,PB,D,20110811,000000,1.83759,2.01853,1.78289,1.92539,0,0
KPL,PB,D,20110812,000000,2.12841,2.12841,1.92539,2.07894,0,0
KPL,PB,D,20110816,000000,2.12841,2.28737,2.12841,2.28737,0,0
KPL,PB,D,20110817,000000,2.29298,2.29298,2.271,2.271,0,0
KPL,PB,D,20110818,000000,2.17226,2.17226,2.01853,2.1558,0,0
KPL,PB,D,20110819,000000,2.06257,2.1558,2.06257,2.13392,0,0
KPL,PB,D,20110822,000000,2.07894,2.07894,2.07894,2.07894,0,0
KPL,PB,D,20110823,000000,2.13944,2.13944,1.99122,1.99122,0,0
KPL,PB,D,20110824,000000,1.99122,1.99122,1.99122,1.99122,0,0
KPL,PB,D,20110825,000000,1.99122,1.99122,1.99122,1.99122,0,0
KPL,PB,D,20110826,000000,1.99122,1.99122,1.99122,1.99122,0,0
KPL,PB,D,20110829,000000,1.99122,2.12841,0.751642,0.751642,0,0
KPL,PB,D,20110830,000000,0.756972,0.800922,0.756972,0.767913,0,0
KPL,PB,D,20110831,000000,0.800922,0.811956,0.740608,0.745845,0,0
KPL,PB,D,20110901,000000,0.767913,0.767913,0.740608,0.740608,0,0
KPL,PB,D,20110902,000000,0.740608,0.740608,0.69114,0.69114,0,0
KPL,PB,D,20110905,000000,0.669258,0.69114,0.647284,0.647284,0,0
KPL,PB,D,20110906,000000,0.647284,0.647284,0.630825,0.630825,0,0
KPL,PB,D,20110907,000000,0.630825,0.680293,0.630825,0.680293,0,0
KPL,PB,D,20110908,000000,0.680293,0.680293,0.658224,0.680293,0,0
KPL,PB,D,20110909,000000,0.718632,0.77904,0.718632,0.773523,0,0
KPL,PB,D,20110912,000000,0.740608,0.740608,0.680293,0.729666,0,0
KPL,PB,D,20110913,000000,0.729666,0.735184,0.669258,0.729666,0,0
KPL,PB,D,20110914,000000,0.740608,0.773523,0.729666,0.729666,0,0
KPL,PB,D,20110915,000000,0.729666,0.77904,0.729666,0.77904,0,0
KPL,PB,D,20110916,000000,0.784465,0.784465,0.77904,0.784465,0,0
KPL,PB,D,20110919,000000,0.729666,0.784465,0.729666,0.784465,0,0
KPL,PB,D,20110921,000000,0.729666,0.729666,0.729666,0.729666,0,0
KPL,PB,D,20110922,000000,0.729666,0.751642,0.729666,0.751642,0,0
