<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK,PE,D,20120411,000000,6.01664,6.01664,6.01664,6.01664,0,0
KRK,PE,D,20120417,000000,6.07503,6.13368,6.07503,6.13368,0,0
KRK,PE,D,20120418,000000,6.01664,6.01664,5.95871,5.95871,0,0
KRK,PE,D,20120419,000000,5.84141,5.95871,5.84141,5.84141,0,0
KRK,PE,D,20120906,000000,5.36543,5.84772,5.36543,5.42577,0,0
KRK,PE,D,20120910,000000,5.42577,5.42577,5.42577,5.42577,0,0
KRK,PE,D,20120912,000000,5.42577,5.42577,5.42577,5.42577,0,0
KRK,PE,D,20120914,000000,5.60662,6.08882,5.60662,6.08882,0,0
KRK,PE,D,20120918,000000,5.96805,6.08882,5.96805,5.96805,0,0
KRK,PE,D,20120919,000000,5.90797,5.90797,5.90797,5.90797,0,0
KRK,PE,D,20120924,000000,6.20951,6.26923,6.20951,6.26923,0,0
KRK,PE,D,20120927,000000,6.45034,6.51086,6.45034,6.45034,0,0
KRK,PE,D,20120928,000000,6.45034,6.45034,6.45034,6.45034,0,0
KRK,PE,D,20121001,000000,6.38991,6.38991,6.38991,6.38991,0,0
KRK,PE,D,20121002,000000,6.45034,6.45034,6.38991,6.38991,0,0
KRK,PE,D,20121004,000000,6.38991,6.38991,6.38991,6.38991,0,0
KRK,PE,D,20121005,000000,6.38991,6.38991,6.38991,6.38991,0,0
KRK,PE,D,20121009,000000,6.14908,6.38991,6.14908,6.14908,0,0
KRK,PE,D,20121010,000000,6.08882,6.14908,6.08882,6.14908,0,0
KRK,PE,D,20121011,000000,6.02848,6.14908,6.02848,6.02848,0,0
KRK,PE,D,20121012,000000,5.90797,6.02848,5.90797,5.90797,0,0
KRK,PE,D,20121015,000000,5.90797,5.90797,5.90797,5.90797,0,0
KRK,PE,D,20121016,000000,5.90797,5.90797,5.90797,5.90797,0,0
KRK,PE,D,20121018,000000,6.20951,6.38991,5.90797,6.38991,0,0
KRK,PE,D,20121022,000000,6.20951,6.38991,6.20951,6.20951,0,0
KRK,PE,D,20121023,000000,6.20951,6.20951,6.20951,6.20951,0,0
KRK,PE,D,20121025,000000,6.14908,6.14908,6.14908,6.14908,0,0
KRK,PE,D,20121026,000000,6.14908,6.14908,6.14908,6.14908,0,0
KRK,PE,D,20121029,000000,6.08882,6.14908,6.08882,6.08882,0,0
KRK,PE,D,20121105,000000,6.20951,6.20951,6.08882,6.14908,0,0
KRK,PE,D,20121106,000000,6.20951,6.20951,6.14908,6.20951,0,0
KRK,PE,D,20121108,000000,6.38991,6.38991,6.33001,6.33001,0,0
KRK,PE,D,20121109,000000,6.14908,6.14908,6.14908,6.14908,0,0
KRK,PE,D,20121128,000000,6.33001,6.33001,6.14908,6.33001,0,0
KRK,PE,D,20121212,000000,6.08882,6.08882,6.08882,6.08882,0,0
KRK,PE,D,20121213,000000,6.08882,6.08882,6.08882,6.08882,0,0
KRK,PE,D,20121214,000000,6.08882,6.08882,6.02848,6.02848,0,0
KRK,PE,D,20121217,000000,6.02848,6.08882,6.02848,6.08882,0,0
KRK,PE,D,20121218,000000,6.14908,6.14908,6.14908,6.14908,0,0
KRK,PE,D,20121219,000000,6.26923,6.26923,6.14908,6.26923,0,0
KRK,PE,D,20121220,000000,6.26923,6.93236,6.26923,6.93236,0,0
KRK,PE,D,20121221,000000,6.57138,7.5356,6.57138,7.47579,0,0
KRK,PE,D,20121227,000000,6.87256,6.87256,6.87256,6.87256,0,0
KRK,PE,D,20130102,000000,6.51086,6.51086,6.51086,6.51086,0,0
KRK,PE,D,20130103,000000,6.69153,6.69153,6.63101,6.63101,0,0
KRK,PE,D,20130104,000000,7.17461,7.17461,6.63101,6.87256,0,0
KRK,PE,D,20130107,000000,6.99261,6.99261,6.99261,6.99261,0,0
KRK,PE,D,20130108,000000,7.17461,7.17461,7.17461,7.17461,0,0
KRK,PE,D,20130109,000000,7.05331,7.11392,7.05331,7.11392,0,0
KRK,PE,D,20130111,000000,7.2338,7.2338,7.17461,7.17461,0,0
KRK,PE,D,20130129,000000,7.17461,7.17461,7.17461,7.17461,0,0
KRK,PE,D,20130204,000000,7.05331,7.05331,7.05331,7.05331,0,0
KRK,PE,D,20130206,000000,6.93236,6.93236,6.93236,6.93236,0,0
KRK,PE,D,20130312,000000,6.93236,6.93236,6.93236,6.93236,0,0
KRK,PE,D,20130313,000000,6.63101,6.63101,6.63101,6.63101,0,0
KRK,PE,D,20130314,000000,6.38991,6.38991,6.38991,6.38991,0,0
KRK,PE,D,20130315,000000,6.02848,6.38991,6.02848,6.14908,0,0
KRK,PE,D,20130328,000000,6.08882,6.08882,6.08882,6.08882,0,0
KRK,PE,D,20130517,000000,6.38991,6.63101,6.38991,6.63101,0,0
KRK,PE,D,20130521,000000,6.57138,6.57138,6.57138,6.57138,0,0
KRK,PE,D,20130522,000000,6.57138,6.57138,6.57138,6.57138,0,0
KRK,PE,D,20130524,000000,6.57138,6.57138,6.57138,6.57138,0,0
KRK,PE,D,20130527,000000,6.57138,6.63101,6.57138,6.63101,0,0
KRK,PE,D,20130528,000000,6.63101,6.63101,6.63101,6.63101,0,0
KRK,PE,D,20140306,000000,7.84621,7.84621,7.40975,7.40975,0,0
KRK,PE,D,20140307,000000,7.78391,7.90842,7.78391,7.90842,0,0
KRK,PE,D,20140310,000000,7.84621,7.90842,7.72178,7.72178,0,0
KRK,PE,D,20140311,000000,7.84621,7.84621,7.84621,7.84621,0,0
KRK,PE,D,20140312,000000,7.84621,7.84621,7.72178,7.72178,0,0
KRK,PE,D,20140314,000000,7.53489,7.59781,7.53489,7.59781,0,0
KRK,PE,D,20140320,000000,7.72178,7.72178,7.03649,7.03649,0,0
KRK,PE,D,20140321,000000,6.47633,6.47633,6.47633,6.47633,0,0
KRK,PE,D,20140324,000000,7.40975,7.40975,7.40975,7.40975,0,0
KRK,PE,D,20140325,000000,7.53489,7.53489,7.47196,7.47196,0,0
KRK,PE,D,20140326,000000,7.65984,7.65984,7.65984,7.65984,0,0
KRK,PE,D,20140327,000000,7.65984,7.72178,7.65984,7.72178,0,0
KRK,PE,D,20140328,000000,7.72178,7.72178,7.72178,7.72178,0,0
KRK,PE,D,20140331,000000,7.65984,7.72178,7.65984,7.72178,0,0
KRK,PE,D,20140401,000000,7.84621,7.84621,7.84621,7.84621,0,0
KRK,PE,D,20140402,000000,7.97072,8.03293,7.97072,8.03293,0,0
KRK,PE,D,20140407,000000,8.34488,8.34488,8.28293,8.28293,0,0
KRK,PE,D,20140411,000000,8.28293,8.28293,8.28293,8.28293,0,0
KRK,PE,D,20140425,000000,8.22001,8.28293,8.22001,8.28293,0,0
KRK,PE,D,20140429,000000,8.28293,8.28293,8.28293,8.28293,0,0
KRK,PE,D,20140430,000000,8.22001,8.28293,8.22001,8.28293,0,0
KRK,PE,D,20140509,000000,7.47196,8.09514,7.47196,8.09514,0,0
KRK,PE,D,20140522,000000,8.22001,8.28293,8.22001,8.28293,0,0
KRK,PE,D,20140527,000000,8.03293,8.78159,8.03293,8.78159,0,0
KRK,PE,D,20140528,000000,8.09514,8.5938,8.09514,8.5938,0,0
KRK,PE,D,20140602,000000,9.15273,9.15273,9.15273,9.15273,0,0
KRK,PE,D,20140603,000000,9.65198,9.65198,9.65198,9.65198,0,0
KRK,PE,D,20140609,000000,9.65198,9.65198,9.65198,9.65198,0,0
KRK,PE,D,20140612,000000,9.65198,9.65198,9.65198,9.65198,0,0
KRK,PE,D,20140618,000000,9.77575,9.77575,9.7134,9.7134,0,0
KRK,PE,D,20140620,000000,8.71841,8.71841,8.5938,8.5938,0,0
KRK,PE,D,20140623,000000,9.21592,9.2791,8.5938,8.5938,0,0
KRK,PE,D,20140624,000000,8.71841,9.4037,8.71841,9.4037,0,0
KRK,PE,D,20140630,000000,9.58887,9.58887,9.52745,9.52745,0,0
KRK,PE,D,20140701,000000,9.52745,9.52745,9.52745,9.52745,0,0
KRK,PE,D,20140702,000000,9.4037,9.52745,9.4037,9.52745,0,0
KRK,PE,D,20140703,000000,9.52745,9.65198,8.78159,9.09131,0,0
KRK,PE,D,20140704,000000,9.96085,9.96085,9.19099,9.19099,0,0
KRK,PE,D,20140710,000000,8.22677,8.22677,8.16136,8.16136,0,0
KRK,PE,D,20140711,000000,8.16136,8.16136,8.09763,8.09763,0,0
KRK,PE,D,20140714,000000,8.09763,8.09763,8.09763,8.09763,0,0
KRK,PE,D,20140715,000000,8.09763,8.09763,7.96911,8.03293,0,0
KRK,PE,D,20140716,000000,8.09763,8.09763,8.03293,8.03293,0,0
KRK,PE,D,20140717,000000,8.16136,8.99787,8.16136,8.99787,0,0
KRK,PE,D,20140723,000000,8.99787,8.99787,8.99787,8.99787,0,0
KRK,PE,D,20140730,000000,7.96911,7.96911,7.90522,7.90522,0,0
KRK,PE,D,20140731,000000,7.71208,7.90522,7.71208,7.90522,0,0
KRK,PE,D,20140801,000000,7.51949,7.51949,7.51949,7.51949,0,0
KRK,PE,D,20140804,000000,7.90522,7.90522,7.90522,7.90522,0,0
KRK,PE,D,20140806,000000,7.64774,7.64774,7.58392,7.58392,0,0
KRK,PE,D,20140807,000000,7.13439,7.13439,7.13439,7.13439,0,0
KRK,PE,D,20140808,000000,7.39062,7.39062,7.3269,7.3269,0,0
KRK,PE,D,20140819,000000,7.39062,7.39062,7.39062,7.39062,0,0
KRK,PE,D,20140828,000000,7.39062,7.39062,7.3269,7.3269,0,0
KRK,PE,D,20140902,000000,7.26228,7.26228,7.19723,7.19723,0,0
KRK,PE,D,20140905,000000,6.55544,6.61917,6.55544,6.61917,0,0
KRK,PE,D,20140908,000000,7.39062,7.39062,7.3269,7.3269,0,0
KRK,PE,D,20140909,000000,7.3269,7.3269,7.26228,7.26228,0,0
KRK,PE,D,20140919,000000,7.58392,7.58392,7.3269,7.3269,0,0
KRK,PE,D,20140924,000000,7.06933,7.06933,7.06933,7.06933,0,0
KRK,PE,D,20140925,000000,7.51949,7.51949,7.45506,7.45506,0,0
KRK,PE,D,20140929,000000,7.90522,7.90522,7.3269,7.3269,0,0
KRK,PE,D,20141006,000000,6.61917,7.3269,6.61917,7.3269,0,0
KRK,PE,D,20141013,000000,7.19723,7.19723,7.19723,7.19723,0,0
KRK,PE,D,20141016,000000,6.61917,7.06933,6.61917,7.06933,0,0
KRK,PE,D,20141021,000000,7.06933,7.06933,7.00436,7.00436,0,0
KRK,PE,D,20141022,000000,7.06933,7.26228,7.00436,7.00436,0,0
KRK,PE,D,20141023,000000,7.06933,7.06933,7.06933,7.06933,0,0
KRK,PE,D,20141030,000000,6.94135,6.94135,6.94135,6.94135,0,0
KRK,PE,D,20141103,000000,7.00436,7.00436,6.94135,6.94135,0,0
KRK,PE,D,20141104,000000,7.00436,7.00436,6.81186,6.81186,0,0
KRK,PE,D,20141105,000000,6.81186,6.81186,6.81186,6.81186,0,0
KRK,PE,D,20141107,000000,6.81186,7.00436,6.81186,7.00436,0,0
KRK,PE,D,20141126,000000,7.06933,7.06933,7.06933,7.06933,0,0
KRK,PE,D,20141127,000000,7.06933,7.06933,7.06933,7.06933,0,0
KRK,PE,D,20141202,000000,7.51949,7.51949,7.51949,7.51949,0,0
KRK,PE,D,20141216,000000,6.81186,6.81186,6.81186,6.81186,0,0
KRK,PE,D,20150105,000000,6.23407,6.29824,6.23407,6.29824,0,0
KRK,PE,D,20150112,000000,7.06933,7.06933,7.06933,7.06933,0,0
KRK,PE,D,20150114,000000,7.26228,7.26228,7.26228,7.26228,0,0
KRK,PE,D,20150205,000000,7.00436,7.00436,7.00436,7.00436,0,0
KRK,PE,D,20150212,000000,6.94135,7.00436,6.94135,7.00436,0,0
KRK,PE,D,20150217,000000,6.94135,6.94135,6.87665,6.87665,0,0
KRK,PE,D,20150218,000000,6.94135,6.94135,6.94135,6.94135,0,0
KRK,PE,D,20150227,000000,7.64774,7.64774,7.64774,7.64774,0,0
KRK,PE,D,20150302,000000,7.64774,7.64774,7.64774,7.64774,0,0
KRK,PE,D,20150303,000000,7.3269,7.3269,7.3269,7.3269,0,0
KRK,PE,D,20150304,000000,7.64774,7.64774,7.58392,7.58392,0,0
KRK,PE,D,20150305,000000,7.58392,7.64774,7.58392,7.64774,0,0
KRK,PE,D,20150310,000000,7.84051,7.84051,7.84051,7.84051,0,0
KRK,PE,D,20150311,000000,8.16136,8.16136,7.58392,7.58392,0,0
KRK,PE,D,20150313,000000,7.64774,7.64774,7.51949,7.51949,0,0
KRK,PE,D,20150316,000000,7.90522,7.96911,7.90522,7.96911,0,0
KRK,PE,D,20150317,000000,7.96911,7.96911,7.90522,7.90522,0,0
KRK,PE,D,20150318,000000,7.90522,7.96911,7.90522,7.96911,0,0
