<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVT,MV,D,20151216,000000,76.5243,76.5243,76.5243,76.5243,0,0
KVT,MV,D,20151217,000000,76.5243,78.4923,76.5243,78.4923,0,0
KVT,MV,D,20151218,000000,78.4923,80.0561,76.602,76.602,0,0
KVT,MV,D,20151221,000000,74.7677,78.4923,74.7677,78.4923,0,0
KVT,MV,D,20151222,000000,79.1464,79.1464,78.4923,78.4923,0,0
KVT,MV,D,20151223,000000,78.4923,78.4923,77.1852,78.4923,0,0
KVT,MV,D,20151228,000000,78.4294,78.4294,76.5243,78.1619,0,0
KVT,MV,D,20151229,000000,78.1058,78.1619,76.5243,78.1619,0,0
KVT,MV,D,20151230,000000,78.4923,79.1464,76.5243,79.1464,0,0
KVT,MV,D,20160104,000000,79.1464,79.1464,78.4923,79.1464,0,0
KVT,MV,D,20160105,000000,78.8228,90.2712,78.4923,90.2712,0,0
KVT,MV,D,20160107,000000,90.6341,90.6341,88.7585,90.2712,0,0
KVT,MV,D,20160108,000000,90.6341,90.6341,90.2712,90.2712,0,0
KVT,MV,D,20160111,000000,91.0138,91.0138,86.4265,86.5121,0,0
KVT,MV,D,20160112,000000,86.5121,87.1789,83.1179,84.2391,0,0
KVT,MV,D,20160113,000000,85.0761,85.0761,85.0761,85.0761,0,0
KVT,MV,D,20160114,000000,84.9237,84.9237,78.9772,79.7365,0,0
KVT,MV,D,20160115,000000,79.7365,79.7365,78.2317,78.2317,0,0
KVT,MV,D,20160118,000000,78.2317,78.2317,74.6191,74.6191,0,0
KVT,MV,D,20160119,000000,75.2299,75.2299,74.5493,74.9211,0,0
KVT,MV,D,20160120,000000,75.1463,75.1463,70.7106,70.7106,0,0
KVT,MV,D,20160121,000000,72.594,72.594,67.6999,70.6338,0,0
KVT,MV,D,20160122,000000,70.6338,70.6338,70.6338,70.6338,0,0
KVT,MV,D,20160125,000000,68.0766,68.6835,67.7806,68.6835,0,0
KVT,MV,D,20160126,000000,68.6835,70.6338,68.6835,70.6338,0,0
KVT,MV,D,20160127,000000,71.0833,76.721,70.7106,76.721,0,0
KVT,MV,D,20160128,000000,75.9754,81.2384,75.9754,81.1656,0,0
KVT,MV,D,20160129,000000,81.1656,81.2384,77.4803,80.7889,0,0
KVT,MV,D,20160201,000000,81.2384,81.2384,81.2384,81.2384,0,0
KVT,MV,D,20160202,000000,82.6773,82.6773,75.3716,75.3716,0,0
KVT,MV,D,20160203,000000,75.9754,75.9754,75.9754,75.9754,0,0
KVT,MV,D,20160204,000000,75.2939,75.9754,75.2939,75.9754,0,0
KVT,MV,D,20160205,000000,75.9754,76.3551,75.2299,76.3551,0,0
KVT,MV,D,20160208,000000,75.2939,76.4259,75.2939,76.4259,0,0
KVT,MV,D,20160209,000000,76.4259,80.4919,76.4259,80.4919,0,0
KVT,MV,D,20160210,000000,80.4919,80.4919,79.7365,79.7365,0,0
KVT,MV,D,20160211,000000,79.7365,79.7365,79.7365,79.7365,0,0
KVT,MV,D,20160212,000000,79.7365,79.7365,79.7365,79.7365,0,0
KVT,MV,D,20160215,000000,79.7365,79.7365,79.7365,79.7365,0,0
KVT,MV,D,20160216,000000,79.7365,79.7365,79.7365,79.7365,0,0
KVT,MV,D,20160217,000000,79.7365,79.7365,79.7365,79.7365,0,0
KVT,MV,D,20160218,000000,79.7365,79.7365,77.1006,77.1006,0,0
KVT,MV,D,20160219,000000,77.1006,77.1006,77.1006,77.1006,0,0
KVT,MV,D,20160222,000000,77.1006,77.1006,75.2939,75.2939,0,0
KVT,MV,D,20160223,000000,75.2299,75.2299,75.2299,75.2299,0,0
KVT,MV,D,20160224,000000,75.2299,75.2939,75.2299,75.2299,0,0
KVT,MV,D,20160225,000000,75.2299,75.2299,74.1618,75.2299,0,0
KVT,MV,D,20160226,000000,75.2299,75.2939,75.2299,75.2939,0,0
KVT,MV,D,20160229,000000,75.2299,76.3551,73.5717,76.3551,0,0
KVT,MV,D,20160301,000000,76.124,76.124,75.2299,75.2299,0,0
KVT,MV,D,20160302,000000,75.2939,76.3551,75.2939,76.2007,0,0
KVT,MV,D,20160303,000000,76.2007,78.9772,76.2007,78.9772,0,0
KVT,MV,D,20160304,000000,78.9772,78.9772,76.2007,78.6054,0,0
KVT,MV,D,20160307,000000,78.7598,78.9772,78.7598,78.9772,0,0
KVT,MV,D,20160308,000000,76.3551,78.9772,76.3551,77.4803,0,0
KVT,MV,D,20160309,000000,76.3551,76.721,76.3551,76.721,0,0
KVT,MV,D,20160310,000000,76.721,79.885,76.721,79.885,0,0
KVT,MV,D,20160311,000000,77.1006,79.7365,77.1006,79.7365,0,0
KVT,MV,D,20160314,000000,82.5878,82.5878,80.4919,80.4919,0,0
KVT,MV,D,20160315,000000,82.5878,82.6773,80.1043,82.6773,0,0
KVT,MV,D,20160316,000000,83.8005,83.8005,82.3704,82.3704,0,0
KVT,MV,D,20160317,000000,82.3704,82.3704,80.7151,81.2384,0,0
