<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVT,PB,D,20151216,000000,1.73132,1.73132,1.73132,1.73132,0,0
KVT,PB,D,20151217,000000,1.73132,1.7744,1.73132,1.7744,0,0
KVT,PB,D,20151218,000000,1.7744,1.81119,1.73132,1.73132,0,0
KVT,PB,D,20151221,000000,1.68844,1.7744,1.68844,1.7744,0,0
KVT,PB,D,20151222,000000,1.7867,1.7867,1.7744,1.7744,0,0
KVT,PB,D,20151223,000000,1.7744,1.7744,1.74362,1.7744,0,0
KVT,PB,D,20151228,000000,1.7744,1.7744,1.73132,1.7683,0,0
KVT,PB,D,20151229,000000,1.76211,1.7683,1.73132,1.7683,0,0
KVT,PB,D,20151230,000000,1.7744,1.7867,1.73132,1.7867,0,0
KVT,PB,D,20160104,000000,1.7867,1.7867,1.7744,1.7867,0,0
KVT,PB,D,20160105,000000,1.7805,2.03829,1.7744,2.03829,0,0
KVT,PB,D,20160107,000000,2.05068,2.05068,2.0076,2.03829,0,0
KVT,PB,D,20160108,000000,2.05068,2.05068,2.03829,2.03829,0,0
KVT,PB,D,20160111,000000,2.05688,2.05688,1.95242,1.95242,0,0
KVT,PB,D,20160112,000000,1.95242,1.97082,1.87876,1.90334,0,0
KVT,PB,D,20160113,000000,1.92164,1.92164,1.92164,1.92164,0,0
KVT,PB,D,20160114,000000,1.92164,1.92164,1.7867,1.79889,0,0
KVT,PB,D,20160115,000000,1.79889,1.79889,1.7683,1.7683,0,0
KVT,PB,D,20160118,000000,1.7683,1.7683,1.68844,1.68844,0,0
KVT,PB,D,20160119,000000,1.70074,1.70074,1.68225,1.69454,0,0
KVT,PB,D,20160120,000000,1.70074,1.70074,1.59628,1.59628,0,0
KVT,PB,D,20160121,000000,1.63936,1.63936,1.52871,1.59628,0,0
KVT,PB,D,20160122,000000,1.59628,1.59628,1.59628,1.59628,0,0
KVT,PB,D,20160125,000000,1.54101,1.5533,1.52871,1.5533,0,0
KVT,PB,D,20160126,000000,1.5533,1.59628,1.5533,1.59628,0,0
KVT,PB,D,20160127,000000,1.60858,1.73132,1.59628,1.73132,0,0
KVT,PB,D,20160128,000000,1.71903,1.83578,1.71903,1.83578,0,0
