<TICKER>,<INDICATOR>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVT,PE,D,20151216,000000,5.64856,5.64856,5.64856,5.64856,0,0
KVT,PE,D,20151217,000000,5.40288,5.83258,5.40288,5.83258,0,0
KVT,PE,D,20151218,000000,5.83258,5.95553,5.64856,5.64856,0,0
KVT,PE,D,20151221,000000,5.52572,5.83258,5.52572,5.83258,0,0
KVT,PE,D,20151222,000000,5.89415,5.89415,5.83258,5.83258,0,0
KVT,PE,D,20151223,000000,5.83258,5.83258,5.70994,5.83258,0,0
KVT,PE,D,20151228,000000,5.83258,5.83258,5.70994,5.77121,0,0
KVT,PE,D,20151229,000000,5.77121,5.77121,5.64856,5.77121,0,0
KVT,PE,D,20151230,000000,5.77121,5.83258,5.64856,5.83258,0,0
KVT,PE,D,20160104,000000,5.83258,5.83258,5.77121,5.83258,0,0
KVT,PE,D,20160105,000000,5.83258,6.6921,5.77121,6.6921,0,0
KVT,PE,D,20160107,000000,6.6921,6.6921,6.56925,6.6921,0,0
KVT,PE,D,20160108,000000,6.6921,6.6921,6.6921,6.6921,0,0
KVT,PE,D,20160111,000000,6.75406,6.75406,6.38533,6.38533,0,0
KVT,PE,D,20160112,000000,6.38533,6.4468,6.13974,6.26219,0,0
KVT,PE,D,20160113,000000,6.32386,6.32386,6.32386,6.32386,0,0
KVT,PE,D,20160114,000000,6.32386,6.32386,5.89415,5.89415,0,0
KVT,PE,D,20160115,000000,5.89415,5.89415,5.77121,5.77121,0,0
KVT,PE,D,20160118,000000,5.77121,5.77121,5.52572,5.52572,0,0
KVT,PE,D,20160119,000000,5.58709,5.58709,5.52572,5.52572,0,0
KVT,PE,D,20160120,000000,5.52572,5.52572,5.21866,5.21866,0,0
KVT,PE,D,20160121,000000,5.3415,5.3415,4.97307,5.21866,0,0
KVT,PE,D,20160122,000000,5.21866,5.21866,5.21866,5.21866,0,0
KVT,PE,D,20160125,000000,5.03464,5.09591,5.03464,5.09591,0,0
